m/z	rtime	p-value	t-score	custom_id
108.9009	135.19	0.7618176916020513	-0.5483719616863896	
108.9009	150.19	0.8445076808133272	-0.36586198720183355	CaO2
108.9777	212.81	0.0006583706781010248	8.834818650029472	
108.9897	104.99	0.3410862042376169	1.499063623330378	
108.9897	108.53	0.39183847562578566	1.3335566790133708	
108.9897	111.16	0.37684858800631044	1.3777350103669355	
108.9897	114.44	0.37545800056100465	1.3826418700331768	
169.04	162.36	0.9804783299703225	0.04356810206648387	C10H8N2O2
109.0285	24.93	0.0027390222661587697	6.593860322864698	C3H8NO,CH6N4,C4H3N3O
109.0285	165.25	0.8953867992043371	-0.2589885985399568	C3H8NO,CH6N4,C4H3N3O
169.0613	50.51	0.22089763410663396	1.9417873955067482	C7H12N2O4
169.0692	50.11	0.0031455370624681547	6.352885008438529	C8H11NO3
142.0653	156.03	0.22456196705298323	1.9225273778056524	
142.9433	201.48	0.9458996577704493	-0.1432844810459025	
142.9743	201.75	0.9820827834371544	-0.039113291118559004	
110.8979	135.19	0.9710048059100634	-0.0644695490925439	
110.8979	150.19	0.9058935364728459	-0.24313389060397037	
170.0564	301.17	0.0010266608039522077	-8.082420069278827	C6H9N3O3,C6H11N3O4
170.0564	309.57	0.001506280978429027	-7.4529245707485865	C6H9N3O3,C6H11N3O4
170.0701	49.85	0.0004754860563196212	9.505408604650786	
143.0055	201.35	0.8282998289712004	0.3997104698132252	
170.8286	1.7	0.7083585908697689	-0.6653228581102403	
170.8286	135.45	0.74561640799041	-0.5876812150844161	
170.8286	138.73	0.1927409688510884	-2.0716387224118016	
170.8286	149.8	0.7964331530103098	-0.4655719975215706	
170.8474	135.58	0.6351085719273408	-0.8091743689159608	
170.8474	149.8	0.9689504808269961	-0.07122497411357555	
143.0454	298.15	0.09600557355789835	2.713156200774024	
143.0454	314.96	0.14621067515220232	2.326308788682241	
73.0273	92.91	0.3475340060665534	1.4673011167988044	
143.0535	147.17	0.8925073222104594	0.26725662327132665	C7H12OS,C7H14O2S,C7H14O2S
143.0535	150.74	0.7727819357114252	0.527506721203657	C7H12OS,C7H14O2S,C7H14O2S
143.0535	152.45	0.8937917469929086	0.26196471215224326	C7H12OS,C7H14O2S,C7H14O2S
143.0535	155.89	0.6247763362990802	-0.8277926001276119	C7H12OS,C7H14O2S,C7H14O2S
112.9362	346.74	0.9561876123740862	0.11203676820715394	
73.9954	116.41	0.7529695739139158	0.5702589312119736	
73.9954	345.95	0.4317061286345564	1.225872184106035	
73.9954	403.36	0.8616009896007228	0.33709787400612573	
74.0059	212.41	9.919620046135835e-07	31.750564403789294	
171.0195	164.46	0.2550465348014303	-1.7954669486474184	C9H6N2O3
171.0195	227.54	0.956660359292821	-0.10926691022135473	C9H6N2O3
171.0195	235.16	0.8428937601688117	0.3698527221423055	C9H6N2O3
143.9007	346.74	0.3917577344124499	1.3347721720511765	
171.0405	234.76	0.7090338241914937	0.6595689466763217	C6H8N2O4,C6H10N2O5
171.0405	239.91	0.675739269695019	0.7280808857743489	C6H8N2O4,C6H10N2O5
171.0479	32.33	4.812131906650966e-05	15.037379259950791	C8H14O3S,C6H9N3OS
113.9356	346.6	0.9118991159381292	0.23112338507467645	
171.0558	26.91	0.22456196705298323	1.922980223016315	C10H10N2O2,C10H8N2O,C8H5N5
143.9753	125.21	0.7992714092389399	-0.460400751177811	C2H6ClO3P
143.9777	201.61	0.945224299047678	0.1504695660585243	
171.0657	191.97	0.7185461242685379	-0.6397111758158436	C8H14O5,C8H12O4,C6H9N3O3
143.9904	222.26	0.16530018771173824	2.220261962420336	
171.0769	292.24	0.018701284869309293	-4.254035426048803	C7H12N2O3,C7H14N2O4
77.0056	212.81	0.07096172534139986	2.9955375683220353	
171.5435	297.23	0.007952917902904857	-5.132322393886986	
171.8736	106.96	0.7378235141218151	0.6044220234584409	
171.8736	113.52	0.35170583049545195	1.4554574373556686	
171.8736	118.25	0.798702466168015	0.4617555198572187	
114.932	346.87	0.8895397823711514	-0.2738475559562458	
144.0293	212.15	0.021239967137005034	-4.126273363079447	
144.0446	26.12	0.5384989056438604	-0.9951996400860718	C6H8O4
144.0738	34.95	0.4949032336721308	-1.0867509951958967	
144.1021	151.01	0.9552594852794415	-0.11771130636366232	
115.0027	297.76	0.002822612066771631	-6.5330913444707095	
144.8687	135.32	0.7473848973543037	-0.5797304045581204	CaCl2
144.8687	149.93	0.4292454931929274	-1.232715094609391	CaCl2
172.0244	58.31	0.22089763410663396	1.9411840455968332	C6H9NO6
172.0244	77.15	0.4666483543405681	1.145606401538774	C6H9NO6
172.0355	267.29	0.1421159703440651	-2.3500273318158853	C6H6N2O4
144.9724	201.61	0.9546090760309277	-0.12103459234555775	C2H6O3S
172.0398	28.62	0.0737863823581153	2.9533603474634638	C5H8ClN5,C5H7N5,C7H9N2O,C10H9NO3,C10H7NO2
144.9783	201.61	0.6533646795861799	-0.7738553523310409	C5H6OS2
172.069	192.36	0.7941688119666674	-0.4717857923820344	C8H12O4
82.9531	34.82	0.004466609164738437	-5.865906817481023	
82.9531	191.71	0.8796238898596421	-0.2980962017408311	
145.0477	26.25	0.3506109906390638	-1.4582287109916485	
145.0477	30.59	0.22047814432355128	1.9447344771194222	
145.0477	31.14	0.31876303069159484	1.591135312612886	
172.5373	267.29	0.14300893923935437	-2.344953138544297	
172.8276	1.56	0.3256421246855289	1.5714575526666592	
115.0521	222.39	0.22927799280762393	1.9018894628105707	
115.0584	222.26	0.29581671013667976	1.6591182148409132	C6H14OS,C6H12S,C6H12S
172.8417	135.58	0.7473848973543037	-0.5809790045519138	
172.8417	150.06	0.915536026963	-0.2145499571696404	
146.0272	132.43	0.49990861332962067	1.077548268379512	
116.0028	135.58	0.6488776170555732	-0.7837007615360181	
116.0028	149.8	0.8907232222363494	0.27089910735981737	
146.0531	210.97	0.5916365035466085	-0.8955640913668429	
116.0061	297.63	0.002227629779087813	-6.858103621912842	
84.0067	58.58	0.697026187918638	-0.687678113475782	
84.0067	63.07	0.34659035112474473	1.4733271914183672	
84.0067	128.62	0.672384555883084	0.7394533762882618	
116.0469	209.92	0.6979370137435393	0.6856184611696509	C3H7N3O2
116.0478	209.92	0.00974565958733877	4.922181339848019	C5H8O3
116.0593	222.39	0.34075149652983594	1.5157495701397605	C4H8N2O2
172.985	201.48	0.011785276969893059	-4.703365757569152	
172.9907	25.73	0.00212447714364339	6.919765575367853	C6H6O4S,C6H6O4S
172.9907	27.57	0.010338135132191683	4.849170364416854	C6H6O4S,C6H6O4S
146.0814	180.11	0.04102304791182468	3.519355165118846	
146.8659	135.58	0.7501089077727386	-0.5752538073139293	
146.8659	149.8	0.4916235393778915	-1.0949099991202296	
116.0936	210.05	0.03596275336895986	3.6344631152489866	
116.0945	210.18	0.7265914268973066	0.6247528771276748	
84.9502	34.69	0.004505911214002175	-5.841337546557084	
84.9502	191.58	0.9458996577704493	0.14751820381414324	
173.0083	254.89	0.38119251222976835	1.3618681480832608	C6H6O6,C6H8O7,C7H7FO2S
173.0083	259.39	0.005278555720498894	5.61303878789311	C6H6O6,C6H8O7,C7H7FO2S
173.0333	267.43	0.11859877721873203	-2.5191810305207327	
147.0176	270.31	0.0071453526148672316	-5.253167810795973	C5H9NS2,C4H5NO5,C5H9NS2
173.0376	267.43	0.1050498369948999	-2.6322199169566436	C8H10O2
85.0648	36.13	0.6377240904405413	-0.8042420295447646	C3H7N3
173.056	233.85	0.252957527439827	1.8076425980227533	C6H10N2O4,C6H12N2O5
147.0667	197.78	0.000889023558046029	8.34225948429975	C6H12O4,C6H14O5,C6H11O4
147.0667	200.96	0.07361538788594674	-2.9578487172547043	C6H12O4,C6H14O5,C6H11O4
173.0812	192.1	0.6733313404137129	-0.7366650121211609	C8H14O4,C6H11N3O3,C8H16O5
147.9204	2.75	0.30786809287908634	1.6221531528673614	
87.0441	192.1	0.047455482076284625	3.3776119654127585	
173.8419	135.85	0.8838497161619765	-0.2900429709376987	
173.8419	150.19	0.9133719766063143	-0.22335409137158324	
117.0528	156.29	0.18195944071508363	2.121579359995172	
117.0677	210.31	0.0002731607751165723	10.680270588996391	
117.074	210.31	0.0005210308111795777	9.290163791463012	C6H14S
173.994	25.59	0.0003706085488699007	10.003329019728385	C6H6O4S,C6H6O4S
173.994	27.44	0.1035868544340498	2.6456323275693516	C6H6O4S,C6H6O4S
148.8628	135.06	0.8937917469929086	-0.2621974412431489	
148.9057	28.88	0.0010924673598652639	7.972063173270426	
174.0114	254.89	0.4255835511026403	1.2416468812517383	C7H7FO2S
174.0114	259.25	0.0025003399223653237	6.713715175066357	C7H7FO2S
149.0001	28.22	0.9641215090130656	0.08902880863743652	C5H6O3
149.0425	189.45	0.00570532784934915	5.514498962476758	
174.0224	130.99	0.4409569470047157	-1.206146870322384	C6H11NO4S
118.0746	210.31	0.00035321348364453117	10.090477247349991	C4H10N2O2
118.0773	210.18	0.0002172840174489467	11.21907058713554	C6H14S
149.0462	189.84	0.00035321348364453117	10.101986581603052	C5H10O5,C6H6N4O,C6H14S2
149.0462	191.05	0.009504543304310891	4.946419817310331	C5H10O5,C6H6N4O,C6H14S2
174.0552	27.3	0.12243197567403179	2.4895548101455134	C10H9NO2,C10H11NO3,C5H9N5
174.0766	222.52	0.8892820852053789	0.2747274494209332	C7H13NO4,C7H15NO5
149.0599	34.69	0.00035321348364453117	10.088041201751112	
89.0427	249.11	0.2432377198659912	-1.8476610021737452	C4H10S
174.8389	135.58	0.971240064182512	-0.06362222489665485	
174.8389	150.06	0.9429535844336507	-0.15606562057190704	
174.8643	1.7	0.2411289116428772	1.8564753105997567	
174.9637	134.93	0.6587851200341821	-0.7633506674537885	
174.9637	145.86	0.7083585908697689	-0.6654518246210634	
174.9865	25.73	0.025687411494923717	3.940555512796943	
174.9865	27.57	0.003152405364402056	6.346906685654408	
150.0221	265.85	0.45465967459454326	-1.1739048581107483	
175.0353	318.24	0.9652350241446934	-0.08587024616517078	C5H8N2O5,C8H12S
119.0491	198.3	0.002822612066771631	6.520978480283119	C6H5N3
119.0491	205.16	0.2541259270368689	1.7998988695819826	C6H5N3
150.0301	270.84	0.9350293795072024	0.17479647409020235	
150.0413	135.98	0.0823894316103951	-2.8509135031028094	C5H13NS2
119.056	166.72	0.8868240387369113	0.2821964169904351	
119.056	205.98	0.5488226091048656	0.9709893038737061	
119.056	255.28	0.5996481345214598	0.8816670366455481	
119.056	267.95	0.9458996577704493	-0.14821903742021814	
119.056	273.47	0.5345177156612613	-1.0085440725321797	
119.056	275.17	0.8796238898596421	-0.29782700031150655	
119.056	281.21	0.7220091329752863	-0.6334221211565024	
119.056	282.92	0.37860394338134673	1.3709438233924005	
119.056	292.11	0.22047814432355128	1.947326420126177	
150.8858	134.8	0.9671349278321411	0.08031595137551584	
150.8858	150.45	0.7431506556844166	-0.5928531846951053	
175.0718	305.9	0.03226271621909313	-3.7309470043606976	C6H12N2O4
175.8391	135.85	0.955958589539589	-0.11556182682051039	
175.8391	150.06	0.9235890805323204	-0.1994377057779187	
91.0542	34.95	0.01895227225544348	-4.239191295799032	
119.0594	224.49	0.7757841559151778	0.5183155274618431	
151.0586	50.11	0.0012737897396062493	7.6983984775621215	
151.8733	149.8	0.7220091329752863	-0.6340235195943857	
119.9848	134.27	0.34078852272355964	1.5142396208323812	C3H3NO2
119.9848	137.55	0.4083782513437895	1.2856092384236053	C3H3NO2
119.9848	152.19	0.35007343671856644	1.460614542187629	C3H3NO2
176.0193	329.14	0.041721062451900416	-3.5027599595913106	
152.0709	97.9	0.6743029175363155	0.7324141046500153	C6H8N4O
152.8829	134.8	0.898727156072527	0.25389970079230606	CHCl3
152.8829	150.45	0.7359712768260473	-0.608205196914262	CHCl3
152.9855	283.31	0.2732539652953019	-1.7282561468407864	
152.995	191.97	0.004466609164738437	-5.860528776410236	C4H6O4
152.995	210.97	0.07154045908577181	-2.9844978898621597	C4H6O4
176.0922	210.18	0.00017521316171789482	11.687592058662686	C5H12N4O3,C7H15NO4,C7H17NO5
