m/z	rtime	p-value	t-score	custom_id
108.9009	135.19	0.5179421398112524	-1.0144083969287059	
108.9009	150.19	0.5590458010430351	-0.9266816961043329	
109.0285	24.93	0.03949083789234327	-4.871080428789177	
169.0613	50.51	0.663176050813586	-0.6640010740541279	
142.9433	201.48	0.33872762934604694	-1.5117182981557178	
142.9743	201.75	0.20674351515061365	-2.0989824647683757	
110.8979	135.19	0.46673668165067705	-1.1448106613458675	
110.8979	150.19	0.5662687062941328	-0.8995584068623859	
170.0701	49.85	0.49401495863475603	1.0777870143260508	
170.8286	1.7	0.39090056112387955	-1.3547394713539602	
170.8474	135.58	0.32232602211216854	-1.5715756678201036	
170.8474	149.8	0.6227064514523469	-0.7660778743070472	
143.0535	147.17	0.10688173749337218	-3.0312170701787844	
143.0535	150.74	0.660435782320757	-0.6712306200517492	
143.0535	152.45	0.8214799685309663	-0.3393260219274903	
113.9356	346.6	0.6337997627604741	-0.736343066512214	
171.0405	234.76	0.3422947898859915	1.4961068083183549	
171.0405	239.91	0.8368842674344	-0.30088034856020307	
171.0479	32.33	0.02251810257707015	6.409658487718164	
143.9777	201.61	0.21936448472457315	-2.028178670619612	
171.0558	26.91	0.025529014526576483	-6.031128952779417	
143.9904	222.26	0.6442374471973848	-0.7100282114222513	
171.0769	292.24	0.0035722015461612747	-14.598461638118673	C7H12N2O3
114.932	346.87	0.6774148144484647	0.6248923021212944	
144.0738	34.95	0.08285349523148253	-3.4589317192299864	
144.8687	135.32	0.5825114672027862	-0.8636125936696148	
144.8687	149.93	0.9299669681903918	0.12138321064588485	
144.9724	201.61	0.17091150252765894	-2.359892910549222	
172.0355	267.29	0.7841096859693378	0.4066381391026005	C6H6N2O4
172.0398	28.62	0.025822070843622147	-5.997730391965177	
144.9783	201.61	0.10396645706824663	-3.086986173327651	
82.9531	34.82	0.8417708708859409	0.2898920762834856	
172.069	192.36	0.3926309524176134	1.349703463562401	C8H12O4
172.5373	267.29	0.7833100503596412	0.4088200970555023	
172.8276	1.56	0.5638552980635116	-0.9045003649588068	
115.0584	222.26	0.02251810257707015	-6.403487038593618	C6H12S,C6H12S
146.0531	210.97	0.9257681993632298	-0.13158148447667717	
116.0061	297.63	0.0007134792687957603	-28.00008815379379	
116.0469	209.92	0.20072052562029932	-2.1338343679306866	
116.0478	209.92	0.12353352435097388	-2.836306989322066	
172.985	201.48	0.00484470420870004	-12.836046584027669	
146.0814	180.11	0.23690912254629362	-1.9342474582198816	
172.9907	25.73	0.00992591325150444	-9.310470099018389	C6H6O4S,C6H6O4S
172.9907	27.57	0.18332334825028296	-2.2751588354011094	C6H6O4S,C6H6O4S
146.8659	135.58	0.5618553856298737	-0.9184960600041963	
146.8659	149.8	0.8368842674344	-0.30112428144797043	
116.0936	210.05	0.15153162301302148	-2.5284574882958593	
116.0945	210.18	0.14853148167497912	-2.5604574098203896	
84.9502	34.69	0.9053212085824597	0.1693506496663791	
147.0176	270.31	0.08092165878865967	-3.503544113632527	
173.0333	267.43	0.7833100503596412	0.4120161602027985	
173.0376	267.43	0.7224067166523234	0.5285171701466154	C6H6N2O4
147.0667	197.78	0.03949083789234327	-4.868725480282961	C7H12OS
147.0667	200.96	0.14802875089106618	-2.5680158574447858	
173.056	233.85	0.5154719597091934	1.0228099237004664	
147.9204	2.75	0.314775042840421	-1.6042607405839642	
87.0441	192.1	0.3222778581034776	1.5749814786782939	
173.0812	192.1	0.6844654626401268	0.606347578889175	
173.8419	135.85	0.49758928687099924	-1.0655483121615132	
173.8419	150.19	0.4765235948267113	-1.1196988472044818	
117.0677	210.31	0.019885554444698868	-6.870519023228994	
173.994	25.59	0.00484470420870004	-12.736477093586718	C6H6O4S,C6H6O4S
173.994	27.44	0.44500713499482025	-1.2011548087118162	C6H6O4S,C6H6O4S
174.0114	254.89	0.7083231149358655	-0.5533480385354523	C7H7FO2S
174.0114	259.25	0.051224797641666646	-4.349597444360861	C7H7FO2S
149.0001	28.22	0.3741698709539651	-1.4011303313143257	
118.0746	210.31	0.017404694507049345	-7.35364338119286	
149.0462	189.84	0.011067829500140115	8.767443158862026	
149.0462	191.05	0.02126663915093414	6.615402884858666	
174.0552	27.3	0.04255235936380246	-4.711305666685944	
89.0427	249.11	0.1801210779985474	-2.306140064284868	
149.0599	34.69	0.045692720035172565	-4.568557224044224	
174.9637	134.93	0.5997479083739253	-0.8226584340578565	
174.9637	145.86	0.28934556002874134	-1.694486760718422	
174.9865	25.73	0.1418440805147917	-2.6151135250354316	
174.9865	27.57	0.26100544207655296	-1.8092950857136256	
150.0221	265.85	0.641401770170294	0.7152354449628971	
119.0491	205.16	0.003993033804666584	14.095407116846156	
175.0353	318.24	0.2739740531807223	-1.75280835326342	
150.0301	270.84	0.7479904504463634	-0.4854143575426808	C5H6O5
150.0413	135.98	0.21161745061526455	-2.06998958568085	
150.8858	134.8	0.5057137748295306	-1.041980494618276	
150.8858	150.45	0.5828267402033656	-0.8577622814345386	
175.0718	305.9	0.007388917938673168	-10.299959882539687	
175.8391	135.85	0.5618553856298737	-0.9169598617552952	
175.8391	150.06	0.45665316314198984	-1.1708589328771193	
151.0586	50.11	0.6286267240602871	0.7517639313128981	
151.8733	149.8	0.5754714487643534	-0.8817730717549438	
176.0193	329.14	0.0015560919042880632	-20.961738130044246	
152.8829	134.8	0.6322517306900708	-0.7419713058342575	
152.8829	150.45	0.5825114672027862	-0.8605484154607506	
152.9855	32.33	0.14842106183606676	-2.5633339405940325	
152.9855	283.31	0.027790106697094828	-5.782543516463492	
152.995	191.97	0.01712694802475885	-7.40331844699107	C3H7O5P
152.995	210.97	0.03192503533834732	-5.475775598297325	
93.0335	204.63	0.01913568887490255	7.01395986040049	
176.8359	135.85	0.4989469071852813	-1.0595996035633355	
176.8359	150.06	0.4708872288314682	-1.132339365369269	
153.016	216.35	0.18768105398021334	2.244275704579153	
176.9162	364.07	0.10680508675107116	3.0374177371804034	
121.0312	243.2	0.7523013993871075	-0.4769841416694524	
153.8992	1.17	0.16802621731698944	2.3841319938577055	
95.9751	191.05	0.0868466514388708	3.387153791018195	
122.0601	49.85	0.782188354097193	-0.4170417876025119	
122.8932	39.81	0.22012650263748362	-2.0197499075634715	
96.0274	32.85	0.011392856906552291	-8.675583668816069	
96.9211	135.19	0.5020358778814101	-1.0530694161716059	
96.9211	149.93	0.5618553856298737	-0.9180767806340889	
177.9124	134.8	0.5027817576121827	-1.050590428498755	
177.9124	150.58	0.8440235949272742	-0.2781744891959546	
154.868	149.8	0.5480101143444723	-0.950911521173473	
124.0063	212.41	0.07122304463013357	3.7206678267831035	
154.88	134.93	0.38115575051491024	-1.3825159718798705	
154.88	150.45	0.6094147860088628	-0.7963992541705722	
178.8332	149.93	0.529063647484276	-0.9897087418979519	
124.9904	34.3	0.11670125779662274	-2.926318848436583	
97.0648	27.04	0.1237279128760597	2.813688500220696	
178.912	364.07	0.11979075924782516	2.8871789258940472	
125.0425	225.15	0.35878383828878163	-1.4509482159151814	
97.9762	201.35	0.3615635770807939	-1.43962543270477	
155.0089	172.5	0.10491959020636768	-3.0621194820270943	
125.8721	134.8	0.5259617467870951	-0.9995709776079957	
125.8721	151.53	0.02126663915093414	-6.567032932076889	
125.9898	34.43	0.07256417296204816	-3.6897183040202464	
125.9938	34.3	0.1418440805147917	-2.6158252668835877	
98.948	1.04	0.09005399733575449	-3.331753302326307	
126.9041	29.54	0.5676231395575672	0.8962819759330118	
126.9862	34.3	0.08285349523148253	-3.458564993846917	C5H4O2S
126.9948	34.3	0.16291977341570782	-2.440129644641163	
155.8733	29.01	0.06388146373639216	-3.9584491349635647	
127.0028	192.63	0.907463296948494	0.1653525937534522	
127.0754	191.71	0.3235490798680509	1.562841004268077	
127.8692	151.14	0.03287828673771571	-5.388209415543789	
156.0269	266.24	0.8741128553497783	-0.22904479964444585	
179.8402	135.32	0.4172438793377916	-1.2827556697551261	
179.8402	150.45	0.4708872288314682	-1.1333285063316054	
179.8819	363.02	0.49401495863475603	-1.0781223785788612	
179.8819	365.51	0.3615635770807939	-1.4391007198097316	
100.0394	191.84	0.006766840541340218	10.603226458882666	
156.954	201.22	0.8334424904737482	-0.31315225038198213	
128.9586	201.75	0.15431967050567794	-2.5052471869012622	
128.9982	135.06	0.18452515741237874	-2.2670819719960202	
129.0267	36.26	0.15019245692596486	-2.547798814367863	
129.0277	36.13	0.3326234001788668	-1.5321742096241786	
129.0285	36.53	0.5788878953644804	-0.875347889866606	
129.0377	213.46	0.3222778581034776	-1.5738127244155158	
129.0377	220.42	0.13258584523671552	-2.713988136838693	
129.0804	36.26	0.2849014044937386	-1.7091443483478297	
129.0815	36.26	0.1917925426860328	-2.2173624255552564	
157.9933	201.61	0.9257681993632298	-0.1335333292996437	
129.0826	36.0	0.48093194681345425	-1.1105762278967268	
103.9193	39.55	0.2793311785881691	-1.728919989702831	
181.0594	192.63	0.04858345496651933	4.460354740973467	
181.0594	213.59	0.07122304463013357	3.7205823209730453	
181.0692	204.77	0.03426814488822558	5.267140333924313	C9H11NO3
181.8369	150.32	0.5179421398112524	-1.016083947845132	
182.0428	221.47	0.0008456685291359195	-24.84852629434302	
131.0609	36.13	0.01913568887490255	-6.986712181006643	
182.0455	33.9	0.0047013466071399905	-13.21382931172394	
182.0664	204.9	0.018278354576577296	7.161006433404306	
182.0703	205.03	0.01937506870378726	6.933686741021672	
132.0115	165.25	0.01170287631844367	-8.533161800900201	
132.0115	169.87	0.010917359346522906	-8.878542335306841	
132.0374	192.1	0.4213203386832905	1.269416222679765	
132.9454	201.75	0.9860479060404475	-0.027524881455815574	
158.9878	201.75	0.8854810309464629	-0.2047994529692047	
158.9933	201.75	0.8440235949272742	-0.2795289248706124	
159.0556	28.09	0.04184195735662594	-4.757770250164978	
195.0605	269.53	0.7833100503596412	0.40938660038792396	
195.1386	26.52	0.263389935999797	1.796980733493281	
159.8778	39.15	0.005966813910099606	-11.274026407041275	
184.0585	210.31	0.0022423495555857122	-17.041916708762134	C6H13NO4
184.0585	215.17	0.06810032493583099	-3.846459963793168	
195.9263	364.2	0.09753905505628535	3.179455451609174	
195.9312	364.2	0.06204571964147908	4.019411915029874	
196.0222	220.03	0.07617245166321772	-3.60760606414921	
134.9426	201.75	0.28337318345821993	1.7151886338077653	
196.0613	212.15	0.3103284765787405	1.6191660387939366	C9H11NO4
196.8108	150.32	0.34056922382168453	-1.5057752011394172	
196.8765	134.53	0.6392257008786989	-0.7224018999840983	
196.8765	151.01	0.18821744234294333	2.239843912376848	
196.8848	363.94	0.6483706562811118	0.6984958935638592	
196.8865	135.19	0.6703427894684124	-0.646890221832767	
196.8865	150.45	0.7774924712919429	-0.426423473442927	
185.0272	31.28	0.6101767595538594	-0.7925134415185282	C8H10O3S
159.9915	201.61	0.6883117609171324	-0.5976491344919612	
160.0145	389.54	0.20410284809067022	-2.1163075803962235	
160.0145	391.25	0.2480845679333714	-1.8752588670214636	
196.9227	364.2	0.07122304463013357	3.737621091465842	
196.9305	364.2	0.07122304463013357	3.7275525305975754	
160.0397	37.18	0.00484470420870004	-12.62848637116627	
160.0608	191.71	0.00033215156873719903	-37.69184197721207	C6H11NO4
197.0216	230.04	0.03949083789234327	4.919265585322602	
135.9015	134.53	0.48776733772624603	-1.0960136005993948	
135.9015	151.27	0.5997479083739253	-0.8170163942312044	
160.9923	201.75	0.45665316314198984	-1.1712282170030879	
197.0619	221.47	0.0048829420289582025	-12.416749397536705	C7H13NO4
186.0182	135.85	0.19871406098492675	-2.1661240677650344	
161.056	325.2	0.02251810257707015	-6.429574452832038	
161.0641	191.84	0.00030565487784022855	-41.2049656497335	C6H11NO4
136.0478	35.74	0.1956257552329114	2.187593183803073	
161.875	39.02	0.030601531575040353	-5.584969934475131	
137.9857	163.67	0.018279890309405838	-7.121836673417248	
198.8736	134.8	0.5997479083739253	-0.8160636537934646	
198.8736	151.01	0.20413478575947547	2.113669512799456	
198.8836	150.32	0.8364001610261755	-0.3060915780694108	
187.0009	201.48	0.0026685031183502402	-16.181470383022315	C5H10O5
198.9184	363.94	0.1956257552329114	2.1850514332938618	
198.927	363.94	0.27366729120760075	1.7556260607806136	
138.906	2.75	0.8440235949272742	0.2793064834111679	
138.9521	273.99	0.07372699057668472	-3.6602714383289845	
163.0393	34.95	0.00018645774602041955	-50.73283268311284	
163.0393	204.77	0.027991118567168877	5.761539207116423	
199.0067	31.93	0.369387220305929	1.4143917634420402	C8H8O4S
199.0332	222.39	0.1237279128760597	-2.8110474108353833	
187.097	192.23	0.9763145586365657	-0.04673850689091635	C9H16O4
187.1334	34.82	0.01821853008816947	-7.1950872977197395	
187.8841	135.19	0.2480845679333714	-1.8744517486955465	
187.8841	150.32	0.2773007322111753	-1.7378410618028426	
188.0158	319.69	0.6392257008786989	0.7243489140646899	
163.896	134.8	0.4182723605723436	-1.2793921549085858	
199.0721	212.41	0.810872403432735	0.35665135092514716	C9H11NO4
199.0777	210.05	0.07984580145757622	-3.5235648185946187	C7H15NO4
164.8385	149.8	0.8897822015488481	0.19798986052472764	
188.0559	297.76	0.00484470420870004	-12.62592318851907	
188.88	151.93	0.8106400152028708	-0.35814127090345954	
188.981	190.66	0.4071691165131869	-1.3085958608219352	
188.9853	24.93	0.0015560919042880632	-20.757318230493837	C6H6O5S
188.9981	201.61	0.031421420597404645	-5.508706428904367	
189.0511	374.18	0.00484470420870004	-12.864604367648122	C7H9NO5
200.8051	149.8	0.2525105183298517	-1.8515522653035614	
200.9724	226.36	0.10482857334422323	3.0675885623060806	C3H7NO5S2,C3H7NO5S2
200.9859	236.89	0.23998084815444848	1.9141668735746238	
166.0779	159.05	0.00484470420870004	-12.725188130528561	
166.8353	135.32	0.5858160684574071	-0.8508920766206333	
166.8353	149.8	0.6227064514523469	-0.7675707558081738	
190.0716	183.53	0.00019955541545892645	-47.652485177450465	C7H13NO5
219.0619	373.92	0.047203238955282105	-4.520123391851424	
219.1064	180.11	0.1414316506923533	-2.6267991208921626	C9H17NO5
219.5623	311.54	0.0001476727626486574	56.87140785794997	
167.0536	47.88	0.005966813910099606	-11.306315956515931	C8H9NO3
167.8333	135.32	0.43994024471962045	-1.222257960933727	
167.8333	149.66	0.3661297775100587	-1.4245183675122257	
191.8159	135.58	0.8440235949272742	-0.28375639393544394	
168.0329	191.97	0.10208552330832775	-3.1175390773778235	
220.0204	204.24	0.9152709640929658	-0.15153327293890925	
202.9969	191.71	0.3873395778229424	1.3650847169292526	
203.0016	26.39	0.014224390618687927	-7.9769175809274735	
203.0016	30.59	0.006766840541340218	-10.575112894864581	C7H8O5S,C7H8O5S
168.8314	135.32	0.5376496289849169	-0.970924602931474	
168.8314	149.4	0.7539031615665456	-0.47210560982471367	
203.0452	205.85	0.7901351677233448	0.39528618593518133	
220.0643	311.41	0.000124474947454926	64.28327573598331	
168.8863	43.25	0.7219204982721749	-0.5303768942029027	
203.0669	369.06	0.016453584282719855	-7.50102361136667	
220.1075	180.11	0.6701736085697012	0.6485456981578154	
203.7987	135.58	0.39288675123710287	-1.3465633204619105	
203.7987	150.32	0.3235490798680509	-1.5645229879901685	
220.845	134.53	0.6844654626401268	-0.6052557461619018	
220.845	151.01	0.1460380381654244	2.5830209952887833	
204.005	30.59	0.004919095142310825	-12.220884072748817	C7H8O5S,C7H8O5S
204.0428	50.38	0.7930227487705185	-0.38809317946603555	C8H11NO3
204.0855	156.16	0.0015560919042880632	-20.54166365160035	
220.9877	188.4	0.43874984760180613	1.2261233336280386	
221.0039	234.11	0.03604801978578207	-5.163224409823382	
221.0851	29.27	0.869360581003284	0.23759235930436576	
