m/z	rtime	p-value	t-score	custom_id
108.9009	135.19	0.8541486156752369	-1.1199655939748676	CaO2
108.9009	150.19	0.8783354201113182	0.9350469332955518	
109.0285	24.93	0.6867485148355587	2.0126544717553507	
169.0613	50.51	0.6587121639579603	-2.315900042107711	
142.9433	201.48	0.9876507170401673	-0.09249523014512638	
142.9743	201.75	0.971427232723037	-0.24003037045472111	
110.8979	135.19	0.6943301037123097	-1.97583863408815	
110.8979	150.19	0.9952557634361949	0.0510885195218675	
170.0701	49.85	0.8858651275246685	0.7282360122144479	
170.8286	1.7	0.9841336574449082	0.1410633206186861	
170.8474	135.58	0.0903954725178158	-8.708018945237972	
170.8474	149.8	0.9554534082993096	-0.33293050501552474	
143.0535	147.17	0.21526293543230457	5.1787675180467785	
143.0535	150.74	0.8538196585909107	1.1248677321582212	
143.0535	152.45	0.8644915208169454	1.0354392241388823	
113.9356	346.6	0.6692590785736411	2.2654402237442053	
171.0405	234.76	0.840158307337548	1.2893808353741196	
171.0405	239.91	0.8281694618955672	1.3763732375188773	
171.0479	32.33	0.44675005331758016	3.403151431128502	
143.9777	201.61	0.9982338269339297	-0.03530839162639504	
171.0558	26.91	0.8611060187005196	1.048629187953964	
143.9904	222.26	0.9403154232673033	0.4079121496425352	
171.0769	292.24	0.4247181363195247	-3.5135797967900246	
114.932	346.87	0.872299650870866	0.993491971977255	
144.0738	34.95	0.9811218531774331	0.17392508593402115	
144.8687	135.32	0.5338728909615387	-2.8082412897605247	
144.8687	149.93	0.8783354201113182	0.9526956906535855	
144.9724	201.61	0.9312581390412542	-0.45302899748643466	
172.0355	267.29	0.840158307337548	1.2466909185283175	C6H6N2O4
172.0398	28.62	0.9661979537612406	-0.29246639925203743	
144.9783	201.61	0.9104574080609352	-0.5815601553429067	
82.9531	34.82	0.9597033215329	0.31589450152340637	
172.069	192.36	0.9990975753151448	0.02066281661954359	C8H12O4
172.5373	267.29	0.7550182319573613	1.628407713815387	
172.8276	1.56	0.9194266410717264	0.5306934540582922	
115.0584	222.26	0.9969704376282621	0.04402196463410855	C6H12S,C6H12S
