m/z	rtime	p-value	t-score	custom_id
108.9009	135.19	0.48089531712587147	-1.0632844025424317	
108.9009	150.19	0.482586960061928	-1.0582408668303096	CaO2
169.0363	191.84	0.2299746751940024	-2.044809226863298	C5H8NNaO4
169.0363	210.84	0.5647879369186893	0.860547743783109	C5H8NNaO4
109.0285	24.93	0.031497755450346665	-5.063920489904233	C3H8NO,CH6N4,C4H3N3O
109.0285	163.28	0.6627838105405078	-0.6441042062705581	C3H8NO,CH6N4,C4H3N3O
109.0285	165.25	0.6285962995776363	-0.7129734674154099	C3H8NO,CH6N4,C4H3N3O
169.0613	50.51	0.4858113758954079	-1.050251991192179	C7H12N2O4
169.0692	50.11	0.7350511679069107	-0.4930885979672305	C8H11NO3
142.0653	156.03	0.001675195461953872	-14.777290709236452	
142.9433	201.48	0.23279189311908907	-1.9900005657628153	
170.0286	192.23	0.10401732835695893	-3.0371782885540046	C7H9NO2S,C7H9NO2S
170.0286	211.1	0.3733476378494543	1.3569855272564382	C7H9NO2S,C7H9NO2S
142.9743	201.75	0.07300102911551257	-3.588744001181059	
110.8979	135.19	0.3625986117797525	-1.3937564421745703	
110.8979	150.19	0.5067591607689311	-1.003217361028149	
170.0701	49.85	0.8861088061188486	-0.21614947364468817	
143.0055	201.35	0.9161510900603645	-0.16193012210274968	
143.0064	201.75	0.8461625309077582	0.2930605933919822	
170.8286	1.7	0.11288353960914219	-2.906478640946283	
170.8286	135.45	0.2485596770325034	-1.8614037569584745	
170.8286	149.8	0.26091309660462103	-1.7796378823076613	
170.8474	135.58	0.2498436726346253	-1.840867502436834	
170.8474	149.8	0.5749974359870437	-0.8316893955162217	
143.0454	298.15	0.006867001121019886	-8.85394580656564	
143.0454	314.96	0.000922655150548251	-18.48328454565947	
73.0273	59.1	0.5957840321342354	0.7892962102620512	
73.0273	92.91	0.010586464957892509	7.597239579174837	
73.0273	500.84	0.4858113758954079	1.0493158826367808	
143.0535	147.17	0.0905274906389137	-3.233247483659864	C7H12OS,C7H14O2S,C7H14O2S
143.0535	150.74	0.5983818875377183	-0.7829178149696163	C7H12OS,C7H14O2S,C7H14O2S
