m/z	rtime	p-value	t-score	custom_id
108.9009	135.19	0.4024986027303817	1.2902096577642383	
108.9009	150.19	0.4774107030996381	1.091795067337556	
108.9897	101.84	0.24188903763005784	1.9851190129859348	
108.9897	103.28	0.24188903763005784	1.969417149010061	
108.9897	104.99	0.28433098502757087	1.705752723392569	
108.9897	107.61	0.24383603168398982	1.9403875407800244	
108.9897	111.16	0.24188903763005784	1.9974391917573888	
169.0363	191.84	0.41063693881448965	-1.267389203450625	
169.0363	210.84	0.7877924542165596	-0.4255416139371586	
109.0285	24.93	0.03209653260755966	-5.262228592258816	
109.0285	163.28	0.28149889173937576	1.722569444656644	
109.0285	165.25	0.5780638942290172	0.8541121439070607	
169.0613	50.51	0.11973225670450384	2.967776189746976	
169.0692	50.11	0.04180377511206031	4.6785562154311	C8H11NO3
142.9433	201.48	0.9316359071814414	-0.13505380176003381	
170.0286	192.23	0.2855103597466946	-1.6999807259797208	C6H6N2O4
170.0286	211.1	0.9318546340143945	0.1325720353678001	C6H6N2O4
142.9743	201.75	0.03604414604698382	5.008028366070573	
110.8979	135.19	0.5891997690764961	0.8334757720424018	
110.8979	150.19	0.503605642937103	1.0297690307600715	
170.0564	301.17	0.0004323601878958902	-25.979324501893732	C7H8N2O3
170.0564	309.57	0.008171305916005867	-8.71890980831093	C6H9N3O3
170.0701	49.85	0.13511543234464365	2.785841228888855	
143.0055	201.35	0.7615941998585631	0.4729665549473848	
170.8286	1.7	0.7178181767057167	-0.5608018570544723	
170.8286	135.45	0.630950010985635	0.7373157671803585	
170.8286	138.73	0.4563381133544065	-1.147236395117204	
170.8286	149.8	0.9093101923912174	-0.1800333041897962	
170.8474	135.58	0.8011204900391252	0.3962511662303403	
170.8474	149.8	0.8617025501458597	-0.2774665941523761	
143.0454	298.15	0.007735734143867557	-8.91520298864299	
143.0454	314.96	0.02200657770130207	-6.112961772292227	
111.9853	132.69	0.15232580571621898	-2.627294524448817	
143.0535	147.17	0.3832883903756565	1.3464904749339068	
143.0535	150.74	0.8248790871896836	-0.3500062326330358	
143.0535	152.45	0.5806572544501988	0.8495182571775391	
143.0535	155.89	0.020580320435379277	6.251897540515333	
112.9362	346.74	0.06575438074701297	-3.9103262254957785	
73.9954	116.41	0.9119363904897035	0.17413971665533345	
171.0195	164.46	0.5638199984482754	-0.8816594850647896	
171.0195	227.54	0.9142206272690625	0.16993084834343172	
171.0195	235.16	0.2732543702346801	1.7614786596905028	
75.0066	102.1	0.9264108387159625	0.1465902173294169	
143.9007	346.74	0.24762329066058222	1.9042590331052915	
171.0405	234.76	0.8801029498204085	0.23570935257586115	
171.0405	239.91	0.9715811861917728	-0.05747035108578374	
171.0479	32.33	0.9187501487961987	0.16280819183507425	
113.9356	346.6	0.08820531173838776	-3.428851409433834	
171.0558	26.91	0.03604414604698382	-5.0098793621679185	
143.9777	201.61	0.031895695363393074	5.275282302970807	
171.0657	191.97	0.9792047238396657	-0.043498094784475305	C8H12O4
143.9904	222.26	0.002914765594667302	12.680487883005899	
171.0769	292.24	0.40822433744238773	-1.2748087416700349	
171.5435	297.23	0.09401550496123112	-3.33307374816097	
171.8736	9.74	0.49592713949885847	1.0497779541162497	
171.8736	106.96	0.5195325947452958	0.9899859160759125	
171.8736	113.52	0.2728902738509806	1.766557953888404	
171.8736	125.34	0.24762329066058222	1.9050143239427446	
114.932	346.87	0.06604560620054209	-3.900606718973984	
144.0293	212.15	0.11662956088372119	-3.0069824312919917	
78.9565	324.41	0.7796259400373317	-0.43978586443724443	
78.9565	326.65	0.6760605335948705	0.643876160876867	
78.9565	329.4	0.6264995933325165	0.7478943649304293	
144.0446	26.12	0.0010142147126017363	-19.035145436134826	
