SOURCE	TARGET	ENZYMES
C00051	C03740	3.4.11.4;2.3.2.4;2.3.2.2
C00051	C00669	;6.3.2.3;2.3.2.4;1.8.4.4
C05827	C02714	1.4.3.4
C05636	C02714	1.4.3.4
C00097	C00669	;1.8.1.6;6.1.1.16;2.3.1.1;4.4.1.1;1.16.3.1;3.4.11.1;2.6.1.1;3.4.11.2;6.3.2.2;6.3.2.3;4.2.1.22;6.3.2.5;1.8.4.4;2.3.2.4;2.6.1.3;3.5.2.9;2.8.1.7;1.13.11.20
C00024	C00315	;2.3.1.57
C00024	C02714	2.3.1.57
C00315	C02567	;1.5.3.11;2.3.1.57
C00315	C00027	;1.4.3.6;1.5.99.6;1.5.3.11
C00315	C01137	2.5.1.22;2.5.1.16
C00315	C00010	;2.3.1.57
C00315	C00555	;1.4.3.6;2.5.1.16;1.5.3.11;2.3.1.57;1.5.99.6
C00315	C00612	;1.5.3.11;2.3.1.57
C00315	C00047	;2.5.1.46;1.4.3.6;1.5.99.6
C00315	C07282	2.5.1.46
C00315	C00750	2.5.1.22;1.4.3.6;2.3.1.57;2.5.1.16
C00315	C01342	;1.4.3.6
C00315	CE5586	2.5.1.46
C00315	C00170	2.5.1.22;2.5.1.16
C00315	CE1940	1.4.3.6
C00315	C00134	;1.4.3.6;2.5.1.16;1.5.3.11;2.3.1.57;1.5.99.6
C00315	C07281	2.5.1.46
C00315	CE1939	1.4.3.6
C00315	C00986	;2.5.1.46;1.4.3.6;1.5.99.6
C00315	C01029	
C00315	CE5588	;2.5.1.46;1.4.3.6;1.5.99.6
C00315	CE4788	;1.5.3.11;2.3.1.57
C05520	C00430	2.3.1.37
C04282	C03440	1.4.3.3
C00931	C00430	4.2.1.24
C01636	C00062	6.1.1.19
C00042	C01157	;1.5.1.12;1.14.11.1;6.1.1.15;1.14.11.2;3.4.11.5;1.5.1.2;5.1.1.4;2.8.3.5;1.14.11.8;1.5.99.8;1.2.1.24;1.3.5.1;1.14.11.18;1.14.11.4;1.14.11.16;6.2.1.4;6.2.1.5;1.3.99.1
C01035	C00062	4.1.1.19;2.1.4.1
C03440	C00027	1.4.3.3
