SOURCE	TARGET	ENZYMES
C01157	C00148	;1.5.1.12;1.14.11.1;6.1.1.15;1.14.11.2;3.4.11.5;1.5.1.2;5.1.1.4;2.8.3.5;1.14.11.8;1.5.99.8;1.2.1.24;1.3.5.1;1.14.11.18;1.14.11.4;1.14.11.16;6.2.1.4;6.2.1.5;1.3.99.1
C01157	C01352	;1.5.99.8;1.5.1.12;1.3.99.1
C01157	C00042	;1.5.1.12;1.14.11.1;6.1.1.15;1.14.11.2;3.4.11.5;1.5.1.2;5.1.1.4;2.8.3.5;1.14.11.8;1.5.99.8;1.2.1.24;1.3.5.1;1.14.11.18;1.14.11.4;1.14.11.16;6.2.1.4;6.2.1.5;1.3.99.1
C01157	C01078	1.14.11.2
C01157	C00026	;1.14.11.4;1.14.11.1;1.14.11.2;1.14.11.8;1.5.1.12;1.14.11.18;1.14.11.16
C01157	C00016	;1.5.99.8;1.5.1.12;1.3.99.1
C01157	C04398	1.14.11.2
C01157	C04281	1.5.1.12;;1.5.1.2
CE2872	C00127	;1.97.1.10
CE6182	CE2054	6.2.1.3
C03765	C02714	1.4.3.4
C02163	C00062	6.1.1.19
C00375	C02714	1.4.3.4
C00153	C00062	2.4.2.31
CE2054	C00010	;6.2.1.3
CE2054	CE2053	;1.2.1.3
CE2054	CE3554	
CE2054	C00020	;6.2.1.3
CE2054	CE5947	;1.1.1.184;1.2.1.3;6.2.1.3
C00425	C00127	;1.8.5.1
CE0347	C00127	1.13.11.31;1.13.11.34
C00763	C03564	;1.4.3.3
C05636	C02714	1.4.3.4
C05634	C02714	1.4.3.4
C00637	C02714	1.4.3.4
C03912	C01165	1.5.1.12;
C01035	C00062	4.1.1.19;2.1.4.1
C04043	C02714	1.4.3.4
C00792	C01342	1.4.3.3
C00792	C00014	1.4.3.3
C00792	C00027	1.4.3.3
C00792	C03771	1.4.3.3
C03758	C02714	1.4.3.4
C01342	C02714	1.4.3.4
C01342	C01110	1.4.3.3
C00097	C00127	;1.8.4.4
C00097	C00669	;1.8.1.6;6.1.1.16;2.3.1.1;4.4.1.1;1.16.3.1;3.4.11.1;2.6.1.1;3.4.11.2;6.3.2.2;6.3.2.3;4.2.1.22;6.3.2.5;1.8.4.4;2.3.2.4;2.6.1.3;3.5.2.9;2.8.1.7;1.13.11.20
C16608	C02714	1.4.3.4
C01888	C02714	1.4.3.4
C14827	C00127	1.13.11.34;1.11.1.9
C00708	C00127	;1.97.1.10
CE2539	C00127	1.13.11.34;1.11.1.9
C02714	C00014	1.4.3.4
C02714	C00071	1.4.3.4
C02714	C00398	1.4.3.4
C02714	C05936	1.4.3.4
C02714	C05127	1.4.3.4
C02714	C05637	1.4.3.4
C02714	C05638	1.4.3.4
C02714	C05583	1.4.3.4
C02714	C00024	2.3.1.57
C02714	C05581	1.4.3.4
C02714	C00010	2.3.1.57
C02714	C05827	1.4.3.4
