pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Arginine and Proline Metabolism	5	8	0.0016805310478111082	E137,E17,E16,E98,E14	C00062/C00792,C01165/C01157/C00430/C03440/C01110,C01165/C01157/C00430/C03440/C01110,C03564,C02714	L-Arginine/D-Arginine; D-2-Amino-5-guanidinovaleric acid$L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde/trans-4-Hydroxy-L-proline/5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid/cis-4-Hydroxy-D-proline/5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate$L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde/trans-4-Hydroxy-L-proline/5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid/cis-4-Hydroxy-D-proline/5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate$1-Pyrroline-2-carboxylate; 1-Pyrroline-2-carboxylic acid; delta1-Pyrroline 2-carboxylate$N-Acetylputrescine
Pyruvate Metabolism	2	2	0.008570708343836652	E256,E255	C03451,C03451	(R)-S-Lactoylglutathione$(R)-S-Lactoylglutathione
Leukotriene metabolism	2	2	0.008570708343836652	E260,E74	CE7114/CE2053/CE5138/CE5661/CE7115/CE7113/CE7112/CE7088,CE2054/CE5976	/20-oxo-leukotriene B4/12-oxo-20-hydroxy-leukotriene B4/15-oxo-lipoxin A4/20-hydroxy-leukotriene B5/15-epi-lipoxin B5/15-epi-lipoxin A5/PGH3$20-carboxy-leukotriene-B4/12-oxo-10,11-dihydro-20-COOH-LTB4
Glycine, serine, alanine and threonine metabolism	5	12	0.011679690782287203	E137,E17,E256,E16,E255	C00062/C00792,C01165/C01157/C00430/C03440/C01110,C03451,C01165/C01157/C00430/C03440/C01110,C03451	L-Arginine/D-Arginine; D-2-Amino-5-guanidinovaleric acid$L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde/trans-4-Hydroxy-L-proline/5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid/cis-4-Hydroxy-D-proline/5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate$(R)-S-Lactoylglutathione$L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde/trans-4-Hydroxy-L-proline/5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid/cis-4-Hydroxy-D-proline/5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate$(R)-S-Lactoylglutathione
Glutamate metabolism	2	3	0.024871859507604403	E199,E171	C00669,C00127	gamma-L-Glutamyl-L-cysteine$Oxidized glutathione
Aspartate and asparagine metabolism	6	20	0.03319048819426939	E137,E17,E16,E199,E14,E171	C00062/C00792,C01165/C01157/C00430/C03440/C01110,C01165/C01157/C00430/C03440/C01110,C00669,C02714,C00127	L-Arginine/D-Arginine; D-2-Amino-5-guanidinovaleric acid$L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde/trans-4-Hydroxy-L-proline/5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid/cis-4-Hydroxy-D-proline/5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate$L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde/trans-4-Hydroxy-L-proline/5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid/cis-4-Hydroxy-D-proline/5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate$gamma-L-Glutamyl-L-cysteine$N-Acetylputrescine$Oxidized glutathione
Arachidonic acid metabolism	2	4	0.046634736576758255	E260,E171	CE7114/CE2053/CE5138/CE5661/CE7115/CE7113/CE7112/CE7088,C00127	/20-oxo-leukotriene B4/12-oxo-20-hydroxy-leukotriene B4/15-oxo-lipoxin A4/20-hydroxy-leukotriene B5/15-epi-lipoxin B5/15-epi-lipoxin A5/PGH3$Oxidized glutathione
Putative anti-Inflammatory metabolites formation from EPA	1	1	0.062011595664229896	E260	CE7114/CE2053/CE5138/CE5661/CE7115/CE7113/CE7112/CE7088	/20-oxo-leukotriene B4/12-oxo-20-hydroxy-leukotriene B4/15-oxo-lipoxin A4/20-hydroxy-leukotriene B5/15-epi-lipoxin B5/15-epi-lipoxin A5/PGH3
Alanine and Aspartate Metabolism	1	1	0.062011595664229896	E137	C00062/C00792	L-Arginine/D-Arginine; D-2-Amino-5-guanidinovaleric acid
Glutathione Metabolism	2	5	0.09478195109654651	E199,E171	C00669,C00127	gamma-L-Glutamyl-L-cysteine$Oxidized glutathione
Methionine and cysteine metabolism	2	5	0.09478195109654651	E125,E171	,C00127	$Oxidized glutathione
Porphyrin metabolism	2	6	0.13032518275775146	E17,E16	C01165/C01157/C00430/C03440/C01110,C01165/C01157/C00430/C03440/C01110	L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde/trans-4-Hydroxy-L-proline/5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid/cis-4-Hydroxy-D-proline/5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate$L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde/trans-4-Hydroxy-L-proline/5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid/cis-4-Hydroxy-D-proline/5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate
N-Glycan Degradation	2	6	0.13032518275775146	E173,E324	,	$
C5-Branched dibasic acid metabolism	1	2	0.14444164355936476	E11		
Bile acid biosynthesis	1	2	0.14444164355936476	E125		
Biopterin metabolism	1	2	0.14444164355936476	E148		
Ascorbate (Vitamin C) and Aldarate Metabolism	1	2	0.14444164355936476	E171	C00127	Oxidized glutathione
C21-steroid hormone biosynthesis and metabolism	2	7	0.16141500714225696	E245,E247	,	$
Glycerophospholipid metabolism	3	13	0.18443828249726912	E173,E128,E52	,,	$$
Vitamin B3 (nicotinate and nicotinamide) metabolism	1	3	0.19897487606083522	E137	C00062/C00792	L-Arginine/D-Arginine; D-2-Amino-5-guanidinovaleric acid
Hexose phosphorylation	1	4	0.24418116124695405	E173		
Carnitine shuttle	1	4	0.24418116124695405	E312		
Urea cycle/amino group metabolism	3	17	0.2748508528695068	E17,E137,E16	C01165/C01157/C00430/C03440/C01110,C00062/C00792,C01165/C01157/C00430/C03440/C01110	L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde/trans-4-Hydroxy-L-proline/5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid/cis-4-Hydroxy-D-proline/5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate$L-Arginine/D-Arginine; D-2-Amino-5-guanidinovaleric acid$L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde/trans-4-Hydroxy-L-proline/5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid/cis-4-Hydroxy-D-proline/5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate
Fructose and mannose metabolism	2	11	0.27585917149819345	E173,E183	,	$
Sialic acid metabolism	1	5	0.28342156121334344	E173		
Keratan sulfate degradation	1	5	0.28342156121334344	E324		
Androgen and estrogen biosynthesis and metabolism	1	5	0.28342156121334344	E245		
Pentose phosphate pathway	1	5	0.28342156121334344	E173		
Glycolysis and Gluconeogenesis	1	6	0.3175363414839089	E173		
Linoleate metabolism	1	6	0.3175363414839089	E171	C00127	Oxidized glutathione
Valine, leucine and isoleucine degradation	1	7	0.3393832451054533	E13		
Lysine metabolism	1	7	0.3393832451054533	E118		
Phosphatidylinositol phosphate metabolism	1	8	0.3548441307453155	E173		
Starch and Sucrose Metabolism	1	8	0.3548441307453155	E173		
Galactose metabolism	1	10	0.37501050331904884	E173		
Glycosphingolipid biosynthesis - globoseries	1	11	0.3798000168053105	E173		
Purine metabolism	1	11	0.3798000168053105	E235		
Tyrosine metabolism	2	20	0.3826569195865894	E148,E171	,C00127	$Oxidized glutathione
Tryptophan metabolism	1	12	0.3838332913200571	E148		
N-Glycan biosynthesis	1	14	0.3891269641206621	E173		
Glycosphingolipid metabolism	1	14	0.3891269641206621	E173		
Pyrimidine metabolism	1	14	0.3891269641206621	E210		
Vitamin D3 (cholecalciferol) metabolism	0	0	0.39349634484497104			
Hyaluronan Metabolism	0	4	0.39349634484497104			
Glycosphingolipid biosynthesis - ganglioseries	0	9	0.39349634484497104			
R Group Synthesis	0	1	0.39349634484497104			
Chondroitin sulfate degradation	0	0	0.39349634484497104			
Di-unsaturated fatty acid beta-oxidation	0	1	0.39349634484497104			
Vitamin B2 (riboflavin) metabolism	0	1	0.39349634484497104			
Squalene and cholesterol biosynthesis	0	1	0.39349634484497104			
Glycerolipid metabolism	0	0	0.39349634484497104			
3-oxo-10R-octadecatrienoate beta-oxidation	0	0	0.39349634484497104			
Alkaloid biosynthesis II	0	0	0.39349634484497104			
Vitamin B1 (thiamin) metabolism	0	1	0.39349634484497104			
