massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row1	165.0772	27.54	0.4177124597510208	1.595066064724359	C6H13NO2S,C6H13NO2S
row2	204.0243	242.45	0.7679340332206221	0.5606161378798844	
row3	165.0909	27.67	0.7758327201862735	-0.5441050963236701	
row4	127.0998	146.34	0.8937651542128786	0.28160867281953417	
row5	127.0998	156.84	0.35498568110985473	1.9775906953598956	
row6	204.0688	200.46	0.9659231955777847	-0.10625105744680062	C8H13NO3S
row7	127.123	203.48	0.1580493805708668	4.122744482612146	C7H14N2
row8	204.0866	356.04	0.7536977175111196	-0.5926462270348956	C8H13NO5,C9H17NS2
row9	204.0978	318.46	0.3872428664881208	-1.7482188946002848	C7H13N3O4
row10	204.0978	332.17	0.13563044008871078	-4.586569263345634	C7H13N3O4
row11	204.1058	307.69	0.27177662001873354	-2.771988305801212	C8H14N2O4
row12	204.1174	217.3	0.14646619213440984	4.305921683849146	
row13	204.1383	52.88	0.35498568110985473	1.9825371373318095	
row14	204.1383	54.33	0.35498568110985473	1.987495663216296	
row15	128.1264	203.22	0.18933483153128988	3.6394914242185044	C7H14N2
row16	204.1423	28.59	0.5827583285507807	1.0486850834505088	C9H18N2O3
row17	128.9326	1.18	0.4948120837697926	-1.3085275905289926	
row18	165.9302	207.69	0.590956171543941	1.030646065812741	
row19	165.9651	6.99	0.6281258275634833	0.9182396738246318	
row20	204.9673	207.29	0.16558015274585253	4.013021832959805	
row21	166.0263	319.38	0.6369428251218092	0.8941769287984053	C3H5ClO3,C2H5O4P
row22	74.0594	8.83	0.3588555731061769	1.8902427091137044	
row23	74.0594	29.12	0.9211296323142196	0.22066773670150605	
row24	166.0697	27.54	0.48792016629072543	1.3368838523482198	
row25	205.0641	147.12	0.35498568110985473	1.9985457934525586	
row26	205.0682	197.55	0.5299513456910387	1.2078623326004028	
row27	205.0682	215.86	0.9246922949022663	0.21152369482458555	
row28	205.0818	355.22	0.6543827633160095	-0.8546140134594448	C7H12N2O5,C7H12N2O5
row29	205.0818	372.75	0.650336912568081	-0.8643624842690649	C7H12N2O5,C7H12N2O5
row30	205.0899	356.04	0.5493958050439245	1.1466488747763712	C8H13NO5,C9H17NS2
row31	205.0971	166.16	0.9060163192635957	-0.2594225665926514	C11H12N2O2
row32	205.1012	318.46	0.40108720856100094	-1.6771702578911862	C7H13N3O4
row33	205.1012	326.76	0.5493958050439245	-1.1471385084894656	C7H13N3O4
row34	205.1012	331.78	0.23988353370401017	-3.0320019629489767	C7H13N3O4
row35	130.0651	166.56	0.8067180978584082	-0.47154104820403947	
row36	205.1182	261.58	0.9615379094871097	0.1264847782788079	C8H16N2O4
row37	130.0689	272.25	0.7020476352958899	-0.7116782446666079	C6H11NS,C6H11NS
row38	205.2296	212.02	0.3586841755319353	1.9194151563583328	
row39	205.2296	213.99	0.35498568110985473	1.9992466444842956	
row40	74.0731	216.65	0.6564009535982896	0.8488411007340181	
row41	74.0731	265.39	0.8835554312130635	0.30759574397715783	
row42	205.9437	207.16	0.21814225555381947	3.231513536033952	
row43	205.9437	213.6	0.35498568110985473	2.082033763262973	
row44	205.9437	216.39	0.11057211351960493	6.172064143114806	
row45	166.9506	209.0	0.5593326663273799	1.1176333417371755	
row46	131.0338	324.4	0.19845665638871093	3.511801006930139	C5H6O4
row47	205.9956	256.7	0.9786937141184393	0.06847997446632773	
row48	74.0736	161.57	0.3547306026635462	2.2190846949796534	
row49	74.0736	239.92	0.8684229816787722	-0.3427818911660992	
row50	131.0702	27.67	0.40667531575728577	-1.643540111198149	
row51	131.0702	272.39	0.04328615270374183	12.080468353226717	
row52	131.0815	254.71	0.25922645920344917	-2.8864596194629915	C3H7NO2
row53	167.0831	167.87	0.39705932235494	-1.7017876266529806	
row54	206.04	205.45	0.12041736606145557	5.058534525056707	
row55	206.04	222.16	0.5813658878254284	-1.0559857054919308	
row56	206.0716	197.55	0.5223162848984505	1.2292836895107986	
row57	206.0716	215.86	0.9701171324765763	0.0958509978474437	
row58	206.1004	166.03	0.9060163192635957	-0.258582197328544	C11H12N2O2
row59	131.1179	273.04	0.09652460808565075	-7.400067870395546	C6H14N2O
row60	206.1216	261.58	0.9523438831177884	0.14794457851960865	C8H16N2O4
row61	168.0655	47.5	0.9129215712379207	0.24275765478004194	C8H9NO3
row62	206.9695	1.44	0.3586841755319353	1.9177967095209372	
row63	168.1263	146.86	0.8407019030807474	0.4006055512804076	
row64	132.0655	251.56	0.11144992442179001	6.0906755270779005	
row65	132.0655	255.78	0.20298580073238093	3.470348920141697	C5H9NO3
row66	132.0655	301.78	0.10892681963025877	6.356525131626432	
row67	132.0768	259.45	0.7711936598025749	-0.552578813549061	C4H9N3O2
row68	132.0808	27.93	0.28239952085537695	2.689663559051763	
row69	132.1212	273.04	0.35498568110985473	-2.130407571756123	C6H14N2O
row70	207.0724	197.55	0.7542503916682197	0.5903621630140728	
row71	207.0724	216.78	0.9852494593036363	0.03821467678717334	
row72	207.0798	243.37	0.12041736606145557	-5.214515895062559	C7H14N2O3S,C15H10O
row73	207.0975	300.86	0.35498568110985473	-1.9534623713349133	C7H14N2O5
row74	169.0687	47.63	0.9128887209577067	0.24366069324401815	C8H9NO3
row75	169.0844	173.25	0.3643703274481829	1.8569784036174612	C4H12N4O
row76	133.0688	256.17	0.35498568110985473	1.9999995954115464	C5H9NO3
row77	169.0858	27.8	0.1849955455412127	-3.7074972419510193	
row78	133.0799	259.45	0.8097082584413479	0.4643146004762599	C4H9N3O2
row79	207.138	26.49	0.7287117727953152	0.647921620845221	C13H18O2
row80	207.9911	256.7	0.984523990216391	-0.04857477489044048	
row81	133.1012	25.18	0.777110273544029	-0.5394558297717008	
row82	208.0141	207.69	0.590956171543941	-1.0287023160558733	
row83	133.1078	174.7	0.6710697736538119	0.806480515507281	C4H12N4O
row84	133.1078	180.87	0.881886314345199	0.3114025135389972	
row85	133.1078	185.33	0.6876918595950319	0.7522271214166627	
row86	133.1078	189.4	0.6929103029612038	-0.737787702729683	
row87	208.0694	197.81	0.3582966720585998	1.927356210156398	
row88	208.0694	217.3	0.4564245123609566	1.4520544542055809	
row89	169.9857	220.85	0.24748204712061922	-2.9635949768308243	
row90	170.0599	166.03	0.9786937141184393	-0.0684124502409246	
row91	208.1009	301.26	0.35498568110985473	-2.1724400131375337	C7H14N2O5
row92	170.1231	146.73	0.9378814223563088	0.18322338091041113	
row93	134.0188	256.57	0.8190703046307847	-0.4431109926509131	
row94	134.0812	33.32	0.3423979515491324	2.285726134992828	C5H11NO3
row95	134.0812	41.72	0.3378049023382901	2.3185620421227804	C5H11NO3
