massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row1	70.0646	365.79	0.7543318731429928	-1.0210261250495514	
row2	165.0755	315.04	0.8821666887654865	0.41613854484950885	
row3	165.0772	27.54	0.6647800639639524	1.4723745096403063	C6H13NO2S,C6H13NO2S
row4	204.0243	242.45	0.9636119031554587	-0.13373729909800217	
row5	165.0909	27.67	0.9377421486623451	-0.21649925107679024	
row6	127.123	203.48	0.7428684652085641	1.0975397350111875	C7H14N2
row7	204.0866	356.04	0.4796110123842517	3.693600433533425	C8H13NO5,C9H17NS2
row8	204.0978	318.46	0.6093919912451263	1.805941511528503	C7H13N3O4
row9	204.0978	332.17	0.8412859632749798	0.6058772227518386	C7H13N3O4
row10	204.1058	307.69	0.8129566595821878	0.7090745548009357	C8H14N2O4
row11	128.1264	203.22	0.7651242117530092	0.9220160829529842	C7H14N2
row12	204.1423	28.59	0.8759303104651344	0.45621695273388607	C9H18N2O3
row13	128.9326	1.18	0.6832657605279185	-1.4221749387560314	
row14	165.9302	207.69	0.6667398943578692	-1.464173023571625	
row15	204.9673	207.29	0.9256266479088071	0.26876787577427713	
row16	166.0263	319.38	0.7513458395047017	1.0577773627527898	C3H5ClO3,C2H5O4P
row17	74.0594	29.12	0.8867475073795902	-0.404053223540863	
row18	166.0697	27.54	0.6093919912451263	1.8131616719152868	
row19	205.0559	294.13	0.7534808656952724	1.0257044801190354	
row20	205.0682	197.55	0.823590881966344	0.6674564052358285	
row21	205.0682	215.86	0.8421694936101146	-0.5966791012549402	
row22	205.0818	355.22	0.863140410991793	0.5105356708751456	C7H12N2O5,C7H12N2O5
row23	205.0818	372.75	0.708543670706506	1.2969341765461915	C7H12N2O5,C7H12N2O5
row24	205.0899	356.04	0.12463583647688904	8.125856211563809	C8H13NO5,C9H17NS2
row25	205.0971	166.16	0.8559811615046445	0.5406607280295225	C11H12N2O2
row26	205.1012	318.46	0.6093919912451263	2.1006850762077223	C7H13N3O4
row27	205.1012	326.76	0.7833406912109142	0.8283937944036088	C7H13N3O4
row28	205.1012	331.78	0.8094636938889148	0.7210904837198269	C7H13N3O4
row29	130.0651	166.56	0.7964303579640812	0.7775625442108893	
row30	205.1182	261.58	0.9622231198305362	0.13811015272001104	C8H16N2O4
row31	130.0689	272.25	0.6204959274684897	1.6904820326594978	C6H11NS,C6H11NS
row32	205.1317	410.4	0.6093919912451263	1.8939103298466096	
row33	205.1317	411.84	0.6093919912451263	1.996493411239767	
