SOURCE	TARGET	ENZYMES
C06258	C00016	1.14.99.3
C14090	C16586	1.1.1.1
C03838	C04376	6.3.5.3;6.3.4.13;2.1.2.2
C03838	C00037	6.3.4.13
C03838	C00445	2.1.2.2
C03838	C00234	2.1.2.2
C03838	C03090	6.3.4.13
C03838	C00101	2.1.2.2
C15576	C00167	2.4.1.225
CE2959	C00167	2.4.1.17
C00218	C02714	1.4.3.4
C00218	C03765	;1.4.3.6;1.4.3.4
CE5853	C00167	2.4.1.17
C05274	C00016	1.3.3.6;1.3.99.3;1.3.99.13
CE2303	C00167	2.4.1.17
C01419	C03740	1.4.3.2;3.5.1.14;3.4.11.4;3.4.11.1;3.4.11.2;2.3.2.4;2.3.2.2
andrstrnglc	C00167	2.4.1.17
G10619	C00167	;2.4.1.225;2.4.1.226;2.4.1.17;2.4.1.212;2.4.1.135
CE2956	C00167	2.4.1.17
C03771	C00792	1.4.3.3
C00187	C00016	
C03221	C00016	1.3.3.6;1.3.99.3;1.3.99.13
CE2960	C00167	2.4.1.17
C05503	C00167	2.4.1.17
C14818	C00016	1.14.99.3
C03035	C00016	;1.3.3.6;1.3.99.3
CE2431	C00016	1.3.3.6;1.3.99.13
C03033	C00167	2.4.1.17
C00581	C00062	2.1.4.1
C00037	C00062	2.1.4.1
C00037	C00430	2.3.1.37
C00037	C00016	;1.5.99.1
G00163	C00167	2.4.1.225
C01165	C01602	2.6.1.13
C01165	C03287	1.2.1.41
C01165	C00026	;1.5.1.12;2.6.1.13
C01165	C03912	1.5.1.12;
C01165	C00077	;2.6.1.13
C01165	C00025	;1.5.1.12;2.6.1.13
eicostetcoa	C00016	1.3.99.3
CE6162	C00167	2.4.1.17
C05649	C00268	1.5.1.34
C06613	C16586	1.1.1.1
odecoa	C00016	1.3.99.3
C00116	C16586	1.1.1.1
orn-D	C01110	1.4.3.3
CE2953	C00167	2.4.1.17
C15656	C00167	2.4.1.225
C04282	C03440	1.4.3.3
C00019	C09642	;2.1.1.6
gudac	C00062	2.1.4.1
C05638	C02714	1.4.3.4
C05638	C03765	1.4.3.4
C14770	C00016	1.3.3.6;1.14.14.1
C03684	C04244	1.1.1.220;1.1.1.153
C03684	C02953	1.1.1.153
C01602	C00062	3.5.3.1;2.1.4.1
C01602	C00437	3.5.1.16
C01078	C01157	1.14.11.2
C04398	C01157	1.14.11.2
C15522	C00268	1.14.16.4;1.14.16.2;1.14.16.1
C03374	C00167	2.4.1.17
C01352	C01157	;1.5.99.8;1.5.1.12;1.3.99.1
C01352	C00016	;2.7.7.2;1.14.14.1;1.1.99.1;1.1.99.2;1.5.99.8;1.5.1.29;1.3.99.7;1.5.99.2;1.5.99.3;1.3.99.2;1.3.99.3;1.3.99.1;1.3.3.6;3.6.1.18;1.14.99.3;1.5.99.1;1.3.99.10;1.3.99.12;1.3.99.13;3.6.1.9;1.5.1.12;1.5.1.20
C16551	C16586	1.2.1.5;1.1.1.1
C11135	C00167	2.4.1.17
CE2616	C00167	2.4.1.17
C00105	C00167	
C01201	C00062	3.2.2.19;2.4.2.31
C00134	C02714	2.3.1.57
C07086	C00010	6.2.1.30
C07086	C00014	3.5.1.4
C07086	C00601	1.2.1.39;1.2.1.5
C07086	C00582	6.2.1.30
C07086	C02505	3.5.1.4
C07086	C00020	6.2.1.30
C00792	C00027	1.4.3.3
C00792	C00014	1.4.3.3
C00792	C01342	1.4.3.3
C00473	C16586	1.1.1.1
ha_pre1	C00167	2.4.1.212
arachdcoa	C00016	1.3.99.3
G00156	C00167	2.4.1.135
CE5653	C00167	2.4.1.17
c226coa	C00016	1.3.99.3
C01035	C00062	4.1.1.19;2.1.4.1
C01035	C00014	3.5.1.4
C01035	C00334	4.1.1.19;3.5.1.63;2.1.4.1;4.1.1.15;2.6.1.19;1.2.1.19;1.2.1.3;3.5.1.4
C01035	C00077	2.1.4.1
C01035	C03078	3.5.1.4
C00719	C00016	1.1.99.1
C00041	C03740	3.5.1.14;2.3.2.2;2.3.2.4;3.4.11.1;3.4.11.2
arachcoa	C00016	1.3.99.3
C03196	C00016	1.1.99.2
C11132	C00167	2.4.1.17
C14768	C00016	1.14.14.1
C16587	C16586	1.2.1.5;1.1.1.1
C00576	C16586	1.1.1.1
C00576	C00016	1.1.99.1
C05577	C02714	1.4.3.4
C05577	C16586	1.2.1.5;1.1.1.1
C05577	C03765	1.2.1.5;1.4.3.4
C00148	C01157	;1.5.1.12;1.14.11.1;6.1.1.15;1.14.11.2;3.4.11.5;1.5.1.2;5.1.1.4;2.8.3.5;1.14.11.8;1.5.99.8;1.2.1.24;1.3.5.1;1.14.11.18;1.14.11.4;1.14.11.16;6.2.1.4;6.2.1.5;1.3.99.1
C00148	C00016	;1.5.99.8;1.5.1.12;1.3.99.1
C00450	C00016	1.5.99.3
C00067	CE2173	
C00067	C00016	;1.5.99.1;1.5.99.2
CE2705	C00268	1.5.1.34;;4.2.1.96
CE1926	C00167	2.4.1.17
CE0695	C00016	1.3.99.3
C05636	C02714	1.4.3.4
C05636	C03765	1.4.3.4
CE2881	C00167	;2.4.1.17
C00091	C00430	2.3.1.37
CE2952	C00167	;2.4.1.17
C00062	C00179	4.1.1.19;3.5.3.1
C00062	C01636	6.1.1.19
C00062	C00122	4.1.1.19;4.3.2.1;4.3.2.2;1.14.13.39;6.3.4.5;3.5.3.1;6.1.1.19;2.1.4.1;3.2.2.19;2.4.2.31;1.3.5.1;4.2.1.2;3.7.1.2;1.3.99.1
C00062	C05933	1.14.13.39
C00062	C03406	4.1.1.19;4.3.2.1;4.3.2.2;1.14.13.39;6.3.4.5;3.5.3.1;6.1.1.19;2.1.4.1;3.2.2.19;2.4.2.31;1.3.5.1;4.2.1.2;3.7.1.2;1.3.99.1
C00062	C00533	1.14.13.39
C00062	C00334	4.1.1.19;2.1.4.1
C00062	C00086	4.1.1.19;3.5.3.1
C00062	C00301	3.2.2.19
C00062	C02163	6.1.1.19
C00062	C00153	2.4.2.31
C00062	C00077	3.5.3.1;2.1.4.1
C00062	C00327	6.3.4.5;4.3.2.2;1.14.13.39;6.1.1.19
C00062	C00020	6.3.4.5;4.3.2.2;1.14.13.39;6.1.1.19
C09642	C09640	;2.1.1.6
C09642	C00021	;2.1.1.6
C09642	C03758	;2.1.1.6
C09642	C00084	
C09642	CE4890	;2.1.1.6
C02714	C07572	1.4.3.4
C02714	C05587	1.4.3.4
C02714	C00010	2.3.1.57
C02714	C05827	1.4.3.4
C02714	C00027	1.4.3.4
C02714	C00547	1.4.3.4
C02714	C16608	1.4.3.4
C02714	C05936	1.4.3.4
C02714	C00024	2.3.1.57
C02714	C00788	1.4.3.4
C02714	C00483	1.4.3.4
C02714	C16609	1.4.3.4
C02714	C03758	1.4.3.4
C02714	C00014	1.4.3.4
C02714	C05583	1.4.3.4
C02714	C00543	1.4.3.4
C02714	C00071	1.4.3.4
C02714	C01342	1.4.3.4
C02714	C05127	1.4.3.4
C02714	C00601	1.4.3.4
C02714	C05639	1.4.3.4
C02714	C05332	1.4.3.4
C02714	C00546	1.4.3.4
C02714	C04043	1.4.3.4
C02714	C00637	1.4.3.4
C02714	C00375	1.4.3.4
C02714	C05588	1.4.3.4
C02714	C00398	1.4.3.4
C02714	C01888	1.4.3.4
C02714	C05634	1.4.3.4
C02714	C05637	1.4.3.4
C02714	C00780	1.4.3.4
C02714	C00706	1.4.3.4
C02714	C03765	1.4.3.4
C02714	C16612	1.4.3.4
C02714	C05589	1.4.3.4
C02714	C05581	1.4.3.4
C00051	C03740	3.4.11.4;2.3.2.4;2.3.2.2
C00051	CE4888	2.5.1.18
C07572	C03765	1.4.3.4
C02939	C00016	1.3.99.10;1.3.99.3
C00777	C00167	;2.4.1.17
C00226	C16586	1.2.1.5;1.1.1.1
C05587	C03765	1.4.3.4
C00515	C01110	1.4.3.3
CN0014	C00167	2.4.1.17
C03740	C01879	2.3.2.4;3.4.11.1;3.4.11.2
C03740	C00151	1.4.3.2;3.5.1.14;3.4.11.4;3.4.11.1;3.4.11.2;2.3.2.4;2.3.2.2
C00010	C00430	2.3.1.37
C00010	C00016	;1.3.3.6;1.3.99.3
C05444	C16586	1.1.1.1
C00167	C14869	2.4.1.17
C00167	CE1925	;2.4.1.17
C00167	CE2872	;2.4.1.17
C00167	CE2047	2.4.1.17
C00167	CE2304	2.4.1.17
C00167	C00015	;2.4.1.225;2.4.1.226;2.4.1.17;2.4.1.212;2.4.1.135
C00167	CN0010	2.4.1.17
C00167	CE2877	2.4.1.17
C00167	CE2888	;2.4.1.17
C00167	CE5756	2.4.1.17
C00167	CE5854	2.4.1.17
C00167	G00159	2.4.1.226
C00167	CE2884	;2.4.1.17
C00167	G00160	2.4.1.226
C00167	retnglc	2.4.1.17
C00167	CE2961	2.4.1.17
C00167	ahandrostanglc	2.4.1.17
C00167	C05302	2.4.1.17
C00167	5adtststeroneglc	2.4.1.17
C00167	G00158	2.4.1.226
C00167	C15578	2.4.1.226
C00167	C03917	2.4.1.17
C00167	G10612	2.4.1.135;2.4.1.226;2.4.1.225
C00167	C11134	2.4.1.17
C00167	CE2958	2.4.1.17
C00167	tststeroneglc	2.4.1.17
C00167	CE2879	2.4.1.17
C00167	C07490	;2.4.1.17
C00167	C05787	2.4.1.17
C00167	C05141	2.4.1.17
C00167	C00535	;2.4.1.17
C00167	C00951	2.4.1.17
C00167	CN0009	2.4.1.17
C00167	CN0002	2.4.1.226
C00167	CE2878	2.4.1.17
C00167	C00029	;1.1.1.22
C00167	C00523	;2.4.1.17
C00167	CE2962	2.4.1.17
C00167	C11136	2.4.1.17
C00167	CE2754	;2.4.1.17
C00167	CE6273	2.4.1.17
C00167	CE2882	;2.4.1.17
C00167	C04825	2.4.1.135
C00167	C00486	2.4.1.17
C00167	C00043	;2.4.1.212
C00167	CE7103	2.4.1.17
C00167	C00468	2.4.1.17
C00167	CE2883	;2.4.1.17
C00167	C00028	;2.4.1.17
C00167	C15577	2.4.1.226
C00167	CE6272	2.4.1.17
C00167	C02465	;2.4.1.17
C00167	CE2880	2.4.1.17
C00167	C04373	;2.4.1.17
C00167	CE2049	2.4.1.17
C00167	C05504	;2.4.1.225;2.4.1.226;2.4.1.17;1.1.1.22;2.4.1.212;4.1.1.35;2.4.1.135
C00167	CE2885	;2.4.1.17
C00167	C00190	4.1.1.35
C00167	CE2615	2.4.1.17
C00167	C05385	
C00167	CE2306	2.4.1.17
C00167	estradiolglc	2.4.1.17
C00167	CE2886	;2.4.1.17
C00167	C01829	;2.4.1.17
C00167	estroneglc	2.4.1.17
C00167	CN0013	2.4.1.17
C00167	CE2866	2.4.1.17
C00167	G00162	2.4.1.135;2.4.1.225
C00167	C11133	2.4.1.17
C00167	CN0015	2.4.1.17
C00167	C04903	2.4.1.135
C00167	C11061	2.4.1.17
C00167	CN0011	2.4.1.17
C00167	C05299	2.4.1.17
C00167	CN0003	2.4.1.226
C00167	G00180	2.4.1.226
C00167	C11131	2.4.1.17
C00167	CE2876	2.4.1.17
C00167	13-cis-retn	2.4.1.17
C00167	C00518	2.4.1.212
C00167	CE2305	2.4.1.17
C00167	CE2887	;2.4.1.17
