pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Aspartate and asparagine metabolism	11	18	0.001596504495420553	E68,E29,E232,E109,E12,E57,E69,E130,E58,E14,E48	C01239,C00437,C00016,C00062/C00792,C02714,C03740,C01239,CE5588,C03740,C01165/C01157/C00430/C03440/C01110,C01035	N-Acetyl-beta-D-glucosaminylamine$N2-Acetyl-L-ornithine$Flavin adenine dinucleotide oxidized$L-Arginine/D-Arginine; D-2-Amino-5-guanidinovaleric acid$N-Acetylputrescine$5-L-Glutamyl-L-alanine$N-Acetyl-beta-D-glucosaminylamine$deoxyhypusine$5-L-Glutamyl-L-alanine$L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde/trans-4-Hydroxy-L-proline/5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid/cis-4-Hydroxy-D-proline/5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate$4-Guanidinobutanoate
Vitamin B9 (folate) metabolism	2	2	0.030249558860599948	E232,E143	C00016,C03838	Flavin adenine dinucleotide oxidized$N1-(5-Phospho-D-ribosyl)glycinamide
Tyrosine metabolism	7	15	0.04150911688093437	E103,E49,E64,E227,E21,E114,E22	C16586/CE2173,C09642,CE4888/C05578,C00167,C02505,C00268/C02953/C04244,C07086/C03765	2-Phenyl-1,3-propanediol monocarbamate/$(-)-Salsolinol; 6,7-Isoquinolinediol, 1,2,3,4-tetrahydro-1-methyl-, (S)-; Salsolinol$dopaminochrome/5,6-Dihydroxyindole; DHI$UDP-D-glucuronate$2-Phenylacetamide$6,7-Dihydrobiopterin/7,8-Dihydrobiopterin/6-Lactoyl-5,6,7,8-tetrahydropterin$Phenylacetic acid; Benzylformic acid; Phenylacetate; Benzeneacetiic acid/4-Hydroxyphenylacetaldehyde
Arginine and Proline Metabolism	4	7	0.04243340895723049	E109,E12,E232,E14	C00062/C00792,C02714,C00016,C01165/C01157/C00430/C03440/C01110	L-Arginine/D-Arginine; D-2-Amino-5-guanidinovaleric acid$N-Acetylputrescine$Flavin adenine dinucleotide oxidized$L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde/trans-4-Hydroxy-L-proline/5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid/cis-4-Hydroxy-D-proline/5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate
Galactose metabolism	4	8	0.06310394084530711	E229,E3,E138,E196	,,,	$$$
Porphyrin metabolism	3	6	0.10209226115452483	E232,E227,E14	C00016,C00167,C01165/C01157/C00430/C03440/C01110	Flavin adenine dinucleotide oxidized$UDP-D-glucuronate$L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde/trans-4-Hydroxy-L-proline/5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid/cis-4-Hydroxy-D-proline/5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate
Glycine, serine, alanine and threonine metabolism	5	12	0.11192336778421981	E109,E232,E32,E14,E85	C00062/C00792,C00016,,C01165/C01157/C00430/C03440/C01110,	L-Arginine/D-Arginine; D-2-Amino-5-guanidinovaleric acid$Flavin adenine dinucleotide oxidized$$L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde/trans-4-Hydroxy-L-proline/5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid/cis-4-Hydroxy-D-proline/5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate$
Urea cycle/amino group metabolism	6	15	0.11209142088900093	E29,E109,E232,E24,E14,E85	C00437,C00062/C00792,C00016,,C01165/C01157/C00430/C03440/C01110,	N2-Acetyl-L-ornithine$L-Arginine/D-Arginine; D-2-Amino-5-guanidinovaleric acid$Flavin adenine dinucleotide oxidized$$L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde/trans-4-Hydroxy-L-proline/5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid/cis-4-Hydroxy-D-proline/5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate$
R Group Synthesis	1	1	0.13301403243424922	E232	C00016	Flavin adenine dinucleotide oxidized
Di-unsaturated fatty acid beta-oxidation	1	1	0.13301403243424922	E232	C00016	Flavin adenine dinucleotide oxidized
Vitamin B2 (riboflavin) metabolism	1	1	0.13301403243424922	E232	C00016	Flavin adenine dinucleotide oxidized
Squalene and cholesterol biosynthesis	1	1	0.13301403243424922	E232	C00016	Flavin adenine dinucleotide oxidized
Propanoate metabolism	1	1	0.13301403243424922	E232	C00016	Flavin adenine dinucleotide oxidized
Biopterin metabolism	1	1	0.13301403243424922	E114	C00268/C02953/C04244	6,7-Dihydrobiopterin/7,8-Dihydrobiopterin/6-Lactoyl-5,6,7,8-tetrahydropterin
Fatty acid oxidation	1	1	0.13301403243424922	E232	C00016	Flavin adenine dinucleotide oxidized
Saturated fatty acids beta-oxidation	1	1	0.13301403243424922	E232	C00016	Flavin adenine dinucleotide oxidized
Mono-unsaturated fatty acid beta-oxidation	1	1	0.13301403243424922	E232	C00016	Flavin adenine dinucleotide oxidized
Alanine and Aspartate Metabolism	1	1	0.13301403243424922	E109	C00062/C00792	L-Arginine/D-Arginine; D-2-Amino-5-guanidinovaleric acid
Dimethyl-branched-chain fatty acid mitochondrial beta-oxidation	1	1	0.13301403243424922	E232	C00016	Flavin adenine dinucleotide oxidized
Vitamin B6 (pyridoxine) metabolism	1	1	0.13301403243424922	E13		
Fatty acid activation	1	1	0.13301403243424922	E232	C00016	Flavin adenine dinucleotide oxidized
Nucleotide Sugar Metabolism	1	1	0.13301403243424922	E227	C00167	UDP-D-glucuronate
Hexose phosphorylation	2	4	0.17091000756238972	E3,E138	,	$
Drug metabolism - cytochrome P450	2	4	0.17091000756238972	E103,E115	C16586/CE2173,	2-Phenyl-1,3-propanediol monocarbamate/$
Butanoate metabolism	2	4	0.17091000756238972	E232,E32	C00016,	Flavin adenine dinucleotide oxidized$
Glutathione Metabolism	2	4	0.17091000756238972	E57,E58	C03740,C03740	5-L-Glutamyl-L-alanine$5-L-Glutamyl-L-alanine
N-Glycan Degradation	2	4	0.17091000756238972	E138,E196	,	$
