input_row	EID	str_row_ion	compounds	compound_names	input_row	m/z	retention_time	p_value	statistic	CompoundID_from_user
row16	E2	row16_M+Na[1+]	C01507;C00794;C01697	L-Iditol$D-Sorbitol$Galactitol	row16	205.0682	197.55	0.8650082639833795	-0.25472469776294776	
row17	E3	row17_M+Na[1+]	C01507;C00794;C01697	L-Iditol$D-Sorbitol$Galactitol	row17	205.0682	215.86	0.018805942242932583	-6.1178366571402645	
row21	E7	row21_M+H[1+];row44_M(C13)+H[1+]	C00078;C00525	L-Tryptophan$D-Tryptophan	row21	205.0971	166.16	0.869211979132719	-0.24638526613685277	C11H12N2O2
row31	E9	row31_M+H[1+]	C01732;C00490	Mesaconate; 2-Methylfumarate; Mesaconic acid; Methylfumaric acid$Itaconate; Itaconic acid; Methylenesuccinic acid	row31	131.0338	324.4	0.20239073662085494	1.9668719749399242	C5H6O4
row35	E10	row35_M+H[1+]	C00233;C06102;C03465	4-Methyl-2-oxopentanoate$Adipate semialdehyde; Hexan-1-one-6-carboxylate; 6-Oxohexanoate$3-Methyl-2-oxopentanoate; 2-Oxo-3-methylvalerate	row35	131.0702	27.67	0.9597020939621203	0.07974035703640266	
row36	E11	row36_M+H[1+]	C00233;C06102;C03465	4-Methyl-2-oxopentanoate$Adipate semialdehyde; Hexan-1-one-6-carboxylate; 6-Oxohexanoate$3-Methyl-2-oxopentanoate; 2-Oxo-3-methylvalerate	row36	131.0702	272.39	0.2288514097688742	1.8117982949170923	
row44	E7	row21_M+H[1+];row44_M(C13)+H[1+]	C00078;C00525	L-Tryptophan$D-Tryptophan	row44	206.1004	166.03	0.8134415699526979	-0.36000814502221057	C11H12N2O2
row45	E12	row45_M+H[1+]	C02714	N-Acetylputrescine	row45	131.1179	273.04	0.004178946427564437	-10.946868765243199	C6H14N2O
row47	E13	row47_M+H[1+]	C00250	Pyridoxal	row47	168.0655	47.5	0.03309470094419808	-4.347904313761357	C8H9NO3
row50	E14	row50_M+H[1+];row51_M+H[1+]	C01165;C01157;C00430;C03440;C01110	L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde$trans-4-Hydroxy-L-proline$5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid$cis-4-Hydroxy-D-proline$5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate	row50	132.0655	251.56	0.06855298284259034	3.2496372557226576	
row51	E14	row50_M+H[1+];row51_M+H[1+]	C01165;C01157;C00430;C03440;C01110	L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde$trans-4-Hydroxy-L-proline$5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid$cis-4-Hydroxy-D-proline$5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate	row51	132.0655	255.78	0.032323876427528764	4.434329677513751	C5H9NO3
row52	E15	row52_M+H[1+]	C01165;C01157;C00430;C03440;C01110	L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde$trans-4-Hydroxy-L-proline$5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid$cis-4-Hydroxy-D-proline$5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate	row52	132.0655	301.78	0.5446200603572002	0.8739460737681672	
row53	E16	row53_M+H[1+];row59_M(C13)+H[1+]	C00300	Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine	row53	132.0768	259.45	0.6306985092256445	-0.6852861024533039	C4H9N3O2
row59	E16	row53_M+H[1+];row59_M(C13)+H[1+]	C00300	Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine	row59	133.0799	259.45	0.8927657191303163	0.20917148247150524	C4H9N3O2
row83	E21	row83_M+H[1+]	C02505	2-Phenylacetamide	row83	136.0757	168.92	0.032914488764105534	-4.3662095495233055	C8H9NO
row93	E22	row93_M+H[1+]	C07086;C03765	Phenylacetic acid; Benzylformic acid; Phenylacetate; Benzeneacetiic acid$4-Hydroxyphenylacetaldehyde	row93	137.0594	28.07	0.02864687658522415	-4.634100870432308	
row97	E24	row228_M+H[1+];row236_M(C13)+H[1+];row97_M+Na[1+]	C00242	Guanine	row97	174.0386	145.81	0.006801500257138726	-9.374226366375895	C5H5N5O,C5H13NS2
row100	E26	row100_M+H[1+]	C00108	Anthranilate	row100	138.0549	355.65	0.2235026486172944	1.8637882254212856	C5H4O2
row108	E27	row108_M+H[1+]	C02693	Indole-3-acetamide	row108	175.0866	32.92	0.39456272169771883	-1.21656966578336	C10H10N2O
row111	E29	row111_M+H[1+];row121_M(C13)+H[1+]	C00437	N2-Acetyl-L-ornithine	row111	175.1077	246.43	0.02564684844802778	-4.980227511896883	C7H14N2O3
row119	E31	row119_M+Na[1+];row311_M(C13)+H[1+]	C00719;C00431;C00183	Glycine betaine$5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine	row119	140.0681	216.91	0.28067941081322567	1.5733607128426303	
row120	E32	row120_M+Na[1+]	C00719;C00431;C00183	Glycine betaine$5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine	row120	140.0681	227.81	0.04953335332548121	3.6783140983563154	
row121	E29	row111_M+H[1+];row121_M(C13)+H[1+]	C00437	N2-Acetyl-L-ornithine	row121	176.111	246.3	0.21939096992498008	-1.8846722843644923	C7H14N2O3
row132	E38	row132_M+H[1+]	C00292	Aniline; Phenylamine; Benzenamine; Arylamine	row132	94.0655	168.92	0.21879065121864832	1.8874019015173347	C6H7N
row158	E43	row158_M+Na[1+]	C16595;C16587	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one$3-Carbamoyl-2-phenylpropionaldehyde	row158	216.0631	299.55	0.3287354645005166	-1.3989018359977299	C5H14NO6P
row158	E44	row158_M+H[1+];row163_M(C13)+H[1+];row453_M+Na[1+]	C01233	sn-Glycero-3-phosphoethanolamine	row158	216.0631	299.55	0.3287354645005166	-1.3989018359977299	C5H14NO6P
row163	E44	row158_M+H[1+];row163_M(C13)+H[1+];row453_M+Na[1+]	C01233	sn-Glycero-3-phosphoethanolamine	row163	217.0664	299.55	0.23465808654984516	-1.7724219934738144	C5H14NO6P
row169	E49	row169_M+H[1+];row184_M(C13)+H[1+]	C09642	(-)-Salsolinol; 6,7-Isoquinolinediol, 1,2,3,4-tetrahydro-1-methyl-, (S)-; Salsolinol	row169	180.1018	26.62	0.03319872039502242	-4.338524417149933	
row170	E48	row170_M+H[1+]	C01035	4-Guanidinobutanoate	row170	146.0923	261.06	0.009393064544546937	-8.548731574106416	C5H11N3O2
row171	E50	row171_M+H[1+];row191_M(C13)+H[1+]	C05543	3-Dehydroxycarnitine	row171	146.1175	27.67	0.025775456618205135	-4.962841199401594	C7H15NO2
row172	E51	row172_M+H[1+]	C05543	3-Dehydroxycarnitine	row172	146.1175	330.99	0.061730797945619545	3.3860187102587287	C7H15NO2
row175	E54	row175_M+H[1+];row194_M(C13)+H[1+]	CE5586;C00315	dehydrospermidine$Spermidine	row175	146.1651	28.85	0.7776462021175018	-0.41846696773318925	C7H19N3
row184	E49	row169_M+H[1+];row184_M(C13)+H[1+]	C09642	(-)-Salsolinol; 6,7-Isoquinolinediol, 1,2,3,4-tetrahydro-1-methyl-, (S)-; Salsolinol	row184	181.105	26.62	0.056056221961509674	-3.5362950327207807	
row186	E57	row186_M+H[1+]	C03740	5-L-Glutamyl-L-alanine	row186	219.0975	344.12	0.029072736651846485	-4.612248728839418	C8H14N2O5
row187	E58	row187_M+H[1+]	C03740	5-L-Glutamyl-L-alanine	row187	219.0975	361.56	0.017848484414208703	-6.595591362683099	C8H14N2O5
row188	E59	row188_M+H[1+]	C00978	N-Acetylserotonin; N-Acetyl-5-hydroxytryptamine	row188	219.1127	27.8	0.05010108229771298	-3.6563827417436214	C12H14N2O2
