EID	massfeature_rows	str_row_ion	compounds	compound_names
E1	row319;row462	row319_M+Na[1+];row462_M+HCOONa[1+]	C01019	6-Deoxy-L-galactose; L-Fucose
E2	row1	row1_M+H[1+]	C01019	6-Deoxy-L-galactose; L-Fucose
E4	row22	row22_M+Na[1+]	C01507;C00794;C01697	L-Iditol$D-Sorbitol$Galactitol
E5	row23	row23_M+Na[1+]	C01507;C00794;C01697	L-Iditol$D-Sorbitol$Galactitol
E9	row27;row49	row27_M+H[1+];row49_M(C13)+H[1+]	C00078;C00525	L-Tryptophan$D-Tryptophan
E11	row37	row37_M+H[1+]	C01732;C00490	Mesaconate; 2-Methylfumarate; Mesaconic acid; Methylfumaric acid$Itaconate; Itaconic acid; Methylenesuccinic acid
E12	row41	row41_M+H[1+]	C00233;C06102;C03465	4-Methyl-2-oxopentanoate$Adipate semialdehyde; Hexan-1-one-6-carboxylate; 6-Oxohexanoate$3-Methyl-2-oxopentanoate; 2-Oxo-3-methylvalerate
E13	row50;row61	row50_M+H[1+];row61_M(C13)+H[1+]	C02714	N-Acetylputrescine
E14	row51	row51_M+H[1+]	C00179	Agmatine; (4-Aminobutyl) guanidine
E15	row53	row53_M+H[1+]	C00250	Pyridoxal
E16	row56;row57;row65	row56_M+H[1+];row57_M+H[1+];row65_M(C13)+H[1+]	C01165;C01157;C00430;C03440;C01110	L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde$trans-4-Hydroxy-L-proline$5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid$cis-4-Hydroxy-D-proline$5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate
E17	row58	row58_M+H[1+]	C01165;C01157;C00430;C03440;C01110	L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde$trans-4-Hydroxy-L-proline$5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid$cis-4-Hydroxy-D-proline$5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate
E18	row59;row67	row59_M+H[1+];row67_M(C13)+H[1+]	C00300	Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine
E24	row94	row94_M+H[1+]	C00093	Glycerol 3-phosphate
E25	row467;row95	row467_M+Na[1+];row95_M+H[1+]	C00093	Glycerol 3-phosphate
E27	row97	row97_M+H[1+]	C02505	2-Phenylacetamide
E28	row108	row108_M+H[1+]	C07086;C03765	Phenylacetic acid; Benzylformic acid; Phenylacetate; Benzeneacetiic acid$4-Hydroxyphenylacetaldehyde
E30	row113;row277;row286	row113_M+Na[1+];row277_M+H[1+];row286_M(C13)+H[1+]	C00242	Guanine
E31	row278;row287	row278_M+H[1+];row287_M(C13)+H[1+]	C00242	Guanine
E32	row116;row126	row116_M+H[1+];row126_M(C13)+H[1+]	C00108	Anthranilate
E33	row127	row127_M+H[1+]	C02693	Indole-3-acetamide
E35	row130;row140	row130_M+H[1+];row140_M(C13)+H[1+]	C00437	N2-Acetyl-L-ornithine
E37	row138;row373	row138_M+Na[1+];row373_M(C13)+H[1+]	C00719;C00431;C00183	Glycine betaine$5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine
E38	row139	row139_M+Na[1+]	C00719;C00431;C00183	Glycine betaine$5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine
E44	row149	row149_M+H[1+]	C00227	Acetyl phosphate
E45	row150	row150_M+H[1+]	C00227	Acetyl phosphate
E46	row151	row151_M+H[1+]	C00292	Aniline; Phenylamine; Benzenamine; Arylamine
E49	row1347	row1347_M+Na[1+]	C06196	2'-Deoxyinosine 5'-phosphate; dIMP
E53	row190	row190_M+Na[1+]	C16595;C16587	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one$3-Carbamoyl-2-phenylpropionaldehyde
E54	row190;row202;row531	row190_M+H[1+];row202_M(C13)+H[1+];row531_M+Na[1+]	C01233	sn-Glycero-3-phosphoethanolamine
E59	row212	row212_M+H[1+]	C01035	4-Guanidinobutanoate
E60	row210;row226	row210_M+H[1+];row226_M(C13)+H[1+]	C09642	(-)-Salsolinol; 6,7-Isoquinolinediol, 1,2,3,4-tetrahydro-1-methyl-, (S)-; Salsolinol
E61	row213;row235	row213_M+H[1+];row235_M(C13)+H[1+]	C05543	3-Dehydroxycarnitine
E62	row214	row214_M+H[1+]	C05543	3-Dehydroxycarnitine
E65	row217;row238	row217_M+H[1+];row238_M(C13)+H[1+]	CE5586;C00315	dehydrospermidine$Spermidine
