massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row1	127.0214	220.59	0.1050290985625645	3.6728883500408487	
row2	127.0253	220.32	0.174220713060343	2.8027034239054682	C2H7NO3S
row3	70.0646	364.05	0.7808863303211669	-0.5007844927449228	
row4	70.0646	365.79	0.9660035831483701	-0.07499565601734319	
row5	127.0584	356.17	0.5585852913307255	-1.0000525162164113	C6H7NO2
row6	165.0755	315.04	0.03186181917555523	-6.147789732678613	
row7	165.0772	27.54	0.48512509153095407	-1.2016463757428917	C6H13NO2S,C6H13NO2S
row8	204.0243	242.45	0.7155812404824224	-0.6294222780164279	
row9	72.0562	259.45	0.08748602184995224	-3.9728866181280957	
row10	165.0909	27.67	0.4644948057426618	1.266716162143169	
row11	204.0632	217.7	0.668479089715134	0.7420672289413894	
row12	204.0632	219.54	0.8014765989400404	0.45410763344320515	
row13	204.0688	200.46	0.6123576581580265	-0.8799221272480691	C8H13NO3S
row14	127.123	203.48	0.40573644077619664	-1.4807869789445325	C7H14N2
row15	204.0866	356.04	0.5936829033005104	-0.9212773615209474	C8H13NO5,C9H17NS2
row16	128.0178	220.46	0.14176963354642172	3.1299027027419473	
row17	128.0262	220.32	0.29030594345278227	2.093705048358704	
row18	128.0455	175.22	0.40825527082127117	-1.4689485046941686	
row19	204.0978	318.46	0.05028078934143274	-5.002450268681835	C7H13N3O4
row20	204.0978	332.17	0.011173243120839399	-9.763281770223054	C7H13N3O4
row21	204.1058	307.69	0.007143275230663779	-11.869080229360026	C8H14N2O4
row22	204.1174	217.3	0.34014501750566023	1.7479333514967248	
row23	128.1264	203.22	0.45472281755924854	-1.3018751248159812	C7H14N2
row24	204.1423	28.59	0.06722537783198688	-4.45109186376307	C9H18N2O3
row25	128.9326	1.18	0.3336247178412023	1.7758719239117249	
row26	165.9302	207.69	0.47900505817885053	-1.2286957444743716	
row27	165.9651	6.99	0.34742685936286166	1.7131264127876398	
row28	204.9673	207.29	0.6730977499985892	0.7310126857315865	
row29	166.0263	319.38	0.014863682223422488	-8.60269857074971	C3H5ClO3,C2H5O4P
row30	166.0493	33.58	0.9299477119488403	-0.15698088035919341	
row31	74.0594	29.12	0.7513682344805614	0.5569476478184725	
row32	166.0697	27.54	0.4293608747614871	-1.3949892347569621	
row33	205.0641	147.12	0.6466829463482805	-0.7941863916557079	
row34	205.0682	197.55	0.581446007823865	0.95100610533015	
row35	205.0682	215.86	0.7591001377427544	0.5446663384234113	
row36	205.0723	200.46	0.7615899340742456	-0.5385346467282919	C8H13NO3S
row37	130.0631	272.12	0.4334461443698429	1.3809824008252631	
row38	205.0818	355.22	0.042745606514285536	-5.358722000040613	C7H12N2O5,C7H12N2O5
row39	205.0818	372.75	0.025113658596875456	-6.862309013411805	C7H12N2O5,C7H12N2O5
row40	205.0899	356.04	0.9051893947572826	-0.2281100597105617	C8H13NO5,C9H17NS2
row41	205.0971	166.16	0.46209429202071217	-1.2729160662065901	C11H12N2O2
row42	205.1012	318.46	0.07591291083083092	-4.2213437798183175	C7H13N3O4
row43	205.1012	331.78	0.14420817632708444	-3.0973931834344435	C7H13N3O4
row44	205.108	307.69	0.9390876607041415	0.135398045205857	
row45	130.0651	166.56	0.3536516483363819	1.6845627893000013	
row46	205.1182	261.58	0.006215475363336218	-12.849885201586543	C8H16N2O4
row47	130.0689	272.25	0.30265249489063034	-1.924328814103826	C6H11NS,C6H11NS
row48	166.9506	209.0	0.15186678982582524	-3.0091411664135714	
row49	131.0338	324.4	0.15753796026804115	2.9535472952018917	C5H6O4
row50	205.9956	256.7	0.38500875397114853	1.5513895760666987	
row51	74.0736	239.92	0.5390036328280043	1.0501990572925657	
row52	131.0702	27.67	0.03736112389211613	5.689258096805062	
row53	131.0702	272.39	0.25362388466790275	-2.27416846032622	
row54	131.0727	271.99	0.3133964074063015	-1.8717662499046077	C6H11NS,C6H11NS
row55	131.0815	254.71	0.29908968769286515	1.9698480602903041	C3H7NO2
row56	167.0831	167.87	0.29908968769286515	-2.0330524489766404	
row57	206.04	205.45	0.17177574156951042	-2.821529096177804	
row58	206.04	222.16	0.11418859708105554	-3.5080894614789067	
row59	206.0716	197.55	0.6598598108671608	0.7591044442218987	
row60	206.0716	215.86	0.8414824040835525	0.3633877251025941	
row61	206.085	349.15	0.11662232457835577	-3.4792095581490345	C7H12N2O5,C7H12N2O5
row62	206.085	355.22	0.033794582679744695	-5.98056418183777	C7H12N2O5,C7H12N2O5
row63	206.085	372.75	0.02247689421995039	-7.21489413239592	C7H12N2O5,C7H12N2O5
row64	206.0914	356.17	0.4388823731724647	1.3614557349855076	
row65	206.0946	166.29	0.410078555875135	-1.4604757208732864	
row66	131.0855	26.23	0.8297087513734077	-0.3869193416752194	
row67	206.1004	166.03	0.6626760516955297	-0.7536941413574408	C11H12N2O2
row68	131.1179	273.04	0.027896810203661526	-6.58744087055012	C6H14N2O
row69	131.1291	364.71	0.5481682351682257	-1.0274817554367077	
