SOURCE	TARGET	ENZYMES
C00027	C02714	1.4.3.4
C00027	C00788	;1.4.3.6;1.4.3.4
C00027	C05589	1.4.3.4
C00027	C00547	;1.4.3.4
C00027	C05634	1.2.3.1;1.4.3.4
C02714	C00546	1.4.3.4
C02714	C05639	1.4.3.4
C02714	C00706	1.4.3.4
C02714	C05637	1.4.3.4
C02714	C00788	1.4.3.4
C02714	C00024	2.3.1.57
C02714	C00637	1.4.3.4
C02714	C05636	1.4.3.4
C02714	C05589	1.4.3.4
C02714	C05332	1.4.3.4
C02714	C01342	1.4.3.4
C02714	C00483	1.4.3.4
C02714	C00134	2.3.1.57
C02714	C00547	1.4.3.4
C02714	C05127	1.4.3.4
C02714	C00010	2.3.1.57
C02714	C03765	1.4.3.4
C02714	C05638	1.4.3.4
C02714	C05577	1.4.3.4
C02714	C03758	1.4.3.4
C02714	C05936	1.4.3.4
C02714	C07572	1.4.3.4
C02714	C16612	1.4.3.4
C02714	C16609	1.4.3.4
C02714	C05827	1.4.3.4
C02714	C00375	1.4.3.4
C02714	C05634	1.4.3.4
C02714	C04043	1.4.3.4
C02714	C16608	1.4.3.4
C02714	C00071	1.4.3.4
C02714	C00601	1.4.3.4
C02714	C05588	1.4.3.4
C02714	C05581	1.4.3.4
C02714	C00014	1.4.3.4
C02714	C00398	1.4.3.4
C02714	C05583	1.4.3.4
C02714	C00543	1.4.3.4
C02714	C01888	1.4.3.4
C02714	C05587	1.4.3.4
C02714	C00780	1.4.3.4
C02714	C00218	1.4.3.4
C00073	C02712	2.3.1.1;3.5.1.14
C00073	C00021	;2.5.1.6;2.8.1.8;2.1.1.13;2.1.1.10
C00073	C00440	;2.1.1.13
C03702	C00021	2.1.1.43
C00212	C00021	3.3.1.1
C00546	C00788	;1.4.3.6;1.4.3.4
C00546	C05589	1.4.3.4
C00546	C00547	;1.4.3.4
C00546	C05634	1.4.3.4
C04748	C00021	2.1.1.100
C05299	C00021	2.1.1.6
C04692	C04441	2.1.1.98
C04692	C00021	2.1.1.98
CE5627	C00021	;2.1.1.6
C05639	C00788	1.4.3.4
C05639	C05589	1.4.3.4
C05639	C00547	1.4.3.4
C05639	C05634	1.4.3.4
C03306	C00021	2.1.1.77
pe_hs	C00021	2.1.1.17
C03542	C00021	2.1.1.67
C05206	C00021	2.1.1.125
C00706	C00788	1.4.3.4
C00706	C05589	1.4.3.4
C00706	C00547	1.4.3.4
C00706	C05634	1.4.3.4
CE1589	C00245	2.3.1.65
C06453	C00021	2.1.1.13
C03711	C00788	2.1.1.28
C03711	C00547	2.1.1.28
C03711	C00021	2.1.1.28
C05637	C00788	1.4.3.4
C05637	C05589	1.4.3.4
C05637	C00547	1.4.3.4
C05637	C05634	1.4.3.4
C00788	C00637	1.4.3.4;2.1.1.6;1.4.3.6
C00788	C05636	1.4.3.4
C00788	C00019	;2.1.1.28;2.1.1.6
C00788	C05589	2.1.1.6;1.4.3.4
C00788	C05332	1.4.3.6;1.4.3.4
C00788	C00483	2.1.1.6;2.8.2.1;1.4.3.6;1.4.3.4
C00788	C00547	;2.1.1.28;2.8.2.1;2.1.1.6;1.4.3.4
C00788	C05127	1.4.3.4
C00788	CE6196	2.8.2.1
C00788	C03765	;1.4.3.6;1.4.3.4
C00788	CE2173	
C00788	C05638	1.4.3.4
C00788	C05577	2.1.1.6;1.4.3.4
C00788	C03758	;2.1.1.6;2.8.2.1;1.4.3.6;1.4.3.4
C00788	CE5536	
C00788	C05936	1.4.3.4
C00788	C07572	1.4.3.4
C00788	C00067	;1.4.3.6
C00788	C00021	;2.1.1.28;2.1.1.6
C00788	C16612	1.4.3.4
C00788	C16609	1.4.3.4
C00788	C05827	1.4.3.4
C00788	C00375	1.4.3.4
C00788	C05634	2.1.1.6;1.4.3.4
C00788	C04043	;2.1.1.6;1.4.3.6;1.4.3.4
C00788	C16608	1.4.3.4
C00788	C00071	1.4.3.4
C00788	C00601	;1.4.3.6;1.4.3.4
C00788	C05588	2.1.1.6;1.4.3.4
C00788	C05581	2.1.1.6;1.4.3.4
C00788	C00014	;1.4.3.6;1.4.3.4
C00788	C00398	;1.4.3.6;1.4.3.4
C00788	C05583	2.8.2.1;2.1.1.6;1.4.3.4
C00788	C00543	1.4.3.4
C00788	C01888	;1.4.3.6;1.4.3.4
C00788	C05587	2.8.2.1;2.1.1.6;1.4.3.4
C00788	C02735	2.1.1.28
C00788	C00780	;1.4.3.4
C00788	C00218	;1.4.3.6;1.4.3.4;2.1.1.6;2.8.2.1;2.1.1.28
C00024	C02712	2.3.1.1
C04156	C00021	2.1.1.36
C00300	C00019	2.1.1.2
C00300	C00581	2.1.1.2;2.1.4.1;2.7.3.2
C00300	C02305	2.7.3.2
C00300	C00021	2.1.1.2
C00300	gudac	2.1.1.2;2.1.4.1
C00300	pcreat	2.7.3.2
C00012	C00245	2.3.2.2
C00978	C00021	2.1.1.4
C07294	C00021	2.1.1.137
C00350	C00021	;2.1.1.17
C05522	C00021	2.1.1.37
C05337	C00245	2.3.1.65
C00637	C05589	2.1.1.6;1.4.3.4
C00637	C00547	2.1.1.6;1.4.3.4
C00637	C00954	1.4.3.4;1.2.1.3;2.1.1.6;3.5.1.4;1.4.3.6
C00637	C05634	1.2.1.3;2.1.1.6;1.4.3.4
C05636	C05589	1.4.3.4
C05636	C00547	1.4.3.4
C05636	C05634	1.4.3.4
C02592	C00245	6.2.1.-;2.3.1.65
C00019	C05589	2.1.1.6
C00019	C00547	;2.1.1.28;2.1.1.6
C00019	C04441	2.1.1.98
C00019	C00021	;2.1.1.67;2.1.1.43;2.1.1.62;2.1.1.60;2.1.1.61;2.1.1.49;4.1.1.50;2.1.1.114;2.1.1.137;2.1.1.20;2.1.1.37;2.1.1.36;2.1.1.31;2.1.1.33;2.1.1.32;2.1.1.17;2.1.1.72;2.1.1.13;2.1.1.77;2.1.1.10;2.1.1.56;2.1.1.59;2.5.1.6;2.1.1.8;2.1.1.100;2.1.1.98;2.1.1.125;3.3.1.1;1.16.1.8;2.1.1.2;2.1.1.1;2.1.1.6;2.1.1.4;2.8.1.8;2.1.1.28;2.1.1.29
C00019	C00954	2.1.1.6
C02712	C00033	3.5.1.14
C02712	C00010	2.3.1.1
C05805	C00021	2.1.1.114
C00016	C00440	;1.5.99.1;1.5.1.20
C00268	C00440	
CE2184	C00021	2.1.1.6
C00066	C00021	2.1.1.32;2.1.1.36;2.1.1.29;2.1.1.33;2.1.1.61
C02918	C00021	2.1.1.1
C00155	C00021	;2.1.1.13;3.3.1.1;2.1.1.10
C00155	C00440	;2.1.1.13
CE2176	C00021	2.1.1.6
C01678	C00519	;1.13.11.19
C05589	C05332	1.4.3.4
C05589	C01342	1.4.3.4
C05589	C00483	2.1.1.6;1.4.3.4
C05589	C00547	2.1.1.6;1.4.3.4
C05589	C05127	1.4.3.4
C05589	C03765	1.4.3.4
C05589	C05638	1.4.3.4
C05589	C05577	2.1.1.6;1.4.3.4
C05589	C03758	2.1.1.6;1.4.3.4
C05589	C05936	1.4.3.4
C05589	C07572	1.4.3.4
C05589	C00021	2.1.1.6
C05589	C16612	1.4.3.4
C05589	C16609	1.4.3.4
C05589	C05827	1.4.3.4
C05589	C00375	1.4.3.4
C05589	C05634	2.1.1.6;1.4.3.4
C05589	C04043	2.1.1.6;1.4.3.4
C05589	C16608	1.4.3.4
C05589	C00071	1.4.3.4
C05589	C00601	1.4.3.4
C05589	C05588	2.1.1.6;1.4.3.4
C05589	C05581	2.1.1.6;1.4.3.4
C05589	C00014	1.4.3.4
C05589	C00398	1.4.3.4
C05589	C05583	2.1.1.6;1.4.3.4
C05589	C00543	1.4.3.4
C05589	C01888	1.4.3.4
C05589	C05587	2.1.1.6;1.4.3.4
C05589	C00780	1.4.3.4
C05589	C00218	2.1.1.6;1.4.3.4
C05332	C00547	1.4.3.4
C05332	C05634	1.4.3.4
C01342	C00547	;1.4.3.4
C01342	C05634	1.4.3.4
C02693	C00954	3.5.1.4
C01586	C00021	2.1.1.6
C05422	C00547	1.14.17.1
C00245	C05122	2.3.1.65
C00245	C05465	6.2.1.-;2.3.1.65
C00245	C00010	6.2.1.-;2.3.1.65
C00245	C00020	6.2.1.-;2.3.1.65
C00245	C01794	2.3.1.65
C00245	C05844	2.3.2.2
C00245	C00519	4.1.1.29;4.1.1.15;1.8.1.3
C00245	C03990	6.2.1.-;2.3.1.65
C00245	C05463	2.3.1.65
C00245	C03193	2.3.2.2
C00245	C00506	4.1.1.29;4.1.1.15
C05320	C00021	2.1.1.125
CE2934	C00021	2.1.1.6
C00483	C00547	2.8.2.1;2.1.1.6;1.4.3.4
C00483	C00021	2.1.1.49;2.1.1.6
C00483	C05634	2.1.1.6;1.4.3.4
C00547	C05127	1.4.3.4
C00547	C00053	;2.8.2.1
C00547	C03765	;1.4.3.4
C00547	CE6194	2.8.2.1
C00547	C05638	1.4.3.4
C00547	C05577	2.1.1.6;1.4.3.4
C00547	C03758	;1.14.17.1;2.8.2.1;2.1.1.6;1.4.3.4
C00547	CE2174	
C00547	C05936	1.4.3.4
C00547	C07572	1.4.3.4
C00547	C00067	
C00547	C00021	;2.1.1.28;2.1.1.6
C00547	C16612	1.4.3.4
C00547	C16609	1.4.3.4
C00547	C05827	1.4.3.4
C00547	C00375	1.4.3.4
C00547	C05634	2.1.1.6;1.4.3.4
C00547	C04043	;2.1.1.6;1.4.3.4
C00547	C16608	1.4.3.4
C00547	C00071	1.4.3.4
C00547	C00601	;1.4.3.4
C00547	C05588	2.1.1.6;1.4.3.4
C00547	C00425	;1.14.17.1
C00547	C00072	;1.14.17.1
C00547	C05581	2.1.1.6;1.4.3.4
C00547	C00014	;1.4.3.4
C00547	C00398	;1.4.3.4
C00547	C05583	2.8.2.1;2.1.1.6;1.4.3.4
C00547	CE5538	
C00547	C00543	1.4.3.4
C00547	C01888	;1.4.3.4
C00547	C05587	2.8.2.1;2.1.1.6;1.4.3.4
C00547	C02735	2.1.1.28
C00547	nrpphrsf	2.8.2.1
C00547	C00780	;1.4.3.4
C00547	C00054	;2.8.2.1
C00547	C00218	;2.1.1.28;2.8.2.1;2.1.1.6;1.4.3.4
C04155	C00021	2.1.1.32;2.1.1.36;2.1.1.29;2.1.1.33;2.1.1.61
C05127	C00021	2.1.1.8
C05127	C05634	1.4.3.4
C04157	C00021	2.1.1.31
C06409	C00021	1.16.1.8
C05584	C00021	2.1.1.6
C07453	C00021	;2.1.1.6
C04158	C00021	2.1.1.32
C00581	C00021	2.1.1.2
C01977	C00021	2.1.1.31
C06213	C00021	2.1.1.49
C04506	C00021	2.1.1.100
C03765	C05634	1.4.3.4
C04441	C00021	2.1.1.98
C02415	C00021	2.1.1.43
C05200	C00021	2.1.1.114
C05638	C05634	1.4.3.4
pchol_hs	C00021	2.1.1.17
C05660	C00021	2.1.1.4
C05577	C05634	1.4.3.4;2.1.1.6;1.1.1.1
C01598	C00021	;2.1.1.49;2.1.1.4
C05582	C00021	2.1.1.6
CE2183	C00021	2.1.1.6
C03391	C00021	2.1.1.72
C03758	C00021	;2.1.1.6
C03758	C05634	2.1.1.6;1.4.3.4
C00037	C00021	;2.1.1.20
C05298	C00021	;2.1.1.6
C05936	C05634	1.2.1.3;1.4.3.4
C04311	C00021	2.1.1.77
C02031	C00021	2.1.1.56
C07572	C05634	1.4.3.4
CE2179	C00021	;2.1.1.6
CE5626	C00021	;2.1.1.6
CE2186	C00021	;2.1.1.67;2.1.1.43;2.1.1.62;2.1.1.60;2.1.1.61;2.1.1.49;4.1.1.50;2.1.1.114;2.1.1.137;2.1.1.20;2.1.1.37;2.1.1.36;2.1.1.31;2.1.1.33;2.1.1.32;2.1.1.17;2.1.1.72;2.1.1.13;2.1.1.77;2.1.1.10;2.1.1.56;2.1.1.59;2.5.1.6;2.1.1.8;2.1.1.100;2.1.1.98;2.1.1.125;3.3.1.1;1.16.1.8;2.1.1.2;2.1.1.1;2.1.1.6;2.1.1.4;2.8.1.8;2.1.1.28;2.1.1.29
CE6205	C00021	2.1.1.6
C04160	C00021	2.1.1.33
C00021	C07308	2.1.1.137
C00021	C00399	;2.1.1.114
C00021	C05580	2.1.1.6
C00021	C09642	;2.1.1.6
C00021	C00039	2.1.1.37
C00021	C00954	2.1.1.6
C00021	C02967	2.1.1.37
C00021	C04308	2.1.1.17
C00021	C06212	2.1.1.49
C00021	C00388	2.1.1.8
C00021	C01756	2.1.1.67
C00021	CE1918	2.1.1.6
C00021	CE2182	2.1.1.6
C00021	C09640	;2.1.1.6
C00021	C01241	;2.1.1.17
C00021	C02442	;2.1.1.49;2.1.1.6
C00021	C00157	;2.1.1.17
C00021	C06697	2.1.1.137
C00021	C04833	2.1.1.62
C00021	C05523	2.1.1.37
C00021	C07295	2.1.1.137
C00021	CE4890	;2.1.1.6
C00021	C05594	2.1.1.6
