CPD_ID	CPD_NAME	mz_row_Statistic	From_mz_row	From_EmpiricalCompound
C00267	alpha-D-Glucose	1.6432132672942836	row321	E71
C00984	alpha-D-Galactose	1.6432132672942836	row321	E71
C00031	D-Glucose	1.6432132672942836	row321	E71
CE7112	15-epi-lipoxin A5	-3.4690171623839494	row1312	E214
CE7114		-1.8741191295719126	row1310	E213
CE7114		-2.7160436874849228	row1311	E213
CE7088	PGH3	-1.8741191295719126	row1310	E213
C02336	beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose	1.6432132672942836	row321	E71
CE7113	15-epi-lipoxin B5	-1.8741191295719126	row1310	E213
CE7088	PGH3	-2.7160436874849228	row1311	E213
CE2053	20-oxo-leukotriene B4	-1.8741191295719126	row1310	E213
CE2053	20-oxo-leukotriene B4	-2.7160436874849228	row1311	E213
CE7113	15-epi-lipoxin B5	-2.7160436874849228	row1311	E213
C01074	N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc	-2.975589585939916	row396	E91
C00159	D-Mannose	1.6432132672942836	row321	E71
C00221	beta-D-Glucose	1.6432132672942836	row321	E71
CE7115	20-hydroxy-leukotriene B5	-1.8741191295719126	row1310	E213
CE5661	15-oxo-lipoxin A4	-1.8741191295719126	row1310	E213
C00795	D-Tagatose; lyxo-Hexulose	1.6432132672942836	row321	E71
CE7114		-3.4690171623839494	row1312	E214
CE7115	20-hydroxy-leukotriene B5	-2.7160436874849228	row1311	E213
CE5661	15-oxo-lipoxin A4	-2.7160436874849228	row1311	E213
C16615	6-Methylthiopurine 5'-monophosphate ribonucleotide; 6-Methylthioinosine-5'-monophosphate	-2.087823493878394	row1012	E186
CE7088	PGH3	-3.4690171623839494	row1312	E214
CE7113	15-epi-lipoxin B5	-3.4690171623839494	row1312	E214
C00137	myo-Inositol	1.6432132672942836	row321	E71
CE5138	12-oxo-20-hydroxy-leukotriene B4	-1.8741191295719126	row1310	E213
CE5138	12-oxo-20-hydroxy-leukotriene B4	-2.7160436874849228	row1311	E213
CE2053	20-oxo-leukotriene B4	-3.4690171623839494	row1312	E214
C00962	beta-D-Galactose	1.6432132672942836	row321	E71
CE7115	20-hydroxy-leukotriene B5	-3.4690171623839494	row1312	E214
CE5661	15-oxo-lipoxin A4	-3.4690171623839494	row1312	E214
CE7112	15-epi-lipoxin A5	-1.8741191295719126	row1310	E213
CE7112	15-epi-lipoxin A5	-2.7160436874849228	row1311	E213
CE5138	12-oxo-20-hydroxy-leukotriene B4	-3.4690171623839494	row1312	E214
C00645	N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose	-2.975589585939916	row396	E91
C00140	N-Acetyl-D-glucosamine	-2.975589585939916	row396	E91
