SOURCE	TARGET	ENZYMES
C00087	C00019	2.8.1.8
C00116	C05576	1.1.1.1
C00116	C16596	1.1.1.1
C00357	C00140	2.7.1.1;2.7.1.59;2.7.1.8
ksi_deg17	C00140	3.2.1.52
C05584	C00019	2.1.1.6
C14099	C05576	1.1.1.1
C14099	C16596	1.1.1.1
hs_deg21	C00140	3.2.1.50
C00270	C00645	2.5.1.56;4.1.3.3
C00469	C05576	1.1.1.1
C00469	C16596	1.1.1.1
C05582	C00019	2.1.1.6
ha_deg1	C00140	3.2.1.31;3.2.1.52
C04728	C00019	2.1.1.61
C00355	C00019	;2.1.1.6
C00033	C00140	;3.5.1.33
ksi_deg41	C00140	3.2.1.52
G10610	C00645	5.1.3.14
C00043	C00645	;5.1.3.14;2.7.1.40
C15522	C00643	1.14.16.4
C00272	C00643	;1.14.16.4
C00399	C00019	;2.1.1.114
C05594	C00019	2.1.1.6
C05594	C05576	2.1.1.6
C00037	C01180	2.6.1.73
C00037	C00019	;2.1.1.20
ksi_deg2	C00140	3.2.1.96
C00036	C01180	1.4.3.2
C04692	C00019	2.1.1.98
C03306	C00019	2.1.1.77
C00082	C01180	1.4.3.2;2.6.1.5
C00686	C00645	2.5.1.57;2.7.1.60
G00246	C00140	;2.4.1.90
C00084	CE4890	
C00084	C05576	1.2.1.5;1.1.1.1
C00084	C16596	1.1.1.1
n2m2mn	C00140	3.2.1.52
C07453	C00019	;2.1.1.6
C07453	CE4890	;2.1.1.6
C05580	C00019	2.1.1.6
C05544	C00019	2.1.1.59;2.1.1.43;2.1.1.60
C06613	C05576	1.1.1.1
C06613	C16596	1.1.1.1
C00645	C01170	5.1.3.14
C00645	C00625	5.1.3.8;2.7.1.60
C00645	C03000	5.1.3.8
C00645	C00140	;5.1.3.8
C00645	C00022	;2.7.1.40;4.1.3.3
C00645	G11112	5.1.3.14
C00645	C00074	2.5.1.57;2.5.1.56;2.7.1.60;;5.1.3.14;4.2.1.11;4.1.3.3;4.1.1.32;5.1.3.8;2.7.1.40
C00645	C04257	2.5.1.57;2.5.1.56;2.7.1.60;
C00645	C00015	;5.1.3.14;2.7.1.40
C00645	G10619	;5.1.3.14;2.7.1.40
C05299	C00019	2.1.1.6
ksi_deg34	C00140	3.2.1.52
C00066	C00019	2.1.1.32;2.1.1.36;2.1.1.29;2.1.1.33;2.1.1.61
C00268	C00643	;1.14.16.4
C00226	C05576	1.2.1.5;1.1.1.1;1.4.3.4
C00226	C16596	1.1.1.1
G08421	C00140	3.2.1.52
C04730	C00140	3.2.1.52
C05313	C00019	2.1.1.114
C07308	C00019	2.1.1.137
C03272	C00140	;3.2.1.52
C03542	C00019	2.1.1.67
C05752	C00019	2.8.1.8
pchol_hs	C00019	2.1.1.17
C16237	C00019	2.8.1.8
ksi_deg8	C00140	3.2.1.52
C00079	C01180	1.4.3.2;2.6.1.5
f1a	C00140	3.2.1.52
C05301	C00019	;2.1.1.6
C00541	C00019	;2.1.1.13
C00159	C00140	2.7.1.1;3.2.1.25
C00191	C00140	;3.2.1.31
C15605	C00643	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C15605	C02700	;1.13.11.52;1.14.16.4;3.5.1.9;4.1.1.28
