input_row	EID	str_row_ion	compounds	compound_names	input_row	m/z	retention_time	p_value	statistic	CompoundID_from_user
row8	E2	row8_M+H[1+]	C00944	3-Dehydroquinate; 5-Dehydroquinate; 3-Dehydroquinic acid; 5-Dehydroquinic acid	row8	191.0556	377.3	0.40749897222542925	1.654990490657712	
row9	E3	row9_M+Na[1+]	1mncam;C02918	1-Methylnicotinamide$1-Methylnicotinamide	row9	160.0607	170.45	0.6420179873012394	0.9249557442657829	
row10	E4	row10_M+Na[1+]	1mncam;C02918	1-Methylnicotinamide$1-Methylnicotinamide	row10	160.0607	193.78	0.6309024561430342	0.9604721602201267	
row12	E6	row12_M+H[1+]	C00804	Propynoate; Propiolic acid; Acetylenecarboxylic acid; Acetylenemonocarboxylate	row12	71.0127	301.08	0.3995877973553655	1.684610529152785	
row17	E8	row17_M+H[1+];row18_M+H[1+]	C00322	2-Oxoadipate	row17	161.0449	242.72	0.5548881988512052	1.1858456513521942	C6H10O5
row18	E8	row17_M+H[1+];row18_M+H[1+]	C00322	2-Oxoadipate	row18	161.0449	245.47	0.38330413400178576	1.7650059631419777	C6H10O5
row26	E9	row26_M+H[1+];row43_M(C13)+H[1+]	C00158;C04575;C00311	Citrate$$Isocitrate	row26	193.0348	307.77	0.8900204803935532	0.27540195325416655	C6H10O7
row43	E9	row26_M+H[1+];row43_M(C13)+H[1+]	C00158;C04575;C00311	Citrate$$Isocitrate	row43	194.0382	307.77	0.7352627710842935	-0.662886125530712	C6H10O7
row66	E13	row66_M+H[1+];row75_M(C13)+H[1+]	C01879;C04281;C04282	5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate	row66	130.05	184.53	0.49227812684119604	-1.3620798336962479	
row67	E14	row67_M+H[1+]	C01879;C04281;C04282	5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate	row67	130.05	299.9	0.2851592554047436	2.5154019579985807	
row74	E19	row74_M+H[1+];row95_M(C13)+H[1+]	CE5538;C05653	noradrenochrome$N-Formylanthranilate	row74	166.0502	47.59	0.6499306610012376	0.8957548125285655	C8H9NO3
row75	E13	row66_M+H[1+];row75_M(C13)+H[1+]	C01879;C04281;C04282	5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate	row75	131.0533	184.13	0.3985706251933527	-1.6886193018184203	
row95	E19	row74_M+H[1+];row95_M(C13)+H[1+]	CE5538;C05653	noradrenochrome$N-Formylanthranilate	row95	167.0535	47.85	0.7281028204342307	0.6822626075101856	C8H9NO3
row96	E30	row96_M+Na[1+]	C01250	N-Acetyl-L-glutamate 5-semialdehyde; 2-Acetamido-5-oxopentanoate	row96	196.0585	225.32	0.36399986321387273	1.8906087953651953	
row97	E31	row97_M+H[1+]	C00822;C05604	Dopaquinone$2-Carboxy-2,3-dihydro-5,6-dihydroxyindole; Leucodopachrome	row97	196.0612	380.45	0.6852392423895904	0.7906756226804864	C9H11NO4
row134	E36	row134_M+H[1+]	C00534	Pyridoxamine	row134	169.0975	34.06	0.9621521848083535	0.10290937342492178	
row135	E37	row135_M+H[1+]	C00534	Pyridoxamine	row135	169.0975	193.78	0.6360481728078152	-0.9413334516138878	
row146	E38	row146_M+Na[1+]	C00217;C00025;C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-Glutamate$L-4-Hydroxyglutamate semialdehyde	row146	170.0426	254.8	0.4786972247837607	-1.4030599357407256	
row149	E41	row149_M+Na[1+]	C00791		row149	136.0477	48.64	0.70972464036135	0.7259026171799065	C8H8O2
row157	E42	row157_M+Na[1+]	C02670;C00072;glac	D-glucurono-6,3-lactone$L-Ascorbate$D-glucurono-6,3-lactone	row157	199.0219	241.27	0.6315663524321199	0.9572813732703421	
row174	E47	row174_M+H[1+];row194_M(C13)+H[1+]	C05576	3,4-Dihydroxyphenylethyleneglycol	row174	171.0656	194.57	0.25676864940055244	2.6848226811246354	
row178	E48	row178_M+H[1+]	C00108	Anthranilate	row178	138.0551	47.59	0.8379200426953102	-0.3919044783805738	C8H8O2
