pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Phosphatidylinositol phosphate metabolism	1	7	0.01646920426854886	E283	C15658	6-(alpha-D-Glucosaminyl)-1D-myo-inositol
Tryptophan metabolism	1	14	0.027560709184102177	E295	CE3086	4-(2-amino-3-hydroxyphenyl)-4-oxobutanoic acid O-glucoside
Vitamin D3 (cholecalciferol) metabolism	0	0	0.04092093101420049			
Hyaluronan Metabolism	0	1	0.04092093101420049			
N-Glycan biosynthesis	0	2	0.04092093101420049			
Glycolysis and Gluconeogenesis	0	3	0.04092093101420049			
Glycosphingolipid biosynthesis - ganglioseries	0	0	0.04092093101420049			
R Group Synthesis	0	0	0.04092093101420049			
C5-Branched dibasic acid metabolism	0	0	0.04092093101420049			
Pyruvate Metabolism	0	0	0.04092093101420049			
Sialic acid metabolism	0	6	0.04092093101420049			
Chondroitin sulfate degradation	0	1	0.04092093101420049			
Di-unsaturated fatty acid beta-oxidation	0	0	0.04092093101420049			
Putative anti-Inflammatory metabolites formation from EPA	0	3	0.04092093101420049			
Linoleate metabolism	0	4	0.04092093101420049			
Hexose phosphorylation	0	3	0.04092093101420049			
Vitamin B2 (riboflavin) metabolism	0	1	0.04092093101420049			
Squalene and cholesterol biosynthesis	0	0	0.04092093101420049			
Galactose metabolism	0	5	0.04092093101420049			
Keratan sulfate degradation	0	1	0.04092093101420049			
Glycerolipid metabolism	0	0	0.04092093101420049			
Carnitine shuttle	0	0	0.04092093101420049			
3-oxo-10R-octadecatrienoate beta-oxidation	0	1	0.04092093101420049			
Alkaloid biosynthesis II	0	0	0.04092093101420049			
Vitamin B1 (thiamin) metabolism	0	1	0.04092093101420049			
Glycosphingolipid biosynthesis - globoseries	0	1	0.04092093101420049			
Histidine metabolism	0	4	0.04092093101420049			
Vitamin B5 - CoA biosynthesis from pantothenate	0	2	0.04092093101420049			
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	0	1	0.04092093101420049			
Glycosphingolipid biosynthesis - lactoseries	0	0	0.04092093101420049			
Bile acid biosynthesis	0	0	0.04092093101420049			
