massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row1	68.0141	462.17	0.5958120482413929	1.9116181855991035	
row2	190.9997	228.61	0.5958120482413929	1.9917954973118468	
row3	191.0291	163.98	0.15335036735875937	6.4405803124550784	
row4	159.9914	206.68	0.8288714156346774	0.6439085099562899	
row5	159.9976	206.15	0.5958120482413929	1.9994202834166923	
row6	159.9976	207.73	0.5962084316511449	1.7912370596928582	
row7	191.0397	88.01	0.738850212008911	1.0026389725237492	
row8	191.0397	89.45	0.5962084316511449	1.7496907691716554	
row9	191.0397	91.06	0.5958120482413929	1.9102197601310862	
row10	191.0397	92.37	0.6829602305896001	1.2163381965048907	
row11	191.0397	93.55	0.5958120482413929	2.0344065552580743	
row12	191.0397	99.36	0.5958120482413929	2.013083610840148	
row13	191.0397	100.7	0.5962084316511449	1.8325864243632488	
row14	191.0397	103.07	0.6017268239396314	1.6639105957154976	
row15	191.0397	104.51	0.5958120482413929	2.8597141589344797	
row16	191.0397	106.88	0.6070658363376525	1.6331957285322456	
row17	191.0397	110.16	0.5958120482413929	2.4373557901672247	
row18	191.0397	119.55	0.6237203774633139	1.4902018469201137	
row19	191.0397	120.73	0.5958120482413929	1.906345748518139	
row20	191.0397	124.8	0.547629504870541	3.5047989366656043	
row21	122.0213	219.81	0.6075600780173622	1.6266474566526616	
row22	122.0213	226.24	0.9977932328813234	0.011352779639175173	
row23	191.0556	377.3	0.9997381186948713	-0.0003491750823743499	
row24	160.0607	170.45	0.6183804816247859	1.527364574887506	
row25	160.0607	193.78	0.5958120482413929	2.7247421897359168	
row26	160.0738	293.2	0.9961990240547633	-0.015705997660583615	
row27	160.0799	293.59	0.9402975669390286	-0.25381543900539566	
row28	71.0127	301.08	0.5958120482413929	1.908599867136971	
row29	73.0195	214.95	0.9343283381251888	0.2784909122540818	
row30	191.8657	1.7	0.9914305312472135	-0.03819997408378083	
row31	160.9921	207.2	0.9944614390740788	-0.02354631142741936	
row32	73.0273	92.11	0.8068772101020758	0.7297437381783548	
row33	161.0449	242.72	0.5958120482413929	1.9230157014463582	C6H10O5
row34	161.0449	245.47	0.8127371741194629	0.7138655622466799	C6H10O5
row35	161.056	314.86	0.8277740078553685	0.6493721989847013	
row36	161.064	194.17	0.5958120482413929	1.970972694665798	
row37	192.0297	126.67	0.9124535368013575	-0.35262954186104073	
row38	192.0297	129.95	0.6242679478745188	-1.4850307939716647	
row39	124.0063	218.23	0.6333985048022954	1.4411955474784421	
row40	192.0522	143.14	0.9907159222914317	0.04229077646869361	
row41	161.8749	39.71	0.9689612350716283	-0.1309192732220756	
row42	75.0088	215.34	0.8812813613188792	0.45096159253483886	
row43	124.9904	152.13	0.734607557999838	1.0118619864445646	
row44	162.0592	315.0	0.8159283639533642	0.7043990528934719	
row45	162.9129	40.63	0.5958120482413929	1.9441290034280432	
row46	162.9129	41.81	0.5958120482413929	1.8911612341078807	
row47	162.9129	44.17	0.5958120482413929	1.9340130204461794	
row48	162.9191	71.58	0.6007978866762269	1.7122461533457778	
row49	162.9191	72.36	0.5958120482413929	1.934509760958926	
row50	162.9191	76.44	0.5958120482413929	1.9885093262581977	
row51	126.0021	218.23	0.6075600780173622	1.5858414977626578	C5H5NOS,C5H5NOS
row52	193.0348	307.77	0.6563737545943353	1.331627415947908	C6H10O7
row53	126.904	29.86	0.5958120482413929	-2.693936583289906	
row54	193.0504	61.57	0.6471184278426835	-1.3888951829003249	
row55	163.0604	194.57	0.5962084316511449	1.7512613354368807	
row56	163.0604	315.39	0.5962084316511449	1.7601791774722313	
row57	80.9641	180.98	0.8763167236337761	0.46828430535716237	
row58	127.0028	162.14	0.7082003983862584	-1.1209348539386994	
row59	127.0028	163.59	0.8030429581287452	0.742342389353442	
row60	127.0028	305.28	0.9124209063982807	0.36229083994486827	
row61	193.0614	507.53	0.8277740078553685	0.6522687198581893	
row62	193.0647	275.21	0.5958120482413929	2.4396569179329215	
row63	127.0754	194.83	0.8666848722478713	-0.5112239760733407	
row64	127.8692	1.7	0.6613188022243122	1.3060429424842603	
row65	82.9531	34.59	0.9255090210216613	-0.29707520817528044	
row66	163.8959	141.31	0.6773565962100576	-1.2342137898916998	
row67	163.8959	152.92	0.9506845099339386	-0.20922202989292812	H2MoO4
row68	163.8959	154.76	0.776938068668495	0.8325654895209917	
row69	193.8151	152.26	0.6972473554045856	1.1582468050954096	
row70	194.0382	307.77	0.938066176811556	0.265560984950384	C6H10O7
row71	128.8911	141.96	0.9319381716727875	-0.28323568353204054	
row72	164.8384	141.96	0.5958120482413929	-2.2075917624444665	
row73	164.8384	152.4	0.7338849878689483	-1.0182403204180048	
row74	128.9585	206.68	0.96160931092637	0.16746330806707796	C3H2N2S2
row75	128.9981	141.7	0.7231105308528427	-1.0599074477029944	
row76	194.0459	38.0	0.5958120482413929	1.9540603363878641	
row77	194.0681	275.47	0.09852674460181145	8.07272780532533	
row78	84.0444	194.57	0.6887337599587523	1.1830094175843258	
row79	84.0444	277.18	0.8851576870213993	0.4399974729879537	
row80	164.9742	228.87	0.9791231631222723	0.08705455817296028	
row81	84.9501	34.59	0.9490263362919225	-0.21695374563640618	
row82	164.9962	1.96	0.8126773529598506	0.7164823332231681	
row83	129.0377	324.84	0.5962084316511449	1.8507339368605837	
row84	85.0284	194.83	0.9490263362919225	0.2175062291976134	
row85	86.0061	23.16	0.8174955313069385	0.6886661124540389	
row86	165.0298	136.02	0.9979602367356245	0.0074229061064956	
row87	129.1023	244.69	0.9255090210216613	-0.30080655840563714	
row88	129.1023	260.47	0.9124479462095463	-0.35498093693253213	
row89	87.022	113.47	0.8186655750785902	0.6754802104934394	
row90	194.9362	367.45	0.7581239926574521	0.9080208593589126	
row91	87.0441	194.57	0.8130149464559541	0.7130398721661806	
row92	87.0553	309.88	0.9225212696251999	0.31322178280461277	
row93	87.0553	315.13	0.8973691094776614	0.4053882631502909	
row94	129.9934	141.7	0.5958120482413929	-1.950161005440538	
row95	88.0474	194.57	0.5958120482413929	1.8853582280255854	
row96	130.05	184.53	0.5958120482413929	1.9113061661565565	
row97	130.05	299.9	0.32599042703154313	4.5047695309121085	
row98	165.891	139.96	0.6341460683966574	-1.4343741267078849	
row99	165.891	154.63	0.9721462848070413	-0.11359684660060437	
row100	194.9881	222.43	0.5958120482413929	-2.2629109510674534	
row101	165.9927	2.75	0.9846383684083326	-0.06133773262097986	
row102	195.0072	345.52	0.6075600780173622	1.59812497169798	
row103	89.012	112.03	0.6254848846608263	1.479050654061099	
