EID	massfeature_rows	str_row_ion	compounds	compound_names
E2	row8	row8_M+H[1+]	C00944	3-Dehydroquinate; 5-Dehydroquinate; 3-Dehydroquinic acid; 5-Dehydroquinic acid
E3	row9	row9_M+Na[1+]	1mncam;C02918	1-Methylnicotinamide$1-Methylnicotinamide
E4	row10	row10_M+Na[1+]	1mncam;C02918	1-Methylnicotinamide$1-Methylnicotinamide
E5	row12;row531;row862	row12_M(C13)+H[1+];row531_M+Na[1+];row862_M+H[1+]	C00624	N-Acetyl-L-glutamate; N-Acetyl-L-glutamic acid
E7	row13	row13_M+H[1+]	C00804	Propynoate; Propiolic acid; Acetylenecarboxylic acid; Acetylenemonocarboxylate
E8	row26;row27	row26_M+Na[1+];row27_M+Na[1+]	C00506	L-Cysteate
E9	row34;row35;row53;row54	row34_M+H[1+];row35_M+H[1+];row53_M(C13)+H[1+];row54_M(C13)+H[1+]	C00322	2-Oxoadipate
E13	row67;row88	row67_M+H[1+];row88_M(C13)+H[1+]	C00158;C04575;C00311	Citrate$$Isocitrate
E18	row110	row110_M+H[1+]	C00906	5,6-Dihydrothymine
E20	row121;row144	row121_M+H[1+];row144_M(C13)+H[1+]	C01879;C04281;C04282	5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate
E21	row122;row145	row122_M+H[1+];row145_M(C13)+H[1+]	C01879;C04281;C04282	5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate
E30	row143;row155	row143_M+H[1+];row155_M(C13)+H[1+]	CE5538;C05653	noradrenochrome$N-Formylanthranilate
E32	row815	row815_M+Na[1+]	CE5542	noradrenochrome o-semiquinone
E39	row1543;row343	row1543_M+HCOONa[1+];row343_M+H[1+]	C01250	N-Acetyl-L-glutamate 5-semialdehyde; 2-Acetamido-5-oxopentanoate
E40	row156	row156_M+Na[1+]	C01250	N-Acetyl-L-glutamate 5-semialdehyde; 2-Acetamido-5-oxopentanoate
E41	row344;row374	row344_M+H[1+];row374_M(C13)+H[1+]	C01250	N-Acetyl-L-glutamate 5-semialdehyde; 2-Acetamido-5-oxopentanoate
E43	row157;row188	row157_M+H[1+];row188_M(C13)+H[1+]	C00822;C05604	Dopaquinone$2-Carboxy-2,3-dihydro-5,6-dihydroxyindole; Leucodopachrome
E44	row158	row158_M+H[1+]	C01165;C01157;C00430;C03440;C01110	L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde$trans-4-Hydroxy-L-proline$5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid$cis-4-Hydroxy-D-proline$5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate
E48	row1627;row1628	row1627_M+H[1+];row1628_M+H[1+]	C04376	N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide
E52	row219	row219_M+Na[1+]	C00217;C00025;C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-Glutamate$L-4-Hydroxyglutamate semialdehyde
E55	row224	row224_M+Na[1+]	C00791	
E56	row233	row233_M+Na[1+]	C02670;C00072;glac	D-glucurono-6,3-lactone$L-Ascorbate$D-glucurono-6,3-lactone
E57	row235	row235_M+Na[1+]	C00438	N-Carbamoyl-L-aspartate
E59	row1813;row257;row258	row1813_M+H[1+];row257_M+H+Na[2+];row258_M+H+Na[2+]	C05606	Melanin
E60	row259;row260	row259_M+H[1+];row260_M+H[1+]	C12215	Iminoerythrose 4-phosphate; Imino-D-erythrose 4-phosphate
E61	row261;row282	row261_M+H[1+];row282_M(C13)+H[1+]	C05576	3,4-Dihydroxyphenylethyleneglycol
E63	row267	row267_M+H[1+]	C00108	Anthranilate
E65	row591;row592	row591_M+Na[1+];row592_M+Na[1+]	C00900;C06010	2-Acetolactate$(S)-2-Acetolactate; (S)-2-Hydroxy-2-methyl-3-oxobutanoate
E66	row278;row279	row278_M+Na[1+];row279_M+Na[1+]	C01040;C05394;C00198	L-Gulono-1,4-lactone; L-Gulono-gamma-lactone; gamma-Gulonolactone; L-Gulonic acid gamma-lactone; L-Gulonolactone$3-Keto-beta-D-galactose$D-Glucono-1,5-lactone; Gluconic lactone; Gluconic acid lactone; 1,5-Gluconolactone; delta-Gluconolactone; D-Gluconolactone; Gluconolactone
E67	row501;row532	row501_M+H[1+];row532_M(C13)+H[1+]	C01040;C05394;C00198	L-Gulono-1,4-lactone; L-Gulono-gamma-lactone; gamma-Gulonolactone; L-Gulonic acid gamma-lactone; L-Gulonolactone$3-Keto-beta-D-galactose$D-Glucono-1,5-lactone; Gluconic lactone; Gluconic acid lactone; 1,5-Gluconolactone; delta-Gluconolactone; D-Gluconolactone; Gluconolactone
E68	row285	row285_M+Na[1+]	C00122	Fumarate
E73	row317	row317_M+Na[1+]	C16631	alpha-Fluoro-beta-ureidopropionic acid; 2-Fluoro-3-ureidopropionic acid
E75	row328	row328_M+H[1+]	C05828	3-Methylimidazoleacetic acid
E79	row1398	row1398_M+H[1+]	C01762	Xanthosine
E81	row1399	row1399_M+H[1+]	C01762	Xanthosine
E85	row398	row398_M+H[1+]	C01045;C01042	N-Formyl-L-glutamate$N-Acetyl-L-aspartate
E86	row399;row438	row399_M+H[1+];row438_M(C13)+H[1+]	C01045;C01042	N-Formyl-L-glutamate$N-Acetyl-L-aspartate
