massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row1	68.0141	496.83	0.6854421512261859	0.8240070853111616	
row2	191.0291	163.98	0.6378951133359175	-0.9716766664149145	
row3	159.9914	206.68	0.4141790326071562	2.504587080064539	
row4	159.9976	206.15	0.8465861627352925	0.3926232705825838	
row5	159.9976	207.73	0.49857291710903895	1.5993847444133888	
row6	122.0213	219.81	0.8286060991900177	-0.43518600084295955	
row7	122.0213	226.24	0.940710235458589	-0.13895537544793868	
row8	191.0556	377.3	0.4866703839044313	1.6969676670349565	
row9	160.0607	170.45	0.30924395534022137	3.5053706963072284	
row10	160.0607	193.78	0.2701104089791837	4.131930140498218	
row11	160.0799	293.59	0.7140920176588597	0.7384219937994451	
row12	191.0749	185.58	0.9072621648353729	0.22646450373784052	C7H13NO5
row13	71.0127	301.08	0.4034493054490703	2.585966623839156	
row14	122.9842	421.7	0.4691987525557606	1.8301290767020186	
row15	122.9842	424.59	0.3980420935881378	2.6186734916454784	
row16	122.9842	426.98	0.36293541239830934	3.000587003556533	
row17	122.9842	429.21	0.37966773248781005	2.824486420066059	
row18	122.9842	434.24	0.38728354747097693	2.7710339043493106	
row19	122.9842	437.12	0.3722491699260554	2.8653904631160745	
row20	122.9842	438.31	0.39529582187339196	2.678037140355652	
row21	122.9842	443.33	0.4679163048215455	1.998815508722985	
row22	122.9842	444.51	0.3295535553318319	3.3027742121738264	
row23	73.0195	214.95	0.4679163048215455	2.0232076698243247	
row24	191.8657	1.7	0.5697967410246285	-1.2132950401917932	
row25	160.9921	207.2	0.5283811037304963	1.422406947092732	
row26	191.9942	218.63	0.9748070156456276	-0.06751912696385241	
row27	191.9942	219.68	0.7097982633085963	0.7501074641161821	
row28	161.0116	399.52	0.5667174954147877	1.2227517678073954	
row29	161.0116	400.83	0.16414186029367417	5.641635101040571	
row30	161.0116	402.41	0.395171901822674	2.6991395341131152	
row31	161.0116	406.51	0.5491463110070091	1.3366462150612541	
row32	161.0116	438.96	0.6121663957590961	1.0675056034218842	
row33	73.9954	131.03	0.4709546290541702	1.7711116023114493	
row34	161.0449	242.72	0.05517601837735631	10.156743092950663	C6H10O5
row35	161.0449	245.47	0.17390304760704103	5.493513724642131	C6H10O5
row36	123.98	218.49	0.774493445821588	0.5631403274212093	
row37	161.056	314.86	0.5316644026452595	1.4049721596225735	
row38	123.9819	218.36	0.7341150555851739	-0.6688753555361148	
row39	161.064	170.71	0.3655619859279592	2.9618513475591857	
row40	161.064	194.17	0.3148075971395657	3.4397523135526855	
row41	192.0331	138.65	0.5015925709614563	1.567593534719215	
row42	192.0331	141.7	0.4690418312878445	1.9090857956472809	
row43	124.0063	218.23	0.3722491699260554	2.878570615687676	
row44	124.0307	218.23	0.9313036800073177	-0.16754056051753385	
row45	124.0316	218.36	0.5248635744227966	1.4424656211434665	
row46	192.0508	256.93	0.2435163184330965	4.357323704260599	
row47	161.8749	39.71	0.9597355095514388	-0.09883211552414581	
row48	124.9904	152.13	0.39529582187339196	2.6922295087416566	
row49	125.0033	218.23	0.36293541239830934	2.9983223958652414	
row50	125.0057	218.1	0.38728354747097693	2.766296504961651	
row51	125.0097	218.23	0.39316988727110824	2.7268635108787764	
row52	162.0222	144.98	0.7223195434047559	-0.7165005330145263	
row53	162.0481	242.72	0.16218689355793048	5.727144542020897	C6H10O5
row54	162.0481	245.21	0.19340991703264682	5.196235039866114	C6H10O5
row55	162.0528	315.13	0.17963390352978434	5.386777018670737	
row56	162.0592	315.0	0.5491463110070091	1.3228723240622027	
row57	162.0649	194.04	0.4679163048215455	2.11325217390519	
row58	162.0958	399.12	0.47411917813973553	1.7510622640697262	
row59	126.0021	218.23	0.3655619859279592	2.973482575862795	C5H5NOS,C5H5NOS
row60	126.0105	218.23	0.3655619859279592	2.9621861713236304	
row61	193.0234	46.93	0.4684548100577599	1.9377828420948895	
row62	193.0234	193.65	0.344735901618978	3.2030851766605957	
row63	193.0234	195.75	0.4496351509350577	2.290066785105644	
row64	193.0234	196.93	0.4946597388059994	1.6416969263639	
row65	193.0234	215.74	0.5131334447191259	1.5033035357020665	
row66	193.0234	217.58	0.6627715670976254	0.8863847995033025	
row67	193.0348	307.77	0.6901653294169084	-0.8022010125714941	C6H10O7
row68	126.904	29.86	0.8495520567841726	-0.3810347616892775	
row69	126.9862	34.19	0.5997163902695902	1.1093014714267837	
row70	193.0504	61.57	0.6896841038762361	-0.8085795351472024	
row71	163.0604	194.57	0.5101424325194593	-1.511911171366766	
row72	163.0604	315.39	0.6400392280602195	0.9653413233823676	
row73	80.9641	180.98	0.4679163048215455	-1.9941931029289246	
row74	127.0028	162.14	0.4691987525557606	-1.827477394530893	
row75	127.0028	163.59	0.8931058054223213	0.2657834151741601	
row76	193.0614	507.53	0.7736807883050064	0.5656133806403242	
row77	193.0647	275.21	0.03133422640448222	-13.352295599108704	
row78	81.952	218.1	0.5339260907839439	1.394713480870119	
row79	81.952	218.49	0.42835195493410594	2.3832256502039355	
row80	127.0754	194.83	0.8726308715933992	-0.3171365055203514	
row81	127.8692	1.7	0.4679163048215455	-1.952754870263198	
row82	82.9531	34.59	0.5491463110070091	-1.3271115368685857	
row83	163.8959	141.31	0.8205310759738278	-0.45038038936458535	
