SOURCE	TARGET	ENZYMES
C02442	C00019	;2.1.1.49;2.1.1.6
C00067	CE2173	
C00399	C00019	;2.1.1.114
C05587	C00019	2.1.1.6
C01161	C00019	;2.1.1.6
C02415	C00019	2.1.1.43
C14089	C16596	1.1.1.1
C14089	C16586	1.1.1.1
glygn3	C00031	3.2.1.33;2.4.1.1
ksi_deg16	C00140	3.2.1.52
C00527	C00322	2.3.1.61;1.2.4.2
CE2173	C00788	
C00625	C00645	5.1.3.8;2.7.1.60
C00625	C00140	5.1.3.8
C04884	C00221	3.2.1.23
C04884	C00267	3.2.1.23
C04884	C00140	;3.2.1.52
C00897	C00267	3.2.1.20;3.2.1.1
C03546	C00137	3.1.3.25
C00788	C00019	;2.1.1.28;2.1.1.6
m2mn	C00159	3.2.1.24
m2mn	C00140	3.2.1.52
C02735	C00019	2.1.1.28
C02918	C00019	2.1.1.1
C01977	C00019	2.1.1.31
ksi_deg20	C00140	3.2.1.52
G10483	C00140	3.2.1.14
C00021	CE4890	;2.1.1.6
C00021	C05635	2.1.1.4
C00021	C00019	;2.1.1.67;2.1.1.43;2.1.1.62;2.1.1.60;2.1.1.61;2.1.1.49;4.1.1.50;2.1.1.114;2.1.1.137;2.1.1.20;2.1.1.37;2.1.1.36;2.1.1.31;2.1.1.33;2.1.1.32;2.1.1.17;2.1.1.72;2.1.1.13;2.1.1.77;2.1.1.10;2.1.1.56;2.1.1.59;2.5.1.6;2.1.1.8;2.1.1.100;2.1.1.98;2.1.1.125;3.3.1.1;1.16.1.8;2.1.1.2;2.1.1.1;2.1.1.6;2.1.1.4;2.8.1.8;2.1.1.28;2.1.1.29
C00021	C09640	;2.1.1.6
C00760	C00221	3.2.1.21
C00379	C00312	1.1.1.21;1.1.1.12;1.1.1.9;1.1.1.10;4.1.1.34
C00379	C00181	1.1.1.21
C00379	C00310	1.1.1.9
C07294	C00019	2.1.1.137
C00611	C00140	;2.4.1.90
C00198	C00221	1.1.1.47
dxtrn	C00031	3.2.1.33;3.2.1.1;2.4.1.1
G00109	C00221	3.2.1.23
G00109	C00267	3.2.1.23
G00109	C00140	3.2.1.52
ksii_core2_deg5	C00140	3.2.1.52
G11112	C00645	5.1.3.14
ha_deg1	C00140	3.2.1.31;3.2.1.52
C00856	C00019	2.1.1.37
C15972	C00322	2.3.1.61;1.2.4.2
C00043	C00645	;5.1.3.14;2.7.1.40
C16587	C16596	1.1.1.1
C16587	C16586	1.2.1.5;1.1.1.1
C00483	C00019	2.1.1.49;2.1.1.6
C00248	C00322	1.2.4.2
C00058	CE5860	
C00058	C05642	;3.5.1.9;1.14.14.1
C00618	C00312	4.1.1.34
C05634	C05635	1.2.1.3;1.2.3.1
CE4890	C09642	;2.1.1.6
CE4890	C07453	;2.1.1.6
CE4890	C00084	
CE4890	C00019	;2.1.1.6
C09642	C00019	;2.1.1.6
C09642	C09640	;2.1.1.6
C00668	C00267	2.7.1.147;2.7.1.1;3.1.3.9;2.7.1.2
