SOURCE	TARGET	ENZYMES
CE2934	C00019	2.1.1.6
C02835	C05130	1.2.1.3;1.4.3.6
C00039	C00019	2.1.1.37
C00469	C05576	1.1.1.1
C05545	C00019	2.1.1.59;2.1.1.43;2.1.1.60
C00300	C00019	2.1.1.2
C01161	C00019	;2.1.1.6
C04506	C00019	2.1.1.100
C16237	C00019	2.8.1.8
C00856	C00019	2.1.1.37
C05523	C00019	2.1.1.37
CE2122	C00019	2.1.1.6
C04748	C00019	2.1.1.100
C03542	C00019	2.1.1.67
C06453	C00019	2.1.1.13
gudac	C00019	2.1.1.2
C00541	C00019	;2.1.1.13
C04160	C00019	2.1.1.33
C05444	C05576	1.1.1.1
C16239	C00019	2.8.1.8
CE2179	C00019	;2.1.1.6
C05313	C00019	2.1.1.114
C05127	C00019	2.1.1.8
C14090	C05576	1.1.1.1
C04833	C00019	2.1.1.62
C07294	C00019	2.1.1.137
C06409	C00019	1.16.1.8
C00388	C00019	2.1.1.8
C00388	C05130	1.4.3.6
C05580	C00019	2.1.1.6
C02188	C00019	2.1.1.59;2.1.1.43;2.1.1.60
C00153	C00019	2.1.1.1
C16596	C05576	1.1.1.1
1mncam	C00019	2.1.1.1
C05805	C00019	2.1.1.114
C04728	C00019	2.1.1.61
C07490	C05576	1.2.1.5;1.1.1.1
C00376	C05576	1.1.1.1
C03758	C00019	;2.1.1.6
C00084	C05576	1.2.1.5;1.1.1.1
CE2189	C00019	2.1.1.6
C05301	C00019	;2.1.1.6
C06899	C05576	1.2.1.5;1.1.1.1
C05576	C00021	2.1.1.6
C05576	C00114	1.1.1.1
C05576	C00709	1.1.1.1
C05576	C00576	1.1.1.1
C05576	C00071	1.2.1.5;1.1.1.1;1.4.3.4
C05576	C00019	2.1.1.6
C05576	C05445	1.1.1.1
C05576	C00577	1.1.1.1
C05576	C05594	2.1.1.6
C05576	C02909	1.1.1.1
C05576	C00069	1.1.1.1
C05576	C06613	1.1.1.1
C05576	C06612	1.1.1.1
C05576	C00432	1.1.1.1
C05576	C16551	1.2.1.5;1.1.1.1
C05576	C06611	1.1.1.1
C05576	C16595	1.1.1.1
C05576	C14089	1.1.1.1
C05576	C16587	1.2.1.5;1.1.1.1
C05576	C00473	1.1.1.1
C05576	C00226	1.2.1.5;1.1.1.1;1.4.3.4
C05576	C16348	1.1.1.1
C05576	C16586	1.2.1.5;1.1.1.1
C05576	C07645	1.2.1.5;1.1.1.1
C05576	C05577	1.2.1.5;1.4.3.4;2.1.1.6;1.1.1.1
C05576	C14099	1.1.1.1
C05576	C00116	1.1.1.1
CE5627	C00019	;2.1.1.6
C03711	C00019	2.1.1.28
C00355	C00019	;2.1.1.6
CE2186	C00019	;2.1.1.67;2.1.1.43;2.1.1.62;2.1.1.60;2.1.1.61;2.1.1.49;4.1.1.50;2.1.1.114;2.1.1.137;2.1.1.20;2.1.1.37;2.1.1.36;2.1.1.31;2.1.1.33;2.1.1.32;2.1.1.17;2.1.1.72;2.1.1.13;2.1.1.77;2.1.1.10;2.1.1.56;2.1.1.59;2.5.1.6;2.1.1.8;2.1.1.100;2.1.1.98;2.1.1.125;3.3.1.1;1.16.1.8;2.1.1.2;2.1.1.1;2.1.1.6;2.1.1.4;2.8.1.8;2.1.1.28;2.1.1.29
C03391	C00019	2.1.1.72
C05546	C00019	;2.1.1.59;2.1.1.43;2.1.1.60
pchol_hs	C00019	2.1.1.17
CE2180	C00019	;2.1.1.6
C00021	C00019	;2.1.1.67;2.1.1.43;2.1.1.62;2.1.1.60;2.1.1.61;2.1.1.49;4.1.1.50;2.1.1.114;2.1.1.137;2.1.1.20;2.1.1.37;2.1.1.36;2.1.1.31;2.1.1.33;2.1.1.32;2.1.1.17;2.1.1.72;2.1.1.13;2.1.1.77;2.1.1.10;2.1.1.56;2.1.1.59;2.5.1.6;2.1.1.8;2.1.1.100;2.1.1.98;2.1.1.125;3.3.1.1;1.16.1.8;2.1.1.2;2.1.1.1;2.1.1.6;2.1.1.4;2.8.1.8;2.1.1.28;2.1.1.29
C04157	C00019	2.1.1.31
C05206	C00019	2.1.1.125
C00155	C00019	;2.1.1.13;3.3.1.1;2.1.1.10
C07453	C00019	;2.1.1.6
C00037	C00019	;2.1.1.20
C16236	C00019	2.8.1.8
C00483	C00019	2.1.1.49;2.1.1.6
C07308	C00019	2.1.1.137
CE2184	C00019	2.1.1.6
C03306	C00019	2.1.1.77
C00019	C01972	2.1.1.62
C00019	C00087	2.8.1.8
C00019	CE2182	2.1.1.6
C00019	C09640	;2.1.1.6
C00019	C00821	2.1.1.72
C00019	C05299	2.1.1.6
C00019	C04441	2.1.1.98
C00019	C05660	2.1.1.4
C00019	C04692	2.1.1.98
C00019	C05594	2.1.1.6
C00019	C03702	2.1.1.43
C00019	C02735	2.1.1.28
C00019	C01586	2.1.1.6
C00019	C09642	;2.1.1.6
C00019	C00978	2.1.1.4
C00019	C02031	2.1.1.56
C00019	C00350	;2.1.1.17
C00019	pe_hs	2.1.1.17
C00019	C02918	2.1.1.1
C00019	C05320	2.1.1.125
C00019	C00581	2.1.1.2
C00019	CE2183	2.1.1.6
C00019	C00213	;2.1.1.20
C00019	CE6205	2.1.1.6
C00019	C04311	2.1.1.77
C00019	C00954	2.1.1.6
C00019	C04155	2.1.1.32;2.1.1.36;2.1.1.29;2.1.1.33;2.1.1.61
C00019	C05298	;2.1.1.6
C00019	C00780	;2.1.1.49;2.1.1.4
C00019	C02967	2.1.1.37
C00019	C05752	2.8.1.8
C00019	C05635	2.1.1.4
C00019	C00073	;2.5.1.6;2.8.1.8;2.1.1.13;2.1.1.10
C00019	C05544	2.1.1.59;2.1.1.43;2.1.1.60
C00019	C05582	2.1.1.6
C00019	C05588	2.1.1.6
C00019	C06213	2.1.1.49
C00019	C01137	4.1.1.50
C00019	C00398	;2.1.1.49
C00019	C00788	;2.1.1.28;2.1.1.6
C00019	C05522	2.1.1.37
C00019	C06212	2.1.1.49
C00019	C01241	;2.1.1.17
C00019	C02415	2.1.1.43
C00019	C00399	;2.1.1.114
C00019	C00157	;2.1.1.17
C00019	C00547	;2.1.1.28;2.1.1.6
C00019	CE4890	;2.1.1.6
C00019	C01977	2.1.1.31
C00019	CE1918	2.1.1.6
C00019	C04308	2.1.1.17
C00019	C05198	2.8.1.8
C00019	C05584	2.1.1.6
C00019	CE5626	;2.1.1.6
C00019	C05200	2.1.1.114
C00019	C06697	2.1.1.137
C00019	C05587	2.1.1.6
C00019	CE2176	2.1.1.6
C00019	C02442	;2.1.1.49;2.1.1.6
C00019	C02339	2.1.1.56
C00019	C01756	2.1.1.67
C00019	C06410	1.16.1.8
C00019	C00592	2.1.1.43
C00019	C01598	;2.1.1.49;2.1.1.4
C00019	C07295	2.1.1.137
C00019	C00066	2.1.1.32;2.1.1.36;2.1.1.29;2.1.1.33;2.1.1.61
C00019	C04158	2.1.1.32
C00019	C04156	2.1.1.36
C00019	C05589	2.1.1.6
C00014	C05130	1.4.3.6
C05130	C00027	1.4.3.6
C05130	C01342	1.4.3.6
