input_row	EID	str_row_ion	compounds	compound_names	input_row	m/z	retention_time	p_value	statistic	CompoundID_from_user
row7	E1	row7_M+H[1+]	C00944	3-Dehydroquinate; 5-Dehydroquinate; 3-Dehydroquinic acid; 5-Dehydroquinic acid	row7	191.0556	377.3	0.8516456590872941	-0.3200445002905498	
row8	E2	row8_M+Na[1+]	1mncam;C02918	1-Methylnicotinamide$1-Methylnicotinamide	row8	160.0607	170.45	0.7916940499581501	0.4230847499648646	
row9	E3	row9_M+Na[1+]	1mncam;C02918	1-Methylnicotinamide$1-Methylnicotinamide	row9	160.0607	193.78	0.7509444451163693	0.5041845883388715	
row11	E5	row11_M+H[1+]	C00804	Propynoate; Propiolic acid; Acetylenecarboxylic acid; Acetylenemonocarboxylate	row11	71.0127	301.08	0.5339815886012456	1.0287062110744205	
row19	E6	row19_M+H[1+];row20_M+H[1+]	C00322	2-Oxoadipate	row19	161.0449	242.72	0.2622219524034387	2.1781732799369857	C6H10O5
row20	E6	row19_M+H[1+];row20_M+H[1+]	C00322	2-Oxoadipate	row20	161.0449	245.47	0.15250257383103663	3.1071317273098185	C6H10O5
row33	E8	row33_M+H[1+]	C00158;C04575;C00311	Citrate$$Isocitrate	row33	193.0348	307.77	0.5768396525903037	-0.9166860421940191	C6H10O7
row71	E12	row71_M+H[1+];row79_M(C13)+H[1+]	C01879;C04281;C04282	5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate	row71	130.05	184.53	0.11689515513443782	-3.59427776033988	
row72	E13	row72_M+H[1+]	C01879;C04281;C04282	5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate	row72	130.05	299.9	0.35958533316619273	1.57690040722693	
row78	E18	row78_M+H[1+]	CE5538;C05653	noradrenochrome$N-Formylanthranilate	row78	166.0502	47.59	0.7207933283445996	-0.562644474521273	C8H9NO3
row79	E12	row71_M+H[1+];row79_M(C13)+H[1+]	C01879;C04281;C04282	5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate	row79	131.0533	184.13	0.03319041167463199	-7.873790105115078	
row89	E28	row89_M+Na[1+]	C01250	N-Acetyl-L-glutamate 5-semialdehyde; 2-Acetamido-5-oxopentanoate	row89	196.0585	225.32	0.06881611433440409	5.077028920975896	
row90	E30	row90_M+H[1+]	C00822;C05604	Dopaquinone$2-Carboxy-2,3-dihydro-5,6-dihydroxyindole; Leucodopachrome	row90	196.0612	380.45	0.48739530053922936	-1.1615283908732112	C9H11NO4
row136	E36	row136_M+Na[1+]	C00217;C00025;C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-Glutamate$L-4-Hydroxyglutamate semialdehyde	row136	170.0426	254.8	0.05768121010510355	-5.759395220451744	
row137	E37	row137_M+Na[1+]	C00791		row137	136.0477	48.64	0.43533522778974304	1.3083254482794895	C8H8O2
row144	E38	row144_M+Na[1+]	C02670;C00072;glac	D-glucurono-6,3-lactone$L-Ascorbate$D-glucurono-6,3-lactone	row144	199.0219	241.27	0.2085362753815953	-2.5496831682736008	
row145	E39	row145_M+Na[1+]	C00438	N-Carbamoyl-L-aspartate	row145	199.0331	225.98	0.28965957329255204	1.9574434416874342	
row156	E42	row1118_M+H[1+];row156_M+H+Na[2+]	C05606	Melanin	row156	171.0303	195.48	0.22112245819163776	2.4564280397950986	
row157	E43	row157_M+H[1+];row176_M(C13)+H[1+]	C05576	3,4-Dihydroxyphenylethyleneglycol	row157	171.0656	194.57	0.22895771669804912	2.401057187429418	
row160	E44	row160_M+H[1+]	C00108	Anthranilate	row160	138.0551	47.59	0.153030743618159	-3.1002885762241545	C8H8O2
row172	E48	row172_M+Na[1+];row173_M+Na[1+]	C01040;C05394;C00198	L-Gulono-1,4-lactone; L-Gulono-gamma-lactone; gamma-Gulonolactone; L-Gulonic acid gamma-lactone; L-Gulonolactone$3-Keto-beta-D-galactose$D-Glucono-1,5-lactone; Gluconic lactone; Gluconic acid lactone; 1,5-Gluconolactone; delta-Gluconolactone; D-Gluconolactone; Gluconolactone	row172	201.0375	176.09	0.3284650722015576	-1.7282752557346417	C6H12O6
row173	E48	row172_M+Na[1+];row173_M+Na[1+]	C01040;C05394;C00198	L-Gulono-1,4-lactone; L-Gulono-gamma-lactone; gamma-Gulonolactone; L-Gulonic acid gamma-lactone; L-Gulonolactone$3-Keto-beta-D-galactose$D-Glucono-1,5-lactone; Gluconic lactone; Gluconic acid lactone; 1,5-Gluconolactone; delta-Gluconolactone; D-Gluconolactone; Gluconolactone	row173	201.0375	178.19	0.37057244650663507	-1.5165094056398831	
row176	E43	row157_M+H[1+];row176_M(C13)+H[1+]	C05576	3,4-Dihydroxyphenylethyleneglycol	row176	172.0689	194.83	0.08631880939445276	4.316519102133179	
row179	E50	row179_M+Na[1+]	C00122	Fumarate	row179	139.0002	241.4	0.09041906969946731	-4.206679558725185	
row201	E55	row201_M+Na[1+]	C16631	alpha-Fluoro-beta-ureidopropionic acid; 2-Fluoro-3-ureidopropionic acid	row201	173.0333	270.22	0.3804363891333935	-1.4864647961086273	
row215	E29	row215_M+H[1+]	C01250	N-Acetyl-L-glutamate 5-semialdehyde; 2-Acetamido-5-oxopentanoate	row215	174.0765	287.03	0.8276124535762682	0.36032615395852186	C7H13NO4
row232	E59	row232_M+H[1+]	C00078;C00525	L-Tryptophan$D-Tryptophan	row232	205.0977	233.76	0.10607061095617056	-3.8357077472623575	
row254	E64	row254_M+H[1+]	C01045;C01042	N-Formyl-L-glutamate$N-Acetyl-L-aspartate	row254	176.0557	194.3	0.6127300677989462	0.8252490223351627	
row255	E65	row255_M+H[1+]	C01045;C01042	N-Formyl-L-glutamate$N-Acetyl-L-aspartate	row255	176.0557	212.85	0.6885766236528196	0.6415307354734938	C6H11NO5
row259	E69	row259_M+H[1+]	C05130	Imidazole-4-acetaldehyde; Imidazole acetaldehyde	row259	111.0553	163.98	0.04675856049039911	-6.6747387860774	
