SOURCE	TARGET	ENZYMES
C16587	C16596	1.1.1.1
C00191	C00140	;3.2.1.31
C06425	C06428	3.1.2.2
C02041	C06428	3.1.2.2
ha_pre1	C00140	3.2.1.31;3.2.1.52
ksi_deg41	C00140	3.2.1.52
C16586	C16596	1.1.1.1
C00040	C02075	2.3.1.76
C00686	C00645	2.5.1.57;2.7.1.60
C00645	G10610	5.1.3.14
C00645	C04257	2.5.1.57;2.5.1.56;2.7.1.60;
C00645	C01170	5.1.3.14
C00645	C00015	;5.1.3.14;2.7.1.40
C00645	C00074	2.5.1.57;2.5.1.56;2.7.1.60;;5.1.3.14;4.2.1.11;4.1.3.3;4.1.1.32;5.1.3.8;2.7.1.40
C00645	C00270	2.5.1.56;4.1.3.3
C00645	G10619	;5.1.3.14;2.7.1.40
C00645	C00043	;5.1.3.14;2.7.1.40
C00645	C00140	;5.1.3.8
C00645	C00625	5.1.3.8;2.7.1.60
C00645	C03000	5.1.3.8
C00645	C00022	;2.7.1.40;4.1.3.3
C00645	G11112	5.1.3.14
ksi_deg35	C00140	3.2.1.52
ksi_deg31	C00140	3.2.1.52
C00154	C06428	3.1.2.2
C00712	C06428	3.1.2.2
C00052	C00140	;2.4.1.90
C16169	C06428	3.1.2.2
C05635	C00027	1.2.3.1
C05635	C05660	2.1.1.4
C05635	C05634	1.2.1.3;1.2.3.1
C05635	C00021	2.1.1.4
C05635	C00019	2.1.1.4
ksi_deg22	C00140	3.2.1.52
G10483	C00140	3.2.1.14
C00226	C16596	1.1.1.1
hs_deg21	C00140	3.2.1.50
C06135	C00140	3.2.1.52
ksi_deg8	C00140	3.2.1.52
C01595	C06428	3.1.2.2
C00084	C16596	1.1.1.1
C00249	C06428	3.1.2.2
C00412	C06428	3.1.2.2
ksi_deg11	C00140	3.2.1.52
C00777	C16680	1.14.14.1
C00777	C00027	1.2.3.11;
C00777	C00020	
C00777	C00015	;2.4.1.17
C00777	C11061	2.4.1.17
C00777	CE1617	;1.2.1.36;2.4.1.17
