massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row1	159.9856	227.56	0.1276558900864502	3.604816280216239	
row2	159.9914	206.68	0.6003826431082554	0.8506539127206265	
row3	121.943	140.78	0.615625062126473	0.8150129567022736	
row4	122.0213	219.81	0.22601316667178792	2.51591560415267	
row5	122.0213	226.24	0.23115209807778375	2.466773159733193	
row6	191.0556	377.3	0.5731731475659223	-0.9180889822424031	
row7	160.0607	170.45	0.7317766989776724	-0.5630721429580294	
row8	160.0607	193.78	0.5983228968031417	-0.8574265715032005	
row9	160.0799	293.59	0.021336345105597333	-11.319574598742049	
row10	71.0127	301.08	0.16105898494736204	3.1515493231461105	
row11	73.0195	214.95	0.3037235905600373	1.8128210568956904	
row12	160.9921	207.2	0.2818206325946135	-2.030003346915142	
row13	161.0449	242.72	0.7890990714348081	-0.4431949228149228	C6H10O5
row14	161.0449	245.47	0.7787484098078601	0.46292243149845363	C6H10O5
row15	161.056	314.86	0.1637804826084208	-3.1150875394156423	
row16	124.0063	218.23	0.09553411988370598	4.340516836909772	
row17	192.0522	143.14	0.9386816099702463	0.134989955602693	
row18	161.8749	39.71	0.7787484098078601	0.4625484013820686	
row19	125.0097	218.23	0.058486281288230385	5.8576254990758105	
row20	192.816	142.62	0.5403273744198119	-0.9979011173287844	
row21	162.0592	315.0	0.17673196244128933	-2.989737788726066	
row22	126.0021	218.23	0.014537470868068206	14.31818523104086	C5H5NOS,C5H5NOS
row23	193.0348	307.77	0.9889827389226394	-0.024803652326230625	C6H10O7
row24	126.904	29.86	0.6130448343902841	-0.8241565563178981	
row25	193.0504	61.57	0.68458690330651	0.6585113217638834	
row26	163.0604	194.57	0.8969392562913377	0.2227229585533808	
row27	80.9641	180.98	0.592993863999044	-0.8679860827331092	
row28	127.0028	162.14	0.9559557211333883	0.10231506129957196	
row29	127.0028	163.59	0.700458493410688	-0.6193680718413475	
row30	193.0614	130.22	0.6152461701288804	0.8181769330507055	
row31	193.0647	275.21	0.30167413293214185	1.822233958437181	
row32	127.0754	194.83	0.37073697578102693	1.5078777163299537	
row33	127.8692	1.7	0.4121490240266122	1.3576700632365706	
row34	82.9531	34.59	0.9513820722380741	-0.11421008180527069	
row35	163.8959	141.31	0.22156374956286956	2.5396810620614385	
row36	163.8959	152.92	0.6328345434696517	0.7767637651542693	H2MoO4
row37	193.8151	152.26	0.4519447403801022	1.226515648736818	
row38	164.8384	141.96	0.36410803758866156	1.5412577517253288	
row39	164.8384	152.4	0.16744817323432787	3.067380954514677	
row40	128.9585	206.68	0.6644640760879427	0.6963394543588554	C3H2N2S2
row41	128.9981	141.7	0.2392886549694125	2.4009874160757168	
row42	84.0444	194.57	0.1290087037730614	3.5613294795324744	
row43	84.9501	34.59	0.7370115336713616	-0.5510900100693692	
row44	164.9962	1.96	0.4408410337101497	1.2591153209046553	
row45	129.0377	324.84	0.014537470868068206	14.52804753944886	
row46	85.0284	194.83	0.35556806535605967	1.573300622539253	
row47	86.0061	23.16	0.5988234412959755	0.8548044907258177	
row48	165.0298	136.02	0.4172456698493082	1.3382290351202928	
row49	129.1023	244.69	0.16645168070448424	-3.0891022143212865	
row50	129.1023	260.47	0.2818206325946135	-1.9472578695930738	
row51	194.9362	367.45	0.368299872968392	1.5159113655279752	
row52	87.0441	194.57	0.2490753767653715	2.341848089555647	
row53	129.9934	141.7	0.6040830565123732	-0.8427589566535028	
row54	88.0474	194.57	0.2818206325946135	1.943931806252372	
row55	130.05	184.53	0.9038258779511276	0.2044735445031784	
row56	130.05	299.9	0.01909260392005103	11.957065401599907	
row57	165.891	139.96	0.6904950394683784	0.6451633420298992	
row58	165.891	154.63	0.26518826935711776	2.253046756499051	
row59	194.9881	222.43	0.5345903866626945	1.0145264345803133	
row60	89.012	112.03	0.8649661522145016	0.30000253686388717	
row61	130.9952	141.96	0.19714225183264886	2.800241992994299	
row62	166.0502	47.59	0.9251819886191845	-0.16266464092642724	C8H9NO3
row63	131.0533	184.13	0.8649661522145016	0.29772190637081314	
row64	195.077	198.51	0.11989499671513498	3.7547967364052237	
row65	131.0605	194.7	0.23625389149579662	2.4316779126346906	
