input_row	EID	str_row_ion	compounds	compound_names	input_row	m/z	retention_time	p_value	statistic	CompoundID_from_user
row6	E2	row6_M+H[1+]	C00944	3-Dehydroquinate; 5-Dehydroquinate; 3-Dehydroquinic acid; 5-Dehydroquinic acid	row6	191.0556	377.3	0.5731731475659223	-0.9180889822424031	
row7	E3	row7_M+Na[1+]	1mncam;C02918	1-Methylnicotinamide$1-Methylnicotinamide	row7	160.0607	170.45	0.7317766989776724	-0.5630721429580294	
row8	E4	row8_M+Na[1+]	1mncam;C02918	1-Methylnicotinamide$1-Methylnicotinamide	row8	160.0607	193.78	0.5983228968031417	-0.8574265715032005	
row10	E6	row10_M+H[1+]	C00804	Propynoate; Propiolic acid; Acetylenecarboxylic acid; Acetylenemonocarboxylate	row10	71.0127	301.08	0.16105898494736204	3.1515493231461105	
row13	E7	row13_M+H[1+];row14_M+H[1+]	C00322	2-Oxoadipate	row13	161.0449	242.72	0.7890990714348081	-0.4431949228149228	C6H10O5
row14	E7	row13_M+H[1+];row14_M+H[1+]	C00322	2-Oxoadipate	row14	161.0449	245.47	0.7787484098078601	0.46292243149845363	C6H10O5
row23	E8	row23_M+H[1+]	C00158;C04575;C00311	Citrate$$Isocitrate	row23	193.0348	307.77	0.9889827389226394	-0.024803652326230625	C6H10O7
row55	E12	row55_M+H[1+];row63_M(C13)+H[1+]	C01879;C04281;C04282	5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate	row55	130.05	184.53	0.9038258779511276	0.2044735445031784	
row56	E13	row56_M+H[1+]	C01879;C04281;C04282	5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate	row56	130.05	299.9	0.01909260392005103	11.957065401599907	
row62	E18	row62_M+H[1+]	CE5538;C05653	noradrenochrome$N-Formylanthranilate	row62	166.0502	47.59	0.9251819886191845	-0.16266464092642724	C8H9NO3
row63	E12	row55_M+H[1+];row63_M(C13)+H[1+]	C01879;C04281;C04282	5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate	row63	131.0533	184.13	0.8649661522145016	0.29772190637081314	
row77	E28	row77_M+Na[1+]	C01250	N-Acetyl-L-glutamate 5-semialdehyde; 2-Acetamido-5-oxopentanoate	row77	196.0585	225.32	0.7895896701214284	-0.44138937292808633	
