SOURCE	TARGET	ENZYMES
C04157	C00019	2.1.1.31
C02266	C00181	1.1.1.179
C00624	C00025	2.3.1.1
C00624	C00024	2.3.1.1
C00624	C00010	2.3.1.1
ksii_core2_deg7	C00140	3.2.1.52
C04282	C00027	1.4.3.3
C04282	C03440	1.4.3.3
C00978	C00019	2.1.1.4
ksi_deg37	C00140	3.2.1.52
C00091	C00430	2.3.1.37
C05947	C04281	1.5.1.12
C16239	C00019	2.8.1.8
G08421	C00140	3.2.1.52
C00954	C00019	2.1.1.6
C16236	C00019	2.8.1.8
n2m2mn	C00140	3.2.1.52
C00579	C00143	2.1.2.10
C04398	C01157	1.14.11.2
chtn	C00140	3.2.1.14
xu1p-D	C00310	2.7.1.3;1.1.1.9;2.7.1.17;4.1.2.13
C04160	C00019	2.1.1.33
C03912	C01165	1.5.1.12;
C03272	C00140	;3.2.1.52
C00329	C00140	;3.5.1.33;3.2.1.31;3.2.1.25;2.3.1.3;3.2.1.52;2.7.1.8;3.10.1.1;5.1.3.8;2.7.1.59;3.2.1.50;2.7.1.1;3.2.1.96;2.4.1.90;3.1.4.45;3.2.1.14
C00547	C00019	;2.1.1.28;2.1.1.6
C01598	C00019	;2.1.1.49;2.1.1.4
C00645	C00015	;5.1.3.14;2.7.1.40
C00645	G10619	;5.1.3.14;2.7.1.40
C00645	C01170	5.1.3.14
C00645	C00270	2.5.1.56;4.1.3.3
C00645	G10610	5.1.3.14
C00645	C00140	;5.1.3.8
C00645	C00625	5.1.3.8;2.7.1.60
C00645	C00022	;2.7.1.40;4.1.3.3
C00645	C03000	5.1.3.8
C00645	C00686	2.5.1.57;2.7.1.60
C00645	C00074	2.5.1.57;2.5.1.56;2.7.1.60;;5.1.3.14;4.2.1.11;4.1.3.3;4.1.1.32;5.1.3.8;2.7.1.40
C00645	C04257	2.5.1.57;2.5.1.56;2.7.1.60;
C00645	C00043	;5.1.3.14;2.7.1.40
C00645	G11112	5.1.3.14
C00399	C00019	;2.1.1.114
C00445	C00143	1.5.1.5;2.1.2.10;1.5.1.15
C00461	C00140	3.2.1.14
C00483	C00019	2.1.1.49;2.1.1.6
hs_deg21	C00140	3.2.1.50
C00027	C03440	1.4.3.3
C00027	C03239	;1.4.3.14
C00027	C01110	1.4.3.3
CE4890	C00019	;2.1.1.6
C00153	C00019	2.1.1.1
C00143	C00415	2.1.1.45
C00143	C00037	;1.5.99.1;2.1.2.1;2.1.2.10
C00143	C00364	2.1.1.45
C00143	C02972	2.1.2.10
C00143	C00213	;1.5.99.1
C00143	C00268	
C00143	C01352	;1.5.99.1;1.5.1.20
C00143	C00272	
C00143	C00365	2.1.1.45
C00143	C01242	2.1.2.10
C00143	C00065	;2.1.2.1
C00143	C01342	;2.1.2.10
C00143	C00016	;1.5.99.1;1.5.1.20
