SOURCE	TARGET	ENZYMES
C02320	C14848	2.5.1.18
C02320	C14847	2.5.1.18
C14800	C14848	2.5.1.18
C14800	C14847	2.5.1.18
C14865	C14848	2.5.1.18
C14865	C14847	2.5.1.18
C00051	C14848	2.5.1.18
C00051	C14847	2.5.1.18
C14848	C14870	2.5.1.18
C14848	C14839	2.5.1.18
C14848	C00059	2.5.1.18
C14848	C11088	2.5.1.18
C14848	C14859	2.5.1.18
C14848	C06790	2.5.1.18
C14848	C16738	2.5.1.18
C14848	C14840	2.5.1.18
C14848	C14806	2.5.1.18
C14848	C00726	2.5.1.18
C14848	C14847	2.5.1.18
C14848	C07645	2.5.1.18
C14848	C13645	2.5.1.18
C14848	C14786	2.5.1.18
C14848	C14802	2.5.1.18
C14848	C14868	2.5.1.18
C14848	C14863	2.5.1.18
C14848	C14864	2.5.1.18
C14848	C14852	2.5.1.18
C14848	C14851	2.5.1.18
C14848	C01318	2.5.1.18
C14848	C14792	2.5.1.18
C14848	C14787	2.5.1.18
C14848	C14871	2.5.1.18
C14848	C01322	2.5.1.18
C14848	C01327	2.5.1.18
C14848	C14857	2.5.1.18
C14848	C14858	2.5.1.18
C14848	C14861	2.5.1.18
C14848	C11583	2.5.1.18
C14848	C14805	2.5.1.18
C14848	C14791	2.5.1.18
C14848	C14804	2.5.1.18
C14848	C14803	2.5.1.18
C14848	C14856	2.5.1.18
C14848	C14855	2.5.1.18
C14848	C14793	2.5.1.18
C14848	C14874	2.5.1.18
C14848	C01326	2.5.1.18
C14870	C14847	2.5.1.18
C14839	C14847	2.5.1.18
C00059	C14847	2.5.1.18
C11088	C14847	2.5.1.18
C14859	C14847	2.5.1.18
C06790	C14847	2.5.1.18
C16738	C14847	2.5.1.18
C14840	C14847	2.5.1.18
C14806	C14847	2.5.1.18
C00726	C14847	2.5.1.18
C14847	C07645	2.5.1.18
C14847	C13645	2.5.1.18
C14847	C14786	2.5.1.18
C14847	C14802	2.5.1.18
C14847	C14868	2.5.1.18
C14847	C14863	2.5.1.18
C14847	C14864	2.5.1.18
C14847	C14852	2.5.1.18
C14847	C14851	2.5.1.18
C14847	C01318	2.5.1.18
C14847	C14792	2.5.1.18
C14847	C14787	2.5.1.18
C14847	C14871	2.5.1.18
C14847	C01322	2.5.1.18
C14847	C01327	2.5.1.18
C14847	C14857	2.5.1.18
C14847	C14858	2.5.1.18
C14847	C14861	2.5.1.18
C14847	C11583	2.5.1.18
C14847	C14805	2.5.1.18
C14847	C14791	2.5.1.18
C14847	C14804	2.5.1.18
C14847	C14803	2.5.1.18
C14847	C14856	2.5.1.18
C14847	C14855	2.5.1.18
C14847	C14793	2.5.1.18
C14847	C14874	2.5.1.18
C14847	C01326	2.5.1.18
