pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Bile acid biosynthesis	4	5	0.0013444248382488866	E248,E237,E169,E224	C05122/C15516,C05463/C05465,C00695,C01921	taurocholic acid/Taurohyocholate; N-(3alpha,6alpha,7alpha-Trihydroxy-5beta-cholan-24-oyl)taurine$Taurodeoxycholate/Taurochenodeoxycholate; Chenodeoxycholoyltaurine$Cholate$glycocholate
Squalene and cholesterol biosynthesis	1	1	0.05713805562557768	E135		
Valine, leucine and isoleucine degradation	2	4	0.06369212671204101	E88,E133	,	$
Arachidonic acid metabolism	2	4	0.06369212671204101	E180,E175	,	$
Glycerophospholipid metabolism	2	4	0.06369212671204101	E180,E111	,	$
Biopterin metabolism	1	2	0.12108226199479036	E111		
Vitamin A (retinol) metabolism	1	2	0.12108226199479036	E180		
Fructose and mannose metabolism	1	2	0.12108226199479036	E112		
Vitamin B6 (pyridoxine) metabolism	1	2	0.12108226199479036	E120		
Lysine metabolism	1	2	0.12108226199479036	E99		
Hexose phosphorylation	1	3	0.18779934459289135	E112		
Galactose metabolism	1	3	0.18779934459289135	E112		
Vitamin B1 (thiamin) metabolism	1	3	0.18779934459289135	E142		
Vitamin B3 (nicotinate and nicotinamide) metabolism	1	3	0.18779934459289135	E111		
Leukotriene metabolism	1	3	0.18779934459289135	E175		
Aspartate and asparagine metabolism	1	3	0.18779934459289135	E43		
Linoleate metabolism	1	4	0.23006470044534072	E27		
Histidine metabolism	1	4	0.23006470044534072	E31		
Drug metabolism - cytochrome P450	1	4	0.23006470044534072	E61		
Xenobiotics metabolism	1	4	0.23006470044534072	E238		
Methionine and cysteine metabolism	1	4	0.23006470044534072	E22		
Purine metabolism	1	7	0.2644315603730779	E165		
Tryptophan metabolism	2	14	0.267624569363919	E55,E84	,	$
Tyrosine metabolism	2	16	0.26947315351651124	E153,E57	,	$
Urea cycle/amino group metabolism	1	10	0.2697252331736829	E165		
Vitamin D3 (cholecalciferol) metabolism	0	0	0.2725821359549618			
Hyaluronan Metabolism	0	2	0.2725821359549618			
N-Glycan biosynthesis	0	3	0.2725821359549618			
Glycolysis and Gluconeogenesis	0	2	0.2725821359549618			
Glycosphingolipid biosynthesis - ganglioseries	0	2	0.2725821359549618			
R Group Synthesis	0	0	0.2725821359549618			
C5-Branched dibasic acid metabolism	0	0	0.2725821359549618			
Pyruvate Metabolism	0	0	0.2725821359549618			
Sialic acid metabolism	0	0	0.2725821359549618			
Chondroitin sulfate degradation	0	0	0.2725821359549618			
Di-unsaturated fatty acid beta-oxidation	0	0	0.2725821359549618			
Putative anti-Inflammatory metabolites formation from EPA	0	2	0.2725821359549618			
Vitamin B2 (riboflavin) metabolism	0	0	0.2725821359549618			
Keratan sulfate degradation	0	3	0.2725821359549618			
Glycerolipid metabolism	0	0	0.2725821359549618			
Carnitine shuttle	0	4	0.2725821359549618			
