SOURCE	TARGET	ENZYMES
C00330	C00387	2.4.2.1;3.1.3.5;2.4.2.4
C00330	C00242	2.4.2.1;3.1.3.5;2.4.2.4
C00362	C00387	3.1.3.5
C00314	C00250	3.1.3.74;;1.2.3.8;1.4.3.5;1.2.3.1;2.7.1.35;1.1.3.12
C00144	C00387	3.1.3.5;2.4.2.7;2.4.2.22;2.4.2.8
C00144	C00242	3.1.3.5;2.4.2.7;2.4.2.22;2.4.2.8
C00475	C00387	3.1.3.5
C00147	C00387	2.4.2.1;2.4.2.8;2.4.2.4;2.4.2.7
C00147	C00242	2.4.2.1;2.4.2.8;2.4.2.4;2.4.2.7
C16619	C00242	2.4.2.8
C00239	C00387	3.1.3.5
C16614	C00242	2.4.2.8
C00847	C00250	1.2.3.1;1.2.3.8
C00299	C00387	3.1.3.5
C01449	C00242	2.4.2.29
C07649	C00242	2.4.2.4
C00250	C00014	;1.4.3.5
C00250	C00071	1.4.3.5
C00250	C00647	3.1.3.74;;1.4.3.5;2.7.1.35
C00250	C00706	1.4.3.5
C00250	C00018	;3.1.3.74;1.4.3.5;2.7.1.35
C00250	C00704	;1.2.3.1;1.2.3.8
C00250	C00027	;1.1.3.12;1.2.3.1;1.4.3.5
C00250	C00627	;3.1.3.74;1.4.3.5;2.7.1.35
C00250	C00534	3.1.3.74;;1.4.3.5;2.7.1.35
C00212	C00387	2.4.2.1;3.1.3.5
C00212	C00242	2.4.2.1;3.1.3.5
C00455	C00387	3.1.3.5
C01977	C00242	2.4.2.29
C00119	C00242	2.4.2.8;2.4.2.7;2.4.2.22
C00911	C00387	3.1.3.5
C00106	C00387	2.4.2.1;2.4.2.4
C00106	C00242	2.4.2.1;2.4.2.4
C16615	C00242	2.4.2.8
C00214	C00387	3.1.3.5;2.4.2.4
C00214	C00242	3.1.3.5;2.4.2.4
C00364	C00387	3.1.3.5
C00014	C00242	3.5.4.3
C00105	C00387	3.1.3.5
C11736	C00242	2.4.2.4
C00153	C00387	2.4.2.1
C00153	C00242	2.4.2.1
C00055	C00387	3.1.3.5
C01978	C00242	2.4.2.29
C04646	C00242	2.4.2.8
C00672	C00387	2.4.2.1;3.1.3.5;2.4.2.4
C00672	C00242	2.4.2.1;3.1.3.5;2.4.2.4
C03150	C00387	2.4.2.1;3.1.3.5
C03150	C00242	2.4.2.1;3.1.3.5
C01342	C00242	3.5.4.3
C01762	C00387	2.4.2.1;3.1.3.5
C01762	C00242	2.4.2.1;3.1.3.5
C12739	C00242	2.4.2.4
C01185	C00387	3.1.3.5
C15586	C00387	2.4.2.1
C15586	C00242	2.4.2.1
C02380	C00242	2.4.2.8
C00130	C00387	3.1.3.5;2.4.2.22;2.4.2.8
C00130	C00242	3.1.3.5;2.4.2.22;2.4.2.8
C00360	C00387	3.1.3.5
C00526	C00387	2.4.2.1;2.4.2.4
C00526	C00242	2.4.2.1;2.4.2.4
C00655	C00387	3.1.3.5;2.4.2.22;2.4.2.8
C00655	C00242	3.1.3.5;2.4.2.22;2.4.2.8
C00385	C00387	3.5.4.3;2.4.2.8;2.4.2.1;2.4.2.4;2.4.2.22
C00385	C00242	3.5.4.3;2.4.2.8;2.4.2.1;2.4.2.4;2.4.2.22
C15587	C00387	2.4.2.1
C15587	C00242	2.4.2.1
C01736	C00387	2.4.2.1
C01736	C00242	2.4.2.1
C05841	C00387	2.4.2.1;3.1.3.5
C05841	C00242	2.4.2.1;3.1.3.5
C00020	C00387	3.1.3.5;2.4.2.7;2.4.2.8
C00020	C00242	3.1.3.5;2.4.2.7;2.4.2.8
C00262	C00387	3.5.4.3;2.4.2.8;2.4.2.1;2.4.2.4;2.4.2.22
C00262	C00242	3.5.4.3;2.4.2.8;2.4.2.1;2.4.2.4;2.4.2.22
C02520	C00387	3.1.3.5
C00620	C00387	2.4.2.1
C00620	C00242	2.4.2.1
C00294	C00387	2.4.2.1;3.1.3.5
C00294	C00242	2.4.2.1;3.1.3.5
C16637	C00242	2.4.2.4
C00253	C00387	2.4.2.1;3.1.3.5
C00253	C00242	2.4.2.1;3.1.3.5
C00387	C00442	2.4.2.1
C00387	C00242	2.4.2.29;2.4.2.8;2.4.2.22;3.1.3.5;2.4.2.1;3.5.4.3;2.4.2.4;2.4.2.7
C00387	C05512	2.4.2.1;2.4.2.4
C00387	C00881	3.1.3.5
C00387	G10621	3.1.3.5
C00387	C00465	2.4.2.1
C00387	C00559	2.4.2.1;3.1.3.5;2.4.2.4
C00442	C00242	2.4.2.1
C00242	C00178	2.4.2.4
C00242	C07648	2.4.2.8
C00242	C05512	2.4.2.1;2.4.2.4
C00242	C00465	2.4.2.1
C00242	C00559	2.4.2.1;3.1.3.5;2.4.2.4
