input_row	EID	str_row_ion	compounds	compound_names	input_row	m/z	retention_time	p_value	statistic	CompoundID_from_user
row3	E3	row26_M(C13)+H[1+];row3_M+H[1+]	C00300	Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine	row3	132.0769	252.96	0.7995357753223474	-1.1847083339323874	C4H9N3O2
row26	E3	row26_M(C13)+H[1+];row3_M+H[1+]	C00300	Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine	row26	133.0801	252.83	0.7995357753223474	-1.9402068586257297	C4H9N3O2
row28	E6	row28_M+H[1+]	C06103	6-Hydroxyhexanoic acid; 6-Hydroxyhexanoate	row28	133.0861	26.79	0.7995357753223474	-1.37665498034353	
row34	E7	row34_M+Na[1+]	C00257;C00800	D-Gluconate$L-Gulonate	row34	219.0476	192.56	0.7995357753223474	0.8811699178523953	
row52	E10	row357_M+Na[1+];row52_M+H[1+];row71_M(C13)+H[1+]	C00864	(R)-Pantothenate	row52	220.1181	179.0	0.8976539651231559	0.33069692932593675	C9H17NO5
row70	E15	row70_M+H[1+];row83_M(C13)+H[1+]	C00643	5-Hydroxy-L-tryptophan	row70	221.0922	191.51	0.7995357753223474	1.9165707153394045	C11H12N2O3
row71	E10	row357_M+Na[1+];row52_M+H[1+];row71_M(C13)+H[1+]	C00864	(R)-Pantothenate	row71	221.1214	178.87	0.7995357753223474	-2.028651638225169	C9H17NO5
row83	E15	row70_M+H[1+];row83_M(C13)+H[1+]	C00643	5-Hydroxy-L-tryptophan	row83	222.0956	191.25	0.7995357753223474	1.38220370799846	C11H12N2O3
row100	E20	row100_M+H[1+]	C07086;C03765	Phenylacetic acid; Benzylformic acid; Phenylacetate; Benzeneacetiic acid$4-Hydroxyphenylacetaldehyde	row100	137.0598	204.41	0.7995357753223474	-2.370309125978153	C8H8O2
row110	E23	row110_M+Na[1+]	CE4788;C00763;C00148	acetamidopropanal$D-Proline$L-Proline	row110	138.0526	222.17	0.9741809945370626	0.09507389841909022	
row122	E25	row122_M+H[1+]	C00785	Urocanate	row122	139.0503	182.68	0.7995357753223474	1.3263385514943216	C6H6N2O2
row151	E28	row151_M+Na[1+]	CE2949		row151	226.0107	388.93	0.7995357753223474	1.2320951451616953	
row160	E30	row160_M(C13)+H[1+];row556_M+Na[1+];row557_M+Na[1+]	C00082;CE2174	L-Tyrosine$	row160	183.0844	204.27	0.7995357753223474	-2.323020301526496	C9H11NO3
