EID	massfeature_rows	str_row_ion	compounds	compound_names
E3	row27;row3	row27_M(C13)+H[1+];row3_M+H[1+]	C00300	Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine
E6	row29	row29_M+H[1+]	C06103	6-Hydroxyhexanoic acid; 6-Hydroxyhexanoate
E7	row41	row41_M+Na[1+]	C00257;C00800	D-Gluconate$L-Gulonate
E10	row382;row63;row93	row382_M+Na[1+];row63_M+H[1+];row93_M(C13)+H[1+]	C00864	(R)-Pantothenate
E16	row106;row90	row106_M(C13)+H[1+];row90_M+H[1+]	C00643	5-Hydroxy-L-tryptophan
E21	row123	row123_M+H[1+]	C07086;C03765	Phenylacetic acid; Benzylformic acid; Phenylacetate; Benzeneacetiic acid$4-Hydroxyphenylacetaldehyde
E24	row132	row132_M+Na[1+]	CE4788;C00763;C00148	acetamidopropanal$D-Proline$L-Proline
E26	row139	row139_M+H[1+]	C00785	Urocanate
E27	row472	row472_M+Na[1+]	C00785	Urocanate
E29	row163	row163_M+Na[1+]	CE2949	
E31	row172;row597;row598	row172_M(C13)+H[1+];row597_M+Na[1+];row598_M+Na[1+]	C00082;CE2174	L-Tyrosine$
E32	row176	row176_M+H[1+]	C06486;C00386	(6R)-6-(L-erythro-1,2-Dihydroxypropyl)-5,6,7,8-tetrahydro-4a-$Carnosine; Nalpha-(beta-alanyl)-L-histidine
E33	row176	row176_M+Na[1+]	C02571	O-Acetylcarnitine
E35	row182	row182_M+H[1+]	C05589;C00788	L-Normetanephrine$L-Adrenaline; (R)-(-)-Adrenaline; (R)-(-)-Epinephrine; (R)-(-)-Epirenamine; (R)-(-)-Adnephrine; 4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol
E36	row183	row183_M+H[1+]	C05589;C00788	L-Normetanephrine$L-Adrenaline; (R)-(-)-Adrenaline; (R)-(-)-Epinephrine; (R)-(-)-Epirenamine; (R)-(-)-Adnephrine; 4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol
E39	row188	row188_M+Na[1+]	C02470	Xanthurenic acid
E40	row188	row188_M+H[1+]	C03287	L-Glutamyl 5-phosphate; L-Glutamate 5-phosphate
E42	row195	row195_M+Na[1+]	C00503	Erythritol; Erythrol; Phycitol; Phycite; Erythrite
E45	row213	row213_M+H[1+]	C01035	4-Guanidinobutanoate
E49	row224	row224_M+Na[1+]	C00328;C05647	L-Kynurenine$Formyl-5-hydroxykynurenamine
E52	row238;row250	row238_M+Na[1+];row250_M+HCOONa[1+]	C01019	6-Deoxy-L-galactose; L-Fucose
E54	row250	row250_M+Na[1+]	C02076	sedoheptulose
E55	row251	row251_M+H[1+]	C05579	Indole-5,6-quinone
