input_row	EID	str_row_ion	compounds	compound_names	input_row	m/z	retention_time	p_value	statistic	CompoundID_from_user
row3	E4	row3_M+H[1+];row30_M(C13)+H[1+]	C00300	Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine	row3	132.0769	252.96	0.920728383787023	0.9383635153988894	C4H9N3O2
row30	E4	row3_M+H[1+];row30_M(C13)+H[1+]	C00300	Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine	row30	133.0801	252.83	0.920728383787023	0.5841396201768992	C4H9N3O2
row32	E7	row32_M+H[1+]	C06103	6-Hydroxyhexanoic acid; 6-Hydroxyhexanoate	row32	133.0861	26.79	0.9575720798987395	-0.27915975127679565	
row38	E8	row38_M+Na[1+]	C00257;C00800	D-Gluconate$L-Gulonate	row38	219.0476	192.56	0.920728383787023	0.8226861852778066	
row40	E10	row40_M+H[1+];row41_M+H[1+]	C00978	N-Acetylserotonin; N-Acetyl-5-hydroxytryptamine	row40	219.1129	27.71	0.9768803359199043	-0.12787730827112637	
row41	E10	row40_M+H[1+];row41_M+H[1+]	C00978	N-Acetylserotonin; N-Acetyl-5-hydroxytryptamine	row41	219.1129	34.31	0.920728383787023	1.035751487633496	C10H16O5
row71	E15	row71_M+H[1+];row83_M(C13)+H[1+]	C00643	5-Hydroxy-L-tryptophan	row71	221.0922	191.51	0.920728383787023	1.7191292032861503	C11H12N2O3
row83	E15	row71_M+H[1+];row83_M(C13)+H[1+]	C00643	5-Hydroxy-L-tryptophan	row83	222.0956	191.25	0.920728383787023	1.4387124896226462	C11H12N2O3
row98	E20	row98_M+H[1+]	C07086;C03765	Phenylacetic acid; Benzylformic acid; Phenylacetate; Benzeneacetiic acid$4-Hydroxyphenylacetaldehyde	row98	137.0598	204.41	0.920728383787023	0.8776129620103607	C8H8O2
row100	E22	row100_M+H[1+]	C02291;C00542	L-Cystathionine$Cystathionine	row100	223.0749	25.33	0.920728383787023	0.730793093529259	
row110	E28	row110_M+Na[1+]	CE4788;C00763;C00148	acetamidopropanal$D-Proline$L-Proline	row110	138.0526	222.17	0.920728383787023	0.5685604714449224	
row119	E30	row119_M+H[1+]	C00785	Urocanate	row119	139.0503	182.68	0.920728383787023	-0.4075253293921193	C6H6N2O2
row143	E33	row143_M+Na[1+]	CE2949		row143	226.0107	388.93	0.920728383787023	0.7796983531633472	
row149	E35	row149_M(C13)+H[1+];row553_M+Na[1+];row554_M+Na[1+]	C00082;CE2174	L-Tyrosine$	row149	183.0844	204.27	0.920728383787023	0.7020466608427072	C9H11NO3
row160	E36	row160_M+H[1+]	C05589;C00788	L-Normetanephrine$L-Adrenaline; (R)-(-)-Adrenaline; (R)-(-)-Epinephrine; (R)-(-)-Epirenamine; (R)-(-)-Adnephrine; 4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol	row160	184.097	30.07	0.973967444019636	0.1561499285035907	
row161	E37	row161_M+H[1+]	C05589;C00788	L-Normetanephrine$L-Adrenaline; (R)-(-)-Adrenaline; (R)-(-)-Epinephrine; (R)-(-)-Epirenamine; (R)-(-)-Adnephrine; 4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol	row161	184.097	161.51	0.9276923530453584	0.389875377896886	
row168	E40	row168_M+Na[1+]	C00503	Erythritol; Erythrol; Phycitol; Phycite; Erythrite	row168	145.0474	197.29	0.920728383787023	-1.4782778731400974	
row200	E43	row200_M+H[1+]	C01035	4-Guanidinobutanoate	row200	146.0925	254.67	0.9579935103300435	-0.26986308493828814	C5H11N3O2
row217	E47	row217_M+H[1+]	C05579	Indole-5,6-quinone	row217	148.0393	27.97	0.920728383787023	-1.1544121434285415	C8H5NO2
row218	E48	row218_M+H[1+]	C05579	Indole-5,6-quinone	row218	148.0393	204.41	0.920728383787023	0.753770580693969	
row238	E51	row238_M+H[1+]	CE4888;C05578	dopaminochrome$5,6-Dihydroxyindole; DHI	row238	150.0551	47.77	0.9735103675548189	0.15931500834917436	C8H7NO2
row261	E55	row261_M+Na[1+]	C00547;C00314	Norepinephrine$Pyridoxine	row261	192.0627	50.0	0.920728383787023	0.6230025744023278	
