SOURCE	TARGET	ENZYMES
C06548	C14771	3.3.2.10
C06548	C14768	3.3.2.10
C06548	C14770	3.3.2.10
C06548	C14769	3.3.2.10
C14771	C15588	3.3.2.10
C14771	CE2730	1.3.3.6;1.1.1.35;3.1.2.2;4.2.1.17;2.3.1.16;2.3.1.154;6.2.1.-;5.1.99.4
C14771	C00722	3.3.2.10
C14771	C14768	3.3.2.9;1.14.14.1;3.3.2.10
C14771	C00219	3.1.2.2;1.14.14.1
C14771	C14770	2.3.1.16;1.3.3.6;1.14.14.1;3.3.2.10;1.1.1.35;4.2.1.17;3.1.2.2;2.3.1.154;6.2.1.-;3.3.2.9;5.1.99.4
C14771	C14774	3.3.2.9;3.3.2.10
C14771	C14773	3.3.2.9;3.3.2.10
C14771	C14769	3.3.2.9;1.14.14.1;3.3.2.10
C14771	C00020	1.3.3.6;1.1.1.35;3.1.2.2;4.2.1.17;2.3.1.16;2.3.1.154;6.2.1.-;5.1.99.4
C14771	C00010	1.3.3.6;1.1.1.35;3.1.2.2;4.2.1.17;2.3.1.16;2.3.1.154;6.2.1.-;5.1.99.4
C14771	C14772	3.3.2.9;3.3.2.10
C14771	C00027	1.3.3.6;1.1.1.35;3.1.2.2;4.2.1.17;2.3.1.16;2.3.1.154;6.2.1.-;5.1.99.4
C14771	C00016	1.3.3.6;1.14.14.1
C14771	C01380	3.3.2.10
C14771	C01352	1.3.3.6;1.14.14.1
C14771	C14775	3.3.2.9;3.3.2.10
C14771	C00024	1.3.3.6;1.1.1.35;3.1.2.2;4.2.1.17;2.3.1.16;2.3.1.154;6.2.1.-;5.1.99.4
C16612	C00637	1.4.3.4
C16612	C05639	1.4.3.4
C00601	C00637	1.4.3.6;1.4.3.4
C00601	C05639	1.4.3.4
C05638	C00637	1.4.3.4
C05638	C05639	4.1.1.28;1.4.3.4
C14748	C01387	1.14.15.3
C14748	C03547	1.14.15.3
C14748	C01371	1.14.15.3
C14748	C00219	1.14.15.3
C14748	C00435	1.14.15.3
C14748	C00340	1.14.15.3
C14748	C00226	1.14.15.3
C14748	C00162	1.14.15.3
C14748	C00756	1.14.15.3
C00637	C05827	1.4.3.4
C00637	C05936	1.2.1.3;1.4.3.4
C00637	C00546	1.4.3.6;1.4.3.4
C00637	C00543	1.4.3.4
C00637	C00398	1.4.3.6;1.4.3.4
C00637	C05583	1.2.1.3;2.1.1.6;1.4.3.4
C00637	C00706	1.4.3.4
C00637	C07572	1.4.3.4
C00637	C05639	1.4.3.4
C00637	C16609	1.4.3.4
C00637	C05581	2.1.1.6;1.4.3.4
C00637	C00547	2.1.1.6;1.4.3.4
C00637	C00483	1.4.3.4;2.1.1.6;1.4.3.6
C00637	C00218	1.4.3.4;2.1.1.6;1.4.3.6
C00637	C00954	1.4.3.4;1.2.1.3;2.1.1.6;3.5.1.4;1.4.3.6
C00637	C04043	1.4.3.4;2.1.1.6;1.4.3.6
C00637	C16608	1.4.3.4
C00637	C00788	1.4.3.4;2.1.1.6;1.4.3.6
C00637	C00780	1.4.3.4
C00637	C05587	2.1.1.6;1.4.3.4
C00637	C03758	1.4.3.4;2.1.1.6;1.4.3.6
C00637	C05634	1.2.1.3;2.1.1.6;1.4.3.4
C00637	C01342	1.4.3.6;1.4.3.4
C00637	C05127	1.4.3.4
C00637	C05588	2.1.1.6;1.4.3.4
C00637	C00071	1.2.1.3;1.4.3.4
C00637	C03765	1.4.3.6;1.4.3.4
C00637	C05589	2.1.1.6;1.4.3.4
C00637	C05332	1.4.3.6;1.4.3.4
C00637	C05577	2.1.1.6;1.4.3.4
C00637	C05636	1.4.3.4
C00637	C05637	1.4.3.4
C00637	C00027	1.4.3.6;1.4.3.4
C00637	C02714	1.4.3.4
C00637	C00014	1.4.3.6;3.5.1.4;1.4.3.4
C00637	C01888	1.4.3.6;1.4.3.4
C00637	C00375	1.4.3.4
C05463	C00245	2.3.1.65
C05463	C00010	6.2.1.7;2.3.1.65
C05463	CE1589	6.2.1.7;2.3.1.65
C05827	C05639	1.4.3.4
C05337	C05465	2.3.1.65
C05936	C05639	1.4.3.4
C05465	C00245	6.2.1.-;2.3.1.65
C05465	C03990	1.14.13.97;6.2.1.-;2.3.1.65;2.8.2.2
C05465	C15516	1.14.13.97;6.2.1.-;2.3.1.65;2.8.2.2
C05465	C15517	1.14.13.97;6.2.1.-;2.3.1.65;2.8.2.2
C05465	C00010	6.2.1.-;2.3.1.65
C00546	C05639	1.4.3.4
C00245	C05122	2.3.1.65
C00543	C05639	1.4.3.4
C00398	C05639	4.1.1.28;1.4.3.4
C15588	C14768	3.3.2.10
C15588	C14770	3.3.2.10
C15588	C14769	3.3.2.10
C05583	C05639	1.4.3.4
C14749	C00219	1.14.14.1
C01598	CE5982	
C01598	C00643	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C01598	C00978	2.3.1.87;2.1.1.4
CE2119	CE5982	
C00525	C00643	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C00706	C05639	1.4.3.4
C07572	C05639	1.4.3.4
C05639	C16609	1.4.3.4
C05639	C05581	1.4.3.4
C05639	C00547	1.4.3.4
C05639	C00483	4.1.1.28;1.4.3.4
C05639	C00218	1.4.3.4
C05639	C04043	1.4.3.4
C05639	C16608	1.4.3.4
C05639	C00788	1.4.3.4
C05639	C00780	4.1.1.28;1.4.3.4
C05639	C05587	1.4.3.4
C05639	C03758	4.1.1.28;1.4.3.4
C05639	C05634	1.4.3.4
C05639	C01342	1.4.3.4
C05639	C05127	1.4.3.4
C05639	C05588	1.4.3.4
C05639	C00071	1.4.3.4
C05639	C03765	1.4.3.4
C05639	C05589	1.4.3.4
C05639	C05332	4.1.1.28;1.4.3.4
C05639	C05577	1.4.3.4
C05639	C05636	1.4.3.4
C05639	C05637	1.4.3.4
C05639	C00027	1.4.3.4
C05639	C02714	1.4.3.4
C05639	C00014	1.4.3.4
C05639	C01888	1.4.3.4
C05639	C00375	1.4.3.4
C00722	C14768	3.3.2.10
C00722	C14770	3.3.2.10
C00722	C14769	3.3.2.10
C00037	C01921	2.3.1.65
C05122	C01794	2.3.1.65
C05122	C00010	2.3.1.65
C15522	C00643	1.14.16.4
C03990	C15516	1.14.13.97;6.2.1.-;2.3.1.65;2.8.2.2
C14768	C00219	1.14.14.1
C14768	C14770	3.3.2.9;1.14.14.1;3.3.2.10
C14768	C14774	3.3.2.9;3.3.2.10
C14768	C14773	3.3.2.9;3.3.2.10
C14768	C14769	3.3.2.9;1.14.14.1;3.3.2.10
C14768	C14772	3.3.2.9;3.3.2.10
C14768	C00016	1.14.14.1
C14768	C01380	3.3.2.10
C14768	C01352	1.14.14.1
C14768	C14775	3.3.2.9;3.3.2.10
C00219	C14770	3.1.2.2;1.14.14.1
C00219	C14778	1.14.14.1
C00219	C14769	1.14.14.1
C01794	C00695	3.1.2.27;3.1.2.2;6.2.1.7
C01794	C01921	2.3.1.65
C15516	C15517	1.14.13.97;6.2.1.-;2.3.1.65;2.8.2.2
C02700	C00643	;1.13.11.52;1.14.16.4;3.5.1.9;4.1.1.28
C05647	C00643	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
CE5982	CE5899	
C14770	C14774	3.3.2.9;3.3.2.10
C14770	C14773	3.3.2.9;3.3.2.10
C14770	C14769	3.3.2.9;1.14.14.1;3.3.2.10
C14770	C00020	1.3.3.6;1.1.1.35;3.1.2.2;4.2.1.17;2.3.1.16;2.3.1.154;6.2.1.-;5.1.99.4
C14770	CE2725	1.3.3.6;1.1.1.35;3.1.2.2;4.2.1.17;2.3.1.16;2.3.1.154;6.2.1.-;5.1.99.4
C14770	C00010	1.3.3.6;1.1.1.35;3.1.2.2;4.2.1.17;2.3.1.16;2.3.1.154;6.2.1.-;5.1.99.4
C14770	C14772	3.3.2.9;3.3.2.10
C14770	C00027	1.3.3.6;1.1.1.35;3.1.2.2;4.2.1.17;2.3.1.16;2.3.1.154;6.2.1.-;5.1.99.4
C14770	C00016	1.3.3.6;1.14.14.1
C14770	C01380	3.3.2.10
C14770	C01352	1.3.3.6;1.14.14.1
C14770	C14775	3.3.2.9;3.3.2.10
C14770	C00024	1.3.3.6;1.1.1.35;3.1.2.2;4.2.1.17;2.3.1.16;2.3.1.154;6.2.1.-;5.1.99.4
C00780	C00643	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C00780	C00978	2.3.1.87;2.1.1.4
C00019	C00978	2.1.1.4
C14774	C14769	3.3.2.9;3.3.2.10
C14773	C14769	3.3.2.9;3.3.2.10
C00643	C15605	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C00643	C00272	;1.14.16.4
C00643	C05642	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C00643	C00268	;1.14.16.4
