pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Bile acid biosynthesis	4	5	0.00033610620956222166	E193,E213,E204,E171	C01921,C05122/C15516,C05463/C05465,C00695	glycocholate$taurocholic acid/Taurohyocholate; N-(3alpha,6alpha,7alpha-Trihydroxy-5beta-cholan-24-oyl)taurine$Taurodeoxycholate/Taurochenodeoxycholate; Chenodeoxycholoyltaurine$Cholate
Tryptophan metabolism	6	13	0.005041593143433325	E84,E88,E15,E10,E33,E73	C05639,CE5982,C00643,C00978,CE2949,C00637	4,6-Dihydroxyquinoline; Quinoline-4,6-diol$$5-Hydroxy-L-tryptophan$N-Acetylserotonin; N-Acetyl-5-hydroxytryptamine$$Indole-3-acetaldehyde
Vitamin A (retinol) metabolism	1	1	0.038904293756827156	E153	C04805/C04742/C14749/C14748/C14778/C14770/C14771/C14769/C14768/CE5016	5-Hydroxyeicosatetraenoate/(15S)-15-Hydroxy-5,8,11-cis-13-trans-eicosatetraenoate; (15S)-15-Hydroxy-5,8,11-cis-13-trans-icosatetraenoate; (5Z,8Z,11Z,13E)-(15S)-15-Hydroxyicosa-5,8,11,13-tetraenoic acid; 15(S)-HETE/19(S)-HETE; (19S)-Hydroxyeicosatetraenoic acid; (19S)-Hydroxyicosatetraenoic acid; (19S)-Hydroxy arachidonic acid/20-Hydroxyeicosatetraenoic acid/16(R)-HETE; (5Z,8Z,11Z,14Z)-(16R)-16-Hydroxyeicosa-5,8,11,14-tetraenoic acid; (5Z,8Z,11Z,14Z)-(16R)-16-Hydroxyicosa-5,8,11,14-tetraenoic acid/11,12-EET/14,15-EET; (5Z,8Z,11Z)-14,15-Epoxyeicosa-5.8.11-trienoic acid; (5Z,8Z,11Z)-14,15-Epoxyicosa-5.8.11-trienoic acid/8,9-EET; (5Z,11Z,14Z)-8,9-Epoxyeicosa-5,11,14-trienoic acid; (5Z,11Z,14Z)-8,9-Epoxyicosa-5,11,14-trienoic acid/5,6-EET; (8Z,11Z,14Z)-5,6-Epoxyeicosa-8,11,14-trienoic acid; (8Z,11Z,14Z)-5,6-Epoxyicosa-8,11,14-trienoic acid/13,14-dihydroxy-retinol
Fructose and mannose metabolism	1	1	0.038904293756827156	E103	C01507/C00794/C01697	L-Iditol/D-Sorbitol/Galactitol
Omega-3 fatty acid metabolism	1	1	0.038904293756827156	E149	C16300	Stearidonic acid; 6,9,12,15-Octadecatetraenoic acid; (6Z,9Z,12Z,15Z)-Octadecatetraenoic acid
Glycerophospholipid metabolism	2	5	0.08747164103856819	E207,E153	,C04805/C04742/C14749/C14748/C14778/C14770/C14771/C14769/C14768/CE5016	$5-Hydroxyeicosatetraenoate/(15S)-15-Hydroxy-5,8,11-cis-13-trans-eicosatetraenoate; (15S)-15-Hydroxy-5,8,11-cis-13-trans-icosatetraenoate; (5Z,8Z,11Z,13E)-(15S)-15-Hydroxyicosa-5,8,11,13-tetraenoic acid; 15(S)-HETE/19(S)-HETE; (19S)-Hydroxyeicosatetraenoic acid; (19S)-Hydroxyicosatetraenoic acid; (19S)-Hydroxy arachidonic acid/20-Hydroxyeicosatetraenoic acid/16(R)-HETE; (5Z,8Z,11Z,14Z)-(16R)-16-Hydroxyeicosa-5,8,11,14-tetraenoic acid; (5Z,8Z,11Z,14Z)-(16R)-16-Hydroxyicosa-5,8,11,14-tetraenoic acid/11,12-EET/14,15-EET; (5Z,8Z,11Z)-14,15-Epoxyeicosa-5.8.11-trienoic acid; (5Z,8Z,11Z)-14,15-Epoxyicosa-5.8.11-trienoic acid/8,9-EET; (5Z,11Z,14Z)-8,9-Epoxyeicosa-5,11,14-trienoic acid; (5Z,11Z,14Z)-8,9-Epoxyicosa-5,11,14-trienoic acid/5,6-EET; (8Z,11Z,14Z)-5,6-Epoxyeicosa-8,11,14-trienoic acid; (8Z,11Z,14Z)-5,6-Epoxyicosa-8,11,14-trienoic acid/13,14-dihydroxy-retinol
N-Glycan biosynthesis	1	2	0.10486513738341316	E191		
Galactose metabolism	1	2	0.10486513738341316	E103	C01507/C00794/C01697	L-Iditol/D-Sorbitol/Galactitol
Vitamin B6 (pyridoxine) metabolism	1	2	0.10486513738341316	E110		
Arachidonic acid metabolism	2	6	0.11595664229896648	E150,E153	,C04805/C04742/C14749/C14748/C14778/C14770/C14771/C14769/C14768/CE5016	$5-Hydroxyeicosatetraenoate/(15S)-15-Hydroxy-5,8,11-cis-13-trans-eicosatetraenoate; (15S)-15-Hydroxy-5,8,11-cis-13-trans-icosatetraenoate; (5Z,8Z,11Z,13E)-(15S)-15-Hydroxyicosa-5,8,11,13-tetraenoic acid; 15(S)-HETE/19(S)-HETE; (19S)-Hydroxyeicosatetraenoic acid; (19S)-Hydroxyicosatetraenoic acid; (19S)-Hydroxy arachidonic acid/20-Hydroxyeicosatetraenoic acid/16(R)-HETE; (5Z,8Z,11Z,14Z)-(16R)-16-Hydroxyeicosa-5,8,11,14-tetraenoic acid; (5Z,8Z,11Z,14Z)-(16R)-16-Hydroxyicosa-5,8,11,14-tetraenoic acid/11,12-EET/14,15-EET; (5Z,8Z,11Z)-14,15-Epoxyeicosa-5.8.11-trienoic acid; (5Z,8Z,11Z)-14,15-Epoxyicosa-5.8.11-trienoic acid/8,9-EET; (5Z,11Z,14Z)-8,9-Epoxyeicosa-5,11,14-trienoic acid; (5Z,11Z,14Z)-8,9-Epoxyicosa-5,11,14-trienoic acid/5,6-EET; (8Z,11Z,14Z)-5,6-Epoxyeicosa-8,11,14-trienoic acid; (8Z,11Z,14Z)-5,6-Epoxyicosa-8,11,14-trienoic acid/13,14-dihydroxy-retinol
Hexose phosphorylation	1	3	0.1645239895807075	E103	C01507/C00794/C01697	L-Iditol/D-Sorbitol/Galactitol
Xenobiotics metabolism	1	4	0.19813461053692966	E205		
Leukotriene metabolism	1	4	0.19813461053692966	E150		
Aspartate and asparagine metabolism	1	4	0.19813461053692966	E43		
Linoleate metabolism	1	5	0.21830098311066298	E207		
Histidine metabolism	1	5	0.21830098311066298	E31		
Purine metabolism	1	6	0.23451810772204015	E95		
Pyrimidine metabolism	1	6	0.23451810772204015	E196		
Urea cycle/amino group metabolism	1	10	0.2583816486009579	E95		
Tyrosine metabolism	1	14	0.25964204688681625	E51		
Vitamin D3 (cholecalciferol) metabolism	0	0	0.26039828585833125			
Hyaluronan Metabolism	0	0	0.26039828585833125			
Glycolysis and Gluconeogenesis	0	2	0.26039828585833125			
Glycosphingolipid biosynthesis - ganglioseries	0	0	0.26039828585833125			
R Group Synthesis	0	0	0.26039828585833125			
C5-Branched dibasic acid metabolism	0	0	0.26039828585833125			
Pyruvate Metabolism	0	1	0.26039828585833125			
Sialic acid metabolism	0	0	0.26039828585833125			
Chondroitin sulfate degradation	0	0	0.26039828585833125			
Di-unsaturated fatty acid beta-oxidation	0	1	0.26039828585833125			
Putative anti-Inflammatory metabolites formation from EPA	0	3	0.26039828585833125			
Vitamin B2 (riboflavin) metabolism	0	0	0.26039828585833125			
Squalene and cholesterol biosynthesis	0	1	0.26039828585833125			
Keratan sulfate degradation	0	0	0.26039828585833125			
Glycerolipid metabolism	0	0	0.26039828585833125			
Carnitine shuttle	0	4	0.26039828585833125			
3-oxo-10R-octadecatrienoate beta-oxidation	0	2	0.26039828585833125			
Alkaloid biosynthesis II	0	2	0.26039828585833125			
Vitamin B1 (thiamin) metabolism	0	2	0.26039828585833125			
Glycosphingolipid biosynthesis - globoseries	0	0	0.26039828585833125			
Vitamin B5 - CoA biosynthesis from pantothenate	0	2	0.26039828585833125			
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	0	0	0.26039828585833125			
Glycosphingolipid biosynthesis - lactoseries	0	0	0.26039828585833125			
Parathio degradation	0	0	0.26039828585833125			
Propanoate metabolism	0	0	0.26039828585833125			
Blood Group Biosynthesis	0	0	0.26039828585833125			
Electron transport chain	0	0	0.26039828585833125			
Vitamin H (biotin) metabolism	0	0	0.26039828585833125			
Biopterin metabolism	0	2	0.26039828585833125			
Vitamin E metabolism	0	1	0.26039828585833125			
Androgen and estrogen biosynthesis and metabolism	0	1	0.26039828585833125			
Glycine, serine, alanine and threonine metabolism	0	4	0.26039828585833125			
Caffeine metabolism	0	0	0.26039828585833125			
Lipoate metabolism	0	0	0.26039828585833125			
Heparan sulfate biosynthesis	0	0	0.26039828585833125			
Drug metabolism - cytochrome P450	0	2	0.26039828585833125			
Vitamin B9 (folate) metabolism	0	1	0.26039828585833125			
Glyoxylate and Dicarboxylate Metabolism	0	0	0.26039828585833125			
De novo fatty acid biosynthesis	0	1	0.26039828585833125			
Valine, leucine and isoleucine degradation	0	4	0.26039828585833125			
Fatty Acid Metabolism	0	1	0.26039828585833125			
Glycosaminoglycan degradation	0	0	0.26039828585833125			
Fatty acid oxidation	0	0	0.26039828585833125			
ROS Detoxification	0	0	0.26039828585833125			
Saturated fatty acids beta-oxidation	0	0	0.26039828585833125			
CoA Catabolism	0	2	0.26039828585833125			
Butanoate metabolism	0	1	0.26039828585833125			
Mono-unsaturated fatty acid beta-oxidation	0	0	0.26039828585833125			
Glycosphingolipid biosynthesis - neolactoseries	0	0	0.26039828585833125			
Vitamin B3 (nicotinate and nicotinamide) metabolism	0	3	0.26039828585833125			
Ascorbate (Vitamin C) and Aldarate Metabolism	0	3	0.26039828585833125			
Geraniol degradation	0	0	0.26039828585833125			
D4&E4-neuroprostanes formation	0	0	0.26039828585833125			
Vitamin D	0	0	0.26039828585833125			
Dynorphin metabolism	0	0	0.26039828585833125			
Heparan sulfate degradation	0	0	0.26039828585833125			
Fatty acid oxidation, peroxisome	0	0	0.26039828585833125			
