massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row1	132.0446	28.24	0.5145269662418595	1.0242166657768932	C8H5NO
row2	132.0527	159.14	0.0896820639256004	3.8207191416277726	
row3	132.0769	252.96	0.6808009559540515	-0.6254258318846896	C4H9N3O2
row4	132.0809	155.99	0.054029007583158345	5.229431753607859	
row5	175.2036	358.7	0.504515480845144	1.051275212117946	
row6	218.0653	269.18	0.009237896774388564	-13.725159738778713	
row7	218.0813	27.71	0.20366219498802338	2.272499086771038	C12H11NO3
row8	72.0926	209.43	0.04350184643987312	5.874164209893831	
row9	132.1152	265.76	0.00805860158873461	-14.892684904504017	
row10	132.1214	265.76	0.007191641040890626	-16.03679043893356	
row11	218.1249	295.96	0.02485640552982558	-7.82069451301613	
row12	73.0784	209.43	0.07438924000798133	4.272897362759768	
row13	73.0848	209.69	0.2519405436322665	1.944542729731809	
row14	176.0295	216.13	0.016570983182917175	-9.969543558671157	
row15	132.9874	108.14	0.7389255579936947	-0.5048947895801104	
row16	132.9874	110.9	0.9915675205895121	0.01993183646821007	
row17	132.9874	112.74	0.4866149347750076	-1.0950980666859091	
row18	132.9874	213.89	0.20827765876898238	-2.232618440420275	
row19	133.0279	362.77	0.3983441719544191	-1.3515244075040393	
row20	133.0319	190.85	0.5701846989546804	0.8676173068807908	C5H8O2S
row21	218.9434	200.73	0.04363006135915721	-5.8591178191334885	
row22	133.0717	252.57	0.005294008562894866	18.831928060887012	
row23	133.0717	254.28	0.007963812777484036	14.982098082784399	
row24	133.0717	264.45	0.06846435723171217	4.511357099708424	
row25	133.0717	265.89	0.041406749976452766	6.028872416395134	
row26	133.0717	267.6	0.22769048981536624	2.1029506342892	
row27	133.0762	257.72	0.11826986982894559	-3.2379870736087715	
row28	218.9877	254.67	0.002182547696427763	30.03505201627633	
row29	218.9877	259.03	0.033020367000862715	6.778327774997316	
row30	133.0801	252.83	0.38484954839920626	-1.399302159347227	C4H9N3O2
row31	133.0843	155.6	0.11858780278961602	3.2328865738507484	
row32	133.0861	26.79	0.5302673321126731	0.9795261867208552	
row33	219.0267	198.21	0.07262088926398515	4.326069603997908	
row34	219.0267	204.67	0.06761346377774988	4.549509063392503	
row35	219.0267	210.74	0.06581877483074511	4.641826343034961	
row36	133.1014	25.2	0.532023840686865	0.9730713017432939	
row37	133.1014	27.84	0.9272810523372567	0.14215288133785348	
row38	219.0476	192.56	0.8274956244375397	0.34267765706254694	
row39	219.0576	269.31	0.01554786547231063	-10.45587148741565	C13H11ClO,C11H10N2OS
row40	219.1129	27.71	0.2143438262401009	2.188424570059294	
row41	219.1129	34.31	0.011171393636878899	12.257385087212176	C10H16O5
row42	176.1282	29.68	0.03091008180883371	6.990706596615117	
row43	176.8754	200.73	0.5202590270556606	-1.0086748926414597	CK2O3
row44	219.9076	198.21	0.2573030723479486	-1.9138437752806934	
row45	219.9076	205.06	0.8909965942292876	0.22140747989499732	
row46	219.9468	200.73	0.05839090425158858	-4.994882223292953	
row47	134.0353	190.85	0.5966315825351731	0.8083323618652443	C5H8O2S
row48	134.0813	41.57	0.016016330006533824	-10.239687973402358	C5H11NO3
row49	134.0813	48.95	0.02620565113197436	-7.6074939500631045	C5H11NO3
row50	220.03	198.21	0.0953901706571119	3.6617579573311274	
row51	220.03	204.67	0.0636999544463957	4.732451285162599	
row52	220.03	210.74	0.16316671163616933	2.6442703250351793	
row53	220.0371	198.07	0.42618463537787143	1.2642667882550362	
row54	220.0371	204.54	0.7028055244682702	0.5779751959002714	C9H11NO3
row55	177.8883	200.73	0.7950637147042134	-0.3998177093151943	
row56	177.9668	200.99	0.0704558131754004	-4.437009931830281	H2KO4P
row57	220.1697	6.19	0.7377709676127822	0.5070885683875322	
row58	135.0277	190.72	0.5368619794331011	0.9569578544815646	
row59	178.0242	202.96	0.08919323861237466	3.833802529329154	
row60	178.0711	191.12	0.1790582117941086	-2.4882351377752343	
row61	220.9016	200.73	0.20094853860806502	-2.2960490948505887	
row62	220.9415	200.6	0.061406391775230974	-4.829039893896846	
row63	221.0177	313.72	0.28623742191226426	1.7719060216791025	
row64	221.0248	198.21	0.12535228400916804	3.130042580767127	
row65	221.0248	204.67	0.06035583411194007	4.8831621521039965	
row66	221.0248	211.14	0.15314265284712322	2.750741862406406	
row67	221.0308	198.21	0.4479100809596791	1.19788553779714	
row68	135.0635	50.0	0.5597574691850759	-0.8940574080101266	C8H7NO
row69	221.0344	204.14	0.8809527307567802	-0.24192564408499984	
row70	221.0344	209.3	0.18687796839033038	2.4142436768853193	
row71	221.0922	191.51	0.03657851775678567	6.4360276268470935	C11H12N2O3
row72	221.1389	27.32	0.2453336150279296	-1.9819443155202727	C11H16N4O
row73	221.1389	34.84	0.4047564876672176	1.3343571211517984	
row74	221.8998	135.41	0.5852582062383035	0.8344227272386051	
row75	221.8998	150.28	0.5642209784517866	0.8829498157088037	
row76	178.8736	200.73	0.5446244595983268	-0.9361513737496969	
row77	77.0391	159.01	0.0829476579255524	3.997451577891112	
row78	178.8811	198.21	0.9967991845342741	-0.0076249372436596454	
row79	178.8811	205.06	0.5618823169594641	0.8886761328648614	
row80	77.9274	200.73	0.015554004161973245	-10.410040924176775	
row81	222.0956	174.67	0.144992956985952	-2.8459278146763993	C11H12N2O3
row82	222.0956	176.11	0.12194330017105734	-3.1774553119818063	
row83	222.0956	191.25	0.04491622366302165	5.759680740513914	C11H12N2O3
row84	179.0276	203.09	0.3607461072171556	1.4806777667702034	
row85	79.9903	200.73	0.2664871357910442	-1.8675854599424646	
row86	80.0032	200.73	0.4115658315074606	1.3105056203490595	
row87	80.9873	200.6	0.5554040243185139	0.9068132888890096	
row88	80.9937	200.73	0.3097214832434249	-1.67394205072015	
row89	222.8997	200.73	0.19593952818771054	-2.3378524477598956	
row90	81.0453	197.02	0.42736982103798943	1.2599883610913651	
row91	136.9109	201.12	0.8904904413604549	-0.22268104594809066	
row92	136.9402	200.73	0.021996903401450184	-8.45844168881917	H2KO4P
row93	136.9695	200.99	0.381094201144277	-1.4107133717124016	
row94	136.9707	200.47	0.1727417830287896	-2.543610516550425	
row95	179.0901	357.78	0.5533012444206454	0.913888992089017	
row96	223.0637	136.19	0.5208774724602561	1.0049461677012572	
row97	81.9884	200.73	0.5270817286367534	-0.9870496279328882	
row98	137.0598	204.41	0.9690664505888809	0.06954970494990229	C8H8O2
row99	137.071	194.27	0.4463887118884193	1.2017344164820714	C8H7NO,C5H8FNO2
row100	223.0749	25.33	0.06566602141403871	4.652205391544439	
row101	223.1078	204.14	0.79729396394329	0.3950507273224519	C9H11NO3
row102	179.8812	198.21	0.532023840686865	0.9727636304188269	
row103	179.8812	205.06	0.514560933711039	1.0225984670157529	
row104	180.0224	203.36	0.371946230197028	1.4422446763790058	
row105	137.0792	204.14	0.8328003268059764	0.33440800145172067	C6H6O
row106	223.1331	31.69	4.640025485569345e-05	186.63202817728154	
