massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row1	132.0446	28.24	0.11400936431290269	4.389970086354628	C8H5NO
row2	132.0527	159.14	0.366629926022479	-1.6818823432521652	
row3	132.0769	252.96	0.6285995808809235	-0.8685519024346676	C4H9N3O2
row4	132.0809	155.99	0.17031253323487267	-3.3972763847131806	
row5	175.2036	358.7	0.6397877377721478	-0.8419297331898388	
row6	218.0598	269.31	0.00013818297547559032	73.57130593629874	
row7	218.0653	269.18	0.16798908521477973	3.485165777011259	
row8	132.1152	265.76	0.37053953907835063	1.664682278107661	
row9	132.1214	265.76	0.2874945750194314	2.368256111823875	
row10	218.1249	295.96	0.6678305321356548	0.7782175134614369	
row11	73.0784	209.43	0.501799243428033	-1.2187048868030796	
row12	73.0848	209.69	0.7030341032820976	-0.693887609028538	
row13	73.5324	388.54	0.8678722145140427	-0.327814086971711	
row14	176.0295	216.13	0.003179568149308374	-20.097669745065904	
row15	132.9874	108.14	0.16798908521477973	3.4690183232102374	
row16	132.9874	110.9	0.13606599177744846	3.978060951572323	
row17	132.9874	112.74	0.1379915340748172	3.9174324017023046	
row18	132.9874	213.89	0.15787143403840706	-3.607424616571301	
row19	133.0279	362.77	0.9260627822173041	0.1826306316670164	
row20	133.0319	190.85	0.3682933797210061	-1.6738169370067302	C5H8O2S
row21	218.9434	200.73	0.16798908521477973	-3.4985922376104814	
row22	133.0762	257.72	0.1458361152900574	3.809766169654004	
row23	133.0801	252.83	0.5753575930121891	-1.0098547532904665	C4H9N3O2
row24	133.0843	155.6	0.47401590611683575	-1.3065364873281387	
row25	133.0861	26.79	0.6586174133468697	-0.7978716276400902	
row26	219.0267	198.21	0.3180248959812578	2.2051951806457013	
row27	219.0267	204.67	0.12472804346492304	4.212325795741503	
row28	219.0267	210.74	0.15538109494246413	3.6611274176221724	
row29	133.1014	25.2	0.9680309833702637	-0.07493981153295709	
row30	133.1014	27.84	0.6184048307621985	-0.891273367753328	
row31	219.0476	192.56	0.197114023268928	3.0642128438982588	
row32	219.0576	269.31	0.1379915340748172	3.912444244124626	C13H11ClO,C11H10N2OS
row33	133.1222	266.16	0.19262691455667474	3.1103770668094284	
row34	133.1247	265.76	0.2246281503056393	2.7852366238698556	
row35	176.1282	29.68	0.20136113401764305	3.0189662492088947	
row36	176.8754	200.73	0.36413332769768786	1.691145679135053	CK2O3
row37	219.9076	198.21	0.8764352022902836	-0.30025887167831483	
row38	219.9076	205.06	0.45973925350500966	1.3515821770885978	
row39	134.0312	190.98	0.35907132412069453	-1.7188288943920402	
row40	219.9468	200.73	0.5648686352624056	-1.0365654553854609	
row41	134.0322	190.59	0.8690341585704877	-0.3221303992086798	
row42	134.0353	190.85	0.38110976692156534	-1.615113125453672	C5H8O2S
row43	134.0813	41.57	0.025340673354903143	-8.325411603248018	C5H11NO3
row44	134.0813	48.95	0.41383205373898685	-1.5031786855280638	C5H11NO3
row45	220.03	198.21	0.2536548343247185	2.5676803774509755	
row46	220.03	204.67	0.09961899654556747	4.71914876860092	
row47	220.03	210.74	0.3028121302663176	2.2890032944207253	
row48	220.0371	198.07	0.32635558677325105	-2.0569714909676518	
row49	220.0371	204.54	0.34871875182628814	-1.765077265442298	C9H11NO3
row50	220.1181	179.0	0.8491271312247416	0.37180415615728674	C9H17NO5
row51	177.8883	200.73	0.12807177154724364	-4.121168699426194	
row52	177.9668	200.99	0.7645559603043212	-0.5546303092181566	H2KO4P
row53	135.0277	190.72	0.3634447038153116	-1.6939432450807186	
row54	178.0242	202.96	0.15211000029447827	-3.7011479864286514	
row55	220.5575	191.77	0.30716986627750814	2.264927380120487	
row56	178.0711	191.12	0.17031253323487267	3.4100432090801003	
row57	220.9016	200.73	0.32635558677325105	2.006254800641419	
row58	220.9415	200.6	0.08674928612983153	-5.059429250210188	
row59	220.9475	200.6	0.5003432785065145	-1.2239760106677586	
row60	221.0248	198.21	0.32635558677325105	1.977045997773199	
row61	221.0248	204.67	0.11564306239936771	4.341503536548891	
row62	221.0248	211.14	0.2246281503056393	2.783797014087093	
row63	221.0308	198.21	0.36011308166160305	1.7125892050530618	
row64	135.0635	50.0	0.43916067023245686	1.4175392364746522	C8H7NO
row65	221.0344	204.14	0.32635558677325105	-2.03396925636237	
row66	221.0344	209.3	0.4617318856715113	-1.3449489510380988	
row67	135.068	203.36	0.3172828639432725	-2.208734557300006	
row68	221.0922	191.51	0.018068384540303607	9.56040927766618	C11H12N2O3
row69	221.1214	178.87	0.13869516476743682	-3.9034530847282216	C9H17NO5
row70	221.1389	27.32	0.9569876288645149	0.10720943196696235	C11H16N4O
row71	221.1389	34.84	0.9249395791338116	0.1871853237701394	
row72	221.8998	135.41	0.6008345563291285	0.9354995683860647	
row73	221.8998	150.28	0.17491096420004043	-3.339209750075366	
row74	221.9049	200.86	0.24376799413702033	2.6379141501621093	
row75	178.8736	200.73	0.3414534310333644	1.8235129166557122	
row76	77.0391	159.01	0.19312341905394328	-3.0988070305379147	
row77	178.8811	198.21	0.44883215152857214	-1.3894366733531005	
row78	178.8811	205.06	0.4836359840576321	1.2768171351885071	
row79	178.9502	200.73	0.5266860669346418	1.1421661919445396	H4O7P2
row80	222.0282	198.34	0.0003042931561943899	56.751675114613384	
row81	222.0282	204.41	0.11060336924241293	4.4489208617745275	
row82	77.9274	200.73	0.8935040799721576	0.25927457660423925	
row83	222.0956	174.67	0.09298018204642623	4.859757506388531	C11H12N2O3
row84	222.0956	191.25	0.03383185999202741	7.4962975691758835	C11H12N2O3
row85	78.9563	198.6	0.0015864215836484071	26.663892805053624	
row86	78.9563	204.67	0.08006073584751403	5.237469712907174	
row87	79.9903	200.73	0.35444521205519847	-1.7375803286258482	
row88	80.0032	200.73	0.6044750974610946	-0.9233580342458728	
row89	80.9873	200.6	0.7900668456509148	-0.5032416720782189	
