SOURCE	TARGET	ENZYMES
C00159	C00794	3.2.1.22;2.7.1.1
C14099	C16587	1.1.1.1
C14099	C16595	1.1.1.1
C07490	C16587	1.2.1.5;1.1.1.1
C07490	C16595	1.1.1.1
C00212	C03150	2.4.2.1;3.1.3.5
G00497	C00794	3.2.1.22
G01275	C00794	3.2.1.22
C00084	C16587	1.2.1.5;1.1.1.1
C00084	C16595	1.1.1.1
C02909	C16587	1.1.1.1
C02909	C16595	1.1.1.1
C16587	C05577	1.2.1.5;1.1.1.1
C16587	C00114	1.1.1.1
C16587	C00577	1.1.1.1
C16587	C14090	1.1.1.1
C16587	C00069	1.1.1.1
C16587	C14089	1.1.1.1
C16587	C07645	1.2.1.5;1.1.1.1
C16587	C00432	1.1.1.1
C16587	C06613	1.1.1.1
C16587	C00576	1.1.1.1
C16587	C16551	1.2.1.5;1.1.1.1
C16587	C16595	1.1.1.1
C16587	C00709	1.1.1.1
C16587	C06899	1.2.1.5;1.1.1.1
C16587	C00071	1.2.1.5;1.1.1.1
C16587	C00116	1.1.1.1
C16587	C16586	1.2.1.5;1.1.1.1
C16587	C05444	1.1.1.1
C16587	C05576	1.2.1.5;1.1.1.1
C16587	C00469	1.1.1.1
C16587	C00376	1.1.1.1
C16587	C06612	1.1.1.1
C16587	C16348	1.1.1.1
C16587	C16591	1.2.1.5
C16587	C06611	1.1.1.1
C16587	C00226	1.2.1.5;1.1.1.1
C16587	C16596	1.1.1.1
C16587	C05445	1.1.1.1
C16587	C00473	1.1.1.1
C03692	C00794	3.2.1.22
C05577	C16595	1.1.1.1
C04737	C00794	3.2.1.22
C00442	C03150	2.4.2.1
C01233	C04230	3.1.1.5
C01233	C04438	3.1.1.5
C01233	C00157	3.1.1.5
C01233	C00670	3.1.4.46;3.1.1.5;3.1.4.2
C01233	C04233	3.1.1.5
C01233	C05973	3.1.1.5
C01233	C00189	3.1.4.46;3.1.4.2
C01233	C00060	3.1.1.5
C01233	C00162	3.1.1.5
C01233	C00093	3.1.4.46;3.1.4.2
C00114	C16595	1.1.1.1
C00577	C16595	1.1.1.1
C03820	C00307	;2.7.8.2
C03820	C04874	1.14.16.5
CE6503	C00307	
C14090	C16595	1.1.1.1
C00020	C03150	3.1.3.5
C00069	C01019	3.2.1.51
C00069	C16595	1.1.1.1
G10529	C00794	3.2.1.22
C00641	C00307	2.7.8.2
C00130	C03150	3.1.3.5
C00307	C04598	;2.7.8.2
C00307	C00055	;2.7.8.2
C00307	C00157	;2.7.8.2
C00307	C00958	
C00307	C00063	2.7.7.15
C00307	C00588	;2.7.7.15
C00307	CE6326	
C00307	CE6330	
C05402	C00794	3.2.1.20;3.2.1.22
C00262	C03150	2.4.2.1
C00089	C00794	3.2.1.20;2.7.1.4;3.2.1.22;2.7.1.1;3.2.1.26
C03150	C00144	3.1.3.5
C03150	C00055	3.1.3.5
C03150	C00360	3.1.3.5
C03150	C00881	3.1.3.5
C03150	C00387	2.4.2.1;3.1.3.5
C03150	C00911	3.1.3.5
C03150	C00153	2.4.2.1
C03150	C00475	3.1.3.5
C03150	C02520	3.1.3.5
C03150	C00242	2.4.2.1;3.1.3.5
C03150	C00455	3.1.3.5;2.7.1.22
C03150	C00655	3.1.3.5
C03150	C01762	2.4.2.1;3.1.3.5
C03150	C05841	2.4.2.1;3.1.3.5
C03150	C00620	2.4.2.1
C03150	C00362	3.1.3.5
C03150	C00299	3.1.3.5
C03150	C00526	2.4.2.1
C03150	C01185	3.1.3.5
C03150	C01736	2.4.2.1
C03150	C00672	2.4.2.1;3.1.3.5
C03150	C15586	2.4.2.1
C03150	C00465	2.4.2.1
C03150	G10621	3.1.3.5
C03150	C00214	3.1.3.5
C03150	C00106	2.4.2.1
C03150	C00147	2.4.2.1
C03150	C00294	2.4.2.1;3.1.3.5
C03150	C05512	2.4.2.1
C03150	C00253	2.4.2.1;3.1.3.5
C03150	C00559	2.4.2.1;3.1.3.5
C03150	C00239	3.1.3.5
C03150	C00105	3.1.3.5
C03150	C15587	2.4.2.1
C03150	C00364	3.1.3.5
C03150	C00330	2.4.2.1;3.1.3.5
C03150	C00385	2.4.2.1
C14089	C16595	1.1.1.1
