EID	massfeature_rows	str_row_ion	compounds	compound_names
E3	row23;row3	row23_M(C13)+H[1+];row3_M+H[1+]	C00300	Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine
E6	row25	row25_M+H[1+]	C06103	6-Hydroxyhexanoic acid; 6-Hydroxyhexanoate
E7	row31	row31_M+Na[1+]	C00257;C00800	D-Gluconate$L-Gulonate
E10	row374;row49;row71	row374_M+Na[1+];row49_M+H[1+];row71_M(C13)+H[1+]	C00864	(R)-Pantothenate
E14	row70	row70_M+H[1+]	C00643	5-Hydroxy-L-tryptophan
E20	row105	row105_M+H[1+]	C07086;C03765	Phenylacetic acid; Benzylformic acid; Phenylacetate; Benzeneacetiic acid$4-Hydroxyphenylacetaldehyde
E22	row107	row107_M+H[1+]	C02291;C00542	L-Cystathionine$Cystathionine
E24	row116;row523	row116_M+H[1+];row523_M+Na[1+]	C00329	D-Glucosamine
E25	row117	row117_M+Na[1+]	CE4788;C00763;C00148	acetamidopropanal$D-Proline$L-Proline
E27	row127	row127_M+H[1+]	C00785	Urocanate
E28	row462	row462_M+Na[1+]	C00785	Urocanate
E31	row156	row156_M+Na[1+]	CE2949	
E33	row165;row585;row586	row165_M(C13)+H[1+];row585_M+Na[1+];row586_M+Na[1+]	C00082;CE2174	L-Tyrosine$
E35	row175	row175_M+H[1+]	C05589;C00788	L-Normetanephrine$L-Adrenaline; (R)-(-)-Adrenaline; (R)-(-)-Epinephrine; (R)-(-)-Epirenamine; (R)-(-)-Adnephrine; 4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol
E36	row176	row176_M+H[1+]	C05589;C00788	L-Normetanephrine$L-Adrenaline; (R)-(-)-Adrenaline; (R)-(-)-Epinephrine; (R)-(-)-Epirenamine; (R)-(-)-Adnephrine; 4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol
E41	row188	row188_M+Na[1+]	C00503	Erythritol; Erythrol; Phycitol; Phycite; Erythrite
E44	row209;row222	row209_M+H[1+];row222_M(C13)+H[1+]	C01035	4-Guanidinobutanoate
