SOURCE	TARGET	ENZYMES
C00201	C00212	2.7.1.74
C16609	C05589	1.4.3.4
C16609	C00788	1.4.3.4
C16609	C00601	1.4.3.4
C16609	C00637	1.4.3.4
C16609	C05639	1.4.3.4
C05637	C05589	1.4.3.4
C05637	C00788	1.4.3.4
C05637	C00601	1.4.3.4
C05637	C00637	1.4.3.4
C05637	C05639	1.4.3.4
C00153	C00294	2.4.2.1
C00153	C00242	2.4.2.1
C00153	C00212	2.4.2.1
C00153	C00387	2.4.2.1
C00153	C00330	2.4.2.1
C00442	C00294	2.4.2.1
C00442	C00242	2.4.2.1
C00442	C00212	2.4.2.1
C00442	C00387	2.4.2.1
C05647	C00643	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C00081	C16633	2.7.1.48
C00081	C00475	2.7.1.48
C05589	C07572	1.4.3.4
C05589	C05587	2.1.1.6;1.4.3.4
C05589	C00706	1.4.3.4
C05589	C00543	1.4.3.4
C05589	C05588	2.1.1.6;1.4.3.4
C05589	C00019	2.1.1.6
C05589	C00780	1.4.3.4
C05589	C05936	1.4.3.4
C05589	C00021	2.1.1.6
C05589	C03758	2.1.1.6;1.4.3.4
C05589	C00788	2.1.1.6;1.4.3.4
C05589	C02714	1.4.3.4
C05589	C05127	1.4.3.4
C05589	C05332	1.4.3.4
C05589	C05581	2.1.1.6;1.4.3.4
C05589	C00601	1.4.3.4
C05589	C01888	1.4.3.4
C05589	C04043	2.1.1.6;1.4.3.4
C05589	C00071	1.4.3.4
C05589	C00483	2.1.1.6;1.4.3.4
C05589	C00375	1.4.3.4
C05589	C00546	1.4.3.4
C05589	C00014	1.4.3.4
C05589	C05827	1.4.3.4
C05589	C00027	1.4.3.4
C05589	C05636	1.4.3.4
C05589	C05583	2.1.1.6;1.4.3.4
C05589	C05634	2.1.1.6;1.4.3.4
C05589	C03765	1.4.3.4
C05589	C00547	2.1.1.6;1.4.3.4
C05589	C00637	2.1.1.6;1.4.3.4
C05589	C16608	1.4.3.4
C05589	C05639	1.4.3.4
C05589	C00218	2.1.1.6;1.4.3.4
C05589	C01342	1.4.3.4
C05589	C05577	2.1.1.6;1.4.3.4
C05589	C16612	1.4.3.4
C05589	C00398	1.4.3.4
C05589	C05638	1.4.3.4
C00785	CE7220	;2.5.1.-;4.3.1.3;4.2.1.49
C00785	C00135	4.3.1.3
C00785	C00014	;4.3.1.3
C00785	C03680	4.2.1.49
C00785	CE7217	
C00785	C11823	4.3.1.3
C00785	C01342	;4.3.1.3
C00785	C00051	;2.5.1.-
C00785	C05167	4.3.1.3
C05692	C00212	3.3.1.1
C00364	C00475	3.1.3.5
C00364	C00294	3.1.3.5
C00364	C00212	3.1.3.5
C00364	C00387	3.1.3.5
C00364	C00330	3.1.3.5
C02477	C00601	;1.2.1.39;1.4.3.6;1.4.3.4;1.14.13.30;1.2.1.5
CE5835	C00601	
C07572	C00788	1.4.3.4
C07572	C00601	1.4.3.4
C07572	C00637	1.4.3.4
C07572	C05639	1.4.3.4
C16633	G10619	2.7.1.48
C16633	C00460	2.7.1.48
C16633	C00475	2.7.1.48
C16633	C16634	2.7.1.48
C16633	C00075	2.7.1.48
C16633	C00363	2.7.1.48
C16633	C00458	2.7.1.48
C16633	C00035	2.7.1.48
C16633	G10621	2.7.1.48
C16633	C00106	2.4.2.3
C16633	C00015	2.7.1.48
C16633	C00459	2.7.1.48
C16633	C00620	2.4.2.3
C16633	C00105	2.7.1.48
C16633	C00044	2.7.1.48
C16633	C00361	2.7.1.48
C16633	G10620	2.7.1.48
C16633	C00104	2.7.1.48
C16633	C00206	2.7.1.48
C16633	C07649	2.4.2.3
C16633	C00705	2.7.1.48
C16633	C00055	2.7.1.48
C16633	C01346	2.7.1.48
C16633	C00131	2.7.1.48
C16633	C00286	2.7.1.48
C16633	C00299	2.4.2.3;2.7.1.48
C01978	C00242	2.4.2.29
CE5017	C00601	
C00119	C00242	2.4.2.8;2.4.2.7;2.4.2.22
thbpt4acam	C00643	1.14.16.4
C05841	C00475	3.1.3.5
C05841	C00294	2.4.2.1;3.1.3.5
C05841	C00242	2.4.2.1;3.1.3.5
C05841	C00212	2.4.2.1;3.1.3.5
C05841	C00387	2.4.2.1;3.1.3.5
C05841	C00330	2.4.2.1;3.1.3.5
C00643	C01598	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C00643	C02700	;1.13.11.52;1.14.16.4;3.5.1.9;4.1.1.28
C00643	C00525	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
