SOURCE	TARGET	ENZYMES
C00242	C00294	2.4.2.1;3.1.3.5
C00242	C00387	2.4.2.29;2.4.2.8;2.4.2.22;3.1.3.5;2.4.2.1;3.5.4.3;2.4.2.4;2.4.2.7
C00242	C00330	2.4.2.1;3.1.3.5;2.4.2.4
C00242	C00212	2.4.2.1;3.1.3.5
C00294	C00387	2.4.2.1;3.1.3.5
C00294	C00475	3.1.3.5
C00294	C00330	2.4.2.1;3.1.3.5
C00294	C00212	2.4.2.1;3.1.3.5;3.5.4.4
C16633	C00475	2.7.1.48
C00387	C00475	3.1.3.5
C00387	C00330	2.4.2.1;3.1.3.5;2.4.2.4
C00387	C00212	2.4.2.1;3.1.3.5
C00475	C00330	3.1.3.5
C00475	C00212	3.1.3.5
C00330	C00212	2.4.2.1;3.1.3.5
