SOURCE	TARGET	ENZYMES
CE5276	CE4888	1.11.1.7;1.6.5.5;2.5.1.18
C07645	C16587	1.2.1.5;1.1.1.1
C07645	C16595	1.1.1.1
C00170	C01137	2.5.1.22;2.5.1.16
C00170	C00147	2.4.2.28;2.5.1.22;2.5.1.16;2.4.2.8;5.3.1.23;2.4.2.1;2.4.2.4;2.4.2.7
C00170	C00315	2.5.1.22;2.5.1.16
C00170	C00750	2.5.1.22;2.5.1.16
C00170	C00134	2.5.1.16
C00170	C04188	2.4.2.28;2.5.1.22;2.5.1.16;2.4.2.8;5.3.1.23;2.4.2.1;2.4.2.4;2.4.2.7
C00655	C00387	3.1.3.5;2.4.2.22;2.4.2.8
C00655	C00475	3.1.3.5
C00559	C00387	2.4.2.1;3.1.3.5;2.4.2.4
C00559	C00475	3.1.3.5
C05402	C00794	3.2.1.20;3.2.1.22
C01762	C00387	2.4.2.1;3.1.3.5
C01762	C00475	3.1.3.5
C00035	C00475	2.7.1.48
C05444	C16587	1.1.1.1
C05444	C16595	1.1.1.1
C03150	C00387	2.4.2.1;3.1.3.5
C03150	C00475	3.1.3.5
C00124	C00794	3.2.1.20;1.1.1.21;3.2.1.22
C00124	C01697	1.1.1.21
C01736	C00387	2.4.2.1
C00363	C00475	2.7.1.48
G00370	C00794	3.2.1.22
C00206	C00794	2.7.1.1
C00206	C00475	2.7.1.48
C01346	C00475	2.7.1.48
G10488	C00794	3.2.1.22
C06611	C16587	1.1.1.1
C06611	C16595	1.1.1.1
G00278	C00794	3.2.1.22
C06059	C00475	3.5.4.5
C00385	C00387	3.5.4.3;2.4.2.8;2.4.2.1;2.4.2.4;2.4.2.22
C00015	C00475	2.7.1.48
C03692	C00794	3.2.1.22
C06899	C16587	1.2.1.5;1.1.1.1
C06899	C16595	1.1.1.1
G10619	C00475	2.7.1.48
C00250	C00647	3.1.3.74;;1.4.3.5;2.7.1.35
C00250	C00847	1.2.3.1;1.2.3.8
C00250	C00014	;1.4.3.5
C00250	C00706	1.4.3.5
C00250	C00027	;1.1.3.12;1.2.3.1;1.4.3.5
C00250	C00704	;1.2.3.1;1.2.3.8
C00250	C00627	;3.1.3.74;1.4.3.5;2.7.1.35
C00250	C00314	3.1.3.74;;1.2.3.8;1.4.3.5;1.2.3.1;2.7.1.35;1.1.3.12
C00250	C00071	1.4.3.5
C00250	C00534	3.1.3.74;;1.4.3.5;2.7.1.35
C00250	C00018	;3.1.3.74;1.4.3.5;2.7.1.35
C05841	C00387	2.4.2.1;3.1.3.5
C05841	C00475	3.1.3.5
C00526	C00387	2.4.2.1;2.4.2.4
C00526	C00475	3.5.4.5
C00458	C00475	2.7.1.48
C00242	C00387	2.4.2.29;2.4.2.8;2.4.2.22;3.1.3.5;2.4.2.1;3.5.4.3;2.4.2.4;2.4.2.7
C00031	C00794	3.2.1.20;3.2.1.22;2.7.1.1;1.1.1.21;3.2.1.26
C00465	C00387	2.4.2.1
C11824	C00475	3.5.4.5
G11121	C00794	3.2.1.22
C00262	C00387	3.5.4.3;2.4.2.8;2.4.2.1;2.4.2.4;2.4.2.22
C04737	C00794	3.2.1.22
C00577	C16587	1.1.1.1
C00577	C16595	1.1.1.1
CE4888	CE5545	2.5.1.18
CE4888	CE5665	1.6.5.5
CE4888	C00027	1.11.1.7
CE4888	C00051	2.5.1.18
CE4888	CE5277	1.6.5.5
G01275	C00794	3.2.1.22
C00267	C00794	3.2.1.20;1.1.1.21;2.7.1.1;3.2.1.26
G00501	C00794	3.2.1.22
C00095	C00794	3.2.1.20;3.2.1.22;3.2.1.26;2.7.1.-;1.1.1.14;1.1.1.15;2.7.1.4;2.7.1.1;2.7.1.3;1.1.1.21
CE3075	C00794	2.7.1.-
C02686	C00794	3.2.1.22
C00214	C00387	3.1.3.5;2.4.2.4
C00214	C00475	3.1.3.5
C16587	C14089	1.1.1.1
C16587	C00473	1.1.1.1
C16587	C00084	1.2.1.5;1.1.1.1
C16587	C00469	1.1.1.1
C16587	C16591	1.2.1.5
C16587	C06612	1.1.1.1
C16587	C16348	1.1.1.1
C16587	C00116	1.1.1.1
C16587	C14090	1.1.1.1
C16587	C00376	1.1.1.1
C16587	C16586	1.2.1.5;1.1.1.1
C16587	C02909	1.1.1.1
C16587	C16595	1.1.1.1
C16587	C00226	1.2.1.5;1.1.1.1
C16587	C00709	1.1.1.1
C16587	C00114	1.1.1.1
C16587	C07490	1.2.1.5;1.1.1.1
C16587	C00069	1.1.1.1
C16587	C00071	1.2.1.5;1.1.1.1
C16587	C16596	1.1.1.1
C16587	C06613	1.1.1.1
C16587	C14099	1.1.1.1
C16587	C05576	1.2.1.5;1.1.1.1
C16587	C00576	1.1.1.1
C16587	C05445	1.1.1.1
C16587	C16551	1.2.1.5;1.1.1.1
