pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Drug metabolism - cytochrome P450	2	5	0.01814973531635997	E71,E70	C16595/C16587,C16595/C16587	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one/3-Carbamoyl-2-phenylpropionaldehyde$4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one/3-Carbamoyl-2-phenylpropionaldehyde
Galactose metabolism	1	1	0.018233761868750524	E110	C01507/C00794/C01697	L-Iditol/D-Sorbitol/Galactitol
Fructose and mannose metabolism	1	2	0.028148895050836065	E110	C01507/C00794/C01697	L-Iditol/D-Sorbitol/Galactitol
Glycerophospholipid metabolism	1	2	0.028148895050836065	E68	C01233	sn-Glycero-3-phosphoethanolamine
Vitamin B6 (pyridoxine) metabolism	1	2	0.028148895050836065	E113	C00250	Pyridoxal
Methionine and cysteine metabolism	1	2	0.028148895050836065	E181	C00170	5-Methylthioadenosine
Lysine metabolism	1	2	0.028148895050836065	E95	C00956	L-2-Aminoadipate; L-alpha-Aminoadipate; L-alpha-Aminoadipic acid; L-2-Aminoadipic acid; L-2-Aminohexanedioate
Urea cycle/amino group metabolism	2	10	0.031846063356020506	E96,E181	C00581/gudac,C00170	Guanidinoacetate; Guanidinoacetic acid; Glycocyamine; N-Amidinoglycine; Guanidoacetic acid/Guanidinoacetate$5-Methylthioadenosine
Hexose phosphorylation	1	4	0.03453491303251827	E110	C01507/C00794/C01697	L-Iditol/D-Sorbitol/Galactitol
Glycine, serine, alanine and threonine metabolism	1	4	0.03453491303251827	E96	C00581/gudac	Guanidinoacetate; Guanidinoacetic acid; Glycocyamine; N-Amidinoglycine; Guanidoacetic acid/Guanidinoacetate
Arginine and Proline Metabolism	1	4	0.03453491303251827	E181	C00170	5-Methylthioadenosine
Purine metabolism	1	5	0.03537517855642383	E144	C00387	Guanosine
Pyrimidine metabolism	1	5	0.03537517855642383	E135	C05711/C00475	gamma-Glutamyl-beta-cyanoalanine/Cytidine
Vitamin D3 (cholecalciferol) metabolism	0	0	0.03848416099487438			
Hyaluronan Metabolism	0	0	0.03848416099487438			
N-Glycan biosynthesis	0	1	0.03848416099487438			
Glycolysis and Gluconeogenesis	0	1	0.03848416099487438			
Glycosphingolipid biosynthesis - ganglioseries	0	0	0.03848416099487438			
R Group Synthesis	0	0	0.03848416099487438			
C5-Branched dibasic acid metabolism	0	0	0.03848416099487438			
Pyruvate Metabolism	0	0	0.03848416099487438			
Sialic acid metabolism	0	0	0.03848416099487438			
Chondroitin sulfate degradation	0	0	0.03848416099487438			
Di-unsaturated fatty acid beta-oxidation	0	0	0.03848416099487438			
Putative anti-Inflammatory metabolites formation from EPA	0	2	0.03848416099487438			
Linoleate metabolism	0	2	0.03848416099487438			
