SOURCE	TARGET	ENZYMES
C01081	C00454	3.6.1.15;2.7.1.40;2.7.1.74;2.7.4.6;2.7.4.10
C01081	C00201	3.6.1.15;2.7.1.40;2.7.1.74;2.7.4.6;2.7.4.10
C01081	C00068	3.6.1.15
C00242	C03150	2.4.2.1;3.1.3.5
C01736	C03150	2.4.2.1
C00363	C00105	2.7.1.48;3.6.1.5
naglc2p_L	C00105	2.7.8.15
C00248	C01136	1.2.4.1
C00360	C00105	3.1.3.5
C00360	C03150	3.1.3.5
C00112	C00105	2.7.4.14;3.6.1.5
C00239	C00105	3.1.3.5;2.7.4.14
C00239	C03150	3.1.3.5
C00361	C00105	2.7.1.48
dolp_L	C00105	2.7.8.15
C01136	C00010	1.2.4.1;2.3.1.12
C01136	C00579	2.3.1.12
C01136	C00024	1.2.4.1;2.3.1.12
C01136	C05125	1.2.4.1
C01136	C00022	1.2.4.1;2.3.1.12
C01136	C00068	1.2.4.1
C00620	C03150	2.4.2.1
C00015	C00105	;2.7.4.14;3.6.1.5;3.6.1.6;2.7.4.4;2.7.1.48
C00362	C00105	3.1.3.5;3.6.1.19
C00362	C03150	3.1.3.5
C00294	C00105	3.1.3.5
C00294	C03150	2.4.2.1;3.1.3.5
G10610	C00105	2.7.8.15
C00460	C00105	2.7.1.48;3.6.1.19
C00458	C00105	2.7.1.48
C00881	C00105	3.1.3.5;2.7.4.14
C00881	C03150	3.1.3.5
C00153	C03150	2.4.2.1
G00001	C00105	2.7.8.15
G10619	C00105	;2.7.4.14;3.6.1.5;3.6.1.6;2.7.4.4;2.7.1.48
C15587	C03150	2.4.2.1
C00455	C00105	3.6.1.9;3.1.3.5
C00455	C03150	3.1.3.5;2.7.1.22
C00010	C16255	1.2.4.1;2.3.1.12
C02520	C00105	3.1.3.5
C02520	C03150	3.1.3.5
C00206	C00105	2.7.1.48
C00104	C00105	;3.6.1.5;3.6.1.6;3.6.1.8;2.7.1.48;3.6.1.19
C00911	C00105	3.1.3.5
C00911	C03150	3.1.3.5
C00442	C03150	2.4.2.1
C15586	C03150	2.4.2.1
C00330	C00105	3.1.3.5
C00330	C03150	2.4.2.1;3.1.3.5
C01762	C00105	3.1.3.5
C01762	C03150	2.4.2.1;3.1.3.5
G10621	C00105	;3.1.3.5;2.7.4.14;3.6.1.5;2.7.1.48
G10621	C03150	3.1.3.5
C00110	C00105	;2.7.8.15
C15972	C16255	1.2.4.1;2.3.1.12
C01103	C00105	4.1.1.23
C00106	C00105	2.4.2.9
C00106	C03150	2.4.2.1
C16617	C00105	3.6.1.19
C00364	C00105	2.7.4.4;3.1.3.5;3.6.1.5;3.6.1.19
C00364	C03150	3.1.3.5
C00024	C16255	1.2.4.1;2.3.1.12
C16634	C00105	2.7.1.48
C01185	C00105	;3.6.1.9;3.1.3.5
C01185	C03150	3.1.3.5
C00387	C00105	3.1.3.5
C00387	C03150	2.4.2.1;3.1.3.5
C11828	C00105	3.6.1.45
C05227	C00105	3.6.1.45
C00055	C00105	;3.1.3.5;2.7.4.14;3.6.1.5;2.7.1.48
C00055	C03150	3.1.3.5
C15973	C16255	1.2.4.1;2.3.1.12
C00262	C03150	2.4.2.1
C00459	C00105	2.7.1.48;3.6.1.5
C00044	C00105	3.6.1.8;3.6.1.17;3.6.1.5;2.7.1.48;3.6.1.19
C05841	C00105	;3.1.3.5
C05841	C03150	2.4.2.1;3.1.3.5
C00705	C00105	2.7.4.14;2.7.1.48
C05125	C16255	1.2.4.1
C00063	C00105	3.6.1.5
C00365	C00105	2.7.4.4;3.1.3.5;3.6.1.5;3.6.1.19
C06196	C00105	3.6.1.19
C00075	C00105	;3.6.1.5;3.6.1.8;3.6.1.17;2.7.1.48;3.6.1.19;2.7.8.17;2.7.8.15
C03706	C00105	2.7.8.17
C00020	C00105	;3.1.3.5;3.6.1.17;3.6.1.9;3.6.1.5
C00020	C03150	3.1.3.5
C05385	C00105	
C00119	C00105	2.4.2.9
C00212	C00105	3.1.3.5
C00212	C03150	2.4.2.1;3.1.3.5
C00672	C03150	2.4.2.1;3.1.3.5
G10620	C00105	2.7.1.48;3.6.1.5
C16255	C00022	1.2.4.1;2.3.1.12
C16255	C00068	1.2.4.1
C06198	C00105	3.6.1.17
C00201	C00105	3.6.1.19
C05512	C03150	2.4.2.1
C00144	C00105	3.6.1.19;3.6.1.6;3.6.1.8;3.6.1.17;3.1.3.5;3.6.1.5
C00144	C03150	3.1.3.5
C00131	C00105	2.7.1.48
C00029	C00105	;3.6.1.8;3.6.1.9
C00105	C04646	3.6.1.19
C00105	C00043	;3.6.1.5;3.6.1.8;3.6.1.17;2.7.1.48;3.6.1.19;2.7.8.17;2.7.8.15
C00105	C00130	3.6.1.5;3.6.1.6;3.6.1.8;3.6.1.17;3.1.3.5;3.6.1.19
C00105	C01346	2.7.4.4;2.7.1.48
C00105	C00103	3.6.1.9;3.6.1.8;
C00105	C00081	;3.6.1.5;3.6.1.6;3.6.1.8;2.7.1.48;3.6.1.19
C00105	C00299	3.1.3.5;2.7.1.48
C00105	C00559	3.1.3.5
C00105	C00475	3.1.3.5;2.7.1.48
C00105	C03150	3.1.3.5
C00105	C04500	2.7.8.15
C00105	C00286	2.7.1.48;3.6.1.19
C00105	C04789	2.7.8.17
C00105	C16633	2.7.1.48
C00105	C00035	;2.7.4.4;2.7.1.48;3.6.1.5;3.6.1.6
C00105	G10622	2.7.8.15
C00105	C01345	3.6.1.19
C00105	C00655	3.6.1.5;3.6.1.6;3.6.1.8;3.6.1.17;3.1.3.5;3.6.1.19
C00105	C00700	3.6.1.17;3.6.1.19
C00105	C00214	3.1.3.5
C00105	C00215	3.6.1.19;3.6.1.6
C00105	C00167	
C00130	C03150	3.1.3.5
C00465	C03150	2.4.2.1
C00526	C03150	2.4.2.1
C00299	C03150	3.1.3.5
C00559	C03150	2.4.2.1;3.1.3.5
C00253	C03150	2.4.2.1;3.1.3.5
C00475	C03150	3.1.3.5
C03150	C00385	2.4.2.1
C03150	C00655	3.1.3.5
C03150	C00214	3.1.3.5
C03150	C00147	2.4.2.1
