SOURCE	TARGET	ENZYMES
C00014	C00637	1.4.3.6;3.5.1.4;1.4.3.4
C00014	C05639	1.4.3.4
C00014	C00788	;1.4.3.6;1.4.3.4
C00014	C00475	3.5.4.5
C00014	C05589	1.4.3.4
C00014	C00559	3.5.4.4
C00058	C00328	3.5.1.49;3.5.1.9
C01342	C00637	1.4.3.6;1.4.3.4
C01342	C05639	1.4.3.4
C01342	C05589	1.4.3.4
C00881	C03150	3.1.3.5
C00881	C00475	3.1.3.5;3.5.4.5
C00881	C00559	3.1.3.5
C00206	C16633	2.7.1.48
C00206	C00475	2.7.1.48
C05650	C04874	1.14.16.5
C00364	C03150	3.1.3.5
C00364	C00475	3.1.3.5
C00364	C00559	3.1.3.5
C00294	C03150	2.4.2.1;3.1.3.5
C00294	C00475	3.1.3.5
C00294	C00559	2.4.2.1;3.1.3.5;3.5.4.4
C00328	C00108	3.5.1.9;3.7.1.3
C00328	C01717	2.6.1.7
C00328	C03227	2.6.1.7;3.5.1.49;3.5.1.9;1.14.13.9;3.7.1.3
C00328	C00026	2.6.1.7
C00328	C02406	3.5.1.49;3.5.1.9;3.7.1.3
C00328	C01252	2.6.1.7
C00328	C02700	3.5.1.9;3.7.1.3
C00328	C00041	3.7.1.3
C00328	C00025	2.6.1.7
C00643	C00525	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C00643	C05647	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C00643	C15522	1.14.16.4
C00643	C00078	;1.13.11.52;1.14.16.4;3.5.1.9;4.1.1.28
C00643	C00272	;1.14.16.4
C00643	C05642	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C00643	C15605	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C00643	C05648	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
