pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Tryptophan metabolism	7	13	0.004117301067137215	E146,E37,E16,E47,E95,E94,E123	CE2153,C00637,C00643,C00328/C05647,C05639,C05639,CE3087	$Indole-3-acetaldehyde$5-Hydroxy-L-tryptophan$L-Kynurenine/Formyl-5-hydroxykynurenamine$4,6-Dihydroxyquinoline; Quinoline-4,6-diol$4,6-Dihydroxyquinoline; Quinoline-4,6-diol$beta-carboline
Biopterin metabolism	2	3	0.04671876312914881	E130,E114	C03684/C00835,C03150/C04874	6-Pyruvoyl-5,6,7,8-tetrahydropterin/Sepiapterin$N-Ribosylnicotinamide/Dihydroneopterin
Glycolysis and Gluconeogenesis	1	1	0.06957398537937988	E96		
Drug metabolism - other enzymes	1	1	0.06957398537937988	E134	C16633	5-Fluorouridine
Glycine, serine, alanine and threonine metabolism	2	4	0.08024535753298043	E75,E99	,	$
Drug metabolism - cytochrome P450	2	4	0.08024535753298043	E104,E109	,	$
Urea cycle/amino group metabolism	4	11	0.09637845559196706	E75,E161,E32,E99	,C00559,C05589/C00788,	$Deoxyadenosine$L-Normetanephrine/L-Adrenaline; (R)-(-)-Adrenaline; (R)-(-)-Epinephrine; (R)-(-)-Epirenamine; (R)-(-)-Adnephrine; 4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol$
Linoleate metabolism	1	2	0.1093185446601126	E85		
Galactose metabolism	1	2	0.1093185446601126	E116		
Vitamin B1 (thiamin) metabolism	1	2	0.1093185446601126	E96		
Propanoate metabolism	1	2	0.1093185446601126	E227		
Fructose and mannose metabolism	1	2	0.1093185446601126	E116		
Vitamin B6 (pyridoxine) metabolism	1	2	0.1093185446601126	E119		
Lysine metabolism	1	2	0.1093185446601126	E98		
Vitamin B3 (nicotinate and nicotinamide) metabolism	1	3	0.11856146542307369	E114	C03150/C04874	N-Ribosylnicotinamide/Dihydroneopterin
Beta-Alanine metabolism	1	3	0.11856146542307369	E227		
Starch and Sucrose Metabolism	1	3	0.11856146542307369	E218		
Hexose phosphorylation	1	4	0.12192252751869591	E116		
Arginine and Proline Metabolism	1	4	0.12192252751869591	E150		
Aspartate and asparagine metabolism	1	4	0.12192252751869591	E75		
Glycerophospholipid metabolism	1	5	0.12444332409041257	E114	C03150/C04874	N-Ribosylnicotinamide/Dihydroneopterin
Pyrimidine metabolism	1	5	0.12444332409041257	E142	C00475	Cytidine
Tyrosine metabolism	3	14	0.1255356692714898	E32,E58,E147	C05589/C00788,,	L-Normetanephrine/L-Adrenaline; (R)-(-)-Adrenaline; (R)-(-)-Epinephrine; (R)-(-)-Epirenamine; (R)-(-)-Adnephrine; 4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol$$
Purine metabolism	1	6	0.12654398790017646	E161	C00559	Deoxyadenosine
Vitamin D3 (cholecalciferol) metabolism	0	0	0.12788841273842536			
Hyaluronan Metabolism	0	0	0.12788841273842536			
N-Glycan biosynthesis	0	1	0.12788841273842536			
Glycosphingolipid biosynthesis - ganglioseries	0	0	0.12788841273842536			
R Group Synthesis	0	0	0.12788841273842536			
C5-Branched dibasic acid metabolism	0	0	0.12788841273842536			
Pyruvate Metabolism	0	0	0.12788841273842536			
Sialic acid metabolism	0	0	0.12788841273842536			
Chondroitin sulfate degradation	0	0	0.12788841273842536			
Di-unsaturated fatty acid beta-oxidation	0	1	0.12788841273842536			
Putative anti-Inflammatory metabolites formation from EPA	0	2	0.12788841273842536			
Vitamin B2 (riboflavin) metabolism	0	0	0.12788841273842536			
Squalene and cholesterol biosynthesis	0	1	0.12788841273842536			
Keratan sulfate degradation	0	1	0.12788841273842536			
Glycerolipid metabolism	0	0	0.12788841273842536			
Carnitine shuttle	0	2	0.12788841273842536			
3-oxo-10R-octadecatrienoate beta-oxidation	0	0	0.12788841273842536			
Alkaloid biosynthesis II	0	1	0.12788841273842536			
Glycosphingolipid biosynthesis - globoseries	0	0	0.12788841273842536			
Histidine metabolism	0	3	0.12788841273842536			
Vitamin B5 - CoA biosynthesis from pantothenate	0	1	0.12788841273842536			
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	0	0	0.12788841273842536			
Glycosphingolipid biosynthesis - lactoseries	0	0	0.12788841273842536			
Bile acid biosynthesis	0	1	0.12788841273842536			
Parathio degradation	0	0	0.12788841273842536			
Blood Group Biosynthesis	0	0	0.12788841273842536			
Electron transport chain	0	0	0.12788841273842536			
Vitamin H (biotin) metabolism	0	0	0.12788841273842536			
Vitamin E metabolism	0	1	0.12788841273842536			
Androgen and estrogen biosynthesis and metabolism	0	0	0.12788841273842536			
Caffeine metabolism	0	0	0.12788841273842536			
Lipoate metabolism	0	0	0.12788841273842536			
Heparan sulfate biosynthesis	0	0	0.12788841273842536			
Vitamin B9 (folate) metabolism	0	1	0.12788841273842536			
Glyoxylate and Dicarboxylate Metabolism	0	0	0.12788841273842536			
De novo fatty acid biosynthesis	0	1	0.12788841273842536			
Vitamin A (retinol) metabolism	0	0	0.12788841273842536			
Valine, leucine and isoleucine degradation	0	4	0.12788841273842536			
Fatty Acid Metabolism	0	1	0.12788841273842536			
Glycosaminoglycan degradation	0	0	0.12788841273842536			
Fatty acid oxidation	0	0	0.12788841273842536			
ROS Detoxification	0	0	0.12788841273842536			
Xenobiotics metabolism	0	3	0.12788841273842536			
Saturated fatty acids beta-oxidation	0	0	0.12788841273842536			
CoA Catabolism	0	1	0.12788841273842536			
Omega-3 fatty acid metabolism	0	0	0.12788841273842536			
Butanoate metabolism	0	1	0.12788841273842536			
Mono-unsaturated fatty acid beta-oxidation	0	0	0.12788841273842536			
Glycosphingolipid biosynthesis - neolactoseries	0	0	0.12788841273842536			
Ascorbate (Vitamin C) and Aldarate Metabolism	0	2	0.12788841273842536			
Geraniol degradation	0	0	0.12788841273842536			
D4&E4-neuroprostanes formation	0	1	0.12788841273842536			
Vitamin D	0	0	0.12788841273842536			
Dynorphin metabolism	0	0	0.12788841273842536			
Heparan sulfate degradation	0	0	0.12788841273842536			
Fatty acid oxidation, peroxisome	0	0	0.12788841273842536			
Polyunsaturated fatty acid biosynthesis	0	0	0.12788841273842536			
Alanine and Aspartate Metabolism	0	1	0.12788841273842536			
Glutathione Metabolism	0	1	0.12788841273842536			
Keratan sulfate biosynthesis	0	0	0.12788841273842536			
TCA cycle	0	0	0.12788841273842536			
3-Chloroacrylic acid degradation	0	0	0.12788841273842536			
Arachidonic acid metabolism	0	3	0.12788841273842536			
