SOURCE	TARGET	ENZYMES
C00387	C00455	3.1.3.5
C00153	C00455	2.4.2.12
C03150	C00455	3.1.3.5;2.7.1.22
C00212	C00455	3.1.3.5
C01185	C00455	3.6.1.9;3.1.3.5;2.7.7.1;3.6.1.22;2.7.7.18
C00455	C00105	3.6.1.9;3.1.3.5
C00455	C00239	3.1.3.5
C00455	C00214	3.1.3.5
C00455	C00655	3.1.3.5
C00455	C00330	3.1.3.5
C00455	C00559	3.1.3.5
C00455	C00299	3.1.3.5
C00455	G10621	3.1.3.5
C00455	C01762	3.1.3.5
C00455	C00055	3.1.3.5
C00455	C00144	3.1.3.5
C00455	C00294	3.1.3.5
C00455	C00130	3.1.3.5
C00455	C00881	3.1.3.5
C00455	C00475	3.1.3.5
C00455	C00020	3.6.1.9;3.1.3.5;3.6.1.22
C00455	C00362	3.1.3.5
C00455	C05841	3.1.3.5
C00455	C00119	2.4.2.12
C00455	C00360	3.1.3.5
C00455	C00364	3.1.3.5
C00455	C02520	3.1.3.5
C00455	C00911	3.1.3.5
