massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row1	108.9009	135.19	0.7618176916020513	-0.5483719616863896	
row2	108.9009	150.19	0.8445076808133272	-0.36586198720183355	
row3	108.9777	212.81	0.0006583706781010248	8.834818650029472	
row4	108.9897	104.99	0.3410862042376169	1.499063623330378	
row5	108.9897	108.53	0.39183847562578566	1.3335566790133708	
row6	108.9897	111.16	0.37684858800631044	1.3777350103669355	
row7	108.9897	114.44	0.37545800056100465	1.3826418700331768	
row8	169.04	162.36	0.9804783299703225	0.04356810206648387	
row9	109.0285	24.93	0.0027390222661587697	6.593860322864698	
row10	109.0285	165.25	0.8953867992043371	-0.2589885985399568	
row11	169.0613	50.51	0.22089763410663396	1.9417873955067482	
row12	169.0692	50.11	0.0031455370624681547	6.352885008438529	C8H11NO3
row13	142.0653	156.03	0.22456196705298323	1.9225273778056524	
row14	142.9433	201.48	0.9458996577704493	-0.1432844810459025	
row15	142.9743	201.75	0.9820827834371544	-0.039113291118559004	
row16	110.8979	135.19	0.9710048059100634	-0.0644695490925439	
row17	110.8979	150.19	0.9058935364728459	-0.24313389060397037	
row18	170.0564	301.17	0.0010266608039522077	-8.082420069278827	C7H8N2O3
row19	170.0564	309.57	0.001506280978429027	-7.4529245707485865	C6H9N3O3
row20	170.0701	49.85	0.0004754860563196212	9.505408604650786	
row21	143.0055	201.35	0.8282998289712004	0.3997104698132252	
row22	170.8286	1.7	0.7083585908697689	-0.6653228581102403	
row23	170.8286	135.45	0.74561640799041	-0.5876812150844161	
row24	170.8286	138.73	0.1927409688510884	-2.0716387224118016	
row25	170.8286	149.8	0.7964331530103098	-0.4655719975215706	
row26	170.8474	135.58	0.6351085719273408	-0.8091743689159608	
row27	170.8474	149.8	0.9689504808269961	-0.07122497411357555	
row28	143.0454	298.15	0.09600557355789835	2.713156200774024	
row29	143.0454	314.96	0.14621067515220232	2.326308788682241	
row30	73.0273	92.91	0.3475340060665534	1.4673011167988044	
row31	143.0535	147.17	0.8925073222104594	0.26725662327132665	
row32	143.0535	150.74	0.7727819357114252	0.527506721203657	
row33	143.0535	152.45	0.8937917469929086	0.26196471215224326	
row34	143.0535	155.89	0.6247763362990802	-0.8277926001276119	
row35	112.9362	346.74	0.9561876123740862	0.11203676820715394	
row36	73.9954	116.41	0.7529695739139158	0.5702589312119736	
row37	73.9954	345.95	0.4317061286345564	1.225872184106035	
row38	73.9954	403.36	0.8616009896007228	0.33709787400612573	
row39	74.0059	212.41	9.919620046135835e-07	31.750564403789294	
row40	171.0195	164.46	0.2550465348014303	-1.7954669486474184	
row41	171.0195	227.54	0.956660359292821	-0.10926691022135473	
row42	171.0195	235.16	0.8428937601688117	0.3698527221423055	
row43	143.9007	346.74	0.3917577344124499	1.3347721720511765	
row44	171.0405	234.76	0.7090338241914937	0.6595689466763217	
row45	171.0405	239.91	0.675739269695019	0.7280808857743489	
row46	171.0479	32.33	4.812131906650966e-05	15.037379259950791	
row47	113.9356	346.6	0.9118991159381292	0.23112338507467645	
row48	171.0558	26.91	0.22456196705298323	1.922980223016315	
row49	143.9753	125.21	0.7992714092389399	-0.460400751177811	
row50	143.9777	201.61	0.945224299047678	0.1504695660585243	
row51	171.0657	191.97	0.7185461242685379	-0.6397111758158436	C8H12O4
row52	143.9904	222.26	0.16530018771173824	2.220261962420336	
row53	171.0769	292.24	0.018701284869309293	-4.254035426048803	
row54	77.0056	212.81	0.07096172534139986	2.9955375683220353	
row55	171.5435	297.23	0.007952917902904857	-5.132322393886986	
row56	171.8736	106.96	0.7378235141218151	0.6044220234584409	
row57	171.8736	113.52	0.35170583049545195	1.4554574373556686	
row58	171.8736	118.25	0.798702466168015	0.4617555198572187	
row59	114.932	346.87	0.8895397823711514	-0.2738475559562458	
row60	144.0293	212.15	0.021239967137005034	-4.126273363079447	
row61	144.0446	26.12	0.5384989056438604	-0.9951996400860718	
row62	144.0738	34.95	0.4949032336721308	-1.0867509951958967	
row63	144.1021	151.01	0.9552594852794415	-0.11771130636366232	
row64	115.0027	297.76	0.002822612066771631	-6.5330913444707095	
row65	144.8687	135.32	0.7473848973543037	-0.5797304045581204	
row66	144.8687	149.93	0.4292454931929274	-1.232715094609391	
row67	172.0244	58.31	0.22089763410663396	1.9411840455968332	
row68	172.0244	77.15	0.4666483543405681	1.145606401538774	
row69	172.0355	267.29	0.1421159703440651	-2.3500273318158853	C6H6N2O4
row70	144.9724	201.61	0.9546090760309277	-0.12103459234555775	
row71	172.0398	28.62	0.0737863823581153	2.9533603474634638	
row72	144.9783	201.61	0.6533646795861799	-0.7738553523310409	
row73	172.069	192.36	0.7941688119666674	-0.4717857923820344	C8H12O4
row74	82.9531	34.82	0.004466609164738437	-5.865906817481023	
row75	82.9531	191.71	0.8796238898596421	-0.2980962017408311	
row76	145.0477	26.25	0.3506109906390638	-1.4582287109916485	
row77	145.0477	30.59	0.22047814432355128	1.9447344771194222	
row78	145.0477	31.14	0.31876303069159484	1.591135312612886	
row79	172.5373	267.29	0.14300893923935437	-2.344953138544297	
row80	172.8276	1.56	0.3256421246855289	1.5714575526666592	
row81	115.0521	222.39	0.22927799280762393	1.9018894628105707	
row82	115.0584	222.26	0.29581671013667976	1.6591182148409132	C6H12S,C6H12S
row83	172.8417	135.58	0.7473848973543037	-0.5809790045519138	
row84	172.8417	150.06	0.915536026963	-0.2145499571696404	
row85	146.0272	132.43	0.49990861332962067	1.077548268379512	
row86	116.0028	135.58	0.6488776170555732	-0.7837007615360181	
row87	116.0028	149.8	0.8907232222363494	0.27089910735981737	
row88	146.0531	210.97	0.5916365035466085	-0.8955640913668429	
row89	116.0061	297.63	0.002227629779087813	-6.858103621912842	
row90	84.0067	58.58	0.697026187918638	-0.687678113475782	
row91	84.0067	63.07	0.34659035112474473	1.4733271914183672	
row92	84.0067	128.62	0.672384555883084	0.7394533762882618	
row93	116.0469	209.92	0.6979370137435393	0.6856184611696509	
row94	116.0478	209.92	0.00974565958733877	4.922181339848019	
row95	116.0593	222.39	0.34075149652983594	1.5157495701397605	
row96	172.985	201.48	0.011785276969893059	-4.703365757569152	
row97	172.9907	25.73	0.00212447714364339	6.919765575367853	C6H6O4S,C6H6O4S
row98	172.9907	27.57	0.010338135132191683	4.849170364416854	C6H6O4S,C6H6O4S
row99	146.0814	180.11	0.04102304791182468	3.519355165118846	
row100	146.8659	135.58	0.7501089077727386	-0.5752538073139293	
row101	146.8659	149.8	0.4916235393778915	-1.0949099991202296	
row102	116.0936	210.05	0.03596275336895986	3.6344631152489866	
row103	116.0945	210.18	0.7265914268973066	0.6247528771276748	
row104	84.9502	34.69	0.004505911214002175	-5.841337546557084	
row105	84.9502	191.58	0.9458996577704493	0.14751820381414324	
row106	173.0083	254.89	0.38119251222976835	1.3618681480832608	C7H7FO2S
row107	173.0083	259.39	0.005278555720498894	5.61303878789311	C7H7FO2S
row108	173.0333	267.43	0.11859877721873203	-2.5191810305207327	
row109	147.0176	270.31	0.0071453526148672316	-5.253167810795973	
row110	173.0376	267.43	0.1050498369948999	-2.6322199169566436	
row111	85.0648	36.13	0.6377240904405413	-0.8042420295447646	
row112	173.056	233.85	0.252957527439827	1.8076425980227533	
row113	147.0667	197.78	0.000889023558046029	8.34225948429975	
row114	147.0667	200.96	0.07361538788594674	-2.9578487172547043	
row115	173.0812	192.1	0.6733313404137129	-0.7366650121211609	
row116	147.9204	2.75	0.30786809287908634	1.6221531528673614	
row117	87.0441	192.1	0.047455482076284625	3.3776119654127585	
row118	173.8419	135.85	0.8838497161619765	-0.2900429709376987	
row119	173.8419	150.19	0.9133719766063143	-0.22335409137158324	
row120	117.0528	156.29	0.18195944071508363	2.121579359995172	
row121	117.0677	210.31	0.0002731607751165723	10.680270588996391	
row122	117.074	210.31	0.0005210308111795777	9.290163791463012	C6H14S
row123	173.994	25.59	0.0003706085488699007	10.003329019728385	C6H6O4S,C6H6O4S
row124	173.994	27.44	0.1035868544340498	2.6456323275693516	C6H6O4S,C6H6O4S
row125	148.8628	135.06	0.8937917469929086	-0.2621974412431489	
row126	148.9057	28.88	0.0010924673598652639	7.972063173270426	
row127	174.0114	254.89	0.4255835511026403	1.2416468812517383	C7H7FO2S
row128	174.0114	259.25	0.0025003399223653237	6.713715175066357	C7H7FO2S
row129	149.0001	28.22	0.9641215090130656	0.08902880863743652	
row130	149.0425	189.45	0.00570532784934915	5.514498962476758	
row131	174.0224	130.99	0.4409569470047157	-1.206146870322384	C14H26N4O11P2
row132	118.0746	210.31	0.00035321348364453117	10.090477247349991	
row133	118.0773	210.18	0.0002172840174489467	11.21907058713554	C6H14S
row134	149.0462	189.84	0.00035321348364453117	10.101986581603052	
row135	149.0462	191.05	0.009504543304310891	4.946419817310331	
row136	174.0552	27.3	0.12243197567403179	2.4895548101455134	
row137	174.0766	222.52	0.8892820852053789	0.2747274494209332	C7H13NO4
row138	149.0599	34.69	0.00035321348364453117	10.088041201751112	
row139	89.0427	249.11	0.2432377198659912	-1.8476610021737452	
row140	174.8389	135.58	0.971240064182512	-0.06362222489665485	
row141	174.8389	150.06	0.9429535844336507	-0.15606562057190704	
row142	174.8643	1.7	0.2411289116428772	1.8564753105997567	
row143	174.9637	134.93	0.6587851200341821	-0.7633506674537885	
row144	174.9637	145.86	0.7083585908697689	-0.6654518246210634	
row145	174.9865	25.73	0.025687411494923717	3.940555512796943	
row146	174.9865	27.57	0.003152405364402056	6.346906685654408	
row147	150.0221	265.85	0.45465967459454326	-1.1739048581107483	
row148	175.0353	318.24	0.9652350241446934	-0.08587024616517078	
row149	119.0491	198.3	0.002822612066771631	6.520978480283119	
row150	119.0491	205.16	0.2541259270368689	1.7998988695819826	
row151	150.0301	270.84	0.9350293795072024	0.17479647409020235	
row152	150.0413	135.98	0.0823894316103951	-2.8509135031028094	C5H13NS2
row153	119.056	166.72	0.8868240387369113	0.2821964169904351	
row154	119.056	205.98	0.5488226091048656	0.9709893038737061	
row155	119.056	255.28	0.5996481345214598	0.8816670366455481	
row156	119.056	267.95	0.9458996577704493	-0.14821903742021814	
row157	119.056	273.47	0.5345177156612613	-1.0085440725321797	
row158	119.056	275.17	0.8796238898596421	-0.29782700031150655	
row159	119.056	281.21	0.7220091329752863	-0.6334221211565024	
row160	119.056	282.92	0.37860394338134673	1.3709438233924005	
row161	119.056	292.11	0.22047814432355128	1.947326420126177	
row162	150.8858	134.8	0.9671349278321411	0.08031595137551584	
row163	150.8858	150.45	0.7431506556844166	-0.5928531846951053	
row164	175.0718	305.9	0.03226271621909313	-3.7309470043606976	
row165	175.8391	135.85	0.955958589539589	-0.11556182682051039	
row166	175.8391	150.06	0.9235890805323204	-0.1994377057779187	
row167	91.0542	34.95	0.01895227225544348	-4.239191295799032	
row168	119.0594	224.49	0.7757841559151778	0.5183155274618431	
row169	151.0586	50.11	0.0012737897396062493	7.6983984775621215	
row170	151.8733	149.8	0.7220091329752863	-0.6340235195943857	
row171	119.9848	134.27	0.34078852272355964	1.5142396208323812	
row172	119.9848	137.55	0.4083782513437895	1.2856092384236053	
row173	119.9848	152.19	0.35007343671856644	1.460614542187629	
row174	176.0193	329.14	0.041721062451900416	-3.5027599595913106	
row175	152.0709	97.9	0.6743029175363155	0.7324141046500153	
row176	152.8829	134.8	0.898727156072527	0.25389970079230606	
row177	152.8829	150.45	0.7359712768260473	-0.608205196914262	
row178	152.9855	283.31	0.2732539652953019	-1.7282561468407864	
row179	152.995	191.97	0.004466609164738437	-5.860528776410236	C3H7O5P
row180	152.995	210.97	0.07154045908577181	-2.9844978898621597	
row181	176.0922	210.18	0.00017521316171789482	11.687592058662686	C7H15NO4
row182	176.8359	135.85	0.7443103876335003	-0.5901743913981463	
row183	176.8359	150.06	0.9420852759126614	-0.15970985146541136	
row184	176.9162	364.07	0.8460509688487704	-0.3634929873952867	
row185	153.016	216.35	0.22927799280762393	1.9014161339482565	
row186	93.0335	204.63	0.963838306051635	0.09463651549312788	
row187	153.0185	25.73	0.0011239206064149168	7.923040595017055	
row188	121.0312	243.2	0.2156252587421815	1.9691272045979384	
row189	94.0481	373.39	0.09517162517195683	2.7201496051589413	
row190	94.0481	379.04	0.1981950598775349	2.045292595427442	
row191	94.924	135.19	0.7463404894847118	-0.5859212109991008	
row192	94.924	150.19	0.8807805078182843	-0.2953950905786403	
row193	153.0548	34.95	0.9712564275237368	-0.06250628834602577	
row194	153.8992	1.17	0.06466883579734217	3.0767599379428408	
row195	122.0601	49.85	0.010210067883871844	4.8684953234143835	
row196	122.8932	39.81	0.46376743289115147	-1.1518627637445906	
row197	154.0138	37.32	0.8522696381502837	-0.35312845115328667	
row198	95.9751	191.05	0.0071453526148672316	5.257088601978922	
row199	96.0274	32.85	0.04674717965643261	-3.395057530719333	
row200	154.0568	191.71	0.2645137079626919	1.757581764903236	
row201	96.9211	135.19	0.7602622415776982	-0.554822289410827	
row202	96.9211	149.93	0.9307576749600255	-0.1837632827839642	
row203	177.8362	135.85	0.7547231192119096	-0.567117282939739	
row204	177.8362	150.06	0.9761213099458901	0.051901860087161744	
row205	124.0063	212.41	0.04854235870659543	-3.3513656649427945	
row206	177.9124	134.8	0.7473848973543037	-0.5816052424776595	
row207	177.9124	150.58	0.4160000020340449	-1.2620106499508212	
row208	154.868	149.8	0.6800473977635013	-0.7178061668028595	
row209	154.88	134.93	0.9458996577704493	-0.14388822053432623	
row210	154.88	150.45	0.7411091203846466	-0.5977063643072721	
row211	124.8902	39.68	0.5377486159803451	-0.9981892741663555	
row212	178.8332	135.85	0.7581036833157117	-0.5605170065168912	
row213	178.8332	149.93	0.9152070558925618	-0.21812279974667276	
row214	178.8799	26.78	0.0007921562092961322	8.545142624537506	
row215	124.9904	34.3	0.09300371505544233	-2.7389879617835233	
row216	125.0347	34.95	0.005689576664793956	-5.5205193573546945	
row217	178.912	364.07	0.2433437517047394	-1.8460248947397389	
row218	125.0425	225.15	0.7039502281195597	-0.6731688127051891	
row219	97.0648	27.04	0.34659035112474473	1.476395004326472	
row220	155.0089	172.5	0.2688316920729571	-1.7426401765498671	
row221	125.8721	134.8	0.8256093415634748	0.40685351471239123	
row222	125.8721	151.53	0.7602622415776982	-0.555738885561849	
row223	97.9762	201.35	0.004722081560938539	-5.76584591266858	
row224	125.9898	34.43	0.2669421216372981	-1.7489364278883515	
row225	125.9938	34.3	0.09712667030171451	-2.703218533450048	
row226	126.9041	29.54	0.36760037803017725	-1.4092920449153632	
row227	126.952	31.93	0.6846103269562746	0.7092907158677346	
row228	126.9862	34.3	0.07924980060918842	-2.8882859423138134	C5H4O2S
row229	126.9948	34.3	0.5407452275564438	-0.987698055358989	
row230	98.948	1.04	0.2573976545104347	1.785625171725208	
row231	179.0538	115.1	0.7225309326598905	0.6317661172013161	C9H9NO3
row232	179.0538	116.28	0.7860726263065924	0.4941315598260162	
row233	155.8648	149.8	0.6797725176545759	-0.7199461137847469	
row234	155.8733	2.62	0.285456342557781	1.6893528047749822	
row235	155.8733	29.01	0.0030966639043043223	6.395636581702028	
row236	127.0028	146.91	0.90654777194795	0.24128921989916302	
row237	127.0028	152.84	0.8608981520362887	0.3384574900193635	
row238	127.0028	190.23	0.8635730024587877	-0.33007995742603174	
row239	127.0028	192.63	0.4539194220406311	-1.176165347361775	
row240	127.0577	32.19	1.7660957454448692e-07	45.1009597577016	
row241	127.0754	191.71	0.9261723543541317	-0.19469211288604815	
row242	127.8692	134.27	0.8842281910876968	-0.28655773192949485	
row243	127.8692	151.14	0.9419766425871999	0.16091852824830172	
row244	179.8402	135.32	0.9443918403995449	0.1536478036749043	
row245	179.8402	150.45	0.4085837046909326	-1.284295340642628	
row246	179.8819	25.45	0.003128005774533933	6.38125580460265	
row247	179.8819	363.02	0.18165051261966803	2.12572388783312	
row248	179.8819	365.51	0.6277754809970975	0.822864987899402	C20H39NO2,C20H39NO2
row249	156.0269	266.24	0.6997704179845291	0.679947129725566	
row250	180.0152	55.0	0.34083847011130886	1.5100631257892494	
row251	156.865	149.8	0.7129150613284654	-0.6517274244285566	
row252	127.998	33.9	2.539868189987308e-06	25.744826448461776	
row253	100.0394	191.84	0.00011231020836584547	12.684755387275086	
row254	100.9451	1.04	0.1727106512301214	2.18428952301807	
row255	156.954	201.22	0.3542081312756622	-1.4470361530180356	
row256	157.0123	92.78	0.03187028953844538	3.7431746932668557	
row257	128.0708	36.53	0.7728648960848513	-0.5252981868227301	
row258	128.8912	135.45	0.6799468217238397	0.7192180709606041	
row259	128.9586	201.75	0.5957894137627521	0.8884053621895347	
row260	157.0279	201.61	0.9458996577704493	0.14668044618783535	
row261	157.0279	202.8	0.8937527810134838	-0.26410337934482375	
row262	128.9982	135.06	0.9689504808269961	0.07092438790807673	
row263	180.8821	363.02	0.1035868544340498	2.6452953917880095	
row264	180.8821	365.77	0.0740997795094559	2.945847358840151	
row265	101.0597	36.0	0.5683535857385128	-0.9357676657073187	
row266	157.0399	113.52	0.7220091329752863	-0.633514190772393	
row267	129.0267	36.26	0.5251686857938428	-1.0273583424160795	
row268	129.0277	36.13	0.9595255289161513	-0.10334397119881869	
row269	129.0285	36.53	0.6497068920106703	0.7795719856417745	
row270	129.0377	213.46	0.46345410210907984	-1.153393087489488	
row271	129.0377	220.42	0.0517175868374124	-3.2923387335876577	
row272	129.0804	36.26	0.7411091203846466	-0.5975811120999023	
row273	129.0815	36.26	0.4810493284788879	1.1170588031587403	
row274	129.0826	36.0	0.18054424651750636	-2.1356846637059257	
row275	103.0026	192.36	0.43474860240897184	1.2185951776575736	
row276	157.9933	201.61	0.010900470922251975	-4.794839815359832	
row277	181.0594	192.63	0.00211161880914873	6.935618603943607	
row278	181.0594	213.59	0.008614587584866124	5.04694482489878	
row279	181.0618	204.9	0.9592800651381687	0.10444442076430499	
row280	181.0692	204.77	0.6785399401987268	0.7220064668653653	C9H11NO3
row281	103.9193	39.55	0.3917577344124499	-1.3345756436890683	
row282	130.05	182.35	0.0009805881994463344	-8.180487187694927	
row283	130.0653	155.76	0.1790960790173631	2.1459677939977917	
row284	181.0864	32.19	0.7615903003665895	-0.5503606805372228	
row285	181.0864	337.15	0.3410862042376169	1.4989658306183178	
row286	130.8883	135.58	0.7443103876335003	0.5899180410340629	
row287	130.8883	149.8	0.9047637801995209	-0.24502566705265116	
row288	181.8369	135.19	0.8266078725469794	0.4028705150677529	
row289	181.8369	150.32	0.6777625905165358	-0.7238638100522763	
row290	130.9952	135.06	0.8802654511218717	-0.29653506980502226	
row291	131.0242	103.54	0.9761213099458901	0.05197308288648093	
row292	131.0242	113.26	0.6997704179845291	-0.6796882757163771	
row293	158.0393	116.15	0.1551230105242194	2.2728201435940676	
row294	158.0393	117.33	0.004227333097063778	5.938467922224218	
row295	182.0428	221.47	0.0004821656686336388	9.436206847805625	
row296	131.0589	36.13	0.34319410538507195	-1.4928869262731377	
row297	131.0609	36.13	0.6237059205675067	-0.8302578487326882	
row298	131.0857	32.98	0.18218104949082514	2.1200096794377754	
row299	182.0455	33.9	0.2266203880676403	-1.9113914258424105	C6H6O4
row300	182.0565	253.32	0.057340082803157534	3.1917521659369634	
