input_row	EID	str_row_ion	compounds	compound_names	input_row	m/z	retention_time	p_value	statistic	CompoundID_from_user
row9	E1	row9_M+H[1+]	C00472	p-Benzoquinone; Quinone; Chinone; 2,5-Cyclohexadiene-1,4-dione; 1,4-Benzoquinone	row9	109.0285	24.93	0.0027390222661587697	6.593860322864698	
row10	E2	row10_M+H[1+]	C00472	p-Benzoquinone; Quinone; Chinone; 2,5-Cyclohexadiene-1,4-dione; 1,4-Benzoquinone	row10	109.0285	165.25	0.8953867992043371	-0.2589885985399568	
row51	E13	row51_M+H[1+];row73_M(C13)+H[1+]	C05576	3,4-Dihydroxyphenylethyleneglycol	row51	171.0657	191.97	0.7185461242685379	-0.6397111758158436	C8H12O4
row71	E17	row71_M+Na[1+]	C00073	L-Methionine	row71	172.0398	28.62	0.0737863823581153	2.9533603474634638	
row73	E13	row51_M+H[1+];row73_M(C13)+H[1+]	C05576	3,4-Dihydroxyphenylethyleneglycol	row73	172.069	192.36	0.7941688119666674	-0.4717857923820344	C8H12O4
row76	E7	row76_M+Na[1+];row77_M+Na[1+];row78_M+Na[1+]	C00503	Erythritol; Erythrol; Phycitol; Phycite; Erythrite	row76	145.0477	26.25	0.3506109906390638	-1.4582287109916485	
row77	E7	row76_M+Na[1+];row77_M+Na[1+];row78_M+Na[1+]	C00503	Erythritol; Erythrol; Phycitol; Phycite; Erythrite	row77	145.0477	30.59	0.22047814432355128	1.9447344771194222	
row78	E7	row76_M+Na[1+];row77_M+Na[1+];row78_M+Na[1+]	C00503	Erythritol; Erythrol; Phycitol; Phycite; Erythrite	row78	145.0477	31.14	0.31876303069159484	1.591135312612886	
row93	E22	row93_M+Na[1+]	C00292	Aniline; Phenylamine; Benzenamine; Arylamine	row93	116.0469	209.92	0.6979370137435393	0.6856184611696509	
row99	E24	row99_M+H[1+]	C03239;C02946;C04076	6-Amino-2-oxohexanoate; 2-Oxo-6-aminocaproate$4-Acetamidobutanoate$L-2-Aminoadipate 6-semialdehyde; 2-Aminoadipate 6-semialdehyde	row99	146.0814	180.11	0.04102304791182468	3.519355165118846	
row108	E25	row108_M+Na[1+]	C16631	alpha-Fluoro-beta-ureidopropionic acid; 2-Fluoro-3-ureidopropionic acid	row108	173.0333	267.43	0.11859877721873203	-2.5191810305207327	
row137	E34	row137_M+H[1+]	C01250	N-Acetyl-L-glutamate 5-semialdehyde; 2-Acetamido-5-oxopentanoate	row137	174.0766	222.52	0.8892820852053789	0.2747274494209332	C7H13NO4
row145	E14	row145_M+Na[1+];row146_M+Na[1+]	C01119	Oxidized dithiothreitol	row145	174.9865	25.73	0.025687411494923717	3.940555512796943	
row146	E14	row145_M+Na[1+];row146_M+Na[1+]	C01119	Oxidized dithiothreitol	row146	174.9865	27.57	0.003152405364402056	6.346906685654408	
row164	E39	row164_M+H[1+]	C00439	N-Formimidoyl-L-glutamate	row164	175.0718	305.9	0.03226271621909313	-3.7309470043606976	
row175	E42	row175_M+H[1+]	CE5665	leukoaminochrome	row175	152.0709	97.9	0.6743029175363155	0.7324141046500153	
row178	E43	row178_M+H[1+]	C05527	3-Sulfinopyruvate	row178	152.9855	283.31	0.2732539652953019	-1.7282561468407864	
row185	E45	row185_M+Na[1+]	C01732;C00490	Mesaconate; 2-Methylfumarate; Mesaconic acid; Methylfumaric acid$Itaconate; Itaconic acid; Methylenesuccinic acid	row185	153.016	216.35	0.22927799280762393	1.9014161339482565	
row188	E46	row188_M+H[1+]	C08276		row188	121.0312	243.2	0.2156252587421815	1.9691272045979384	
row193	E47	row193_M+H[1+]	C04043;C00642;C05852	3,4-Dihydroxyphenylacetaldehyde; Protocatechuatealdehyde$4-Hydroxyphenylacetate$2-Hydroxyphenylacetate	row193	153.0548	34.95	0.9712564275237368	-0.06250628834602577	
row195	E48	row195_M+H[1+]	C09815	Benzamide	row195	122.0601	49.85	0.010210067883871844	4.8684953234143835	
row249	E51	row249_M+Na[1+]	C00049;C00402	L-Aspartate$D-Aspartate	row249	156.0269	266.24	0.6997704179845291	0.679947129725566	
row257	E52	row257_M+H[1+]	C04092;C00450	delta1-Piperideine-2-carboxylate; 1,2-Didehydropiperidine-2-carboxylate$2,3,4,5-Tetrahydropyridine-2-carboxylate; delta1-Piperideine-6-L-carboxylate	row257	128.0708	36.53	0.7728648960848513	-0.5252981868227301	
row282	E56	row282_M+H[1+]	C01879;C04281;C04282	5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate	row282	130.05	182.35	0.0009805881994463344	-8.180487187694927	
