EID	massfeature_rows	str_row_ion	compounds	compound_names
E1	row4	row4_M+H[1+]	C00472	p-Benzoquinone; Quinone; Chinone; 2,5-Cyclohexadiene-1,4-dione; 1,4-Benzoquinone
E2	row5	row5_M+H[1+]	C00472	p-Benzoquinone; Quinone; Chinone; 2,5-Cyclohexadiene-1,4-dione; 1,4-Benzoquinone
E5	row1026	row1026_M+Na[1+]	C01762	Xanthosine
E11	row33;row49	row33_M+H[1+];row49_M(C13)+H[1+]	C05576	3,4-Dihydroxyphenylethyleneglycol
E12	row108;row109	row108_M+Na[1+];row109_M+Na[1+]	C01119	Oxidized dithiothreitol
E15	row47	row47_M+Na[1+]	C00073	L-Methionine
E19	row60	row60_M+Na[1+]	C00292	Aniline; Phenylamine; Benzenamine; Arylamine
E21	row66	row66_M+H[1+]	C03239;C02946;C04076	6-Amino-2-oxohexanoate; 2-Oxo-6-aminocaproate$4-Acetamidobutanoate$L-2-Aminoadipate 6-semialdehyde; 2-Aminoadipate 6-semialdehyde
E22	row74	row74_M+Na[1+]	C16631	alpha-Fluoro-beta-ureidopropionic acid; 2-Fluoro-3-ureidopropionic acid
E29	row100	row100_M+H[1+]	C01250	N-Acetyl-L-glutamate 5-semialdehyde; 2-Acetamido-5-oxopentanoate
E34	row122	row122_M+H[1+]	C00439	N-Formimidoyl-L-glutamate
E36	row131	row131_M+H[1+]	C05527	3-Sulfinopyruvate
E38	row138	row138_M+Na[1+]	C01732;C00490	Mesaconate; 2-Methylfumarate; Mesaconic acid; Methylfumaric acid$Itaconate; Itaconic acid; Methylenesuccinic acid
E39	row141	row141_M+H[1+]	C08276	
E40	row144	row144_M+H[1+]	C04043;C00642;C05852	3,4-Dihydroxyphenylacetaldehyde; Protocatechuatealdehyde$4-Hydroxyphenylacetate$2-Hydroxyphenylacetate
E41	row146	row146_M+H[1+]	C09815	Benzamide
E44	row194	row194_M+Na[1+]	C00049;C00402	L-Aspartate$D-Aspartate
E45	row199	row199_M+H[1+]	C04092;C00450	delta1-Piperideine-2-carboxylate; 1,2-Didehydropiperidine-2-carboxylate$2,3,4,5-Tetrahydropyridine-2-carboxylate; delta1-Piperideine-6-L-carboxylate
E49	row218	row218_M+H[1+]	C01879;C04281;C04282	5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate
E52	row220	row220_M+H[1+]	C00590	Coniferyl alcohol; Coniferol; 4-(3-Hydroxy-1-propenyl)-2-methoxyphenol
E53	row391	row391_M+Na[1+]	C00590	Coniferyl alcohol; Coniferol; 4-(3-Hydroxy-1-propenyl)-2-methoxyphenol
E56	row433	row433_M+Na[1+]	C05583;C05582	3-Methoxy-4-hydroxyphenylglycolaldehyde$Homovanillate; Homovanillic acid
E59	row243;row244;row291	row243_M+Na[1+];row244_M+Na[1+];row291_M+H[1+]	C00956	L-2-Aminoadipate; L-alpha-Aminoadipate; L-alpha-Aminoadipic acid; L-2-Aminoadipic acid; L-2-Aminohexanedioate
E62	row274	row274_M+Na[1+]	1mncam;C02918	1-Methylnicotinamide$1-Methylnicotinamide
E64	row280	row280_M+Na[1+]	C00791	
E65	row290	row290_M+H[1+]	C00631;C00197	D-Glycerate 2-phosphate$3-Phospho-D-glycerate
E68	row321	row321_M+H[1+]	C05585;C00156	Gentisate aldehyde$4-Hydroxybenzoate
E69	row340	row340_M+H[1+]	C12215	Iminoerythrose 4-phosphate; Imino-D-erythrose 4-phosphate
E70	row347;row362	row347_M+H[1+];row362_M(C13)+H[1+]	CE5538;C05653	noradrenochrome$N-Formylanthranilate
E72	row348	row348_M+H[1+]	C00624	N-Acetyl-L-glutamate; N-Acetyl-L-glutamic acid
E73	row369	row369_M+H[1+]	C03722	Quinolinate
E74	row370	row370_M+H[1+]	C03722	Quinolinate
E76	row396	row396_M+H[1+]	C00643	5-Hydroxy-L-tryptophan
E79	row622	row622_M+Na[1+]	C05635;C16596	5-Hydroxyindoleacetate$5-Phenyl-1,3-oxazinane-2,4-dione
E80	row623	row623_M+Na[1+]	C05635;C16596	5-Hydroxyindoleacetate$5-Phenyl-1,3-oxazinane-2,4-dione
E84	row454	row454_M+H[1+]	C00248	Lipoamide; Thioctic acid amide
E85	row462	row462_M+H[1+]	C02985	L-Fucose 1-phosphate; 6-Deoxy-L-galactose 1-phosphate; beta-L-Fucose 1-phosphate
E86	row463;row900	row463_M+Na[1+];row900_M+HCOONa[1+]	CE5626	salsolinol 1-carboxylate
E87	row472	row472_M+Na[1+]	C00331	Indolepyruvate; Indolepyruvic acid; (Indol-3-yl)pyruvate; Indole-3-pyruvate; 3-(Indol-3-yl)pyruvate
E88	row473	row473_M+Na[1+]	C00331	Indolepyruvate; Indolepyruvic acid; (Indol-3-yl)pyruvate; Indole-3-pyruvate; 3-(Indol-3-yl)pyruvate
E89	row487	row487_M+H[1+]	C01252	4-(2-Aminophenyl)-2,4-dioxobutanoate
E93	row520;row521	row520_M+Na[1+];row521_M+Na[1+]	C01029;C00612	$N1-Acetylspermidine
E103	row588	row588_M+H[1+]	C05648	5-Hydroxy-N-formylkynurenine; 5-Hydroxy-N-formyl-L-kynurenine
E109	row605	row605_M+Na[1+]	C02325	Sinapyl alcohol; Sinapoyl alcohol
E110	row619;row647;row648	row619_M+H[1+];row647_M(C13)+H[1+];row648_M(C13)+H[1+]	C05708	Selenomethionine Se-oxide
E113	row644	row644_M+H[1+]	C16300	Stearidonic acid; 6,9,12,15-Octadecatetraenoic acid; (6Z,9Z,12Z,15Z)-Octadecatetraenoic acid
E116	row658;row659	row658_M+Na[1+];row659_M+Na[1+]	C03150	N-Ribosylnicotinamide
E117	row660;row933	row660_M+Na[1+];row933_M+HCOONa[1+]	C03150	N-Ribosylnicotinamide
E121	row676	row676_M+H[1+]	C06426;C06427	(6Z,9Z,12Z)-Octadecatrienoic acid; 6,9,12-Octadecatrienoic acid; gamma-Linolenic acid; Gamolenic acid$(9Z,12Z,15Z)-Octadecatrienoic acid; alpha-Linolenic acid; 9,12,15-Octadecatrienoic acid; Linolenate; alpha-Linolenate
E126	row694	row694_M+Na[1+]	C00670	sn-Glycero-3-phosphocholine
E128	row696;row721	row696_M+H[1+];row721_M(C13)+H[1+]	C01595	linoleic acid (all cis C18:2) n-6
E130	row728	row728_M+Na[1+]	C04582;C04188	5-Methylthio-5-deoxy-D-ribulose 1-phosphate$5-Methylthio-5-deoxy-D-ribose 1-phosphate
E134	row748;row761	row748_M+H[1+];row761_M(C13)+H[1+]	C00387	Guanosine
E135	row767	row767_M+H[1+]	CE5868	N-acetyl-seryl-aspartate
E136	row808	row808_M+H[1+]	CE5526;CE5527;C14765	$$13-OxoODE; 13-KODE; (9Z,11E)-13-Oxooctadeca-9,11-dienoic acid
E138	row837;row862	row837_M+H[1+];row862_M(C13)+H[1+]	C14762;C14826;C14825	13(S)-HODE; (13S)-Hydroxyoctadecadienoic acid; (9Z, 11E)-(13S)-13-Hydroxyoctadeca-9,11-dienoic acid$12(13)-EpOME; (12R,13S)-(9Z)-12,13-Epoxyoctadecenoic acid$9(10)-EpOME; (9R,10S)-(12Z)-9,10-Epoxyoctadecenoic acid
E140	row855	row855_M+H[1+]	C04148;C05642	alpha-N-Phenylacetyl-L-glutamine$Formyl-N-acetyl-5-methoxykynurenamine
E142	row878	row878_M+Na[1+]	C00170	5-Methylthioadenosine
E143	row900	row900_M+Na[1+]	C00294	Inosine
E145	row903	row903_M+H[1+]	C04805;C04742;C14749;C14748;C14778;C14770;C14771;C14769;C14768;CE5016	5-Hydroxyeicosatetraenoate$(15S)-15-Hydroxy-5,8,11-cis-13-trans-eicosatetraenoate; (15S)-15-Hydroxy-5,8,11-cis-13-trans-icosatetraenoate; (5Z,8Z,11Z,13E)-(15S)-15-Hydroxyicosa-5,8,11,13-tetraenoic acid; 15(S)-HETE$19(S)-HETE; (19S)-Hydroxyeicosatetraenoic acid; (19S)-Hydroxyicosatetraenoic acid; (19S)-Hydroxy arachidonic acid$20-Hydroxyeicosatetraenoic acid$16(R)-HETE; (5Z,8Z,11Z,14Z)-(16R)-16-Hydroxyeicosa-5,8,11,14-tetraenoic acid; (5Z,8Z,11Z,14Z)-(16R)-16-Hydroxyicosa-5,8,11,14-tetraenoic acid$11,12-EET$14,15-EET; (5Z,8Z,11Z)-14,15-Epoxyeicosa-5.8.11-trienoic acid; (5Z,8Z,11Z)-14,15-Epoxyicosa-5.8.11-trienoic acid$8,9-EET; (5Z,11Z,14Z)-8,9-Epoxyeicosa-5,11,14-trienoic acid; (5Z,11Z,14Z)-8,9-Epoxyicosa-5,11,14-trienoic acid$5,6-EET; (8Z,11Z,14Z)-5,6-Epoxyeicosa-8,11,14-trienoic acid; (8Z,11Z,14Z)-5,6-Epoxyicosa-8,11,14-trienoic acid$13,14-dihydroxy-retinol
E147	row910	row910_M+Na[1+]	C01449	Queuine; Base Q
E151	row926	row926_M+H[1+]	C00777;C15493	Retinoate$9-cis-Retinoic acid
E152	row944	row944_M+H[1+]	C03410	N-Glycoloyl-neuraminate; N-Glycolylneuraminate; NeuNGc
E155	row988	row988_M+H[1+]	C05476	Tetrahydrocorticosterone
E156	row992	row992_M+Na[1+]	C00575	cAMP
E157	row993	row993_M+Na[1+]	C00575	cAMP
E159	row1041;row1060	row1041_M+H[1+];row1060_M(C13)+H[1+]	C01169	S-Succinyldihydrolipoamide
E160	row1049	row1049_M+H[1+]	C06196	2'-Deoxyinosine 5'-phosphate; dIMP
E161	row1050	row1050_M+H[1+]	C06196	2'-Deoxyinosine 5'-phosphate; dIMP
E163	row1068	row1068_M+Na[1+]	C06350	
E164	row1088;row1089;row1099	row1088_M+H[1+];row1089_M+H[1+];row1099_M(C13)+H[1+]	CE5528	
E165	row1090	row1090_M+H[1+]	CE5528	
E169	row1094	row1094_M+H[1+]	CE5928;CE5925;C05953;C05957;C05954;C05955;CE5535;CE5537	$$Prostaglandin A2; PGA2; Medullin$Prostaglandin J2; PGJ2$Prostaglandin B2; PGB2$Prostaglandin C2; PGC2$$
E174	row1115;row1143	row1115_M+H[1+];row1143_M(C13)+H[1+]	C04717;C14827	(9Z,11E)-(13S)-13-Hydroperoxyoctadeca-9,11-dienoic acid; (9Z,11E)-(13S)-13-Hydroperoxyoctadeca-9,11-dienoate; 13(S)-HPODE; 13S-Hydroperoxy-9Z,11E-octadecadienoic acid$9(S)-HPODE; 9(S)-HPOD; (10E,12Z)-(9S)-9-Hydroperoxyoctadeca-10,12-dienoic acid
E175	row1116;row1144	row1116_M+H[1+];row1144_M(C13)+H[1+]	C04717;C14827	(9Z,11E)-(13S)-13-Hydroperoxyoctadeca-9,11-dienoic acid; (9Z,11E)-(13S)-13-Hydroperoxyoctadeca-9,11-dienoate; 13(S)-HPODE; 13S-Hydroperoxy-9Z,11E-octadecadienoic acid$9(S)-HPODE; 9(S)-HPOD; (10E,12Z)-(9S)-9-Hydroperoxyoctadeca-10,12-dienoic acid
E177	row1130;row1131	row1130_M+Na[1+];row1131_M+Na[1+]	C06604	Parathion; O,O-Diethyl O-p-nitrophenyl phosphorothioate; Thiophos; DNTP
E178	row1126;row1152	row1126_M+H[1+];row1152_M(C13)+H[1+]	C01185	Nicotinate D-ribonucleotide
E179	row1134;row1312	row1134_M+H[1+];row1312_M+HCOONa[1+]	C00705	dCDP
E180	row1137;row1154;row1155	row1137_M+H[1+];row1154_M(C13)+H[1+];row1155_M(C13)+H[1+]	C05356;C00959;C04685;C04686;C05966;C05965;C14813;C02165;C04849;C14781	5-Hydroperoxy-6-trans-8,11,14-cis-eicosatetraenoate$Prostaglandin B1$(13E)-(15S)-15-Hydroxy-9-oxoprosta-10,13-dienoate; Prostaglandin A1; PGA1$(13E)-(15S)-15-Hydroxy-9-oxoprosta-11,13-dienoate; Prostaglandin C1$15(S)-HPETE; (5Z,8Z,11Z,13E)-(15S)-15-Hydroperoxyicosa-5,8,11,13-tetraenoic acid; 15-Hydroperoxyeicosatetraenoate; 15-Hydroperoxyicosatetraenoate; 15-Hydroperoxyeicosatetraenoic acid; 15-Hydroperoxyicosatetraenoic acid; (5Z,8Z,11Z,13E)-(15S)-15-Hydroperoxyicosa-5,8,11,13-tetraenoate$12(S)-HPETE; (5Z,8Z,10E,14Z)-(12S)-12-Hydroperoxyicosa-5,8,10,14-tetraenoic acid; (5Z,8Z,10E,14Z)-(12S)-12-Hydroperoxyicosa-5,8,10,14-tetraenoate; 12-Hydroperoxyeicosatetraenoate; 12-Hydroperoxyicosatetraenoate; 12-Hydroperoxyeicosatetraenoic acid; 12-Hydroperoxyicosatetraenoic acid$11H-14,15-EETA; 11-Hydroxy-14,15-EETA; 11-Hydroxy-14,15-epoxyeicosatrienoic acid; (5Z,8Z,12E)-14,15-Epoxy-11-hydroxyeicosa-5,8,12-trienoic acid; (5Z,8Z,12E)-14,15-Epoxy-11-hydroxyicosa-5,8,12-trienoic acid$Leukotriene B4$(5Z,9E,14Z)-(8xi,11R,12S)-11,12-Epoxy-8-hydroxyicosa-5,9,14-trienoic acid; (5Z,9E,14Z)-(8xi,11R,12S)-11,12-Epoxy-8-hydroxyicosa-5,9,14-trienoate; Hepoxilin A3$15H-11,12-EETA; 15-Hydroxy-11,12-epoxyeicosatrienoic acid; (5Z,8Z,13E)-(15S)-11,12-Epoxy-15-hydroxyeicosa-5,8,13-trienoic acid; (5Z,8Z,13E)-(15S)-11,12-Epoxy-15-hydroxyicosa-5,8,13-trienoic acid
E185	row1180	row1180_M+H[1+]	C14774;C14775;C14772;C14773	11,12-DHET$14,15-DHET; (5Z,8Z,11Z)-14,15-Dihydroxyeicosa-5,8,11-trienoic acid; (5Z,8Z,11Z)-14,15-Dihydroxyicosa-5,8,11-trienoic acid$5,6-DHET; (8Z,11Z,14Z)-5,6-Dihydroxyeicosa-8,11,14-trienoic acid; (8Z,11Z,14Z)-5,6-Dihydroxyicosa-8,11,14-trienoic acid$8,9-DHET; (5Z,11Z,14Z)-8,9-Dihydroxyeicosa-5,11,14-trienoic acid; (5Z,11Z,14Z)-8,9-Dihydroxyicosa-5,11,14-trienoic acid
E187	row1213	row1213_M+H[1+]	C16679;C16677;C16680	all-trans-18-Hydroxyretinoic acid$all-trans-4-Hydroxyretinoic acid$all-trans-5,6-Epoxyretinoic acid; all-trans-5,6-Epoxy-5,6-dihydroretinoic acid
E192	row1252	row1252_M+Na[1+]	C00020;C00362	AMP$dGMP
E194	row1260	row1260_M+H[1+]	C00447	Sedoheptulose 1,7-bisphosphate
E195	row1261	row1261_M+Na[1+]	C00130	IMP
E197	row1335	row1335_M+H[1+]	C15976	2-Methyl-1-hydroxypropyl-ThPP; 2-Methyl-1-hydroxypropyl-TPP
E198	row1336;row1337	row1336_M+Na[1+];row1337_M+Na[1+]	C16577	Codeine-6-glucuronide
E201	row1416	row1416_M+H[1+]	C05692	Se-Adenosylselenohomocysteine
E206	row1555;row1556	row1555_M[1+];row1556_M+H[1+]	C02191	Protoporphyrin; Protoporphyrin IX; Porphyrinogen IX
