EID	massfeature_rows	str_row_ion	compounds	compound_names
E1	row6	row6_M+H[1+]	C00472	p-Benzoquinone; Quinone; Chinone; 2,5-Cyclohexadiene-1,4-dione; 1,4-Benzoquinone
E2	row7;row8	row7_M+H[1+];row8_M+H[1+]	C00472	p-Benzoquinone; Quinone; Chinone; 2,5-Cyclohexadiene-1,4-dione; 1,4-Benzoquinone
E5	row1322	row1322_M+Na[1+]	C01762	Xanthosine
E11	row44;row68	row44_M+H[1+];row68_M(C13)+H[1+]	C05576	3,4-Dihydroxyphenylethyleneglycol
E12	row134;row135	row134_M+Na[1+];row135_M+Na[1+]	C01119	Oxidized dithiothreitol
E15	row66	row66_M+Na[1+]	C00073	L-Methionine
E17	row71	row71_M+Na[1+]	C00503	Erythritol; Erythrol; Phycitol; Phycite; Erythrite
E21	row83	row83_M+Na[1+]	C00292	Aniline; Phenylamine; Benzenamine; Arylamine
E23	row90	row90_M+H[1+]	C03239;C02946;C04076	6-Amino-2-oxohexanoate; 2-Oxo-6-aminocaproate$4-Acetamidobutanoate$L-2-Aminoadipate 6-semialdehyde; 2-Aminoadipate 6-semialdehyde
E24	row99	row99_M+Na[1+]	C16631	alpha-Fluoro-beta-ureidopropionic acid; 2-Fluoro-3-ureidopropionic acid
E31	row126	row126_M+H[1+]	C01250	N-Acetyl-L-glutamate 5-semialdehyde; 2-Acetamido-5-oxopentanoate
E36	row156	row156_M+H[1+]	C00439	N-Formimidoyl-L-glutamate
E39	row164	row164_M+H[1+]	CE5665	leukoaminochrome
E40	row167	row167_M+H[1+]	C05527	3-Sulfinopyruvate
E42	row174	row174_M+Na[1+]	C01732;C00490	Mesaconate; 2-Methylfumarate; Mesaconic acid; Methylfumaric acid$Itaconate; Itaconic acid; Methylenesuccinic acid
E43	row177	row177_M+H[1+]	C08276	
E44	row182	row182_M+H[1+]	C04043;C00642;C05852	3,4-Dihydroxyphenylacetaldehyde; Protocatechuatealdehyde$4-Hydroxyphenylacetate$2-Hydroxyphenylacetate
E45	row184	row184_M+H[1+]	C09815	Benzamide
E48	row239	row239_M+Na[1+]	C00049;C00402	L-Aspartate$D-Aspartate
E49	row248	row248_M+H[1+]	C04092;C00450	delta1-Piperideine-2-carboxylate; 1,2-Didehydropiperidine-2-carboxylate$2,3,4,5-Tetrahydropyridine-2-carboxylate; delta1-Piperideine-6-L-carboxylate
E50	row253	row253_M+H[1+]	C00329	D-Glucosamine
E54	row274	row274_M+H[1+]	C01879;C04281;C04282	5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate
E57	row276	row276_M+H[1+]	C00590	Coniferyl alcohol; Coniferol; 4-(3-Hydroxy-1-propenyl)-2-methoxyphenol
E58	row509	row509_M+Na[1+]	C00590	Coniferyl alcohol; Coniferol; 4-(3-Hydroxy-1-propenyl)-2-methoxyphenol
E61	row565	row565_M+Na[1+]	C05583;C05582	3-Methoxy-4-hydroxyphenylglycolaldehyde$Homovanillate; Homovanillic acid
E64	row313;row314;row315;row379	row313_M+Na[1+];row314_M+Na[1+];row315_M+Na[1+];row379_M+H[1+]	C00956	L-2-Aminoadipate; L-alpha-Aminoadipate; L-alpha-Aminoadipic acid; L-2-Aminoadipic acid; L-2-Aminohexanedioate
E66	row1055;row337	row1055_M+HCOONa[1+];row337_M+H[1+]	C00822;C05604	Dopaquinone$2-Carboxy-2,3-dihydro-5,6-dihydroxyindole; Leucodopachrome
E68	row349	row349_M+Na[1+]	1mncam;C02918	1-Methylnicotinamide$1-Methylnicotinamide
E70	row359	row359_M+Na[1+]	C00791	
