massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row1	108.9009	135.19	0.35147559245131255	1.794013333292866	
row2	108.9009	150.19	0.3466471029106957	1.8129887829614466	
row3	108.9777	212.81	0.016534781148218217	8.28040317155452	
row4	68.0141	485.16	0.8572346989406436	0.2983643135906111	
row5	169.04	162.36	0.6758716403325651	0.6940992735260123	
row6	109.0285	24.93	0.03534913999293585	5.933882355908577	
row7	109.0285	163.28	0.7763700319649709	-0.46599980716215167	
row8	109.0285	165.25	0.8834132991862508	0.24054927534905501	
row9	169.0613	50.51	0.6327927183145761	0.8140156169333863	
row10	169.0692	50.11	0.44076110423255055	1.4464054886489037	C8H11NO3
row11	142.0653	156.03	0.002005178929150108	20.014870511118506	
row12	142.9433	201.48	0.2596222185178781	-2.3165413263249253	
row13	142.9743	201.75	0.6399657590824818	-0.7928230914724638	
row14	110.8979	135.19	0.5906871869995945	0.9504208529553428	
row15	110.8979	150.19	0.6458527307148716	0.7797642925523425	
row16	170.0564	301.17	0.31784043738651385	-2.033316359363115	C7H8N2O3
row17	170.0564	309.57	0.14147324021033233	-3.2084457875324004	C6H9N3O3
row18	170.0701	49.85	0.6760441811937735	0.6903981693765773	
row19	110.957	36.26	0.02623539213975011	-6.699295112009092	
row20	170.8286	1.7	0.9929952729366999	-0.01573037791968754	
row21	170.8286	135.45	0.6122067459416537	-0.8692798188071577	
row22	170.8286	138.73	0.6692434558888445	-0.7177836838950311	
row23	170.8286	149.8	0.5360681449656838	-1.1367868627207776	
row24	170.8474	135.58	0.5238276680189059	-1.1778897065189058	
row25	170.8474	149.8	0.5421398866346576	1.1163585717030131	
row26	143.0454	298.15	0.4446570415263998	1.432308415625169	
row27	143.0454	314.96	0.8961066868379376	-0.21376938901506162	
row28	143.0535	147.17	0.6216379770803258	-0.8453295338815344	
row29	143.0535	150.74	0.17858167002259231	-2.843335655396786	
row30	143.0535	152.45	0.44601186078295924	-1.42890803851044	
row31	112.9362	346.74	0.762309471382666	-0.5008815504074995	
row32	73.9954	378.51	0.5494174516878827	1.0939593889062944	
row33	74.0059	212.41	4.3939707561637835e-05	109.04420668489288	
row34	171.0195	227.54	0.9653329583882637	0.06491542106679271	
row35	171.0195	235.16	0.5992180437485802	0.9127926373540655	
row36	75.0066	105.51	0.3376770891139911	1.8468672490581857	
row37	143.9007	346.74	0.5169104742109305	-1.1970660332343988	
row38	171.0405	234.76	0.24247615600962782	2.4107910821752108	
row39	171.0405	239.91	0.514050035620671	1.2125822772731225	
row40	171.0479	32.33	0.016681553527857586	8.167016694067756	
row41	113.9356	346.6	0.7231680572603663	-0.5823332779267929	
row42	171.0558	26.91	0.7007126752307057	0.6279800923736252	
row43	143.9777	201.61	0.6738895670559875	-0.6989752740151519	
row44	171.0657	191.97	0.9157471299042663	0.17067879128838057	C8H12O4
row45	143.9904	222.26	0.9513639582295493	-0.09871915701584702	
row46	171.0769	292.24	0.2665667013931322	-2.282809240755815	
row47	77.0056	212.81	0.00736619977654959	11.875141806394245	
row48	171.5435	297.23	0.04812081635885038	-5.230345979056283	
row49	77.0144	151.14	0.8810637963117831	0.24788316694108678	
row50	171.8736	9.74	0.5665153374963074	1.0305201825914097	
row51	171.8736	14.36	0.7787254056275431	0.4605036993104561	
row52	171.8736	78.2	0.31784043738651385	1.9893162727666243	
row53	171.8736	106.96	0.32418730559887904	1.9077488804075475	
row54	171.8736	113.52	0.31784043738651385	1.9999278428722613	
row55	171.8736	125.34	0.35147559245131255	1.7950946584508602	
row56	114.932	346.87	0.6958257313208153	-0.6392443148328907	
row57	144.0293	212.15	0.07678839581155089	-4.261450189941656	
row58	144.0446	26.12	0.4348005051257625	-1.4746425149750255	
row59	144.0738	34.95	0.42368146768204523	-1.5229591783044867	
row60	144.1021	151.01	0.07721762041684574	4.2396634352489135	
row61	115.0027	297.76	0.04828252755257667	-5.141244847929682	
row62	144.8687	135.32	0.5559417733841363	1.0737190465059718	
row63	144.8687	149.93	0.2229502855379999	-2.515986808635081	
row64	172.0355	267.29	0.4714056734391749	-1.3473621608882018	C6H6N2O4
row65	144.9724	201.61	0.6214678670906063	-0.8467819481008187	
row66	172.0398	28.62	0.6308475777993734	0.8206956942238468	
row67	144.9783	201.61	0.6040607908984941	-0.9001470256442272	
row68	172.069	192.36	0.7875761574197618	0.4430557019932159	C8H12O4
row69	82.9531	34.82	0.0248205997231077	-6.882209291200821	
row70	82.9531	191.71	0.6738895670559875	-0.6995506406936556	
row71	145.0477	26.25	0.3552317175759146	-1.7739123801479844	
row72	172.5373	267.29	0.4865324110248453	-1.2972038943590325	
row73	172.8276	1.56	0.6792837588935311	0.6767333490915565	
row74	115.0521	222.39	0.34023051427868056	1.8310767857885264	
row75	115.0584	222.26	0.06730746705846971	4.515052523384306	C6H12S,C6H12S
row76	172.8417	135.58	0.5651859279776139	1.040561030525601	
row77	172.8417	150.06	0.5285093045048607	1.1618098778355437	
row78	146.0272	132.43	0.016534781148218217	8.207449249262735	
row79	116.0028	135.58	0.6780685934007413	-0.6802655097313588	
row80	116.0028	149.8	0.6083779697654534	0.8787455743989538	
row81	146.0531	210.97	0.3200772930787286	-1.932628288945297	
row82	116.0061	297.63	0.04812081635885038	-5.154119615170279	
row83	116.0469	209.92	0.8739783155959298	0.263134857762519	
row84	116.0478	209.92	0.21402317600797818	2.565329656408508	
row85	116.0593	222.39	0.05571086818193745	4.8601485732592025	
row86	116.0617	222.39	0.5559417733841363	1.0731238536963335	C6H12S,C6H12S
row87	172.985	201.48	0.04113605420915373	-5.61029031656308	
row88	172.9907	25.73	0.058681240201022056	4.764856524993355	C6H6O4S,C6H6O4S
row89	172.9907	27.57	0.07897970321053543	4.194148549437635	C6H6O4S,C6H6O4S
row90	146.0814	180.11	0.3144125438248922	2.0695679065277544	
row91	146.8659	135.58	0.6334645489789643	0.8099633872819342	
row92	146.8659	149.8	0.16710641896767817	-2.955165852641249	
row93	116.0936	210.05	0.514050035620671	1.211860474600344	
row94	116.0945	210.18	0.8792483798681715	0.25256776043419804	
row95	84.9502	34.69	0.04913721148223048	-5.1021462501650205	
row96	84.9502	191.58	0.8580218396111171	0.29590165670260754	
row97	173.0083	254.89	0.31784043738651385	2.04116692185004	C7H7FO2S
row98	173.0083	259.39	0.10556126009252755	3.7027039570366305	C7H7FO2S
row99	173.0333	267.43	0.43394669389225277	-1.4782602107303777	
row100	173.0376	267.43	0.4372655019128275	-1.4632502874257878	
row101	173.056	233.85	0.24701868388079104	2.3830431285081968	
row102	147.0667	197.78	0.024211923906779245	6.950368303977576	
row103	147.0667	200.96	0.8351879903800776	-0.3416625197187064	
row104	173.0812	192.1	0.9818523066754766	0.03557911100707605	
row105	147.9204	2.75	0.8834132991862508	0.2404452501701476	
row106	87.0441	192.1	0.4263124863130347	1.5138476983576152	
row107	173.8419	135.85	0.6184832337078022	0.8529032225057315	
row108	173.8419	150.19	0.517497182823717	1.193242593068976	
row109	117.0528	156.29	0.17858167002259231	2.855925352271735	
row110	117.0677	210.31	0.00815863638941986	11.358537325614	
row111	117.074	210.31	0.008916239878476418	10.944466912298079	C6H14S
row112	173.994	25.59	0.01928394982562197	7.644840543289599	C6H6O4S,C6H6O4S
row113	173.994	27.44	0.4481158045905362	1.4201128973014827	C6H6O4S,C6H6O4S
row114	148.8628	135.06	0.9743925170154561	-0.04796076898824256	
row115	148.9057	28.88	0.0017246065906182067	21.22490723122186	
row116	174.0114	254.89	0.367811182010288	1.728197149692719	C7H7FO2S
row117	174.0114	259.25	0.0824268053798461	4.124416285300682	C7H7FO2S
row118	149.0001	28.22	0.9703528240128887	0.05642637747296131	
row119	149.0425	189.45	0.08743876361641831	4.035954366024439	
row120	174.0224	130.99	0.7257207425406941	-0.5772125139145604	C14H26N4O11P2
row121	118.0746	210.31	0.004702309417018607	14.029077816709703	
row122	118.0773	210.18	0.02602337382864049	6.734302347250681	C6H14S
row123	149.0462	189.84	0.011806067839140713	9.7219572810493	
row124	149.0462	191.05	0.0771797913272319	4.248894644713856	
row125	174.0552	27.3	0.6000970762746836	0.910294780120503	
row126	174.0766	222.52	0.12513438010073563	3.382536071156798	C7H13NO4
row127	149.0599	34.69	0.024958129218545167	6.862650406282003	
row128	89.0427	249.11	0.5512546907777472	-1.089047410097396	
row129	174.8389	135.58	0.49531230213940236	1.2683284087230329	
row130	174.8389	150.06	0.4904365555599348	1.281197071561972	
row131	174.8643	1.7	0.4495271251794895	1.4121194252779692	
row132	174.9637	134.93	0.8351879903800776	0.3411786513265807	
row133	174.9637	145.86	0.5360681449656838	1.1375068419302785	
row134	174.9865	25.73	0.4164070790121987	1.5505619618306787	
row135	174.9865	27.57	0.1805802713472717	2.8286270773676936	
row136	150.0221	265.85	0.6690664503959651	-0.7209811025553368	
row137	175.0353	318.24	0.7039437768338929	-0.6218870853629801	
row138	119.0491	198.3	0.06840774199292471	4.463975666824075	
row139	119.0491	205.16	0.6958257313208153	0.6400303916781983	
row140	150.0301	270.84	0.9929952729366999	-0.015745342461638705	
row141	150.0413	135.98	0.14318916236246315	-3.1892399695471174	C5H13NS2
row142	119.056	164.85	0.9998131364973399	0.00024915134010231933	
row143	119.056	166.72	0.8302384876368111	0.3538942416025979	
row144	119.056	205.98	0.4330321759942764	1.4909094475089717	
row145	119.056	255.28	0.6072651994058184	0.8879033455301933	
row146	119.056	263.72	0.6253121618952123	0.8376332168193541	
row147	119.056	265.29	0.6216379770803258	0.8453404220205063	
row148	119.056	267.95	0.9946294627392488	-0.011641357908480662	
row149	119.056	273.47	0.5956443061007592	-0.9313824363363863	
row150	119.056	275.17	0.7939350849421767	0.4288857059502074	
row151	119.056	281.21	0.7656101910897924	-0.49260239176688464	
row152	119.056	282.92	0.5549886395459291	-1.0787741269287843	
row153	119.056	292.11	0.7665097334375475	-0.4885732542739706	
row154	150.8858	134.8	0.518661386485818	1.1906134897922875	
row155	150.8858	150.45	0.8180461432682437	0.38456149394540007	
row156	175.0718	305.9	0.0778054254915219	-4.226677815630593	
row157	175.8391	135.85	0.3960018443362165	1.629658624911765	
row158	175.8391	150.06	0.5992180437485802	0.9123528737115693	
row159	151.0586	50.11	0.41310866757165227	1.5705256985711706	
row160	151.8733	149.8	0.9490258275936132	-0.10390376136568504	
row161	119.9065	150.32	0.4011930694235244	1.6086452224005618	
row162	176.0193	329.14	0.6253121618952123	-0.837754463134014	
row163	120.008	377.46	0.3300555691603739	1.8791270791802508	
row164	152.0709	97.9	0.5090978006806496	1.2307797195848111	
row165	152.8829	134.8	0.5018192134716536	1.2491166440922437	
row166	152.8829	150.45	0.8016403944797164	0.415475781590551	
row167	152.9855	283.31	0.3071102799040362	-2.1016789882670257	
row168	152.995	191.97	0.13266617724538915	-3.3025465399939717	C3H7O5P
row169	152.995	210.97	0.1029659336548741	-3.755341256224722	
row170	176.0922	210.18	0.04347201264001239	5.464233005090654	C7H15NO4
row171	176.8359	135.85	0.5844317216119618	0.9778459409156148	
row172	176.8359	150.06	0.43394669389225277	1.4824821981948861	
row173	176.9162	364.07	0.5929333309919876	-0.9429756118262762	
row174	153.016	216.35	0.2600143926546408	2.3123680752542866	
row175	93.0335	204.63	0.6666256932974656	0.7295647613630977	
row176	153.0185	25.73	0.07539925317852007	4.305493096018255	
row177	121.0312	243.2	0.12029450823775328	3.4552562773309186	
row178	94.0481	373.39	0.3968365111349513	1.6251433664765997	
row179	94.0481	379.04	0.32591068673674695	1.896762995892287	
row180	94.924	135.19	0.5476159817888245	1.10087355078653	
row181	94.924	150.19	0.6614379839222595	0.7402771487839582	
row182	153.0548	34.95	0.8739783155959298	0.26285485904584316	
row183	153.8992	1.17	0.30781189836685696	2.0971231862922144	
row184	122.0601	49.85	0.6699008333676975	0.715103421537609	
row185	122.8932	39.81	0.501289022667436	-1.2529623161371197	
row186	154.0138	37.32	0.958698436500912	-0.08232941780957286	
row187	95.9751	191.05	0.5992180437485802	0.912208970309105	
row188	96.0274	32.85	0.30449187529007066	-2.11054064146417	
row189	154.0568	191.71	0.48503439364455647	1.3056139355354601	
row190	96.9211	135.19	0.5353877120167696	1.1486409864375922	
row191	96.9211	149.93	0.4996765550206043	1.2571763879563265	
row192	177.8362	135.85	0.8360805326420975	-0.3394529133485381	
row193	177.8362	150.06	0.9429266530868148	0.11669727533229388	
row194	124.0063	212.41	0.016500732265245198	-8.30732287263127	
row195	177.9124	134.8	0.9276760994030347	0.1438649064824254	
row196	177.9124	150.58	0.843740760602195	-0.32208276076872505	
row197	154.868	149.8	0.8940939396357857	-0.21909719286574392	
row198	154.88	134.93	0.5588378937462959	1.0644461806386085	
row199	154.88	150.45	0.7665097334375475	0.4888872614207218	
row200	124.8902	39.68	0.5861113202141226	-0.970652024550752	
row201	178.8332	135.85	0.31824264022523113	1.9450726838547685	
row202	178.8332	149.93	0.6760441811937735	0.691873908405562	
row203	178.8799	26.78	0.0022693423177838025	18.58977473089728	
row204	124.9904	34.3	0.3228761225357045	-1.9186770250373935	
row205	125.0347	34.95	0.013094252763183229	-9.10428646198765	
row206	178.912	364.07	0.5372809620278557	-1.1323613478762686	
row207	125.0425	225.15	0.5621274862594657	-1.052021373237512	
row208	97.0648	27.04	0.23786190524387663	2.4364859409763917	
row209	155.0089	172.5	0.8264760464585733	-0.36854440472395045	
row210	125.8721	134.8	0.44076110423255055	1.4493997248734414	
