SOURCE	TARGET	ENZYMES
C01290	C00962	3.2.1.23
C01290	C00031	3.2.1.22
C01290	C00137	3.2.1.22
C01290	C00159	3.2.1.22
C01290	C00984	3.2.1.22
C01290	C00267	3.2.1.23
C01290	C00221	3.2.1.23
C01172	C00221	2.7.1.147;2.7.1.1;3.1.3.9;2.7.1.2
C00197	C03232	5.4.2.1;2.7.1.106;3.6.1.7;5.4.2.4;2.7.1.31;3.1.3.13;2.6.1.52;1.1.1.95;2.7.2.3
C00197	C01159	5.4.2.1;3.1.3.13;5.4.2.4
C00197	C01231	2.7.1.106
C00197	C00026	2.6.1.52;1.1.1.95
C00197	C00258	2.7.1.31
C00197	C00631	2.7.1.31;5.4.2.1;5.4.2.4
C00197	C02630	1.1.1.95
C00197	C00103	2.7.1.106
C00197	C00236	2.7.2.3;5.4.2.1;2.7.1.106;5.4.2.4;3.6.1.7
C00116	C00031	3.2.1.22;1.1.1.21
C00116	C00137	3.2.1.22
C00116	C00159	3.2.1.22
C00116	C00267	1.1.1.21;3.2.1.23
C00116	C00221	3.2.1.23
C00073	C00027	;1.4.3.2
C00073	C00036	;1.4.3.2
C00073	C00161	1.4.3.2
C00073	C00082	;1.4.3.2;2.6.1.5
C00073	C00026	;2.3.1.1;2.6.1.5
C00073	C16236	2.8.1.8
C00073	C00101	2.1.1.13
C00073	C01179	;1.4.3.2;2.6.1.5
C00073	C00021	;2.5.1.6;2.8.1.8;2.1.1.13;2.1.1.10
C00073	C05167	1.4.3.2
C00073	C00155	;2.1.1.13;2.1.1.5;2.1.1.10
C00073	C00048	;3.5.1.14;2.3.1.1;2.6.1.73
C00073	C00407	1.4.3.2
C00073	C00078	;1.4.3.2
C00073	C00440	;2.1.1.13
C00073	C00049	1.4.3.2
C00073	C00331	1.4.3.2
C00073	C00025	;2.3.1.1;2.6.1.5
C00073	C02712	2.3.1.1;3.5.1.14
C00073	C02430	6.1.1.10
C00073	C00079	;1.4.3.2;2.6.1.5
C00073	C00087	2.8.1.8
C00073	C05752	2.8.1.8
C00073	C00151	3.5.1.14;1.4.3.2
C00073	C05198	2.8.1.8
C00073	C16237	2.8.1.8
C00073	C01180	1.4.3.2;2.6.1.73;2.6.1.5
C00073	C00719	2.1.1.5
C00073	C00671	1.4.3.2
C00073	C01647	6.1.1.10
C00073	C00020	;6.1.1.10
C00073	C00024	;2.3.1.1
C00073	C00014	;1.4.3.2
C00073	C00019	;2.5.1.6;2.8.1.8;2.1.1.13;2.1.1.10
C00073	C01026	2.1.1.5
C00073	C16239	2.8.1.8
C00073	C00033	;3.5.1.14
C00073	C00037	;3.5.1.14;2.3.1.1;2.6.1.73
C00073	C00010	;2.3.1.1
C00073	C00166	1.4.3.2;2.6.1.5
C00073	C00064	
C03692	C00031	3.2.1.22
C03692	C00137	3.2.1.22
C03692	C00159	3.2.1.22
C00059	C00329	;3.10.1.1
G10619	C00447	2.7.1.11
C00329	C00140	;3.5.1.33;3.2.1.31;3.2.1.25;2.3.1.3;3.2.1.52;2.7.1.8;3.10.1.1;5.1.3.8;2.7.1.59;3.2.1.50;2.7.1.1;3.2.1.96;2.4.1.90;3.1.4.45;3.2.1.14
C00329	C01075	3.10.1.1
C00329	C00081	;2.7.1.1
C00329	C00104	;2.7.1.1
C00329	C00206	2.7.1.1
