input_row	EID	str_row_ion	compounds	compound_names	input_row	m/z	retention_time	p_value	statistic	CompoundID_from_user
row5	E2	row5_M+H[1+]	C00366	Urate	row5	169.0363	191.84	0.9032380718029562	0.17981337555649676	
row6	E3	row6_M+H[1+]	C00366	Urate	row6	169.0363	210.84	0.23106505027347357	2.088721440274461	
row7	E7	row7_M+H[1+]	C00472	p-Benzoquinone; Quinone; Chinone; 2,5-Cyclohexadiene-1,4-dione; 1,4-Benzoquinone	row7	109.0285	24.93	0.12631979565756887	2.9590128097561745	
row8	E8	row8_M+H[1+];row9_M+H[1+]	C00472	p-Benzoquinone; Quinone; Chinone; 2,5-Cyclohexadiene-1,4-dione; 1,4-Benzoquinone	row8	109.0285	163.28	0.3491226713800727	1.3685854581553123	
row9	E8	row8_M+H[1+];row9_M+H[1+]	C00472	p-Benzoquinone; Quinone; Chinone; 2,5-Cyclohexadiene-1,4-dione; 1,4-Benzoquinone	row9	109.0285	165.25	0.5754857185798717	0.7947672329840176	
row53	E16	row53_M+H[1+];row78_M(C13)+H[1+]	C05576	3,4-Dihydroxyphenylethyleneglycol	row53	171.0657	191.97	0.014757068826951119	-8.480738849821082	C8H12O4
row76	E18	row76_M+Na[1+]	C00073	L-Methionine	row76	172.0398	28.62	0.003169837199129615	15.608211046326732	
row78	E16	row53_M+H[1+];row78_M(C13)+H[1+]	C05576	3,4-Dihydroxyphenylethyleneglycol	row78	172.069	192.36	0.41209461142433024	-1.1865768738608515	C8H12O4
row98	E22	row98_M+Na[1+]	C00292	Aniline; Phenylamine; Benzenamine; Arylamine	row98	116.0469	209.92	0.5902104378966049	0.7646000194875614	
row103	E24	row103_M+H[1+]	C03239;C02946;C04076	6-Amino-2-oxohexanoate; 2-Oxo-6-aminocaproate$4-Acetamidobutanoate$L-2-Aminoadipate 6-semialdehyde; 2-Aminoadipate 6-semialdehyde	row103	146.0814	180.11	0.5097951376478794	-0.9385629257856358	
row112	E25	row112_M+Na[1+]	C16631	alpha-Fluoro-beta-ureidopropionic acid; 2-Fluoro-3-ureidopropionic acid	row112	173.0333	267.43	0.5349176577459219	0.8842280828263815	
row152	E34	row152_M+Na[1+]	C01119	Oxidized dithiothreitol	row152	174.9865	27.57	0.20286210632187937	2.2635082978849335	
row173	E36	row173_M+H[1+]	C00439	N-Formimidoyl-L-glutamate	row173	175.0718	305.9	0.30513936398976005	-1.5431385479968356	
row181	E39	row181_M+H[1+]	CE5665	leukoaminochrome	row181	152.0709	97.9	0.23397146281653175	1.9929525018008565	
row185	E40	row185_M+H[1+]	C05527	3-Sulfinopyruvate	row185	152.9855	283.31	0.6848538909309935	0.5744315345049757	
row192	E42	row192_M+Na[1+]	C01732;C00490	Mesaconate; 2-Methylfumarate; Mesaconic acid; Methylfumaric acid$Itaconate; Itaconic acid; Methylenesuccinic acid	row192	153.016	216.35	0.46436814326764453	1.0488279505409812	
row195	E43	row195_M+H[1+]	C08276		row195	121.0312	243.2	0.12753877032357933	2.932100216893081	
row198	E44	row198_M+H[1+]	C04043;C00642;C05852	3,4-Dihydroxyphenylacetaldehyde; Protocatechuatealdehyde$4-Hydroxyphenylacetate$2-Hydroxyphenylacetate	row198	153.0548	34.95	0.3455028670959692	1.3823407641277392	
row200	E45	row200_M+H[1+]	C09815	Benzamide	row200	122.0601	49.85	0.12753877032357933	2.9355160910328872	
row212	E46	row212_M+H[1+]	C00780	Serotonin	row212	177.1026	258.33	0.32570647369057504	1.448350617208858	
row251	E49	row251_M+Na[1+]	C00049;C00402	L-Aspartate$D-Aspartate	row251	156.0269	266.24	0.11168860530837357	3.1788340826006625	
row258	E50	row258_M+H[1+]	C04092;C00450	delta1-Piperideine-2-carboxylate; 1,2-Didehydropiperidine-2-carboxylate$2,3,4,5-Tetrahydropyridine-2-carboxylate; delta1-Piperideine-6-L-carboxylate	row258	128.0708	36.53	0.08620238068984684	-3.683778881988706	
row264	E51	row264_M+H[1+]	C00329	D-Glucosamine	row264	180.087	221.47	0.022395019085227348	7.149584432112068	
row291	E57	row291_M+H[1+]	C00031;C00221;C02336;C00267;C00962;C00795;C00137;C13747;C07480;C00984;C00159	D-Glucose$beta-D-Glucose$beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose$alpha-D-Glucose$beta-D-Galactose$D-Tagatose; lyxo-Hexulose$myo-Inositol$1,7-Dimethylxanthine; Paraxanthine$$alpha-D-Galactose$D-Mannose	row291	181.0711	192.1	0.002066758575051239	-18.68041276140784	C6H14O6
row291	E59	row291_M+Na[1+]	CE4970;CE4968	2-methylbutyrylglycine$isovalerylglycine	row291	181.0711	192.1	0.002066758575051239	-18.68041276140784	C6H14O6
row292	E58	row292_M+H[1+]	C00031;C00221;C02336;C00267;C00962;C00795;C00137;C13747;C07480;C00984;C00159	D-Glucose$beta-D-Glucose$beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose$alpha-D-Glucose$beta-D-Galactose$D-Tagatose; lyxo-Hexulose$myo-Inositol$1,7-Dimethylxanthine; Paraxanthine$$alpha-D-Galactose$D-Mannose	row292	181.0711	211.62	0.018142147041920752	-7.798068001102563	C6H14O6
row292	E60	row292_M+Na[1+]	CE4970;CE4968	2-methylbutyrylglycine$isovalerylglycine	row292	181.0711	211.62	0.018142147041920752	-7.798068001102563	C6H14O6
row294	E61	row294_M+H[1+]	C01879;C04281;C04282	5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate	row294	130.05	182.35	0.001652060538547703	-20.06447143717199	
row295	E63	row295_M+H[1+]	C00590	Coniferyl alcohol; Coniferol; 4-(3-Hydroxy-1-propenyl)-2-methoxyphenol	row295	181.0864	32.19	0.6993028234649239	0.5469900257428442	
row328	E68	row328_M+Na[1+];row329_M+Na[1+];row330_M+Na[1+];row392_M+H[1+]	C00956	L-2-Aminoadipate; L-alpha-Aminoadipate; L-alpha-Aminoadipic acid; L-2-Aminoadipic acid; L-2-Aminohexanedioate	row328	184.0585	210.31	0.645212969634745	0.6500453554053329	C6H13NO4
row329	E68	row328_M+Na[1+];row329_M+Na[1+];row330_M+Na[1+];row392_M+H[1+]	C00956	L-2-Aminoadipate; L-alpha-Aminoadipate; L-alpha-Aminoadipic acid; L-2-Aminoadipic acid; L-2-Aminohexanedioate	row329	184.0585	215.17	0.22728466185510202	2.1112636457080862	
