SOURCE	TARGET	ENZYMES
C00105	C00455	3.6.1.9;3.1.3.5
C04043	C00780	;1.4.3.4
CE2153	C00780	
hs_deg14	C00140	3.10.1.1;3.2.1.50
G11112	C00645	5.1.3.14
C00387	C00455	3.1.3.5
ha_pre1	C00140	3.2.1.31;3.2.1.52
C00021	C00780	;2.1.1.49;2.1.1.4
ksi_deg29	C00140	3.2.1.52
C00043	C00645	;5.1.3.14;2.7.1.40
C00019	C00780	;2.1.1.49;2.1.1.4
ksi_deg41	C00140	3.2.1.52
mn	C00140	3.2.1.25
C03272	C00140	;3.2.1.52
C00655	C00455	3.1.3.5
C00461	C00140	3.2.1.14
C00525	C00780	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C00525	C00643	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C04884	C00140	;3.2.1.52
C00144	C00455	3.1.3.5
G10483	C00140	3.2.1.14
C03758	C00780	;4.1.1.28;1.14.14.1;1.4.3.4
C00052	C00140	;2.4.1.90
hs_deg25	C00140	3.2.1.50
thbpt4acam	C00643	1.14.16.4
C16635	C12739	3.5.4.5
G00246	C00140	;2.4.1.90
C00067	C00780	
C05648	C00780	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C05648	C00643	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
ksi_deg17	C00140	3.2.1.52
C05936	C00780	1.4.3.4
ksi_deg37	C00140	3.2.1.52
C00637	C00780	1.4.3.4
C00330	C11736	2.4.2.4
C00330	C12739	2.4.2.4
C00330	C00455	3.1.3.5
C00706	C00780	1.4.3.4
C00119	C00455	2.4.2.12
s2l2n2m2m	C00140	3.2.1.96
C00483	C00780	4.1.1.28;2.1.1.49;1.14.14.1;1.4.3.4
C05589	C00780	1.4.3.4
ksi_deg19	C00140	3.2.1.52
C00074	C00645	2.5.1.57;2.5.1.56;2.7.1.60;;5.1.3.14;4.2.1.11;4.1.3.3;4.1.1.32;5.1.3.8;2.7.1.40
C05634	C00780	1.4.3.4
C05638	C00780	4.1.1.28;1.4.3.4
C06212	C00780	2.1.1.49
hs_deg15	C00140	3.2.1.50
C11736	C00242	2.4.2.4
C11736	C16637	2.4.2.4
C11736	C00365	2.7.1.21
C11736	C07649	2.4.2.4
C11736	C12739	2.4.2.4
C11736	C00214	2.7.1.21;2.4.2.4
C11736	C00526	2.7.1.21;2.4.2.4
C11736	C00178	2.4.2.4
C11736	C00364	2.7.1.21
C11736	C00147	2.4.2.4
C11736	C05512	2.4.2.4
C11736	C00262	2.4.2.4
C11736	C04242	2.7.1.21;2.4.2.4
C11736	C00672	2.4.2.4
C11736	C00106	2.4.2.4
C11736	C00559	2.4.2.4
G00094	C00140	3.2.1.52
ksi_deg25	C00140	3.2.1.52
C00475	C12739	3.5.4.5
C00475	C00455	3.1.3.5
C00375	C00780	1.4.3.4
C00645	G10610	5.1.3.14
C00645	C00270	2.5.1.56;4.1.3.3
C00645	C01170	5.1.3.14
C00645	C03000	5.1.3.8
C00645	C04257	2.5.1.57;2.5.1.56;2.7.1.60;
C00645	C00022	;2.7.1.40;4.1.3.3
C00645	C00015	;5.1.3.14;2.7.1.40
C00645	C00140	;5.1.3.8
C00645	G10619	;5.1.3.14;2.7.1.40
C00645	C00686	2.5.1.57;2.7.1.60
C00645	C00625	5.1.3.8;2.7.1.60
ksi_deg2	C00140	3.2.1.96
G10609	C00140	2.4.1.90
G10621	C00455	3.1.3.5
C03765	C00780	;1.4.3.4
C00268	C00643	;1.14.16.4
ksi_deg28	C00140	3.2.1.52
ksi_deg3	C00140	3.2.1.96
C00130	C00455	3.1.3.5
C01674	C00140	3.2.1.52
C00239	C00455	3.1.3.5
C05583	C00780	1.4.3.4
ksi_deg7	C00140	3.2.1.52
hs_deg4	C00140	3.2.1.50
C00242	C12739	2.4.2.4
C01185	C00455	3.6.1.9;3.1.3.5;2.7.7.1;3.6.1.22;2.7.7.18
C03150	C00455	3.1.3.5;2.7.1.22
C00788	C00780	;1.4.3.4
C05636	C00780	1.4.3.4
C16637	C12739	2.4.2.4
C00398	C00780	4.1.1.28;2.1.1.49;;1.4.3.4
C00014	C00780	;1.4.3.4
C00014	C12739	3.5.4.5
C00357	C00140	2.7.1.1;2.7.1.59;2.7.1.8
C00024	C00780	;2.3.1.87
C00024	C00140	;2.3.1.3
ksi_deg22	C00140	3.2.1.52
C02700	C00780	;1.13.11.52;1.14.16.4;3.5.1.9;4.1.1.28
C02700	C00643	;1.13.11.52;1.14.16.4;3.5.1.9;4.1.1.28
C00299	C12739	3.5.4.5
C00299	C00455	3.1.3.5
C00780	C00078	;1.13.11.52;1.14.16.4;3.5.1.9;4.1.1.28
C00780	C02714	1.4.3.4
C00780	C05587	1.4.3.4
C00780	C16609	1.4.3.4
C00780	C01888	;1.4.3.4
C00780	C00071	1.4.3.4
C00780	C05577	1.4.3.4
C00780	C07572	1.14.14.1;1.4.3.4
C00780	C00546	;1.4.3.4
C00780	C00218	;1.4.3.4
C00780	C00010	;2.3.1.87
C00780	C01342	;1.4.3.4
C00780	C05642	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C00780	C00601	;1.4.3.4
C00780	C00547	;1.4.3.4
C00780	C05639	4.1.1.28;1.4.3.4
C00780	C01598	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C00780	C05647	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C00780	C05637	1.4.3.4
C00780	C15605	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C00780	C05588	1.4.3.4
C00780	C16608	1.14.14.1;1.4.3.4
C00780	C05127	1.4.3.4
C00780	C05827	1.4.3.4
C00780	C05332	4.1.1.28;1.4.3.4
C00780	C05581	1.4.3.4
C00780	C00543	1.4.3.4
C00780	C16612	1.4.3.4
C00780	C00027	;1.4.3.4
C00780	C00643	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C00780	C00978	2.3.1.87;2.1.1.4
C00078	C00643	;1.13.11.52;1.14.16.4;3.5.1.9;4.1.1.28
C07649	C12739	2.4.2.4
ksi_deg26	C00140	3.2.1.52
C01762	C00455	3.1.3.5
C12739	C00214	2.4.2.4
C12739	"D00584 cpd"	2.4.2.4;3.5.4.5
C12739	C00526	2.4.2.4;3.5.4.5
C12739	C00881	3.5.4.5
C12739	C00178	2.4.2.4
C12739	C11824	3.5.4.5
C12739	C00147	2.4.2.4
C12739	C05512	2.4.2.4
C12739	C06059	3.5.4.5
C12739	C00262	2.4.2.4
C12739	C00672	2.4.2.4
C12739	C00106	2.4.2.4
C12739	C00559	2.4.2.4
C03000	C00140	5.1.3.8
ksi_deg13	C00140	3.2.1.52
ksii_core2_deg4	C00140	3.2.1.52
C00159	C00140	2.7.1.1;3.2.1.25
C04755	C00140	3.1.4.45
C00329	C00140	;3.5.1.33;3.2.1.31;3.2.1.25;2.3.1.3;3.2.1.52;2.7.1.8;3.10.1.1;5.1.3.8;2.7.1.59;3.2.1.50;2.7.1.1;3.2.1.96;2.4.1.90;3.1.4.45;3.2.1.14
C00272	C00643	;1.14.16.4
C00611	C00140	;2.4.1.90
ksi_deg8	C00140	3.2.1.52
C00214	C00455	3.1.3.5
G13033	C00140	3.2.1.52
ksii_core2_deg5	C00140	3.2.1.52
ksi_deg23	C00140	3.2.1.52
C00059	C00140	;3.10.1.1
ksi_deg34	C00140	3.2.1.52
C00010	C00140	;2.3.1.3
C00153	C00455	2.4.2.12
G00108	C00140	3.2.1.52
C00881	C00455	3.1.3.5
C04737	C00140	;3.2.1.52
C05642	C00643	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C00364	C00455	3.1.3.5
f1a	C00140	3.2.1.52
n2m2nmn	C00140	3.2.1.52;3.2.1.96
C06135	C00140	3.2.1.52
C03518	C00140	3.2.1.14
chtn	C00140	3.2.1.14
C01598	C00643	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C05647	C00643	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C00212	C00455	3.1.3.5
G10336	C00140	3.2.1.52
C15605	C00643	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C04010	C00140	3.1.4.45
hs_deg21	C00140	3.2.1.50
hs_deg20	C00140	3.10.1.1;3.2.1.50
G08421	C00140	3.2.1.52
C05841	C00455	3.1.3.5
G00092	C00140	3.2.1.52
ksi_deg32	C00140	3.2.1.52
C00360	C00455	3.1.3.5
hs_deg8	C00140	3.10.1.1;3.2.1.50
ksi_deg39	C00140	3.2.1.52
ksii_core2_deg9	C00140	3.2.1.52
C00191	C00140	;3.2.1.31
ksi_deg35	C00140	3.2.1.52
C00455	C00911	3.1.3.5
C00455	C00559	3.1.3.5
C00455	C02520	3.1.3.5
C00455	C00020	3.6.1.9;3.1.3.5;3.6.1.22
C00455	C00362	3.1.3.5
C00455	C00294	3.1.3.5
C00455	C00055	3.1.3.5
C15522	C00643	1.14.16.4
C00015	C00140	;2.4.1.90
hs_deg9	C00140	3.2.1.31;3.2.1.50
ha_deg1	C00140	3.2.1.31;3.2.1.52
C00140	ksi_deg14	3.2.1.52
C00140	hs_deg24	3.2.1.50
C00140	ksii_core4_deg4	3.2.1.52
C00140	G10619	;2.4.1.90
C00140	G06780	3.2.1.52
C00140	n2m2nm	3.2.1.96
C00140	hs_deg3	3.10.1.1;3.2.1.50
C00140	C04730	3.2.1.52
C00140	ksi_deg20	3.2.1.52
C00140	ksi_deg16	3.2.1.52
C00140	C01290	3.2.1.52
C00140	C00033	;3.5.1.33
C00140	ksi_deg10	3.2.1.52
C00140	G00093	3.2.1.52
C00140	G00123	3.2.1.52
C00140	ksii_core2_deg8	3.2.1.52
C00140	ksi_deg40	3.2.1.52
C00140	n2m2mn	3.2.1.52
C00140	ksi_deg11	3.2.1.52
C00140	ksi_deg31	3.2.1.52
C00140	ksii_core2_deg7	3.2.1.52
C00140	G00109	3.2.1.52
C00140	C00625	5.1.3.8
C00140	m2mn	3.2.1.52
C00140	s2l2n2m2mn	3.2.1.96
C00140	C01132	;3.2.1.52
C00140	ksi_deg38	3.2.1.52
