SOURCE	TARGET	ENZYMES
C00060	C01595	;3.1.1.4
C16169	C01595	3.1.2.2
C00219	C01595	;3.1.1.4;1.14.14.1;6.2.1.3;3.1.2.2;1.13.11.33;1.13.11.34
CE5528	CE5899	
CE5528	CE5922	
CE5528	CE6502	
CE5528	CE5919	
CE5528	CE5918	
CE5528	CE5921	
CE5528	CE2061	
C06429	C01595	3.1.2.2
C04317	C01595	;3.1.1.4
C01601	C04717	
C03035	C01595	;3.1.2.2;1.14.19.3;6.2.1.3
C14827	C01595	1.13.11.34
C14827	C00051	1.11.1.9
C14827	C00127	1.13.11.34;1.11.1.9
C14827	CE2539	1.13.11.34;1.14.99.1;1.11.1.9
C14827	C00030	1.14.99.1
C14827	C00028	1.14.99.1
C01595	C00229	3.1.2.14
C01595	C02249	3.1.2.2;6.2.1.3
C01595	C04517	;3.1.1.4
C01595	C02050	;3.1.1.4;1.13.11.12;1.14.14.1;6.2.1.3;3.1.2.2;3.1.2.14;1.13.11.33;1.13.11.34;1.14.19.3;1.3.99.13
C01595	C00249	;3.1.2.14;3.1.2.2;6.2.1.3
C01595	C03595	3.1.2.2;6.2.1.3
C01595	C06428	3.1.2.2
C01595	C00510	;3.1.2.2
C01595	C00162	3.1.1.4;1.14.14.1
C01595	C00350	;3.1.1.4
C01595	C14826	1.14.14.1
C01595	C04438	3.1.1.4
C01595	lnlcACP	3.1.2.14
C01595	CE6415	
C01595	C03242	3.1.2.2;6.2.1.3
C01595	C00958	;3.1.1.4
C01595	C14825	1.14.14.1
C01595	C06425	3.1.2.2;6.2.1.3
C01595	C06426	3.1.2.2;1.14.19.3;6.2.1.3
C01595	C04717	;1.13.11.33;1.13.11.12
C01595	C00030	;1.13.11.33;1.14.19.3;1.3.99.13
C01595	lnlccoa	6.2.1.3
C01595	C16165	3.1.2.2
C01595	C04230	3.1.1.4
C01595	C16162	3.1.2.2;1.14.19.3
C01595	C04756	3.1.1.4
C01595	C04635	;3.1.1.4
C01595	C06254	;3.1.1.4
C01595	C06427	3.1.1.4;3.1.2.2;1.13.11.12;6.2.1.3
C01595	C00010	;3.1.2.2;6.2.1.3
C01595	C01530	3.1.2.14;3.1.2.2;6.2.1.3
C01595	C00020	;3.1.2.2;6.2.1.3
C01595	C02041	3.1.2.2
C01595	C00412	;3.1.2.2;6.2.1.3
C01595	C00157	;3.1.1.4
C01595	C00154	;1.3.99.13;3.1.2.2;6.2.1.3
C01595	C05212	3.1.1.4
C01595	C00028	;1.13.11.33;1.14.19.3;1.3.99.13
C01595	C00712	;3.1.2.14;3.1.2.2
CE5922	CE5527	
C14826	CE2049	3.3.2.9;3.3.2.10
CE2576	C04717	
C14825	CE2047	3.3.2.9;3.3.2.10
C00072	CE5527	
C00051	C04717	;1.11.1.9
C04717	C00127	;1.11.1.9
C04717	CE2163	;1.13.11.33;1.13.11.12;1.11.1.9
C04717	CE5919	
C04717	CE5526	
C04717	CE5918	
CE5527	CE5526	
CE5527	C01041	
CE5919	CE5526	
CE5898	CE5526	
CE5526	CE5918	
CE5526	CE5920	
