massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row1	108.9009	135.19	0.3404522727010113	1.4748576982678598	
row2	108.9009	150.19	0.17025493135206576	2.6041271480358144	
row3	108.9777	212.81	0.04052662199534171	4.837265220429415	
row4	169.0363	191.84	0.2843408314569234	1.7096873723739032	
row5	169.0363	210.84	0.6726003750089926	-0.6334428654185863	
row6	109.0285	24.93	0.02879627878312489	5.477836199006795	
row7	109.0285	163.28	0.7046328103466744	-0.5646025188350143	
row8	109.0285	165.25	0.8386167772248867	0.31622715553678366	
row9	169.0613	50.51	0.34510800068441	1.4607564471125394	
row10	169.0692	50.11	0.22627227183721027	2.2447778956268203	C8H11NO3
row11	142.0653	156.03	0.0020404738524369965	14.657863265446156	
row12	142.9433	201.48	0.7511954647969733	0.47958650353661925	
row13	170.0286	192.23	0.16780843581451446	2.6192247931136134	C6H6N2O4
row14	170.0286	211.1	0.9392848541743011	0.12177639219009424	C6H6N2O4
row15	142.9743	201.75	0.6316900296188787	0.717383811819856	
row16	110.8979	135.19	0.31941459239950254	1.54270515972593	
row17	110.8979	150.19	0.45883242813925984	1.1206932396879843	
row18	170.0564	301.17	0.00019287433295185825	35.972493920949134	C7H8N2O3
row19	170.0564	309.57	4.4739502319682885e-05	78.45821321551524	C6H9N3O3
row20	170.0701	49.85	0.26201703834956747	1.8317380796406642	
row21	110.957	36.26	0.07473454234636204	-3.7411329700580715	
row22	170.8286	1.7	0.8589187236473383	0.2730347948897656	
row23	170.8286	135.45	0.24876734986657295	-2.1046073788111577	
row24	170.8286	138.73	0.7289492775023659	-0.5252241202549033	
row25	170.8286	149.8	0.7757120818846455	-0.43618091386946756	
row26	170.8474	135.58	0.6046443357221372	0.7746420857130539	
row27	170.8474	149.8	0.30420236919578836	1.6153170008798152	
row28	143.0454	298.15	0.029267322386752247	5.433778943988054	
row29	143.0454	314.96	0.004121198767139498	11.208411414306989	
row30	111.9853	132.69	0.24876734986657295	1.9956180469629414	
row31	73.0273	59.1	0.9771755593959127	-0.046295912760390974	
