massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row1	108.9009	135.19	0.8001010142178309	-1.1381659460148852	
row2	108.9009	150.19	0.8348158673828693	0.9686147477496897	
row3	169.0363	191.84	0.8747845465487014	0.6005116286836638	
row4	169.0363	210.84	0.8443303557064974	0.7883659926959294	
row5	109.0285	24.93	0.6791729066220418	1.999491818537124	
row6	109.0285	165.25	0.47440154700060605	3.046564942138362	
row7	169.0613	50.51	0.6118647521695856	-2.4489130100182077	
row8	169.0692	50.11	0.83719977296315	-0.9145425747085024	C8H11NO3
row9	142.9433	201.48	0.9851778445526599	-0.09248998437620345	
row10	170.0286	192.23	0.8382147784874201	0.8806041887688248	C6H6N2O4
row11	170.0286	211.1	0.8476987679090678	0.7591427875130311	C6H6N2O4
row12	142.9743	201.75	0.9571342391837664	-0.2745154376660904	
row13	110.8979	135.19	0.6653753669042456	-2.074941359384791	
row14	110.8979	150.19	0.9935966992911384	0.054781514504523836	
row15	170.0564	301.17	0.9072244782520356	-0.450799706643442	C7H8N2O3
row16	170.0564	309.57	0.8157309960454845	-1.0886696779070102	C6H9N3O3
row17	170.0701	49.85	0.8470383366233972	0.7615123308554916	
row18	170.8286	1.7	0.9784128227811968	0.13922236682306185	
row19	170.8286	135.45	0.49179009644584853	-2.951189334602832	
row20	170.8286	138.73	0.7701641907874186	1.3790308243002858	
row21	170.8286	149.8	0.85161017786514	0.6829304803705948	
row22	170.8474	135.58	0.07484999062558538	-9.63768286593494	
row23	170.8474	149.8	0.9398909247282498	-0.3417777704639718	
row24	143.0454	298.15	0.7929696090991754	1.197527368482226	
row25	143.0454	314.96	0.9389106162391936	-0.3441779102057871	
row26	111.9853	132.69	0.6892441270786768	1.947575959431252	
row27	143.0535	147.17	0.21144635930056013	5.192875102987404	
row28	143.0535	150.74	0.809018042817108	1.1113674893763557	
row29	143.0535	152.45	0.8231093253589633	1.0292067555125042	
row30	143.0535	155.89	0.7381583119605983	1.6333999204250467	
row31	112.9362	346.74	0.5473905686428664	2.7132543661879547	
row32	171.0195	164.46	0.8253600735521613	1.019733508215971	
row33	171.0195	227.54	0.8847310027650745	0.5484759845477217	
row34	143.9007	346.74	0.7421006550489957	1.5993432132426424	
row35	171.0405	234.76	0.7909261329667286	1.2357793716548215	
row36	171.0405	239.91	0.7701641907874186	1.3710052269759785	
row37	171.0479	32.33	0.44941885918742097	3.224199300310969	
row38	113.9356	346.6	0.6653753669042456	2.0748976334240705	
row39	171.0558	26.91	0.8191427272214868	1.0597368534976128	
row40	143.9777	201.61	0.997062841368259	-0.02607347477519243	
row41	171.0657	191.97	0.41349105484697174	-3.438704221578662	C8H12O4
row42	143.9904	222.26	0.9072244782520356	0.4539307757328766	
row43	171.0769	292.24	0.395677481500331	-3.5769101123217406	
row44	171.5435	297.23	0.6653753669042456	2.105751712207814	
row45	77.0144	151.14	0.018630907074027626	25.317301760371574	
row46	171.8736	14.36	0.00010351359477460032	329.09272874822767	
row47	171.8736	24.27	0.85161017786514	0.6765046669573064	
row48	114.932	346.87	0.8351655605611368	0.9655511854861729	
row49	144.0293	212.15	0.8190095655858154	1.0644515080455368	
row50	144.0446	26.12	0.9382168626913827	-0.3520331974708536	
row51	144.0738	34.95	0.9698422969906836	0.17214215068057045	
row52	115.0027	297.76	0.21144635930056013	-5.147599003344921	
row53	144.8687	135.32	0.4773177164952826	-3.0230020990968756	
row54	144.8687	149.93	0.8328206184464563	0.9822825998989468	
row55	172.0355	267.29	0.7929238359178314	1.2059903552550877	C6H6N2O4
row56	144.9724	201.61	0.8830761705105823	-0.5564928648893179	
row57	172.0398	28.62	0.9510903178972425	-0.2972661649109016	
row58	144.9783	201.61	0.890127091067868	-0.5355613559591377	
row59	82.9531	34.82	0.9464222213010558	0.31998742085014226	
row60	172.5373	267.29	0.7442926403781387	1.590330502389294	
row61	172.8276	1.56	0.8903991252452071	0.5343786466017646	
row62	115.0584	222.26	0.9935966992911384	0.04577326269207165	C6H12S,C6H12S
row63	172.8417	135.58	0.7547181636066205	-1.5065903400181508	
row64	172.8417	150.06	0.8306598061724572	1.0006036180730682	
row65	116.0028	135.58	0.8412393703751367	0.841935500956737	
row66	116.0028	149.8	0.8231093253589633	1.0407512722702876	
row67	146.0531	210.97	0.8449804226829384	0.7695437924631732	
row68	116.0061	297.63	0.1749165320853395	-5.922319629975436	
row69	84.0067	69.9	0.022451045270368782	19.911350779706847	
row70	116.0469	209.92	0.8913393687818769	-0.5248782567411808	
row71	116.0478	209.92	0.0750202962834491	9.455363509515692	
row72	172.985	201.48	0.7672806545671063	-1.4274451717012724	
row73	172.9907	25.73	0.02938961765723577	-16.41652450950534	C6H6O4S,C6H6O4S
row74	172.9907	27.57	0.6916354015359623	-1.9380030125338115	C6H6O4S,C6H6O4S
row75	146.0814	180.11	0.85161017786514	0.6907059606265069	
row76	146.8659	135.58	0.45863590763999057	-3.1586716952728473	
row77	146.8659	149.8	0.997062841368259	-0.025889170715987134	
row78	116.0945	210.18	0.7929238359178314	1.219565337290422	
row79	84.9502	34.69	0.9666361139145377	0.2052687792173733	
row80	173.0083	254.89	0.5820358107370056	-2.5925721609719563	C7H7FO2S
row81	173.0083	259.39	0.24505094760009574	-4.726064659030337	C7H7FO2S
row82	173.0333	267.43	0.8205732860147046	1.0529822369080755	
row83	147.0176	270.31	0.9812041013217055	-0.12225578673194513	
row84	173.0376	267.43	0.8783641368334412	0.5841975616468642	
row85	173.056	233.85	0.3013579885094803	4.107826841051108	
row86	147.0667	197.78	0.6281377596248056	2.296447790273224	
row87	147.0667	200.96	0.9804789324309756	0.1339174048393254	
row88	173.0812	192.1	0.85161017786514	0.6785270767304038	
row89	147.9204	2.75	0.8001010142178309	-1.1370364942184195	
row90	148.0063	273.99	0.7929238359178314	1.2067820714574544	
row91	87.0441	192.1	0.4337069961764116	-3.2874013043672914	
row92	173.5351	267.43	0.8231093253589633	1.0406059896766793	
row93	173.8419	135.85	0.6985769011398005	-1.904661994981972	
row94	173.8419	150.19	0.8001010142178309	1.1707465791011242	
row95	117.0677	210.31	0.9571342391837664	-0.27875420323462824	
row96	117.074	210.31	0.9119997611726376	0.4401853742125162	C6H14S
row97	173.994	25.59	0.308153852780555	-4.051982388391504	C6H6O4S,C6H6O4S
row98	173.994	27.44	0.6281377596248056	-2.2798685912495604	C6H6O4S,C6H6O4S
row99	174.0013	223.44	0.7381583119605983	-1.6384807171841376	
row100	149.0001	28.22	0.8477668090917094	0.7407115690303626	
row101	118.0746	210.31	0.9361971551916689	0.36349523010557677	
row102	149.0462	189.84	0.9455158903497124	-0.3251036801691444	
row103	149.0462	191.05	0.5949977290144721	2.5356871586649317	
row104	174.0552	27.3	0.7850629156983301	-1.2961096065685453	
row105	149.0599	34.69	0.7381583119605983	1.6241882028091563	
row106	89.0427	249.11	0.7929238359178314	-1.220433013711943	
row107	174.8389	135.58	0.7597056617214483	-1.4735068167644858	
row108	174.8389	150.06	0.8253600735521613	1.0133930635409494	
row109	174.8865	134.14	0.9585007462360456	-0.24530199043533038	
row110	174.8865	151.01	0.8334505340139279	-0.9791419790034169	
row111	174.9637	134.93	0.9597132184475727	-0.2338992146955276	
row112	174.9637	145.86	0.9698422969906836	-0.16824971312192974	
row113	174.9865	25.73	0.2610728899926205	-4.4996626356678515	
row114	174.9865	27.57	0.9285502534007283	-0.39241172387689327	
row115	150.0221	265.85	0.9389106162391936	0.34375905620591	
row116	175.0353	318.24	0.03213982096403677	-14.739135434575635	
row117	119.0491	205.16	0.8382147784874201	0.8637534146027327	
row118	150.0301	270.84	0.9218432781609747	-0.41193669504151265	
