pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Urea cycle/amino group metabolism	3	7	0.13057726241492312	E147,E83,E82	,,	$$
Selenoamino acid metabolism	1	2	0.17334677758171582	E32		
Purine metabolism	5	16	0.19292496428871522	E183,E159,E162,E163,E142	,,,,	$$$$
Pyrimidine metabolism	2	6	0.1939332829174019	E92,E177	,	$
Hexose phosphorylation	1	3	0.20443660196622132	E151		
Tryptophan metabolism	4	14	0.206201159566423	E121,E100,E171,E172	,,,	$$$
Glycolysis and Gluconeogenesis	1	4	0.22275439038736242	E73		
Lysine metabolism	1	4	0.22275439038736242	E61		
Vitamin B3 (nicotinate and nicotinamide) metabolism	2	9	0.23451810772204015	E168,E69	,	$
Arginine and Proline Metabolism	1	5	0.23729098395092849	E140		
Pentose phosphate pathway	1	5	0.23729098395092849	E180		
Methionine and cysteine metabolism	1	5	0.23729098395092849	E140		
Tyrosine metabolism	1	9	0.25434837408621125	E34		
Vitamin D3 (cholecalciferol) metabolism	0	0	0.25728930341988065			
Hyaluronan Metabolism	0	0	0.25728930341988065			
N-Glycan biosynthesis	0	1	0.25728930341988065			
Glycosphingolipid biosynthesis - ganglioseries	0	0	0.25728930341988065			
R Group Synthesis	0	0	0.25728930341988065			
C5-Branched dibasic acid metabolism	0	1	0.25728930341988065			
Pyruvate Metabolism	0	0	0.25728930341988065			
Sialic acid metabolism	0	1	0.25728930341988065			
Chondroitin sulfate degradation	0	0	0.25728930341988065			
Di-unsaturated fatty acid beta-oxidation	0	2	0.25728930341988065			
Putative anti-Inflammatory metabolites formation from EPA	0	0	0.25728930341988065			
Linoleate metabolism	0	2	0.25728930341988065			
Vitamin B2 (riboflavin) metabolism	0	1	0.25728930341988065			
Squalene and cholesterol biosynthesis	0	0	0.25728930341988065			
Galactose metabolism	0	1	0.25728930341988065			
Keratan sulfate degradation	0	0	0.25728930341988065			
Glycerolipid metabolism	0	0	0.25728930341988065			
Carnitine shuttle	0	0	0.25728930341988065			
3-oxo-10R-octadecatrienoate beta-oxidation	0	0	0.25728930341988065			
Alkaloid biosynthesis II	0	1	0.25728930341988065			
Vitamin B1 (thiamin) metabolism	0	1	0.25728930341988065			
Glycosphingolipid biosynthesis - globoseries	0	1	0.25728930341988065			
Histidine metabolism	0	2	0.25728930341988065			
Vitamin B5 - CoA biosynthesis from pantothenate	0	1	0.25728930341988065			
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	0	0	0.25728930341988065			
Glycosphingolipid biosynthesis - lactoseries	0	0	0.25728930341988065			
Bile acid biosynthesis	0	1	0.25728930341988065			
Parathio degradation	0	1	0.25728930341988065			
Propanoate metabolism	0	1	0.25728930341988065			
Blood Group Biosynthesis	0	0	0.25728930341988065			
Electron transport chain	0	0	0.25728930341988065			
Vitamin H (biotin) metabolism	0	1	0.25728930341988065			
Biopterin metabolism	0	0	0.25728930341988065			
Vitamin E metabolism	0	1	0.25728930341988065			
Androgen and estrogen biosynthesis and metabolism	0	0	0.25728930341988065			
Glycine, serine, alanine and threonine metabolism	0	4	0.25728930341988065			
Caffeine metabolism	0	1	0.25728930341988065			
Lipoate metabolism	0	0	0.25728930341988065			
Heparan sulfate biosynthesis	0	0	0.25728930341988065			
Drug metabolism - cytochrome P450	0	2	0.25728930341988065			
Vitamin B9 (folate) metabolism	0	0	0.25728930341988065			
Glyoxylate and Dicarboxylate Metabolism	0	1	0.25728930341988065			
De novo fatty acid biosynthesis	0	2	0.25728930341988065			
Vitamin A (retinol) metabolism	0	1	0.25728930341988065			
Valine, leucine and isoleucine degradation	0	1	0.25728930341988065			
Fatty Acid Metabolism	0	1	0.25728930341988065			
Glycosaminoglycan degradation	0	0	0.25728930341988065			
Fatty acid oxidation	0	0	0.25728930341988065			
Fructose and mannose metabolism	0	2	0.25728930341988065			
ROS Detoxification	0	0	0.25728930341988065			
Xenobiotics metabolism	0	0	0.25728930341988065			
Saturated fatty acids beta-oxidation	0	0	0.25728930341988065			
CoA Catabolism	0	1	0.25728930341988065			
Omega-3 fatty acid metabolism	0	1	0.25728930341988065			
Butanoate metabolism	0	1	0.25728930341988065			
Mono-unsaturated fatty acid beta-oxidation	0	1	0.25728930341988065			
Glycosphingolipid biosynthesis - neolactoseries	0	0	0.25728930341988065			
Ascorbate (Vitamin C) and Aldarate Metabolism	0	1	0.25728930341988065			
Geraniol degradation	0	0	0.25728930341988065			
D4&E4-neuroprostanes formation	0	0	0.25728930341988065			
Vitamin D	0	0	0.25728930341988065			
Dynorphin metabolism	0	0	0.25728930341988065			
Heparan sulfate degradation	0	0	0.25728930341988065			
Fatty acid oxidation, peroxisome	0	0	0.25728930341988065			
Polyunsaturated fatty acid biosynthesis	0	0	0.25728930341988065			
Alanine and Aspartate Metabolism	0	2	0.25728930341988065			
Glutathione Metabolism	0	1	0.25728930341988065			
Keratan sulfate biosynthesis	0	0	0.25728930341988065			
TCA cycle	0	1	0.25728930341988065			
3-Chloroacrylic acid degradation	0	0	0.25728930341988065			
Arachidonic acid metabolism	0	1	0.25728930341988065			
Sphingolipid metabolism	0	0	0.25728930341988065			
O-Glycan biosynthesis	0	0	0.25728930341988065			
Glycosphingolipid metabolism	0	1	0.25728930341988065			
Limonene and pinene degradation	0	0	0.25728930341988065			
Proteoglycan biosynthesis	0	0	0.25728930341988065			
Vitamin K metabolism	0	0	0.25728930341988065			
Glycerophospholipid metabolism	0	3	0.25728930341988065			
Glutamate metabolism	0	0	0.25728930341988065			
Porphyrin metabolism	0	0	0.25728930341988065			
Phosphatidylinositol phosphate metabolism	0	1	0.25728930341988065			
Benzoate degradation via CoA ligation	0	0	0.25728930341988065			
Prostaglandin formation from arachidonate	0	1	0.25728930341988065			
Dimethyl-branched-chain fatty acid mitochondrial beta-oxidation	0	0	0.25728930341988065			
Vitamin B6 (pyridoxine) metabolism	0	0	0.25728930341988065			
Pentose and Glucuronate Interconversions	0	0	0.25728930341988065			
Atrazine degradation	0	0	0.25728930341988065			
N-Glycan Degradation	0	1	0.25728930341988065			
Leukotriene metabolism	0	1	0.25728930341988065			
Vitamin B12 (cyanocobalamin) metabolism	0	0	0.25728930341988065			
Fatty acid activation	0	2	0.25728930341988065			
Carbon fixation	0	1	0.25728930341988065			
Nucleotide Sugar Metabolism	0	0	0.25728930341988065			
Ubiquinone Biosynthesis	0	3	0.25728930341988065			
1- and 2-Methylnaphthalene degradation	0	0	0.25728930341988065			
Aspartate and asparagine metabolism	0	4	0.25728930341988065			
Nitrogen metabolism	0	1	0.25728930341988065			
Drug metabolism - other enzymes	0	1	0.25728930341988065			
Aminosugars metabolism	0	1	0.25728930341988065			
Beta-Alanine metabolism	0	1	0.25728930341988065			
Prostaglandin formation from dihomo gama-linoleic acid	0	0	0.25728930341988065			
C21-steroid hormone biosynthesis and metabolism	0	0	0.25728930341988065			
Starch and Sucrose Metabolism	0	1	0.25728930341988065			
Trihydroxycoprostanoyl-CoA beta-oxidation	0	0	0.25728930341988065			
Omega-6 fatty acid metabolism	0	1	0.25728930341988065			
Phytanic acid peroxisomal oxidation	0	1	0.25728930341988065			
