SOURCE	TARGET	ENZYMES
C04884	C00267	3.2.1.23
C04884	C00221	3.2.1.23
C06136	C00267	3.2.1.23
C06136	C00221	3.2.1.23
dxtrn	C00031	3.2.1.33;3.2.1.1;2.4.1.1
C00089	C00031	3.2.1.20;3.2.1.22;2.7.1.1;3.2.1.26
C00089	C00267	3.2.1.20;3.2.1.48;2.7.1.1;3.2.1.26
C00089	C02336	3.2.1.20;3.2.1.22;3.2.1.26;2.7.1.4;2.7.1.1;3.2.1.48
C00089	C00137	3.2.1.22
C00089	C00159	3.2.1.22;2.7.1.1
C01835	C00031	3.2.1.20;;3.2.1.1
C01835	C00267	3.2.1.20;3.2.1.1
C00087	C00073	2.8.1.8
C05400	C00031	3.2.1.22
C05400	C00137	3.2.1.22
C05400	C00159	3.2.1.22
G10488	C00031	3.2.1.22
G10488	C00137	3.2.1.22
G10488	C00159	3.2.1.22
C02686	C00031	3.2.1.22
C02686	C00962	3.2.1.46
C02686	C00137	3.2.1.22
C02686	C00159	3.2.1.22
CE2839	C00267	3.2.1.1
C00208	C00031	3.2.1.20;3.2.1.10;
C00208	C00267	3.2.1.20;3.2.1.10;3.2.1.3
C00195	C00031	;3.2.1.45
C00195	C00962	3.2.1.46
C00258	C00631	2.7.1.31
C00258	C00197	2.7.1.31
C03232	C00197	5.4.2.1;2.7.1.106;3.6.1.7;5.4.2.4;2.7.1.31;3.1.3.13;2.6.1.52;1.1.1.95;2.7.2.3
C00021	C00073	;2.5.1.6;2.8.1.8;2.1.1.13;2.1.1.10
C05198	C00073	2.8.1.8
C00124	C00031	;3.2.1.20;3.2.1.108;1.1.1.21;3.2.1.22
C00124	C00267	3.2.1.20;3.2.1.108;3.2.1.23;1.1.1.21
C00124	C00137	3.2.1.22
C00124	C00159	3.2.1.22
C00124	C00221	3.2.1.23
G13032	C00267	3.2.1.23
G13032	C00221	3.2.1.23
G00124	C00267	3.2.1.23
G00124	C00221	3.2.1.23
C02430	C00073	6.1.1.10
C00064	C00073	
C00243	C00031	3.2.1.108;2.4.1.22
C00243	C00267	3.2.1.108;3.2.1.23
C00243	C00221	3.2.1.23
C04006	C00137	3.1.3.25
cdpdag_hs	C00137	2.7.8.11
C01290	C00031	3.2.1.22
C01290	C00267	3.2.1.23
C01290	C00984	3.2.1.22
C01290	C00962	3.2.1.23
C01290	C00137	3.2.1.22
C01290	C00159	3.2.1.22
C01290	C00221	3.2.1.23
C00093	C00137	3.1.4.44;2.7.8.11;3.1.4.3
CE2838	C00267	3.2.1.1
C00198	C00221	1.1.1.47
C06126	C00031	3.2.1.22
C06126	C00137	3.2.1.22
C06126	C00159	3.2.1.22
C00020	C00031	;2.7.1.147
C00020	C00073	;6.1.1.10
C00074	C00631	4.2.1.11
C00031	C00206	2.7.1.1
C00031	C01190	3.2.1.45
C00031	C05401	3.2.1.22
C00031	C00081	;2.7.1.1
C00031	C00169	
C00031	G01275	3.2.1.22
C00031	C03692	3.2.1.22
C00031	C01235	3.2.1.22
C00031	C05838	3.2.1.21
C00031	G00501	3.2.1.22
C00031	C01613	3.2.1.22
C00031	C00137	3.2.1.22
C00031	C00159	3.2.1.22;2.7.1.1
C00031	C00116	3.2.1.22;1.1.1.21
C00031	G00278	3.2.1.22
C00031	C05404	3.2.1.22
C00031	G10238	3.2.1.45
C00031	crm_hs	3.2.1.45
C00031	C05839	3.2.1.21
C00031	G00092	3.2.1.22
C00031	C01342	
C00031	C05399	3.2.1.22
C00031	C00104	;2.7.1.1
C00031	C04737	;3.2.1.22
C00031	Tyr-ggn	3.2.1.33;2.4.1.1
C00031	gluside_hs	3.2.1.45
C00031	C00492	3.2.1.22
C00031	C00052	;2.4.1.22
C00031	G00370	3.2.1.22
C00031	G11121	3.2.1.22
C00031	glygn3	3.2.1.33;2.4.1.1
C00031	G00497	3.2.1.22
C00031	G10529	3.2.1.22
C00031	glygn5	3.2.1.10
C00031	C00131	2.7.1.1
C00031	glygn4	3.2.1.10;3.2.1.1
C00031	C00015	;2.4.1.22
C00031	glygn2	3.2.1.33;3.2.1.1;2.4.1.1
C00031	C00092	;2.7.1.147;2.7.1.1;3.1.3.9;2.7.1.2
C00031	C00095	3.2.1.20;3.2.1.22;2.7.1.1;1.1.1.21;3.2.1.26
C00031	C01083	3.2.1.28
C00031	strch2	3.2.1.10;3.2.1.1
C00031	G00249	3.2.1.22
C00031	C06037	3.2.1.22
C00031	G00093	3.2.1.22
C00031	C05402	3.2.1.20;3.2.1.22
C00031	strch1	3.2.1.10;3.2.1.1
C00031	C00794	3.2.1.20;3.2.1.22;2.7.1.1;1.1.1.21;3.2.1.26
C00206	C00159	2.7.1.1
C00161	C00073	1.4.3.2
C06135	C00267	3.2.1.23
C06135	C00221	3.2.1.23
C00721	C00267	3.2.1.10;3.2.1.1;3.2.1.3
pail_hs	C00137	3.2.1.22;3.1.4.4;3.1.4.3;1.13.99.1;3.1.3.25;2.4.1.198;3.1.4.44;2.7.8.11
C00019	C00073	;2.5.1.6;2.8.1.8;2.1.1.13;2.1.1.10
C01026	C00073	2.1.1.5
CE4968	C00037	2.3.1.13
CE4968	C02939	2.3.1.168;1.2.1.25;1.3.99.10;1.3.99.3;2.3.1.13
CE4968	C00010	1.2.1.25;1.3.99.3;2.3.1.13
C00267	C01190	3.2.1.23
C00267	C02336	3.2.1.20;3.2.1.48;2.7.1.1;3.2.1.26
C00267	C05401	3.2.1.23
C00267	G00110	3.2.1.23
C00267	C02052	3.2.1.1
C00267	C01936	3.2.1.1
C00267	C00668	2.7.1.147;2.7.1.1;3.1.3.9;2.7.1.2
C00267	C01798	3.2.1.21
C00267	C00252	3.2.1.10
C00267	C01582	3.2.1.23
C00267	C05796	3.2.1.23
C00267	C04911	3.2.1.23
C00267	C06373	3.2.1.23
C00267	C00116	1.1.1.21;3.2.1.23
C00267	G00123	3.2.1.23
C00267	G10238	3.2.1.23
C00267	G00092	3.2.1.23
C00267	G10534	3.2.1.23
C00267	C05403	3.2.1.21;3.2.1.23;2.7.1.2;2.7.1.1;5.1.3.3;2.7.1.147;3.1.3.9
C00267	C00369	3.2.1.33;3.2.1.1;3.2.1.3
C00267	C00897	3.2.1.20;3.2.1.1
C00267	G10504	3.2.1.23
C00267	C05394	3.2.1.21;3.2.1.23;2.7.1.2;2.7.1.1;5.1.3.3;2.7.1.147;3.1.3.9
C00267	CE2837	3.2.1.1
C00267	C05396	3.2.1.23
C00267	C00718	3.2.1.33;3.2.1.1;3.2.1.3
C00267	G10517	3.2.1.23
C00267	CE2835	3.2.1.1
C00267	C00221	3.2.1.21;3.2.1.23;2.7.1.2;2.7.1.1;5.1.3.3;2.7.1.147;3.1.3.9
C00267	C01335	3.2.1.21
C00267	G00109	3.2.1.23
C00267	G06780	3.2.1.23
C00267	G10531	3.2.1.23
C00267	C00794	3.2.1.20;1.1.1.21;2.7.1.1;3.2.1.26
C00984	C04737	3.2.1.22
C01190	C00962	3.2.1.23
C01190	C00221	3.2.1.23
C00269	C00137	2.7.8.11
C02336	C05345	2.7.1.4;2.7.1.1
C05401	C00137	3.2.1.22
C05401	C00159	3.2.1.22
C05401	C00221	3.2.1.23
C00081	C00159	2.7.1.1
C00073	C00166	1.4.3.2;2.6.1.5
C00073	C00026	;2.3.1.1;2.6.1.5
C00073	C00079	;1.4.3.2;2.6.1.5
C00073	C00024	;2.3.1.1
C00073	C00101	2.1.1.13
C00073	C01179	;1.4.3.2;2.6.1.5
C00073	C00719	2.1.1.5
C00073	C00407	1.4.3.2
C00073	C16237	2.8.1.8
C00073	C00014	;1.4.3.2
C00073	C00036	;1.4.3.2
C00073	C00033	;3.5.1.14
C00073	C00440	;2.1.1.13
C00073	C01647	6.1.1.10
C00073	C05752	2.8.1.8
C00073	C00078	;1.4.3.2
C00073	C00049	1.4.3.2
C00073	C00048	;3.5.1.14;2.3.1.1;2.6.1.73
C00073	C00037	;3.5.1.14;2.3.1.1;2.6.1.73
C00073	C02712	2.3.1.1;3.5.1.14
C00073	C00025	;2.3.1.1;2.6.1.5
C00073	C00155	;2.1.1.13;2.1.1.5;2.1.1.10
C00073	C16236	2.8.1.8
C00073	C16239	2.8.1.8
C00073	C00151	3.5.1.14;1.4.3.2
C00073	C00082	;1.4.3.2;2.6.1.5
C00073	C00671	1.4.3.2
C00073	C00027	;1.4.3.2
C00073	C01180	1.4.3.2;2.6.1.73;2.6.1.5
C00073	C05167	1.4.3.2
C00073	C00331	1.4.3.2
C00073	C00010	;2.3.1.1
C00416	C00137	3.1.4.4
G00110	C00221	3.2.1.23
C00103	C00197	2.7.1.106
G01275	C00137	3.2.1.22
G01275	C00159	3.2.1.22
C00026	C00197	2.6.1.52;1.1.1.95
C00631	C00197	2.7.1.31;5.4.2.1;5.4.2.4
C03692	C00137	3.2.1.22
C03692	C00159	3.2.1.22
C01582	C00221	3.2.1.23
C01235	C00137	3.2.1.22
C01235	C00159	3.2.1.22
C05838	C05839	3.2.1.21
G00501	C00137	3.2.1.22
G00501	C00159	3.2.1.22
C05796	C00221	3.2.1.23
C00185	C00221	3.2.1.21
C01613	C00137	3.2.1.22
C01613	C00159	3.2.1.22
G00014	C00159	3.2.1.114
C00236	C00197	2.7.2.3;5.4.2.1;2.7.1.106;5.4.2.4;3.6.1.7
C00137	C00159	3.2.1.22
C00137	C00055	2.7.8.11
C00137	C00116	3.2.1.22
C00137	G00278	3.2.1.22
C00137	C01225	3.1.4.44
C00137	C05404	3.2.1.22
C00137	G00092	3.2.1.22
C00137	G10621	2.7.8.11
C00137	C05399	3.2.1.22
C00137	C04737	3.2.1.22
C00137	C00492	3.2.1.22
C00137	G00370	3.2.1.22
C00137	G11121	3.2.1.22
C00137	G00497	3.2.1.22
C00137	G10529	3.2.1.22
C00137	C01177	2.7.8.11;2.4.1.198;3.1.4.4;3.1.4.3;3.1.3.25
C00137	C01194	2.7.8.11;2.4.1.198;3.1.4.4;3.1.4.3;3.1.3.25
C00137	G00249	3.2.1.22
C00137	C15585	3.1.3.25
C00137	C00191	1.13.99.1
C00137	C06037	3.2.1.22
C00137	G00093	3.2.1.22
C00137	C05402	3.2.1.22
C00137	C00794	3.2.1.22
C00137	C03546	3.1.3.25
G00012	C00159	3.2.1.113;3.2.1.114
C00159	C00116	3.2.1.22
C00159	G00278	3.2.1.22
C00159	C05404	3.2.1.22
C00159	G00092	3.2.1.22
C00159	C05399	3.2.1.22
C00159	m2mn	3.2.1.24
C00159	C00104	2.7.1.1
C00159	C05882	3.2.1.114
C00159	C04737	3.2.1.22
C00159	mn	3.2.1.24;3.2.1.25
C00159	C00492	3.2.1.22
C00159	C00275	2.7.1.7;2.7.1.1
C00159	G00011	3.2.1.113
C00159	G00370	3.2.1.22
C00159	G11121	3.2.1.22
C00159	G00497	3.2.1.22
C00159	G10694	3.2.1.113
C00159	C05884	3.2.1.114
C00159	G10529	3.2.1.22
C00159	C00140	2.7.1.1;3.2.1.25
C00159	C00131	2.7.1.1
C00159	G00249	3.2.1.22
C00159	C06037	3.2.1.22
C00159	G00013	3.2.1.113;3.2.1.114
C00159	G00093	3.2.1.22
C00159	C05402	3.2.1.22
C00159	C00794	3.2.1.22;2.7.1.1
C04911	C00221	3.2.1.23
C06373	C00221	3.2.1.23
C00116	C00221	3.2.1.23
G00123	C00221	3.2.1.23
G10238	C00221	3.2.1.23
C00033	C00227	3.6.1.7
G00092	C00221	3.2.1.23
G10534	C00221	3.2.1.23
C05403	C00221	3.2.1.21;3.2.1.23;2.7.1.2;2.7.1.1;5.1.3.3;2.7.1.147;1.1.1.47;3.1.3.9
C00037	CE4970	2.3.1.13
C00760	C00221	3.2.1.21
G10504	C00221	3.2.1.23
C05394	C00221	3.2.1.21;3.2.1.23;2.7.1.2;2.7.1.1;5.1.3.3;2.7.1.147;1.1.1.47;3.1.3.9
C05396	C00221	3.2.1.23
CE4970	C01033	1.2.1.25;1.3.99.2;1.3.99.3;2.3.1.13;1.3.99.12
CE4970	C00010	1.2.1.25;1.3.99.3;2.3.1.13
G10517	C00221	3.2.1.23
C01172	C00221	2.7.1.147;2.7.1.1;3.1.3.9;2.7.1.2
C00221	G00109	3.2.1.23
C00221	G06780	3.2.1.23
C00221	G10531	3.2.1.23
C01159	C00197	5.4.2.1;3.1.3.13;5.4.2.4
C00197	C02630	1.1.1.95
C00197	C01231	2.7.1.106
