EID	massfeature_rows	str_row_ion	compounds	compound_names
E1	row401;row561	row401_M+Na[1+];row561_M+HCOONa[1+]	C01019	6-Deoxy-L-galactose; L-Fucose
E2	row1	row1_M+H[1+]	C01019	6-Deoxy-L-galactose; L-Fucose
E4	row25	row25_M+Na[1+]	C01507;C00794;C01697	L-Iditol$D-Sorbitol$Galactitol
E5	row26	row26_M+Na[1+]	C01507;C00794;C01697	L-Iditol$D-Sorbitol$Galactitol
E9	row30;row57	row30_M+H[1+];row57_M(C13)+H[1+]	C00078;C00525	L-Tryptophan$D-Tryptophan
E12	row44	row44_M+H[1+]	C01732;C00490	Mesaconate; 2-Methylfumarate; Mesaconic acid; Methylfumaric acid$Itaconate; Itaconic acid; Methylenesuccinic acid
E13	row48	row48_M+H[1+]	C00233;C06102;C03465	4-Methyl-2-oxopentanoate$Adipate semialdehyde; Hexan-1-one-6-carboxylate; 6-Oxohexanoate$3-Methyl-2-oxopentanoate; 2-Oxo-3-methylvalerate
E14	row49	row49_M+H[1+]	C00233;C06102;C03465	4-Methyl-2-oxopentanoate$Adipate semialdehyde; Hexan-1-one-6-carboxylate; 6-Oxohexanoate$3-Methyl-2-oxopentanoate; 2-Oxo-3-methylvalerate
E15	row58	row58_M+H[1+]	C02714	N-Acetylputrescine
E16	row59	row59_M+H[1+]	C00179	Agmatine; (4-Aminobutyl) guanidine
E17	row61;row73	row61_M+H[1+];row73_M(C13)+H[1+]	C00250	Pyridoxal
E18	row64;row65;row75	row64_M+H[1+];row65_M+H[1+];row75_M(C13)+H[1+]	C01165;C01157;C00430;C03440;C01110	L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde$trans-4-Hydroxy-L-proline$5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid$cis-4-Hydroxy-D-proline$5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate
E19	row66	row66_M+H[1+]	C01165;C01157;C00430;C03440;C01110	L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde$trans-4-Hydroxy-L-proline$5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid$cis-4-Hydroxy-D-proline$5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate
E20	row67;row77	row67_M+H[1+];row77_M(C13)+H[1+]	C00300	Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine
E25	row123	row123_M+H[1+]	C00093	Glycerol 3-phosphate
E26	row124;row566	row124_M+H[1+];row566_M+Na[1+]	C00093	Glycerol 3-phosphate
E29	row134	row134_M+H[1+]	C02505	2-Phenylacetamide
E30	row149	row149_M+H[1+]	C07086;C03765	Phenylacetic acid; Benzylformic acid; Phenylacetate; Benzeneacetiic acid$4-Hydroxyphenylacetaldehyde
E31	row150	row150_M+Na[1+]	C02727	N6-Acetyl-L-lysine
E33	row155;row346;row358	row155_M+Na[1+];row346_M+H[1+];row358_M(C13)+H[1+]	C00242	Guanine
E34	row347;row359	row347_M+H[1+];row359_M(C13)+H[1+]	C00242	Guanine
E35	row159;row169	row159_M+H[1+];row169_M(C13)+H[1+]	C00108	Anthranilate
E36	row172	row172_M+H[1+]	C02693	Indole-3-acetamide
E38	row175;row191	row175_M+H[1+];row191_M(C13)+H[1+]	C00437	N2-Acetyl-L-ornithine
E40	row183;row453	row183_M+Na[1+];row453_M(C13)+H[1+]	C00719;C00431;C00183	Glycine betaine$5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine
E41	row184	row184_M+Na[1+]	C00719;C00431;C00183	Glycine betaine$5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine
E47	row201	row201_M+H[1+]	C00227	Acetyl phosphate
E48	row202	row202_M+H[1+]	C00227	Acetyl phosphate
E49	row203	row203_M+H[1+]	C00292	Aniline; Phenylamine; Benzenamine; Arylamine
E51	row1636	row1636_M+Na[1+]	C06196	2'-Deoxyinosine 5'-phosphate; dIMP
E55	row236	row236_M+Na[1+]	C16595;C16587	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one$3-Carbamoyl-2-phenylpropionaldehyde
E56	row236;row253;row640	row236_M+H[1+];row253_M(C13)+H[1+];row640_M+Na[1+]	C01233	sn-Glycero-3-phosphoethanolamine
